:START_ID,:END_ID,:TYPE,strength
agent_little_devil/42d41b53,event/62df8e22,AFFECTED_IN,0.5
agent_little_devil/983d2b41,event/26905bb9,AFFECTED_IN,0.5
agent_little_devil/2adef0ec,event/36cc5f83,AFFECTED_IN,0.5
agent_pip/ae505420,event/9363b59b,AFFECTED_IN,0.5
agent_pip/766ac5a9,event/872967fb,AFFECTED_IN,0.5
agent_pip/6923d91c,event/c46c1fca,AFFECTED_IN,0.5
agent_pip/8b1d15ab,event/346a2904,AFFECTED_IN,0.5
agent_pip/80d21ae8,event/98caa49a,AFFECTED_IN,0.5
agent_pip/1cd18aad,event/7be5184a,AFFECTED_IN,0.5
agent_pip/4cc57844,event/d49dd3b0,AFFECTED_IN,0.5
agent_pip/b39a70b0,event/5cc19add,AFFECTED_IN,0.5
agent_pip/27f1de59,event/12d74065,AFFECTED_IN,0.5
agent_pip/193c8236,event/657ebff3,AFFECTED_IN,0.5
agent_pip/b45bdf31,event/56b6f1ac,AFFECTED_IN,0.5
agent_pip/87037440,event/e1917650,AFFECTED_IN,0.5
agent_pip/bac6e547,event/766876f4,AFFECTED_IN,0.5
agent_pip/eef5c5a9,event/74fcf2ef,AFFECTED_IN,0.5
agent_pip/2e6d71dd,event/9e39aa8a,AFFECTED_IN,0.5
agent_pip/586cd715,event/263fc53b,AFFECTED_IN,0.5
agent_pip/a02e1b73,event/a8298261,AFFECTED_IN,0.5
agent_pip/6d2b4b13,event/d301cc7f,AFFECTED_IN,0.5
agent_pip/03a44292,event/1e3c3829,AFFECTED_IN,0.5
agent_pip/ce3047a7,event/0a346ca7,AFFECTED_IN,0.5
agent_pip/c1c1fcf3,event/28d50411,AFFECTED_IN,0.5
agent_pip/f64a0405,event/6d6e5e95,AFFECTED_IN,0.5
agent_pip/60d5f448,event/85eba14f,AFFECTED_IN,0.5
agent_pip/bae20de1,event/6b169491,AFFECTED_IN,0.5
agent_pip/d3aef060,event/e8e12fca,AFFECTED_IN,0.8
agent_pip/a668e7a0,event/fdaf1189,AFFECTED_IN,0.8
agent_pip/50cfa176,event/4160d83d,AFFECTED_IN,0.8
agent_magwitch/c6d2e376,event/cdd72180,AFFECTED_IN,0.5
agent_magwitch/303508b4,event/52643e66,AFFECTED_IN,0.5
agent_magwitch/2b1185c1,event/00b9abd2,AFFECTED_IN,0.8
agent_magwitch/b668809b,event/57db3832,AFFECTED_IN,0.5
agent_magwitch/f3cc2406,event/b41894f6,AFFECTED_IN,0.5
agent_magwitch/73c7e99a,event/3f4563c6,AFFECTED_IN,1.0
agent_magwitch/7bacf09d,event/dda2c27b,AFFECTED_IN,1.0
agent_boy/e2896d4b,event/afdd7acb,AFFECTED_IN,0.5
agent_boy/464001e1,event/6b774ee0,AFFECTED_IN,0.5
agent_boy/7e76316c,event/0c070c1f,AFFECTED_IN,0.5
agent_young_man/02aea14a,event/d66b33d7,AFFECTED_IN,0.8
agent_the_man/7c6e5990,event/a5d3f9cc,AFFECTED_IN,0.0
