:START_ID,:END_ID,:TYPE
event/8da95665,agent/pirrip,AFFECTS
event/883b393a,agent/the,AFFECTS
event/b106ba15,agent/my,AFFECTS
event/5e4797db,agent/any,AFFECTS
event/98c81cfe,agent/the,AFFECTS
event/58364f4a,agent/my,AFFECTS
event/aee37b2f,agent/the,AFFECTS
event/7e515327,agent/an,AFFECTS
event/18547ead,agent/his,AFFECTS
event/da973ba7,agent/inscription,AFFECTS
event/5bb11b71,agent/stone,AFFECTS
event/ed3e69a9,agent/belief,AFFECTS
event/4ed4f26c,agent/brothers,AFFECTS
event/4073dc6c,agent/marsh,AFFECTS
event/fa166e14,agent/impression,AFFECTS
event/20dd62f8,agent/churchyard,AFFECTS
event/0eba016f,agent/philip,AFFECTS
event/802623d5,agent/georgiana,AFFECTS
event/c023774a,"agent/alexander,",AFFECTS
event/0252e614,agent/marshes,AFFECTS
event/bdedb44d,agent/river,AFFECTS
event/e4abc840,agent/sea,AFFECTS
event/96bcca25,agent/you,AFFECTS
event/aa945df6,agent/fearful,AFFECTS
event/35914890,agent/fearful,AFFECTS
event/e2bbf67d,agent/fearful,AFFECTS
event/913a467a,agent/fearful,AFFECTS
event/e71d46c3,agent/fearful,AFFECTS
event/206ef04a,agent/fearful,AFFECTS
event/fd682a65,agent/fearful,AFFECTS
event/8cb5874c,agent/fearful,AFFECTS
event/75fc6330,agent/narrator,AFFECTS
event/3cb148b9,agent/pip,AFFECTS
event/237e7173,agent/pip,AFFECTS
event/ab283a8d,agent/pip,AFFECTS
event/389cfe9a,agent/pip,AFFECTS
event/c0f0db6b,agent/pip,AFFECTS
event/641ebe1c,agent/village,AFFECTS
event/94a9b4bc,agent/distance,AFFECTS
event/89c5ddd0,agent/pip,AFFECTS
event/2bea52ef,agent/pip,AFFECTS
event/afcc49cd,agent/pip's,AFFECTS
event/4160f7b0,agent/nothing,AFFECTS
event/42649e65,agent/churchyard,AFFECTS
event/6435757d,agent/steeple,AFFECTS
event/4230c99e,agent/bread,AFFECTS
event/1c6de05d,agent/pip,AFFECTS
event/d759a3cb,agent/pip,AFFECTS
event/0aebb565,agent/they,AFFECTS
event/2935a3bd,agent/tombstone,AFFECTS
event/2710339d,agent/self,AFFECTS
event/2e408596,agent/self,AFFECTS
event/7f3a977d,agent/pip,AFFECTS
event/c7facd44,agent/pip,AFFECTS
event/fbd35b1a,agent/convict,AFFECTS
event/81f920cb,agent/another,AFFECTS
event/b8bf9c67,agent/pip,AFFECTS
event/c0d9af1a,agent/pip,AFFECTS
event/843717cc,agent/pip,AFFECTS
event/b69acf8f,agent/pip,AFFECTS
event/b59ce97b,agent/pip,AFFECTS
event/251da14d,agent/magwitch,AFFECTS
event/efe70c70,agent/pip,AFFECTS
event/9be8dc91,agent/pip,AFFECTS
event/70c29d9f,agent/pip,AFFECTS
event/21553908,agent/pip,AFFECTS
event/215014bd,agent/file,AFFECTS
event/93ca087b,agent/wittles,AFFECTS
event/a3ecd880,agent/pip,AFFECTS
event/2b265c01,agent/pip,AFFECTS
event/73d53cfb,agent/pip,AFFECTS
event/dda4e9b4,agent/pip,AFFECTS
event/82740390,agent/pip,AFFECTS
event/d9574ffe,agent/him,AFFECTS
event/314ad968,agent/pip,AFFECTS
event/4bf8cf87,agent/churchyard,AFFECTS
event/0ed04f8d,agent/pip,AFFECTS
event/6ecf90ca,agent/pip,AFFECTS
event/06405eb0,agent/file,AFFECTS
event/bc7fb6e7,agent/pip,AFFECTS
event/8b4d62e5,agent/pip,AFFECTS
event/1be2d8bd,agent/secret,AFFECTS
event/eb029c7e,agent/door,AFFECTS
event/d1318c80,agent/bed,AFFECTS
event/88529e28,agent/clothes,AFFECTS
event/dc2d4409,agent/boy,AFFECTS
event/e96e70b4,agent/young,AFFECTS
event/eb195101,agent/boy,AFFECTS
event/9fddbca7,agent/him,AFFECTS
event/0af67029,agent/him,AFFECTS
event/b91411b6,agent/him,AFFECTS
event/80299aea,agent/listener,AFFECTS
event/e5880cab,agent/listener,AFFECTS
event/5f3cecc8,agent/listener,AFFECTS
event/03a04f97,agent/his,AFFECTS
event/08b86c31,agent/himself,AFFECTS
event/56fc2f5a,agent/magwitch,AFFECTS
event/7596d822,agent/magwitch,AFFECTS
event/881ca07e,agent/magwitch,AFFECTS
event/df1c8e8e,agent/pip,AFFECTS
event/729a1bf4,agent/unknown,AFFECTS
event/6d99c8b3,agent/face,AFFECTS
event/3d2b0ef1,agent/legs,AFFECTS
event/2e50f79e,agent/unknown,AFFECTS
event/09b5c23d,agent/stones,AFFECTS
event/f4a29625,agent/unknown,AFFECTS
event/387f8b65,agent/the,AFFECTS
event/1d38290d,agent/the,AFFECTS
event/e68cb68b,agent/the,AFFECTS
event/a8ebe37d,agent/two,AFFECTS
event/cad1181f,agent/beacon,AFFECTS
event/db3b93f5,agent/beacon,AFFECTS
event/e31986bb,agent/gibbet,AFFECTS
event/2c74055a,agent/man,AFFECTS
event/160a262c,agent/man,AFFECTS
event/1d61cebc,agent/man,AFFECTS
event/c66b57e7,agent/cattle,AFFECTS
event/f891bbaa,agent/cattle,AFFECTS
event/d17a30ee,agent/young,AFFECTS
event/52968a23,agent/pip,AFFECTS
event/fff06260,agent/reputation,AFFECTS
event/476a9e62,agent/pip,AFFECTS
event/eb3858f0,agent/'by,AFFECTS
event/91bbd882,agent/mrs.,AFFECTS
event/2bb5c363,agent/joe,AFFECTS
event/26f11059,agent/pip,AFFECTS
event/d6b5e9f6,agent/sister,AFFECTS
event/7299a817,agent/joe,AFFECTS
event/624a4362,agent/joe,AFFECTS
event/212e7190,agent/joe,AFFECTS
event/d9debca0,agent/joe,AFFECTS
event/2bb1963b,agent/mrs.,AFFECTS
event/54de39d1,agent/coarse,AFFECTS
event/b0ca3ff9,agent/apron,AFFECTS
event/ec07a641,agent/square,AFFECTS
event/d84f2cd8,agent/pins,AFFECTS
event/3cb8f631,agent/wearing,AFFECTS
event/8b00cfea,agent/joe,AFFECTS
event/27f8db52,agent/reason,AFFECTS
event/d503756e,agent/mrs.,AFFECTS
event/a7ff6531,agent/house,AFFECTS
event/ba5d3430,agent/pip,AFFECTS
event/89f13d22,agent/latch,AFFECTS
event/74ef55d6,agent/joe,AFFECTS
event/8253fa50,agent/pip,AFFECTS
event/4f3c8c0c,agent/pip,AFFECTS
event/5fa12da9,agent/button,AFFECTS
event/7ecac74f,agent/fire,AFFECTS
event/eaeabcdb,agent/tickler,AFFECTS
event/408e7712,agent/fire,AFFECTS
event/b67ffcea,agent/fire,AFFECTS
event/4a7eaca7,agent/joe,AFFECTS
event/b5e348fe,agent/joe,AFFECTS
event/1ce7580e,agent/dutch,AFFECTS
event/9aec98f4,agent/pip,AFFECTS
event/17ac2b2b,agent/pip,AFFECTS
event/91c9e749,agent/pip,AFFECTS
event/3fd6d705,agent/door,AFFECTS
event/47c2b765,agent/obstruction,AFFECTS
event/ccac29d8,agent/cause,AFFECTS
event/e92109f5,agent/tickler,AFFECTS
event/a7a5a365,agent/narrator,AFFECTS
event/c89a84ba,agent/narrator,AFFECTS
event/1875d6b1,agent/narrator,AFFECTS
event/66bbac7d,agent/pip,AFFECTS
event/909e7fdb,agent/pip,AFFECTS
event/8b22eee1,agent/pip,AFFECTS
event/443aaf59,agent/myself,AFFECTS
event/99bc5c6e,agent/pip,AFFECTS
event/0161ef6a,agent/pip,AFFECTS
event/6d16587f,agent/fire,AFFECTS
event/724cc6fa,agent/fugitive,AFFECTS
event/6a740a92,agent/mysterious,AFFECTS
event/8bc51659,agent/file,AFFECTS
event/1a204ba0,agent/food,AFFECTS
event/e33a8631,agent/dreadful,AFFECTS
event/dfe057f0,agent/thoughts,AFFECTS
event/14e77d26,agent/tickler,AFFECTS
event/a6a39ae7,agent/tea-things,AFFECTS
event/e015b2ed,agent/pip,AFFECTS
event/f28e8847,agent/right-side,AFFECTS
event/8d8190ba,agent/mrs.,AFFECTS
event/570b1ec9,agent/bread,AFFECTS
event/8491a814,agent/loaf,AFFECTS
event/60572837,agent/bib,AFFECTS
event/74684ef1,agent/bib,AFFECTS
event/ebc112a7,agent/pins,AFFECTS
event/4bfece74,agent/butter,AFFECTS
event/8e3568b0,agent/butter,AFFECTS
event/2cf0451c,agent/knife,AFFECTS
event/2d307987,agent/butter,AFFECTS
event/681e8412,agent/knife,AFFECTS
event/a7031133,agent/thick,AFFECTS
event/81c0013e,agent/thick,AFFECTS
event/0508b7b0,agent/one,AFFECTS
event/4c350d14,agent/one,AFFECTS
event/1363f1b6,agent/slice,AFFECTS
event/31a3d6fd,agent/dreadful,AFFECTS
event/916ec6ba,agent/young,AFFECTS
event/a1b2c165,agent/mrs.,AFFECTS
event/b2bd3900,agent/larcenous,AFFECTS
event/687b8a66,agent/hunk,AFFECTS
event/81507ac0,agent/joe,AFFECTS
event/b0a1e420,agent/joe,AFFECTS
event/148dae8d,agent/joe,AFFECTS
event/9f0331c0,agent/slices,AFFECTS
event/5318377a,agent/joe,AFFECTS
event/3997f532,agent/pip,AFFECTS
event/585bd522,agent/yellow,AFFECTS
event/f6fec7bf,agent/bread,AFFECTS
event/2bf28fa6,agent/bread,AFFECTS
event/da96e050,agent/slice,AFFECTS
event/a69f874b,agent/slice,AFFECTS
event/2af3af41,agent/slice,AFFECTS
event/a3614704,agent/slice,AFFECTS
event/2e99ebff,agent/pip's,AFFECTS
event/a1c62d7c,agent/me,AFFECTS
event/6c08d9b9,agent/joe's,AFFECTS
event/9f749172,agent/cup,AFFECTS
event/7bf72f29,agent/pip,AFFECTS
event/67b94354,agent/pip,AFFECTS
event/62b58077,agent/pip,AFFECTS
event/d39b9474,agent/pip,AFFECTS
event/d48a9dfc,agent/joe,AFFECTS
event/bb0ba663,agent/joe,AFFECTS
event/854842c7,agent/joe,AFFECTS
event/385e5297,agent/pip,AFFECTS
event/17f4efb7,agent/pip,AFFECTS
event/d7e03d38,agent/her,AFFECTS
event/8a076a1d,agent/me,AFFECTS
event/6302c8b6,agent/pip,AFFECTS
