:START_ID,:END_ID,:TYPE
causal/ab3ae712,event/b9d389c0,EFFECT
causal/8fa6e56b,event/a8b41fb4,EFFECT
causal/f20f25dd,event/a8b41fb4,EFFECT
causal/30a27fca,event/64383109,EFFECT
causal/574bea47,event/64383109,EFFECT
causal/aff2533d,event/64383109,EFFECT
causal/b7a208c8,event/84017580,EFFECT
causal/0b27de88,event/84017580,EFFECT
causal/4893311a,event/84017580,EFFECT
causal/f1dab4ef,event/4da41d0e,EFFECT
causal/fff0b04d,event/4da41d0e,EFFECT
causal/fb2d7cca,event/11f543fc,EFFECT
causal/9bb6f1ec,event/fd01c0f5,EFFECT
causal/c1a2a127,event/7d2a6bab,EFFECT
causal/25d58f68,event/7d2a6bab,EFFECT
causal/fc471b52,event/7d2a6bab,EFFECT
causal/d6e44756,event/3edd9f18,EFFECT
causal/41c57aa0,event/3edd9f18,EFFECT
causal/e9d73e81,event/3edd9f18,EFFECT
causal/962c2ec6,event/61acce51,EFFECT
causal/594c0e73,event/eb7e1b5b,EFFECT
causal/e913bbf6,event/eb7e1b5b,EFFECT
causal/aa5bab0d,event/eb7e1b5b,EFFECT
causal/6f18e359,event/ffb59e70,EFFECT
causal/e8f94517,event/ffb59e70,EFFECT
causal/f05b6413,event/04642ad1,EFFECT
causal/e56a071f,event/17aeab10,EFFECT
causal/0ee9c01c,event/53c313d6,EFFECT
causal/84dd6e5e,event/82e198b2,EFFECT
causal/b347ceca,event/82e198b2,EFFECT
causal/075dd158,event/82e198b2,EFFECT
causal/dcd1987a,event/ff4fc2d8,EFFECT
causal/6eb670ae,event/ff4fc2d8,EFFECT
causal/b4f76672,event/0db92bbc,EFFECT
causal/e940fafd,event/53b69a34,EFFECT
causal/cd0f9f74,event/b0bf7bae,EFFECT
causal/df4fdf9d,event/b0bf7bae,EFFECT
causal/b6259ed4,event/b7944487,EFFECT
causal/0a31ba95,event/9aff9f5b,EFFECT
causal/ebdd7f47,event/9aff9f5b,EFFECT
causal/ba72f5d3,event/69d6dd7a,EFFECT
causal/15affab3,event/656b7b8e,EFFECT
causal/428a4846,event/0a25a77f,EFFECT
causal/beb60c31,event/841f4b92,EFFECT
causal/9c7f7ff1,event/841f4b92,EFFECT
causal/3ab7e5bf,event/841f4b92,EFFECT
causal/d3057da4,event/f5a84fb4,EFFECT
causal/6b5e95e3,event/7ccbc9f3,EFFECT
causal/18995dd8,event/7ccbc9f3,EFFECT
causal/454bdfba,event/7ccbc9f3,EFFECT
causal/c8eda700,event/7ccbc9f3,EFFECT
causal/1b6eaa8a,event/09e8801a,EFFECT
causal/dd40446c,event/09e8801a,EFFECT
causal/ec9b82cc,event/09e8801a,EFFECT
causal/113b36dd,event/66db1cde,EFFECT
causal/60ed9052,event/66db1cde,EFFECT
causal/ee3a3059,event/66db1cde,EFFECT
causal/3af78957,event/66db1cde,EFFECT
causal/94238ebf,event/ea8d71eb,EFFECT
causal/f2a4ff6b,event/ea8d71eb,EFFECT
causal/20d21552,event/dc71b24e,EFFECT
causal/30b17459,event/dc71b24e,EFFECT
causal/b8eef7a1,event/29b98e15,EFFECT
causal/7e474bdd,event/ef260e7f,EFFECT
causal/9799fff8,event/39383d63,EFFECT
causal/ec5d0d5f,event/39383d63,EFFECT
causal/087bac0c,event/dc1c4db7,EFFECT
causal/9c8a1e22,event/dc1c4db7,EFFECT
causal/68710eb7,event/bfc4996a,EFFECT
causal/2b37fb9d,event/3234b359,EFFECT
causal/8d72e15e,event/3234b359,EFFECT
