:START_ID,:END_ID,:TYPE
event/23cd98ed,event/b760a944,FOLLOWS
event/b760a944,event/6a7f14fe,FOLLOWS
event/6a7f14fe,event/3c85710d,FOLLOWS
event/3c85710d,event/f7cc372f,FOLLOWS
event/f7cc372f,event/7c2d8479,FOLLOWS
event/7c2d8479,event/f3d7db57,FOLLOWS
event/f3d7db57,event/168b2644,FOLLOWS
event/168b2644,event/fb23f5b7,FOLLOWS
event/fb23f5b7,event/3b172c9c,FOLLOWS
event/3b172c9c,event/5c011a34,FOLLOWS
event/5c011a34,event/66b75bb0,FOLLOWS
event/66b75bb0,event/3112b56c,FOLLOWS
event/3112b56c,event/734dbf9d,FOLLOWS
event/734dbf9d,event/7b887074,FOLLOWS
event/7b887074,event/573e24b1,FOLLOWS
event/573e24b1,event/95f60f48,FOLLOWS
event/95f60f48,event/8ee9f7cd,FOLLOWS
event/8ee9f7cd,event/8e0b3073,FOLLOWS
event/8e0b3073,event/b33f8cfa,FOLLOWS
event/b33f8cfa,event/76794ee2,FOLLOWS
event/76794ee2,event/39ee4883,FOLLOWS
event/39ee4883,event/b9aa27a8,FOLLOWS
event/b9aa27a8,event/309e2546,FOLLOWS
event/309e2546,event/d7ede6e2,FOLLOWS
event/d7ede6e2,event/c52160ad,FOLLOWS
event/c52160ad,event/a5bbf1d3,FOLLOWS
event/a5bbf1d3,event/d91cb099,FOLLOWS
event/d91cb099,event/c9ca5f4a,FOLLOWS
event/c9ca5f4a,event/62df8e22,FOLLOWS
event/62df8e22,event/26905bb9,FOLLOWS
event/26905bb9,event/36cc5f83,FOLLOWS
event/36cc5f83,event/0849133b,FOLLOWS
event/0849133b,event/92134c5e,FOLLOWS
event/92134c5e,event/07c6b73d,FOLLOWS
event/07c6b73d,event/86cf3887,FOLLOWS
event/86cf3887,event/59592dbc,FOLLOWS
event/59592dbc,event/32c3a10c,FOLLOWS
event/32c3a10c,event/3e296ebb,FOLLOWS
event/3e296ebb,event/c346a52c,FOLLOWS
event/c346a52c,event/cdd72180,FOLLOWS
event/cdd72180,event/7a6e1750,FOLLOWS
event/7a6e1750,event/9363b59b,FOLLOWS
event/9363b59b,event/872967fb,FOLLOWS
event/872967fb,event/c46c1fca,FOLLOWS
event/c46c1fca,event/346a2904,FOLLOWS
event/346a2904,event/7ac741c0,FOLLOWS
event/7ac741c0,event/98caa49a,FOLLOWS
event/98caa49a,event/7be5184a,FOLLOWS
event/7be5184a,event/d49dd3b0,FOLLOWS
event/d49dd3b0,event/4b67ee9c,FOLLOWS
event/4b67ee9c,event/7b00ba3d,FOLLOWS
event/7b00ba3d,event/ef2b637e,FOLLOWS
