:START_ID,:END_ID,:TYPE,weight
why_family_connection/a6d66bdd,event/2d06a97c,MOTIVATES,1.0
why_curiosity/44097ab1,event/98caa49a,MOTIVATES,1.0
why_curiosity/c0a9fdcd,event/71ca650a,MOTIVATES,1.0
why_curiosity/3f86b18c,event/e1917650,MOTIVATES,1.0
why_curiosity/90007c45,event/766876f4,MOTIVATES,1.0
why_curiosity/a0439d7c,event/d301cc7f,MOTIVATES,1.0
why_curiosity/0c617570,event/5af20959,MOTIVATES,1.0
why_curiosity/23c1f898,event/42d8dbc2,MOTIVATES,1.0
why_curiosity/cdbaa42d,event/dda2c27b,MOTIVATES,1.0
why_curiosity/a14e8217,event/58c18a61,MOTIVATES,1.0
why_curiosity/c4fdd96e,event/f45fa188,MOTIVATES,1.0
why_curiosity/b2077490,event/5d8896d5,MOTIVATES,1.0
why_curiosity/112409f2,event/5f8580d4,MOTIVATES,1.0
why_gaining_knowledge_of_family_hi/04002f51,event/76794ee2,MOTIVATES,1.0
why_recognition_of_the_landscape/c0e3accb,event/b9aa27a8,MOTIVATES,1.0
why_recognition_of_the_landscape/f9e4a95d,event/309e2546,MOTIVATES,1.0
why_surprise/ce382c19,event/3eb45751,MOTIVATES,1.0
why_surprise/9e40b529,event/152d2d26,MOTIVATES,1.0
why_fear/5921d5ef,event/62df8e22,MOTIVATES,1.0
why_fear/79b6c1fb,event/3e296ebb,MOTIVATES,1.0
why_fear/4d4df434,event/c346a52c,MOTIVATES,1.0
why_fear/72e1f281,event/cdd72180,MOTIVATES,1.0
why_fear/7fafb4c7,event/9ceafd6e,MOTIVATES,1.0
why_fear/9f58c76f,event/1e33045e,MOTIVATES,1.0
why_fear/9e926c2f,event/d06b8de5,MOTIVATES,1.0
why_fear/5ad07170,event/69e9a0c9,MOTIVATES,1.0
why_fear/f2c005f6,event/52643e66,MOTIVATES,1.0
why_fear/c04a67de,event/8a14d100,MOTIVATES,1.0
why_fear/7b7920b6,event/00b9abd2,MOTIVATES,1.0
why_fear/951536c8,event/4160d83d,MOTIVATES,1.0
why_fear/0cf436d7,event/4edf4863,MOTIVATES,1.0
why_fear/c1fa821e,event/e250e1a5,MOTIVATES,1.0
why_fear/d2f379e1,event/ccd6a35a,MOTIVATES,1.0
why_fear/e217b573,event/72f1e3df,MOTIVATES,1.0
why_fear/41566de6,event/a5d3f9cc,MOTIVATES,1.0
why_fear/b527466a,event/8308518d,MOTIVATES,1.0
why_fear/b5424504,event/be51e614,MOTIVATES,1.0
why_fear/d9095563,event/6bcc5e3a,MOTIVATES,1.0
why_fear/08c60a28,event/1f7ca27d,MOTIVATES,1.0
why_fear/2a49ca91,event/f4a8feba,MOTIVATES,1.0
why_fear/501e082e,event/b5b177c9,MOTIVATES,1.0
why_fear/ed0a0d46,event/de79cc9e,MOTIVATES,1.0
why_contextual_description/9ba61dc6,event/36cc5f83,MOTIVATES,1.0
why_cold/51200ffd,event/3e83ca34,MOTIVATES,1.0
why_anger_or_threat/d47e6e0e,event/86cf3887,MOTIVATES,1.0
why_intimidation/2c9a1038,event/872967fb,MOTIVATES,1.0
why_intimidation/c7d0d324,event/7be5184a,MOTIVATES,1.0
why_intimidation/e23858ed,event/5cc19add,MOTIVATES,1.0
why_intimidation/df5544cf,event/c1210eb5,MOTIVATES,1.0
why_intimidation/4931f04a,event/9e39aa8a,MOTIVATES,1.0
why_intimidation/8fe5fc73,event/263fc53b,MOTIVATES,1.0
why_intimidation/04a1f2d6,event/a8298261,MOTIVATES,1.0
why_intimidation/8742be35,event/85eba14f,MOTIVATES,1.0
why_intimidation/2f5623d5,event/e8e12fca,MOTIVATES,1.0
why_intimidation/0d820b5e,event/d4b93b4e,MOTIVATES,1.0
why_coercion/b25d8806,event/346a2904,MOTIVATES,1.0
why_coercion/d8e0e334,event/6d6e5e95,MOTIVATES,1.0
why_narrative_progression/95ca944b,event/0dc4c246,MOTIVATES,1.0
why_narrative_progression/d6549676,event/ae823e24,MOTIVATES,1.0
why_narrative_progression/96f4e3cf,event/260f7c2a,MOTIVATES,1.0
why_narrative_progression/94d3fb23,event/96376c59,MOTIVATES,1.0
why_self-assessment/6267eff9,event/a02d4b8b,MOTIVATES,1.0
why_control/ac7b593a,event/6b169491,MOTIVATES,1.0
why_demand_for_assistance/7dd7007f,event/28d50411,MOTIVATES,1.0
why_comfort/9418a172,event/49c9854a,MOTIVATES,1.0
why_predatory_instinct/9742d10b,event/afdd7acb,MOTIVATES,1.0
why_struggle/cd7cd7a7,event/fe0d8e0f,MOTIVATES,1.0
why_commitment_to_help/16cd04e8,event/3f4563c6,MOTIVATES,1.0
why_commitment_to_help/8e6f1e90,event/cc3ffcf9,MOTIVATES,1.0
why_observation/1d1e451c,event/8eca0394,MOTIVATES,1.0
why_observation/01f5d839,event/c4563c0d,MOTIVATES,1.0
