:START_ID,:END_ID,:TYPE,specificity
event/2d74ab1d,place_grave/84332cd3,OCCURS_AT,0.8
event/d9a8d348,place_grave/53a30cd9,OCCURS_AT,0.8
event/0c672e87,place_grave/003d1fd1,OCCURS_AT,0.8
event/c0d03455,place_marsh_country/9bc3e304,OCCURS_AT,0.8
event/987a84cd,place_marsh_country/93a3252c,OCCURS_AT,0.8
event/7d507c92,place_churchyard/2994c263,OCCURS_AT,0.8
event/2e775bea,place_churchyard/10fb5abb,OCCURS_AT,0.8
event/a0e983a9,place_beyond_the_churchyard/7730417c,OCCURS_AT,0.8
event/61bee511,place_beyond_the_churchyard/337e3226,OCCURS_AT,0.8
event/a64fa002,place_distant/52e2dd9c,OCCURS_AT,0.8
event/76a5e3f7,place_unknown/f3e8d4c8,OCCURS_AT,0.8
event/2a583b46,place_church_porch/c9359cdf,OCCURS_AT,0.8
event/116b4980,place_village/0287c9b2,OCCURS_AT,0.8
event/ab71fabe,place_flat_in-shore_among_the_alder-trees_and_pollards/a42f3437,OCCURS_AT,0.8
event/9852864c,place_high_tombstone/99e56479,OCCURS_AT,0.8
event/03a4a4ba,place_parish/6021a9b1,OCCURS_AT,0.8
event/d2213269,place_tombstone/51b2cbdd,OCCURS_AT,0.8
event/fa442d63,place_tombstone/477a45f4,OCCURS_AT,0.8
event/cacd8e3d,place_tombstone/84612591,OCCURS_AT,0.8
event/e5ae4005,place_top_of_the_stone/10ab74de,OCCURS_AT,0.8
event/d70eba78,place_top_of_the_stone/178f3ad6,OCCURS_AT,0.8
event/772562d2,place_old_battery/32b0c7b4,OCCURS_AT,0.8
event/9fc3192e,place_old_battery/00f15fb8,OCCURS_AT,0.8
event/22b5a9c8,place_the_battery/ec65a104,OCCURS_AT,0.8
event/b9ce31c4,place_cold_wet_flat/3e1a7fac,OCCURS_AT,0.8
event/ebba55a8,place_cold_wet_flat/ae6083bc,OCCURS_AT,0.8
event/509a7652,place_low_church_wall/4c16f07b,OCCURS_AT,0.8
event/f25dc885,place_low_church_wall/44e7923f,OCCURS_AT,0.8
event/b7a185f7,place_low_church_wall/f4971207,OCCURS_AT,0.8
event/9ea93512,place_home/caa7274f,OCCURS_AT,0.8
event/c86ae8b8,place_river/1b437188,OCCURS_AT,0.8
event/c4e8dc49,place_marshes/9fa441c3,OCCURS_AT,0.8
event/6fd688c4,place_marshes/099a1d37,OCCURS_AT,0.8
event/da4fd874,place_marshes/0f98a610,OCCURS_AT,0.8
event/89c0da7a,place_river/05cab05e,OCCURS_AT,0.8
event/69795910,place_sky/a3c04d16,OCCURS_AT,0.8
event/30ed4f5b,place_edge_of_the_river/44688923,OCCURS_AT,0.8
event/79b143b9,place_edge_of_the_river/f1d18f82,OCCURS_AT,0.8
event/c6e98e05,place_edge_of_the_river/c9918c86,OCCURS_AT,0.8
event/7365a531,place_edge_of_the_river/4f57fce1,OCCURS_AT,0.8
event/0e92c1e4,place_edge_of_the_river/7cb5f651,OCCURS_AT,0.8
event/024e751e,place_home/6af276cb,OCCURS_AT,0.8
