:START_ID,:END_ID,:TYPE,strength
event/c9ca5f4a,agent_little_devil/42d41b53,PRODUCES_PATIENT,0.5
event/32c3a10c,agent_pip/ae505420,PRODUCES_PATIENT,0.5
event/3e296ebb,agent_magwitch/c6d2e376,PRODUCES_PATIENT,0.5
event/cdd72180,agent_magwitch/303508b4,PRODUCES_PATIENT,0.5
event/9363b59b,agent_pip/766ac5a9,PRODUCES_PATIENT,0.5
event/872967fb,agent_pip/6923d91c,PRODUCES_PATIENT,0.5
event/c46c1fca,agent_pip/8b1d15ab,PRODUCES_PATIENT,0.5
event/346a2904,agent_pip/80d21ae8,PRODUCES_PATIENT,0.5
event/98caa49a,agent_pip/1cd18aad,PRODUCES_PATIENT,0.5
event/7be5184a,agent_pip/4cc57844,PRODUCES_PATIENT,0.5
event/d49dd3b0,agent_pip/b39a70b0,PRODUCES_PATIENT,0.5
event/5cc19add,agent_pip/27f1de59,PRODUCES_PATIENT,0.5
event/12d74065,agent_pip/193c8236,PRODUCES_PATIENT,0.5
event/2d06a97c,agent_georgiana/5e95300b,PRODUCES_PATIENT,0.5
event/657ebff3,agent_pip/b45bdf31,PRODUCES_PATIENT,0.5
event/56b6f1ac,agent_pip/87037440,PRODUCES_PATIENT,0.5
event/e1917650,agent_pip/bac6e547,PRODUCES_PATIENT,0.5
event/766876f4,agent_pip/eef5c5a9,PRODUCES_PATIENT,0.5
event/74fcf2ef,agent_pip/2e6d71dd,PRODUCES_PATIENT,0.5
event/9e39aa8a,agent_pip/586cd715,PRODUCES_PATIENT,0.5
event/263fc53b,agent_pip/a02e1b73,PRODUCES_PATIENT,0.5
event/52643e66,agent_magwitch/2b1185c1,PRODUCES_PATIENT,0.8
event/a8298261,agent_pip/6d2b4b13,PRODUCES_PATIENT,0.5
event/d301cc7f,agent_pip/03a44292,PRODUCES_PATIENT,0.5
event/1e3c3829,agent_pip/ce3047a7,PRODUCES_PATIENT,0.5
event/0a346ca7,agent_pip/c1c1fcf3,PRODUCES_PATIENT,0.5
event/28d50411,agent_pip/f64a0405,PRODUCES_PATIENT,0.5
event/6d6e5e95,agent_pip/60d5f448,PRODUCES_PATIENT,0.5
event/85eba14f,agent_pip/bae20de1,PRODUCES_PATIENT,0.5
event/00b9abd2,agent_magwitch/b668809b,PRODUCES_PATIENT,0.5
event/57db3832,agent_magwitch/f3cc2406,PRODUCES_PATIENT,0.5
event/6b169491,agent_pip/d3aef060,PRODUCES_PATIENT,0.8
event/e8e12fca,agent_pip/a668e7a0,PRODUCES_PATIENT,0.8
event/fdaf1189,agent_pip/50cfa176,PRODUCES_PATIENT,0.8
event/4160d83d,agent_pip/52e80a0b,PRODUCES_PATIENT,0.8
event/ef0fcc1a,agent_boy/e2896d4b,PRODUCES_PATIENT,0.5
event/afdd7acb,agent_boy/464001e1,PRODUCES_PATIENT,0.5
event/6b774ee0,agent_young_man/02aea14a,PRODUCES_PATIENT,0.8
event/6b774ee0,agent_boy/7e76316c,PRODUCES_PATIENT,0.5
event/d66b33d7,agent_young_man/6d0629b5,PRODUCES_PATIENT,0.8
event/0c070c1f,agent_boy/3057fcc1,PRODUCES_PATIENT,0.5
event/b41894f6,agent_magwitch/73c7e99a,PRODUCES_PATIENT,1.0
event/3f4563c6,agent_magwitch/7bacf09d,PRODUCES_PATIENT,1.0
event/5af20959,agent_the_man/7c6e5990,PRODUCES_PATIENT,0.0
event/a5d3f9cc,agent_the_man/00ac3c2d,PRODUCES_PATIENT,0.0
event/dda2c27b,agent_magwitch/3fbecf4a,PRODUCES_PATIENT,0.5
event/6bcc5e3a,agent_unknown_man/0ddce7ae,PRODUCES_PATIENT,0.5
event/62df8e22,agent_little_devil/983d2b41,PRODUCES_PATIENT,0.5
event/26905bb9,agent_little_devil/2adef0ec,PRODUCES_PATIENT,0.5
event/36cc5f83,agent_little_devil/3b7d7908,PRODUCES_PATIENT,0.5
