:START_ID,:END_ID,:TYPE,weight
event/98d9e352,why_self-identification/5fc1676c,PRODUCES_MOTIVATION,1.0
event/3ffe7c37,why_family_heritage/82d41853,PRODUCES_MOTIVATION,1.0
event/02e0e791,why_infant_development/aa189ef2,PRODUCES_MOTIVATION,1.0
event/0b2db358,why_identity_formation/3392fe90,PRODUCES_MOTIVATION,1.0
event/63369023,why_search_for_identity/8d7ddad0,PRODUCES_MOTIVATION,1.0
event/6fa5d9b9,why_family_connection/48a777a5,PRODUCES_MOTIVATION,1.0
event/a0f0b11e,why_loss_and_absence/d4f62924,PRODUCES_MOTIVATION,1.0
event/228daf5c,why_historical_context/b0abac3c,PRODUCES_MOTIVATION,1.0
event/ee483a9b,why_imagination_and_longing/fbb1c62c,PRODUCES_MOTIVATION,1.0
event/0c47f579,why_fantasy_and_longing/b5b5e844,PRODUCES_MOTIVATION,1.0
event/2d8cc35a,why_childish_reasoning/04c1cd45,PRODUCES_MOTIVATION,1.0
event/77e3718d,why_memory_of_deceased_brothers/a0bca3fb,PRODUCES_MOTIVATION,1.0
event/d997ece5,why_understanding_of_life_struggle/756e4fce,PRODUCES_MOTIVATION,1.0
event/0c2abb5d,why_personal_belief_system/cd27b5e4,PRODUCES_MOTIVATION,1.0
event/44ec80e5,why_contemplation_of_life_and_deat/505393c5,PRODUCES_MOTIVATION,1.0
event/b70ea36d,why_gaining_a_vivid_impression/648b0473,PRODUCES_MOTIVATION,1.0
event/fe8c61c2,why_memorable_experience/739dd2a2,PRODUCES_MOTIVATION,1.0
event/ce009d81,why_realization_of_surroundings/f5fca1a0,PRODUCES_MOTIVATION,1.0
event/04c2d385,why_understanding_family_history/37044b7f,PRODUCES_MOTIVATION,1.0
event/b40a199f,why_recognition_of_landscape/e741025b,PRODUCES_MOTIVATION,1.0
event/e06f7606,why_recognition_of_landscape/2405519c,PRODUCES_MOTIVATION,1.0
event/afadce06,why_recognition_of_landscape/a9eecaf1,PRODUCES_MOTIVATION,1.0
event/488095ea,why_fear_of_surroundings/a1f59846,PRODUCES_MOTIVATION,1.0
event/e6fb488e,why_emotional_response_to_fear/a66b96a9,PRODUCES_MOTIVATION,1.0
event/2b7abd3e,why_surprise/bb06bbb1,PRODUCES_MOTIVATION,1.0
event/0b6736f7,why_intimidation/e12d36a5,PRODUCES_MOTIVATION,1.0
event/0649a2c3,why_fear/efbb0131,PRODUCES_MOTIVATION,1.0
event/550e0d9a,why_intimidation/dacfd6bb,PRODUCES_MOTIVATION,1.0
event/5a23c5d6,why_fear/c24a08b0,PRODUCES_MOTIVATION,1.0
event/d0b3d0bc,why_contextual_description/7dc14ab5,PRODUCES_MOTIVATION,1.0
event/53c4c31e,why_contextual_description/02a267af,PRODUCES_MOTIVATION,1.0
event/4d8fa7a9,why_contextual_description/3f735a04,PRODUCES_MOTIVATION,1.0
event/72f15bf4,why_fear/e18b4d0f,PRODUCES_MOTIVATION,1.0
