:START_ID,:END_ID,:TYPE,strength
agent_philip_pirrip/957f5b33,event/d984080f,AFFECTED_IN,1.0
agent_philip_pirrip/0eec1d54,event/541a51a7,AFFECTED_IN,0.8
agent_philip_pirrip/2569ebbd,event/094c30c6,AFFECTED_IN,1.0
agent_philip_pirrip/f3fe0db9,event/7a44b907,AFFECTED_IN,1.0
agent_philip_pirrip/afb9147a,event/57846c89,AFFECTED_IN,0.6
agent_philip_pirrip's_father/69307f24,event/b24a09c1,AFFECTED_IN,0.9
agent_philip_pirrip's_father/d637083a,event/08332ce3,AFFECTED_IN,0.7
agent_philip_pirrip's_father/0fd7066c,event/40cda722,AFFECTED_IN,0.9
agent_philip_pirrip's_father/78f0fca5,event/b71dd584,AFFECTED_IN,0.7
agent_philip_pirrip's_father/9a04ee9e,event/bfaec07a,AFFECTED_IN,0.7
agent_philip_pirrip's_father/634fd73d,event/4cb5d815,AFFECTED_IN,0.7
agent_philip_pirrip's_father/1efbef5d,event/e8f8e11e,AFFECTED_IN,0.7
agent_philip_pirrip's_father/c29228cb,event/05582d53,AFFECTED_IN,0.6
agent_philip_pirrip's_father/d0f72655,event/a2b326ef,AFFECTED_IN,1.0
agent_mrs._joe_gargery/64acc58a,event/a0b42891,AFFECTED_IN,1.0
agent_philip_pirrip's_mother/aeee6229,event/40cda722,AFFECTED_IN,0.9
agent_philip_pirrip's_mother/0ca4f2fc,event/b71dd584,AFFECTED_IN,0.7
agent_philip_pirrip's_mother/88cd8563,event/bfaec07a,AFFECTED_IN,0.7
agent_philip_pirrip's_mother/24bd77fc,event/4cb5d815,AFFECTED_IN,0.7
agent_pip's_mother/2806e093,event/3765cbcb,AFFECTED_IN,1.0
agent_five_little_brothers_of_narrator/7dd9eece,event/872625a5,AFFECTED_IN,0.6
agent_five_little_brothers_of_narrator/38a72bea,event/a86dc7cf,AFFECTED_IN,0.7
agent_five_little_brothers_of_narrator/06835a61,event/31a9531e,AFFECTED_IN,0.9
agent_cattle/8aff586c,event/e9414769,AFFECTED_IN,0.8
agent_cattle/fd77bd9d,event/95740eb0,AFFECTED_IN,1.0
agent_pip/245b7ad2,event/aeac5b9e,AFFECTED_IN,1.0
agent_pip/9f272981,event/31c4578d,AFFECTED_IN,1.0
agent_pip/c3f96fc2,event/72257c4f,AFFECTED_IN,1.0
agent_pip/664fd6c2,event/d071cc31,AFFECTED_IN,1.0
agent_pip/4b608ca5,event/7ea059e2,AFFECTED_IN,1.0
agent_pip/f59f090e,event/fe76c525,AFFECTED_IN,0.7
agent_pip/b1bed0bb,event/0386c213,AFFECTED_IN,0.8
agent_pip/b705a167,event/c21e0251,AFFECTED_IN,1.0
agent_pip/f5e342f1,event/9e5533be,AFFECTED_IN,1.0
agent_pip/b529474a,event/d6346879,AFFECTED_IN,1.0
agent_pip/ef330afc,event/c32958ab,AFFECTED_IN,1.0
agent_pip/1a181ae2,event/27b5879d,AFFECTED_IN,1.0
