:ID,name
agent_philip_pirrip/e337ef77,Philip Pirrip
agent_philip_pirrip's_father/a4bab329,Philip Pirrip's father
agent_philip_pirrip/c0dbaa5a,Philip Pirrip
agent_philip_pirrip/5e6e90d5,Philip Pirrip
agent_unspecified_other_people/c2dcfb94,Unspecified other people
agent_philip_pirrip/47966bc3,Philip Pirrip
agent_philip_pirrip/3eb5f8fc,Philip Pirrip
agent_philip_pirrip/0707de0f,Philip Pirrip
agent_mrs._joe_gargery/c67dfa2d,Mrs. Joe Gargery
agent_joe_gargery/b47f9394,Joe Gargery
agent_philip_pirrip/0e52611f,Philip Pirrip
agent_philip_pirrip/561433a5,Philip Pirrip
agent_philip_pirrip/f4fa4ae6,Philip Pirrip
agent_philip_pirrip/ea7dcedd,Philip Pirrip
agent_philip_pirrip/61c2a377,Philip Pirrip
agent_philip_pirrip/a5294f29,Philip Pirrip
agent_philip_pirrip/88453ae2,Philip Pirrip
agent_philip_pirrip/bbe9b666,Philip Pirrip
agent_philip_pirrip/9e26be40,Philip Pirrip
agent_philip_pirrip/2f87acb4,Philip Pirrip
agent_pip/b2675f32,Pip
agent_pip/c146e2f4,Pip
agent_narrator/88175d1c,Narrator
agent_five_little_brothers_of_narrator/310ad0e4,Five little brothers of Narrator
agent_narrator/0fbce4d7,Narrator
agent_narrator/982ad51d,Narrator
agent_narrator/3739873e,Narrator
agent_narrator/657a4754,Narrator
agent_philip_pirrip/6303d704,Philip Pirrip
agent_pip/02c73896,Pip
agent_pip/be7ef743,Pip
agent_pip/2446a4ba,Pip
agent_pip/19e0c261,Pip
agent_pip/0d9de694,Pip
agent_pip/6d63314a,Pip
agent_pip/61ff5d27,Pip
agent_pip/1c922c71,Pip
agent_pip/88c250fc,Pip
agent_pip/bc9000f5,Pip
agent_pip/94c68852,Pip
agent_pip/651362c5,Pip
agent_pip/77147666,Pip
agent_pip/8ed70119,Pip
agent_pip/4e34caea,Pip
agent_unnamed_man/0f2739a0,Unnamed man
agent_unnamed_man/0b45beb8,Unnamed man
agent_unnamed_man/009645fc,Unnamed man
agent_unnamed_man/8b01fd6f,Unnamed man
agent_unnamed_child/14f5dc99,Unnamed child
agent_fearful_man/e976b9f7,fearful man
agent_fearful_man/267ef553,fearful man
agent_fearful_man/afa86017,fearful man
agent_fearful_man/70e3d07d,fearful man
agent_fearful_man/0198c9d2,fearful man
agent_fearful_man/858d77d7,fearful man
agent_fearful_man/b43de194,fearful man
agent_fearful_man/dd5bda3d,fearful man
agent_fearful_man/0ec4c4c2,fearful man
agent_fearful_man/03818d67,fearful man
agent_fearful_man/5b7fd665,fearful man
agent_fearful_man/4c24ca9c,fearful man
agent_fearful_man/8b810a2b,fearful man
agent_fearful_man/f490ef49,fearful man
agent_narrator/21382247,Narrator
agent_narrator/f5fe2af8,Narrator
agent_narrator/5c9d78b0,Narrator
agent_unnamed_man/660fc39d,Unnamed man
agent_unnamed_man/719d381d,Unnamed man
agent_unnamed_man/c1c8ff16,Unnamed man
agent_man/2aeb125f,Man
agent_man/bcb17843,Man
agent_narrator/8dd1d64f,Narrator
agent_narrator/202511f3,Narrator
agent_the_man/be96e0e6,the man
agent_pip/e3ddf85d,Pip
agent_the_man/c99374c9,the man
agent_pip/90ccb3f7,Pip
agent_the_man/f5769d19,the man
agent_pip/1bb9cbf0,Pip
agent_pip/b29af490,Pip
agent_pip/dd7b3bea,Pip
agent_pip/bccd8ed7,Pip
agent_pip/bc825a8f,Pip
agent_the_man/f40dee54,the man
agent_pip/e3f9d65f,Pip
agent_the_man/3f7f5e6e,the man
agent_the_man/b76d368c,the man
agent_the_man/250cb606,the man
agent_the_man/05dd57d2,the man
agent_narrator/599da714,Narrator
agent_narrator/0388976a,Narrator
agent_narrator/2daac945,Narrator
agent_the_man/a76ef560,the man
agent_the_man/4bc4d3bb,the man
agent_the_man/f0d6d46d,the man
agent_narrator/e68232d7,Narrator
agent_narrator/3cee7d9d,Narrator
agent_narrator/9e5152ca,Narrator
agent_unnamed_man/db8d5dbe,Unnamed man
agent_the_man/d95e5410,the man
agent_the_man/8e11819c,the man
agent_he/5ef9457e,He
agent_he/6cdcb0c2,He
agent_he/e980a9ea,He
agent_he/619e6a3b,He
agent_narrator/92304c61,Narrator
agent_sir/002a98dc,Sir
agent_narrator/76063adf,Narrator
agent_georgiana/2af82310,Georgiana
agent_sir/65872f24,Sir
agent_narrator/22d62920,Narrator
agent_he/a17ef80a,he
agent_he/53174ae0,he
agent_he/79d8d7d5,he
agent_unnamed_narrator/060e0c46,Unnamed narrator
agent_unnamed_narrator/96421bce,Unnamed narrator
agent_unknown_man/7d9a41dc,Unknown man
agent_unknown_man/912c015a,Unknown man
agent_unknown_man/d8be7b03,Unknown man
