:START_ID,:END_ID,:TYPE
event/c4093f0a,event/d984080f,FOLLOWS
event/d984080f,event/541a51a7,FOLLOWS
event/541a51a7,event/094c30c6,FOLLOWS
event/094c30c6,event/c97ef20e,FOLLOWS
event/c97ef20e,event/b24a09c1,FOLLOWS
event/b24a09c1,event/bb547652,FOLLOWS
event/bb547652,event/f413eb65,FOLLOWS
event/f413eb65,event/08332ce3,FOLLOWS
event/08332ce3,event/345bdf2e,FOLLOWS
event/345bdf2e,event/40cda722,FOLLOWS
event/40cda722,event/b71dd584,FOLLOWS
event/b71dd584,event/bfaec07a,FOLLOWS
event/bfaec07a,event/7a44b907,FOLLOWS
event/7a44b907,event/4cb5d815,FOLLOWS
event/4cb5d815,event/e8f8e11e,FOLLOWS
event/e8f8e11e,event/05582d53,FOLLOWS
event/05582d53,event/a2b326ef,FOLLOWS
event/a2b326ef,event/fd7aeadd,FOLLOWS
event/fd7aeadd,event/3765cbcb,FOLLOWS
event/3765cbcb,event/88ec664a,FOLLOWS
event/88ec664a,event/3d9919e8,FOLLOWS
event/3d9919e8,event/b0f85149,FOLLOWS
event/b0f85149,event/872625a5,FOLLOWS
event/872625a5,event/a86dc7cf,FOLLOWS
event/a86dc7cf,event/31a9531e,FOLLOWS
event/31a9531e,event/0934407b,FOLLOWS
event/0934407b,event/ab8d697d,FOLLOWS
event/ab8d697d,event/57846c89,FOLLOWS
event/57846c89,event/b7b7b58d,FOLLOWS
event/b7b7b58d,event/1f12e3f7,FOLLOWS
event/1f12e3f7,event/fe5b1b36,FOLLOWS
event/fe5b1b36,event/3e0e9e40,FOLLOWS
event/3e0e9e40,event/d97b039b,FOLLOWS
event/d97b039b,event/220fc5ce,FOLLOWS
event/220fc5ce,event/1f8273aa,FOLLOWS
event/1f8273aa,event/ccf43dcb,FOLLOWS
event/ccf43dcb,event/a9fea55c,FOLLOWS
event/a9fea55c,event/7fa17e5a,FOLLOWS
event/7fa17e5a,event/1f8721a8,FOLLOWS
event/1f8721a8,event/9a60efc6,FOLLOWS
event/9a60efc6,event/e613704d,FOLLOWS
event/e613704d,event/cf6c2d53,FOLLOWS
event/cf6c2d53,event/032fd5e9,FOLLOWS
event/032fd5e9,event/b09d9373,FOLLOWS
event/b09d9373,event/7dd38f4e,FOLLOWS
event/7dd38f4e,event/5a821c7c,FOLLOWS
event/5a821c7c,event/f5faa3d3,FOLLOWS
event/f5faa3d3,event/c253bc8e,FOLLOWS
event/c253bc8e,event/4792c1d9,FOLLOWS
event/4792c1d9,event/5fe31df8,FOLLOWS
event/5fe31df8,event/a9e81f24,FOLLOWS
event/a9e81f24,event/f07fa169,FOLLOWS
event/f07fa169,event/5d4b951f,FOLLOWS
event/5d4b951f,event/c880de81,FOLLOWS
event/c880de81,event/79bf7b2d,FOLLOWS
event/79bf7b2d,event/f1a87740,FOLLOWS
event/f1a87740,event/79fe269c,FOLLOWS
event/79fe269c,event/93dddec1,FOLLOWS
event/93dddec1,event/a1b25186,FOLLOWS
event/a1b25186,event/b4927701,FOLLOWS
event/b4927701,event/0565a6a5,FOLLOWS
event/0565a6a5,event/b7ecdd5c,FOLLOWS
event/b7ecdd5c,event/c94c2df1,FOLLOWS
event/c94c2df1,event/c6c8ceae,FOLLOWS
event/c6c8ceae,event/e772fd58,FOLLOWS
event/e772fd58,event/49cd452c,FOLLOWS
event/49cd452c,event/892c4635,FOLLOWS
event/892c4635,event/47875a24,FOLLOWS
event/47875a24,event/55845a85,FOLLOWS
event/55845a85,event/2e25ef62,FOLLOWS
event/2e25ef62,event/d5495186,FOLLOWS
event/d5495186,event/aeac5b9e,FOLLOWS
event/aeac5b9e,event/31c4578d,FOLLOWS
event/31c4578d,event/72257c4f,FOLLOWS
event/72257c4f,event/0112794e,FOLLOWS
event/0112794e,event/c2a1d549,FOLLOWS
event/c2a1d549,event/73b9674c,FOLLOWS
event/73b9674c,event/d071cc31,FOLLOWS
event/d071cc31,event/9625ea32,FOLLOWS
event/9625ea32,event/d091b6db,FOLLOWS
event/d091b6db,event/550dc32f,FOLLOWS
event/550dc32f,event/014ea30c,FOLLOWS
event/014ea30c,event/3af67ad0,FOLLOWS
event/3af67ad0,event/781fd3ce,FOLLOWS
event/781fd3ce,event/ad480de9,FOLLOWS
event/ad480de9,event/da2afb0b,FOLLOWS
event/da2afb0b,event/5cbbe848,FOLLOWS
event/5cbbe848,event/35d78366,FOLLOWS
event/35d78366,event/044a7183,FOLLOWS
event/044a7183,event/02fda07c,FOLLOWS
event/02fda07c,event/17f5593c,FOLLOWS
event/17f5593c,event/0ed59ba4,FOLLOWS
event/0ed59ba4,event/3eab0391,FOLLOWS
event/3eab0391,event/1ba644c3,FOLLOWS
event/1ba644c3,event/0323a011,FOLLOWS
event/0323a011,event/e2dcd2e5,FOLLOWS
event/e2dcd2e5,event/8f63450f,FOLLOWS
event/8f63450f,event/370a69c5,FOLLOWS
event/370a69c5,event/046e22d3,FOLLOWS
event/046e22d3,event/4811dfc9,FOLLOWS
event/4811dfc9,event/3e8c3e26,FOLLOWS
event/3e8c3e26,event/a750b912,FOLLOWS
event/a750b912,event/52cd4496,FOLLOWS
event/52cd4496,event/ea61b845,FOLLOWS
event/ea61b845,event/06889e4b,FOLLOWS
event/06889e4b,event/bfce7e4b,FOLLOWS
event/bfce7e4b,event/5986fb75,FOLLOWS
event/5986fb75,event/84b058c6,FOLLOWS
event/84b058c6,event/0ec3aab2,FOLLOWS
event/0ec3aab2,event/9f2522d5,FOLLOWS
event/9f2522d5,event/d554989c,FOLLOWS
event/d554989c,event/bd0364f5,FOLLOWS
event/bd0364f5,event/a0b42891,FOLLOWS
event/a0b42891,event/b7712f4b,FOLLOWS
event/b7712f4b,event/9ed4ce61,FOLLOWS
event/9ed4ce61,event/7ea059e2,FOLLOWS
event/7ea059e2,event/fe76c525,FOLLOWS
event/fe76c525,event/0386c213,FOLLOWS
event/0386c213,event/c21e0251,FOLLOWS
event/c21e0251,event/9e5533be,FOLLOWS
event/9e5533be,event/3968d2d0,FOLLOWS
event/3968d2d0,event/1207052e,FOLLOWS
event/1207052e,event/aace4881,FOLLOWS
event/aace4881,event/93f9b7e7,FOLLOWS
event/93f9b7e7,event/0ceaec56,FOLLOWS
event/0ceaec56,event/2d88fd16,FOLLOWS
