:START_ID,:END_ID,:TYPE,specificity
place_site_of_philip_pirrip's_father's_tombstone/0259b348,event/bb547652,HOSTS,0.8
place_site_of_philip_pirrip's_father's_tombstone/281826e1,event/f413eb65,HOSTS,0.5
place_site_of_philip_pirrip's_father's_tombstone/ef8e3bd9,event/08332ce3,HOSTS,0.5
place_site_of_philip_pirrip's_father's_tombstone/03eb8332,event/345bdf2e,HOSTS,0.5
place_site_of_philip_pirrip's_father's_tombstone/79d8a4f2,event/40cda722,HOSTS,0.5
place_site_of_philip_pirrip's_father's_tombstone/52124f74,event/b71dd584,HOSTS,0.5
place_site_of_philip_pirrip's_father's_tombstone/771c5ca2,event/bfaec07a,HOSTS,0.5
place_site_of_philip_pirrip's_father's_tombstone/84ca12a5,event/7a44b907,HOSTS,0.5
place_site_of_philip_pirrip's_father's_tombstone/f027e8ad,event/e8f8e11e,HOSTS,0.5
place_churchyard_with_father’s_tombstone/62272cf1,event/a2b326ef,HOSTS,0.8
place_by_the_inscription_on_the_tombstone_(implied)/acf5d060,event/3765cbcb,HOSTS,0.8
"place_implicit,_in_narrator’s_mind/bb823d20",event/31a9531e,HOSTS,0.8
place_churchyard/b0fd0e0f,event/b7b7b58d,HOSTS,0.8
place_churchyard/78ce4176,event/1f12e3f7,HOSTS,0.8
place_churchyard/5fd5ec44,event/fe5b1b36,HOSTS,0.8
place_churchyard/d4799523,event/3e0e9e40,HOSTS,0.8
place_churchyard/fcce4d72,event/d97b039b,HOSTS,0.8
place_churchyard/0c48f8d2,event/220fc5ce,HOSTS,0.8
place_churchyard/901e0e80,event/e613704d,HOSTS,0.8
place_churchyard/ec360ac9,event/cf6c2d53,HOSTS,0.8
place_the_marshes/bcf03ef8,event/e2a3ea0c,HOSTS,0.8
place_the_marshes/b228dd07,event/1c389ce8,HOSTS,0.8
place_among_the_graves_at_the_side_of_the_church_porch/f528b9b9,event/b09d9373,HOSTS,0.8
place_among_the_graves_at_the_side_of_the_church_porch/a2e6d4b2,event/7dd38f4e,HOSTS,0.8
place_among_the_graves_at_the_side_of_the_church_porch/5cc1e619,event/5a821c7c,HOSTS,0.8
place_by_the_graves_at_the_side_of_the_church_porch/75b3f6b9,event/c253bc8e,HOSTS,0.8
place_by_the_graves_at_the_side_of_the_church_porch/0fa6fbd6,event/4792c1d9,HOSTS,0.5
place_by_the_graves_at_the_side_of_the_church_porch/b8603e41,event/5fe31df8,HOSTS,0.5
place_by_the_graves_at_the_side_of_the_church_porch/8d2dfbfc,event/a9e81f24,HOSTS,0.5
place_by_the_graves_at_the_side_of_the_church_porch/725399d7,event/f07fa169,HOSTS,0.5
place_by_the_graves_at_the_side_of_the_church_porch/f8f74cbb,event/5d4b951f,HOSTS,0.5
place_by_the_graves_at_the_side_of_the_church_porch/ecdf9f47,event/c880de81,HOSTS,0.5
place_by_the_graves_at_the_side_of_the_church_porch/47bd5ecf,event/79bf7b2d,HOSTS,0.5
place_by_the_graves_at_the_side_of_the_church_porch/becc15ee,event/f1a87740,HOSTS,0.5
place_by_the_graves_at_the_side_of_the_church_porch/ddfbe01a,event/79fe269c,HOSTS,0.5
place_by_the_graves_at_the_side_of_the_church_porch/d3c352a4,event/93dddec1,HOSTS,0.5
place_by_the_graves_at_the_side_of_the_church_porch/76990997,event/a1b25186,HOSTS,0.5
place_by_the_graves_at_the_side_of_the_church_porch/67d9fbb0,event/b4927701,HOSTS,0.5
place_by_the_graves_at_the_side_of_the_church_porch/7b8df8a2,event/0565a6a5,HOSTS,0.5
place_unspecified_location/a4d3cb41,event/c94c2df1,HOSTS,0.8
place_unspecified_location/c608df55,event/c6c8ceae,HOSTS,0.8
place_unspecified_location/a7fad924,event/e772fd58,HOSTS,0.8
place_unspecified_location/522ea18b,event/49cd452c,HOSTS,0.8
place_unspecified_location/80fbcb24,event/892c4635,HOSTS,0.8
place_unspecified_location/53e32fd6,event/47875a24,HOSTS,0.8
place_unspecified_location/8ee605ab,event/55845a85,HOSTS,0.8
place_unspecified_location/862e9246,event/bfce7e4b,HOSTS,0.8
place_unspecified_location/b234862a,event/5986fb75,HOSTS,0.8
place_churchyard_(implied)/cf4f5d24,event/31c4578d,HOSTS,0.8
place_churchyard_(implied)/5a1ed8d4,event/72257c4f,HOSTS,0.8
place_churchyard_by_the_church/895cdaee,event/73b9674c,HOSTS,0.8
place_churchyard_near_the_tombstone/d5a40707,event/550dc32f,HOSTS,0.8
place_churchyard_near_the_tombstone/7c66d8cd,event/014ea30c,HOSTS,0.5
place_churchyard_near_the_tombstone/c84281db,event/3af67ad0,HOSTS,0.5
place_churchyard_near_the_tombstone/1d8de1e2,event/781fd3ce,HOSTS,0.5
place_churchyard_near_the_tombstone/fc26b4e1,event/ad480de9,HOSTS,0.5
place_churchyard_near_the_tombstone/d5c18859,event/da2afb0b,HOSTS,0.5
place_churchyard_near_the_tombstone/a01463e7,event/5cbbe848,HOSTS,0.5
place_churchyard_near_the_tombstone/987b8155,event/35d78366,HOSTS,0.5
place_churchyard_near_the_tombstone/201fbb8e,event/044a7183,HOSTS,0.5
place_at_the_tombstone/2978c790,event/0ed59ba4,HOSTS,0.8
place_on_the_tombstone/75b71c7e,event/3eab0391,HOSTS,0.8
place_on_the_tombstone/a6ce26e3,event/1ba644c3,HOSTS,0.8
place_on_the_tombstone/731c9655,event/0323a011,HOSTS,0.5
place_on_the_tombstone/257ff695,event/e2dcd2e5,HOSTS,0.5
place_on_the_tombstone/d3dc84a8,event/8f63450f,HOSTS,0.5
place_on_the_tombstone/4541e315,event/370a69c5,HOSTS,0.5
place_on_the_tombstone/f6af3deb,event/046e22d3,HOSTS,0.5
place_unspecified_immediate_setting/1f60eb81,event/3e8c3e26,HOSTS,0.8
place_unspecified_immediate_setting/5085c0e6,event/a750b912,HOSTS,0.8
place_(unspecified_immediate_scene)/0a3c38a7,event/ea61b845,HOSTS,0.8
place_(unspecified_immediate_scene)/0b1575f1,event/06889e4b,HOSTS,0.8
place_unspecified_outdoor_location/9c7994cb,event/0ec3aab2,HOSTS,0.8
place_unspecified_outdoor_location/20a104f7,event/9f2522d5,HOSTS,0.8
place_unspecified_outdoor_location/0e115f28,event/d554989c,HOSTS,0.8
place_unspecified_outdoor_location/7705b9a1,event/bd0364f5,HOSTS,0.8
place_unspecified_outdoor_location/82bb0c95,event/a0b42891,HOSTS,0.8
place_unspecified_outdoor_location/f826472d,event/b7712f4b,HOSTS,0.5
place_unspecified_outdoor_location/6aaeed3b,event/9ed4ce61,HOSTS,0.5
place_by_pip's_tombstone/d37e16a8,event/c21e0251,HOSTS,0.8
place_by_pip's_tombstone/14a89c00,event/9e5533be,HOSTS,0.8
place_by_pip's_tombstone/5e0eea62,event/3968d2d0,HOSTS,0.8
place_by_pip's_tombstone/5206351d,event/1207052e,HOSTS,0.8
place_by_pip's_tombstone/c6328bb7,event/aace4881,HOSTS,0.8
place_by_pip's_tombstone/b70367f8,event/93f9b7e7,HOSTS,0.5
place_by_pip's_tombstone/49283b5c,event/0ceaec56,HOSTS,0.5
place_by_pip's_tombstone/3171f571,event/2d88fd16,HOSTS,0.5
place_by_pip's_tombstone/7e583b88,event/fb7d7a29,HOSTS,0.5
place_unspecified_outdoor_location_near_the_marshes/367e284d,event/c32958ab,HOSTS,0.8
place_unspecified_outdoor_location_near_the_marshes/85fd7100,event/27b5879d,HOSTS,0.8
place_unspecified_outdoor_location_near_the_marshes/5c9124e7,event/2255dde2,HOSTS,0.8
place_unspecified_outdoor_location_near_the_marshes/e5c266ff,event/2338d454,HOSTS,0.8
place_unspecified_outdoor_location_near_the_marshes/dca2a0c2,event/c867e7a6,HOSTS,0.8
place_unspecified_outdoor_location_near_the_marshes/86a2cf22,event/9c21504f,HOSTS,0.8
place_unspecified_outdoor_location_near_the_marshes/1dbee7ce,event/5b645e81,HOSTS,0.8
place_unspecified_outdoor_location_near_the_marshes/0a59547e,event/d5e57294,HOSTS,0.8
place_unspecified_outdoor_location_near_the_marshes/bd6836ac,event/d5edad9c,HOSTS,0.8
place_unspecified_outdoor_location_near_the_marshes/eae8df51,event/81bf9506,HOSTS,0.5
place_unspecified_outdoor_location_near_the_marshes/06412f6d,event/a723aebe,HOSTS,0.5
place_unspecified_outdoor_location_near_the_marshes/08c72bb3,event/dcc2b5fc,HOSTS,0.5
place_unspecified_outdoor_location_near_the_marshes/7e76569c,event/0efdb3a7,HOSTS,0.5
place_unspecified_outdoor_location_near_the_marshes/1a085572,event/8bd5276b,HOSTS,0.5
place_on_the_top_of_the_stone/d54d5f4b,event/85b1245a,HOSTS,0.8
place_unspecified_outdoor_location_near_the_old_battery/f7262455,event/16234515,HOSTS,0.8
place_unspecified_outdoor_location_near_the_old_battery/0228c076,event/fce00bd5,HOSTS,0.8
place_unspecified_outdoor_location_near_the_old_battery/3ea61ad8,event/39cca72f,HOSTS,0.8
place_unspecified_outdoor_location_near_the_old_battery/ab12c19e,event/17ae3314,HOSTS,0.8
place_unspecified_outdoor_location_near_the_old_battery/25608f72,event/9740e994,HOSTS,0.8
place_unspecified_outdoor_location_near_the_old_battery/0675f962,event/aa32a7f6,HOSTS,0.8
place_unspecified_outdoor_location_near_the_old_battery/edb3a379,event/7eacfde9,HOSTS,0.8
place_unspecified_outdoor_location_near_the_old_battery/ec5d83fd,event/c518e17e,HOSTS,0.8
place_unspecified_outdoor_location_near_the_old_battery/4ac9716d,event/5eea2ba6,HOSTS,0.5
place_near_the_old_battery_(implied_hiding_place)/c4044352,event/9305d5f7,HOSTS,0.8
place_in_bed/271d89f7,event/3eeda89f,HOSTS,0.8
place_in_bed/a019b4e7,event/20d242ed,HOSTS,0.8
place_in_bed/573cabd6,event/a108f4e7,HOSTS,0.8
place_at_the_present_moment/c8831d95,event/42dab3ad,HOSTS,0.8
place_at_the_present_moment/ae619227,event/1109de6b,HOSTS,0.5
place_at_the_present_moment/e54ccc48,event/fc8b1651,HOSTS,0.5
place_at_the_present_moment/683feebb,event/4be12723,HOSTS,0.5
place_the_marshes_near_the_battery/f81993b8,event/bfb397f9,HOSTS,0.8
place_the_battery/3d8ac079,event/bb0e50d6,HOSTS,0.8
place_the_battery/7b96c219,event/56fda49d,HOSTS,0.5
place_the_battery/41337b0f,event/02b7e718,HOSTS,0.5
place_unspecified/2bcd7615,event/55af85d2,HOSTS,0.8
place_unspecified/dc697068,event/d282ca8d,HOSTS,0.8
place_unspecified/69b909ed,event/e611d69b,HOSTS,0.8
place_unspecified/e4b36cff,event/755b9819,HOSTS,0.8
place_the_cold_wet_flat/1453f50a,event/39ab3ee7,HOSTS,0.8
place_the_cold_wet_flat/0a374367,event/90daf047,HOSTS,0.8
place_the_cold_wet_flat/0622e7a2,event/2ce2d6b4,HOSTS,0.8
place_graveyard/158597d4,event/83bd35e3,HOSTS,0.8
place_low_church_wall/bae4143c,event/09d9faf8,HOSTS,0.8
place_marshes/929a5901,event/b5d7f108,HOSTS,0.8
place_edge_of_the_river/a5a71137,event/56ea152a,HOSTS,0.8
place_edge_of_the_river/d734765c,event/22a773ed,HOSTS,0.8
place_edge_of_the_river/d7077c0d,event/fbc4acbe,HOSTS,0.8
place_edge_of_the_river/41d5aa18,event/5b65ed8c,HOSTS,0.8
"place_edge_of_the_river,_near_the_gibbet/ba52f188",event/a5c9e3a2,HOSTS,0.8
"place_edge_of_the_river,_near_the_gibbet/cd42dd4d",event/4920b3d3,HOSTS,0.8
"place_field_(implied,_with_the_cattle)/d2ac645a",event/e0ebdedc,HOSTS,0.8
"place_field_(implied,_with_the_cattle)/7a23ff4d",event/95740eb0,HOSTS,0.8
place_all_round_(surrounding_area)/c11acbc6,event/5a0d637e,HOSTS,0.8
place_all_round_(surrounding_area)/8cabf792,event/43acacf7,HOSTS,0.8
