:START_ID,:END_ID,:TYPE,strength
event/c4093f0a,agent_philip_pirrip/e337ef77,PRODUCES_ACTOR,1.0
event/c4093f0a,agent_philip_pirrip's_father/a4bab329,PRODUCES_ACTOR,0.6
event/d984080f,agent_philip_pirrip/c0dbaa5a,PRODUCES_ACTOR,1.0
event/541a51a7,agent_philip_pirrip/5e6e90d5,PRODUCES_ACTOR,1.0
event/094c30c6,agent_unspecified_other_people/c2dcfb94,PRODUCES_ACTOR,1.0
event/c97ef20e,agent_philip_pirrip/47966bc3,PRODUCES_ACTOR,1.0
event/b24a09c1,agent_philip_pirrip/3eb5f8fc,PRODUCES_ACTOR,1.0
event/bb547652,agent_philip_pirrip/0707de0f,PRODUCES_ACTOR,1.0
event/f413eb65,agent_mrs._joe_gargery/c67dfa2d,PRODUCES_ACTOR,1.0
event/f413eb65,agent_joe_gargery/b47f9394,PRODUCES_ACTOR,1.0
event/08332ce3,agent_philip_pirrip/0e52611f,PRODUCES_ACTOR,1.0
event/345bdf2e,agent_philip_pirrip/561433a5,PRODUCES_ACTOR,1.0
event/40cda722,agent_philip_pirrip/f4fa4ae6,PRODUCES_ACTOR,1.0
event/b71dd584,agent_philip_pirrip/ea7dcedd,PRODUCES_ACTOR,1.0
event/bfaec07a,agent_philip_pirrip/61c2a377,PRODUCES_ACTOR,1.0
event/7a44b907,agent_philip_pirrip/a5294f29,PRODUCES_ACTOR,1.0
event/4cb5d815,agent_philip_pirrip/88453ae2,PRODUCES_ACTOR,1.0
event/e8f8e11e,agent_philip_pirrip/bbe9b666,PRODUCES_ACTOR,1.0
event/05582d53,agent_philip_pirrip/9e26be40,PRODUCES_ACTOR,1.0
event/a2b326ef,agent_philip_pirrip/2f87acb4,PRODUCES_ACTOR,1.0
event/fd7aeadd,agent_pip/b2675f32,PRODUCES_ACTOR,1.0
event/3765cbcb,agent_pip/c146e2f4,PRODUCES_ACTOR,1.0
event/88ec664a,agent_narrator/88175d1c,PRODUCES_ACTOR,1.0
event/3d9919e8,agent_five_little_brothers_of_narrator/310ad0e4,PRODUCES_ACTOR,1.0
event/b0f85149,agent_narrator/0fbce4d7,PRODUCES_ACTOR,1.0
event/872625a5,agent_narrator/982ad51d,PRODUCES_ACTOR,1.0
event/a86dc7cf,agent_narrator/3739873e,PRODUCES_ACTOR,1.0
event/31a9531e,agent_narrator/657a4754,PRODUCES_ACTOR,1.0
event/0934407b,agent_philip_pirrip/6303d704,PRODUCES_ACTOR,1.0
event/ab8d697d,agent_pip/02c73896,PRODUCES_ACTOR,1.0
event/57846c89,agent_pip/be7ef743,PRODUCES_ACTOR,1.0
event/b7b7b58d,agent_pip/2446a4ba,PRODUCES_ACTOR,1.0
event/1f12e3f7,agent_pip/19e0c261,PRODUCES_ACTOR,1.0
event/fe5b1b36,agent_pip/0d9de694,PRODUCES_ACTOR,1.0
event/3e0e9e40,agent_pip/6d63314a,PRODUCES_ACTOR,1.0
event/d97b039b,agent_pip/61ff5d27,PRODUCES_ACTOR,1.0
event/220fc5ce,agent_pip/1c922c71,PRODUCES_ACTOR,1.0
event/1f8273aa,agent_pip/88c250fc,PRODUCES_ACTOR,1.0
