:START_ID,:END_ID,:TYPE,strength
event/c4093f0a,agent_philip_pirrip/957f5b33,PRODUCES_PATIENT,1.0
event/d984080f,agent_philip_pirrip/0eec1d54,PRODUCES_PATIENT,0.8
event/541a51a7,agent_philip_pirrip/2569ebbd,PRODUCES_PATIENT,1.0
event/094c30c6,agent_philip_pirrip/f3fe0db9,PRODUCES_PATIENT,1.0
event/c97ef20e,agent_philip_pirrip's_father/69307f24,PRODUCES_PATIENT,0.9
event/b24a09c1,agent_philip_pirrip's_father/d637083a,PRODUCES_PATIENT,0.7
event/bb547652,agent_mrs._joe_gargery/64acc58a,PRODUCES_PATIENT,1.0
event/08332ce3,agent_philip_pirrip's_father/0fd7066c,PRODUCES_PATIENT,0.9
event/345bdf2e,agent_philip_pirrip's_mother/aeee6229,PRODUCES_PATIENT,0.9
event/40cda722,agent_philip_pirrip's_father/78f0fca5,PRODUCES_PATIENT,0.7
event/40cda722,agent_philip_pirrip's_mother/0ca4f2fc,PRODUCES_PATIENT,0.7
event/b71dd584,agent_philip_pirrip's_father/9a04ee9e,PRODUCES_PATIENT,0.7
event/b71dd584,agent_philip_pirrip's_mother/88cd8563,PRODUCES_PATIENT,0.7
event/bfaec07a,agent_philip_pirrip's_father/634fd73d,PRODUCES_PATIENT,0.7
event/bfaec07a,agent_philip_pirrip's_mother/24bd77fc,PRODUCES_PATIENT,0.7
event/7a44b907,agent_philip_pirrip/afb9147a,PRODUCES_PATIENT,0.6
event/4cb5d815,agent_philip_pirrip's_father/1efbef5d,PRODUCES_PATIENT,0.7
event/4cb5d815,agent_philip_pirrip's_mother/7da16c2a,PRODUCES_PATIENT,0.7
event/e8f8e11e,agent_philip_pirrip's_father/c29228cb,PRODUCES_PATIENT,0.6
event/05582d53,agent_philip_pirrip's_father/d0f72655,PRODUCES_PATIENT,1.0
event/a2b326ef,agent_philip_pirrip's_father/a6c69426,PRODUCES_PATIENT,0.6
event/fd7aeadd,agent_pip's_mother/2806e093,PRODUCES_PATIENT,1.0
event/3765cbcb,agent_pip's_mother/7633a811,PRODUCES_PATIENT,1.0
event/b0f85149,agent_five_little_brothers_of_narrator/7dd9eece,PRODUCES_PATIENT,0.6
event/872625a5,agent_five_little_brothers_of_narrator/38a72bea,PRODUCES_PATIENT,0.7
event/a86dc7cf,agent_five_little_brothers_of_narrator/06835a61,PRODUCES_PATIENT,0.9
event/31a9531e,agent_five_little_brothers_of_narrator/082fc301,PRODUCES_PATIENT,0.9
event/57846c89,agent_philip_pirrip/0583c24d,PRODUCES_PATIENT,1.0
event/b7b7b58d,agent_georgiana_pirrip/571ad948,PRODUCES_PATIENT,1.0
event/1f12e3f7,agent_alexander_pirrip/6803972f,PRODUCES_PATIENT,1.0
event/fe5b1b36,agent_bartholomew_pirrip/4bc6d893,PRODUCES_PATIENT,1.0
event/3e0e9e40,agent_abraham_pirrip/3a05ec49,PRODUCES_PATIENT,1.0
event/d97b039b,agent_tobias_pirrip/d3891f79,PRODUCES_PATIENT,1.0
event/220fc5ce,agent_roger_pirrip/27184748,PRODUCES_PATIENT,1.0
event/ccf43dcb,agent_cattle/8aff586c,PRODUCES_PATIENT,0.8
event/cf6c2d53,agent_pip/245b7ad2,PRODUCES_PATIENT,1.0
event/b09d9373,agent_unnamed_child/1877ded0,PRODUCES_PATIENT,1.0
event/7dd38f4e,agent_unnamed_child/78e90819,PRODUCES_PATIENT,1.0
event/5a821c7c,agent_unnamed_child/5038aa90,PRODUCES_PATIENT,1.0
event/0565a6a5,agent_narrator/dc3f60d3,PRODUCES_PATIENT,1.0
event/b7ecdd5c,agent_unidentified_man/75240cc1,PRODUCES_PATIENT,1.0
event/c94c2df1,agent_unidentified_man/d603ac59,PRODUCES_PATIENT,0.5
event/c6c8ceae,agent_unidentified_man/62649007,PRODUCES_PATIENT,1.0
event/e772fd58,agent_unnamed_narrator/2093ebc2,PRODUCES_PATIENT,1.0
event/49cd452c,agent_unnamed_narrator/4c579883,PRODUCES_PATIENT,1.0
event/892c4635,agent_unnamed_narrator/794a43a2,PRODUCES_PATIENT,1.0
event/47875a24,agent_unidentified_person/b94b9b3c,PRODUCES_PATIENT,1.0
event/55845a85,agent_unidentified_person/4bc7597c,PRODUCES_PATIENT,1.0
event/d5495186,agent_narrator/579a7456,PRODUCES_PATIENT,0.2
event/aeac5b9e,agent_pip/9f272981,PRODUCES_PATIENT,1.0
event/31c4578d,agent_pip/c3f96fc2,PRODUCES_PATIENT,1.0
event/72257c4f,agent_pip/664fd6c2,PRODUCES_PATIENT,1.0
event/d071cc31,agent_pip/4b608ca5,PRODUCES_PATIENT,1.0
event/550dc32f,agent_the_young_dog/ec1a3a04,PRODUCES_PATIENT,1.0
event/3af67ad0,agent_the_young_dog/89360467,PRODUCES_PATIENT,1.0
event/02fda07c,agent_unnamed_man/ef224aeb,PRODUCES_PATIENT,1.0
event/0ed59ba4,agent_narrator/f5508bd8,PRODUCES_PATIENT,1.0
event/3eab0391,agent_narrator/b4e05046,PRODUCES_PATIENT,1.0
event/1ba644c3,agent_the_mother’s_child/c8d940c4,PRODUCES_PATIENT,1.0
event/0323a011,agent_the_mother’s_child/0086e6f4,PRODUCES_PATIENT,1.0
event/4811dfc9,agent_sir/2a87958d,PRODUCES_PATIENT,1.0
event/3e8c3e26,agent_sir/13acb3f9,PRODUCES_PATIENT,1.0
event/06889e4b,agent_(implied_listener/child)/bbd6ee00,PRODUCES_PATIENT,1.0
event/bfce7e4b,agent_unspecified_male_person/5f2fe36a,PRODUCES_PATIENT,0.6
event/bfce7e4b,agent_unspecified_male_authority_figure/f832e838,PRODUCES_PATIENT,0.4
event/5986fb75,agent_unspecified_male_person/4beddc87,PRODUCES_PATIENT,1.0
event/9f2522d5,agent_unidentified_child/7c454985,PRODUCES_PATIENT,1.0
event/d554989c,agent_unidentified_child/9f115904,PRODUCES_PATIENT,1.0
event/bd0364f5,agent_unidentified_child/c5648d1e,PRODUCES_PATIENT,0.7
event/a0b42891,agent_mrs._joe_gargery/9c762f82,PRODUCES_PATIENT,1.0
event/a0b42891,agent_joe_gargery/8645cfa6,PRODUCES_PATIENT,0.4
event/9ed4ce61,agent_unnamed_man/3a9b046f,PRODUCES_PATIENT,0.4
event/7ea059e2,agent_pip/f59f090e,PRODUCES_PATIENT,0.7
event/7ea059e2,agent_unidentified_man/303f1b96,PRODUCES_PATIENT,0.3
event/fe76c525,agent_pip/b1bed0bb,PRODUCES_PATIENT,0.8
event/0386c213,agent_pip/b705a167,PRODUCES_PATIENT,1.0
event/c21e0251,agent_pip/f5e342f1,PRODUCES_PATIENT,1.0
event/9e5533be,agent_pip/b529474a,PRODUCES_PATIENT,1.0
event/3968d2d0,agent_unidentified_man/b21d8aac,PRODUCES_PATIENT,1.0
event/aace4881,agent_unidentified_interlocutor/97cc5991,PRODUCES_PATIENT,1.0
event/93f9b7e7,agent_unidentified_interlocutor/4c7e3d1c,PRODUCES_PATIENT,1.0
event/0ceaec56,agent_unidentified_interlocutor/dcd3882b,PRODUCES_PATIENT,1.0
event/2d88fd16,agent_narrator/ae0c1b4c,PRODUCES_PATIENT,1.0
event/d6346879,agent_pip/ef330afc,PRODUCES_PATIENT,1.0
event/c32958ab,agent_pip/1a181ae2,PRODUCES_PATIENT,1.0
event/27b5879d,agent_pip/c1c75752,PRODUCES_PATIENT,1.0
event/2255dde2,agent_pip/4a65de97,PRODUCES_PATIENT,1.0
event/2338d454,agent_pip/cedfec7f,PRODUCES_PATIENT,1.0
event/c867e7a6,agent_pip/8499248a,PRODUCES_PATIENT,1.0
event/9c21504f,agent_pip/fbebe3f7,PRODUCES_PATIENT,1.0
event/5b645e81,agent_pip/cb7b7fb6,PRODUCES_PATIENT,1.0
event/d5e57294,agent_pip/e68903ba,PRODUCES_PATIENT,1.0
event/a723aebe,agent_unnamed_man_addressed_as_sir/5ade4aa4,PRODUCES_PATIENT,1.0
event/dcc2b5fc,agent_unnamed_man_addressed_as_sir/702b5129,PRODUCES_PATIENT,1.0
event/a52da486,agent_pip/67c8fd55,PRODUCES_PATIENT,1.0
event/c60ae58c,agent_pip/4b72155d,PRODUCES_PATIENT,1.0
event/85b1245a,agent_pip/6a1bba38,PRODUCES_PATIENT,1.0
event/afa510f7,agent_pip/05586f88,PRODUCES_PATIENT,1.0
event/98ba2da3,agent_pip/d8cfc280,PRODUCES_PATIENT,1.0
event/16234515,agent_pip/119d6fa4,PRODUCES_PATIENT,1.0
event/fce00bd5,agent_pip/5360b8f7,PRODUCES_PATIENT,1.0
event/39cca72f,agent_pip/3631f0a2,PRODUCES_PATIENT,1.0
