:START_ID,:END_ID,:TYPE,strength
agent_pip/f32f5d38,event/3ffe7c37,ACTS_IN,1.0
agent_pip/453ff1a6,event/02e0e791,ACTS_IN,1.0
agent_pip/519fcb1f,event/0b2db358,ACTS_IN,1.0
agent_pip/2978649d,event/63369023,ACTS_IN,1.0
agent_pip/7feae5bf,event/6fa5d9b9,ACTS_IN,1.0
agent_pip/cdd6e81b,event/a0f0b11e,ACTS_IN,1.0
agent_pip/16290f07,event/228daf5c,ACTS_IN,1.0
agent_pip/d29afb1d,event/ee483a9b,ACTS_IN,1.0
agent_pip/b8e11a2a,event/0c47f579,ACTS_IN,1.0
agent_pip/296a91cf,event/2d8cc35a,ACTS_IN,1.0
agent_pip/1ec421a8,event/77e3718d,ACTS_IN,0.8
agent_pip/f8136651,event/d997ece5,ACTS_IN,0.8
agent_pip/8d9bd59e,event/0c2abb5d,ACTS_IN,0.8
agent_pip/fa56d310,event/44ec80e5,ACTS_IN,0.8
agent_pip/8e9b1d60,event/b70ea36d,ACTS_IN,0.8
agent_pip/d76166f3,event/fe8c61c2,ACTS_IN,0.8
agent_pip/f2ccc161,event/ce009d81,ACTS_IN,0.8
agent_pip/87b4b2a0,event/04c2d385,ACTS_IN,0.8
agent_pip/c13f936a,event/b40a199f,ACTS_IN,0.8
agent_pip/584101d7,event/e06f7606,ACTS_IN,0.8
agent_pip/3402c77a,event/afadce06,ACTS_IN,0.8
agent_pip/6203712a,event/488095ea,ACTS_IN,0.8
agent_pip/2d9673ee,event/e6fb488e,ACTS_IN,0.8
agent_pip/3a737fb0,event/95f88088,ACTS_IN,0.8
agent_pip/9738c8aa,event/40d14de1,ACTS_IN,0.8
agent_pip/888077c6,event/8056214a,ACTS_IN,0.8
agent_pip/72462796,event/2dc4eb45,ACTS_IN,0.8
agent_pip/5471050e,event/ec173271,ACTS_IN,0.5
agent_pip/d86b810b,event/5fd0449d,ACTS_IN,1.0
agent_pip/90f11657,event/e9790265,ACTS_IN,0.5
agent_pip/f23ccb0c,event/a47e19f1,ACTS_IN,0.5
agent_pip/8189760b,event/85d7855c,ACTS_IN,0.5
agent_pip/ca655228,event/1bede24a,ACTS_IN,0.5
agent_pip/4b502e71,event/88722ab4,ACTS_IN,0.5
agent_pip/c278902c,event/1e7b7fff,ACTS_IN,0.5
agent_pip/ab7698be,event/2064e970,ACTS_IN,0.5
agent_pip/5f9c036e,event/471cba0d,ACTS_IN,0.8
agent_pip/62bd9830,event/521a3221,ACTS_IN,0.8
agent_pip/ecd909d4,event/92643efb,ACTS_IN,0.8
agent_pip/758bd891,event/2dd0da0e,ACTS_IN,1.0
agent_pip/b0671798,event/0441ef01,ACTS_IN,1.0
agent_pip/8ee550bb,event/984fa51e,ACTS_IN,1.0
agent_pip/f4589662,event/33846e94,ACTS_IN,0.8
agent_pip/3437b984,event/8292701c,ACTS_IN,0.8
agent_pip/32af295d,event/6d1aa22e,ACTS_IN,0.8
agent_pip/c3f9981f,event/279cb940,ACTS_IN,0.8
agent_pip/8842efc8,event/f9ab8f58,ACTS_IN,0.8
agent_pip/8f97f853,event/9710f606,ACTS_IN,0.8
agent_pip/a940b7be,event/3f325624,ACTS_IN,0.5
agent_pip/aac4945e,event/f73bb4d4,ACTS_IN,0.8
agent_pip/7fed2c1c,event/3556b038,ACTS_IN,1.0
agent_pip/1bb5661b,event/0bcc9a50,ACTS_IN,1.0
agent_pip/9a93fe55,event/8e7ebe64,ACTS_IN,1.0
agent_pip/255628af,event/3c7bb2da,ACTS_IN,1.0
agent_pip/22f5f341,event/23ba49f2,ACTS_IN,1.0
agent_pip/9df30fc5,event/aa34e34b,ACTS_IN,1.0
