:START_ID,:END_ID,:TYPE,strength
agent_pip/c45e9e79,event/5a23c5d6,AFFECTED_IN,0.5
agent_pip/6f60a3e6,event/d0b3d0bc,AFFECTED_IN,0.5
agent_pip/6482829c,event/53c4c31e,AFFECTED_IN,0.5
agent_pip/0477c8e5,event/4d8fa7a9,AFFECTED_IN,0.5
agent_pip/ae1bf771,event/72f15bf4,AFFECTED_IN,0.5
agent_pip/7150f70c,event/4e2b0af5,AFFECTED_IN,0.5
agent_pip/7f5ada6b,event/a7220112,AFFECTED_IN,0.5
agent_pip/69fe5fbb,event/89e020d5,AFFECTED_IN,0.5
agent_pip/5f1af066,event/aa669e92,AFFECTED_IN,0.5
agent_pip/b5e0e19d,event/5d553e7d,AFFECTED_IN,0.5
agent_pip/131f7386,event/b5d2dd9f,AFFECTED_IN,0.5
agent_pip/f43e0c8c,event/bdb40db5,AFFECTED_IN,0.5
agent_pip/857b7f88,event/d9eeddd3,AFFECTED_IN,0.5
agent_pip/dad04ed8,event/3d2b15e7,AFFECTED_IN,0.5
agent_pip/e1a97830,event/ec67b979,AFFECTED_IN,0.5
agent_pip/b8b8c85c,event/acc75437,AFFECTED_IN,0.5
agent_pip/759a4a8f,event/b2a3296d,AFFECTED_IN,0.5
agent_pip/32378b80,event/00f4c64c,AFFECTED_IN,0.5
agent_pip/1e24acfe,event/92384f0e,AFFECTED_IN,0.5
agent_pip/e808ae0b,event/bdd6fd2b,AFFECTED_IN,0.5
agent_pip/b545d314,event/37977345,AFFECTED_IN,0.5
agent_pip/b649c4a2,event/90527ae7,AFFECTED_IN,0.5
agent_pip/65168db0,event/3914c057,AFFECTED_IN,0.5
agent_pip/f9277323,event/96795492,AFFECTED_IN,0.5
agent_pip/d20c919e,event/d65d3fc6,AFFECTED_IN,0.5
agent_pip/f4de7627,event/c2da4fef,AFFECTED_IN,0.5
agent_pip/794545f4,event/3a4320a4,AFFECTED_IN,0.5
agent_pip/ca0e8983,event/ec401a4d,AFFECTED_IN,0.5
agent_pip/a36afd86,event/5b5f1831,AFFECTED_IN,0.8
agent_pip/21be8024,event/2ba72db8,AFFECTED_IN,0.8
agent_pip/3b82febc,event/ffc517f8,AFFECTED_IN,0.5
agent_magwitch/52dfb2d2,event/8056214a,AFFECTED_IN,0.9
agent_magwitch/dadb91e4,event/9710f606,AFFECTED_IN,0.9
agent_magwitch/47cf83a1,event/0bcc9a50,AFFECTED_IN,0.8
agent_magwitch/7a1c97ef,event/8e7ebe64,AFFECTED_IN,0.5
agent_magwitch/240019e8,event/ae748e30,AFFECTED_IN,0.5
agent_magwitch/b5c2278e,event/7e54b79f,AFFECTED_IN,0.5
agent_tombstone/4428c934,event/521a3221,AFFECTED_IN,0.0
agent_boy/ff64a98f,event/82296117,AFFECTED_IN,0.5
agent_boy/f53376f8,event/3f28ce9f,AFFECTED_IN,0.5
agent_boy/75e3c4a5,event/4461653e,AFFECTED_IN,0.5
