:START_ID,:END_ID,:TYPE
event/98d9e352,event/3ffe7c37,FOLLOWS
event/3ffe7c37,event/02e0e791,FOLLOWS
event/02e0e791,event/0b2db358,FOLLOWS
event/0b2db358,event/63369023,FOLLOWS
event/63369023,event/6fa5d9b9,FOLLOWS
event/6fa5d9b9,event/a0f0b11e,FOLLOWS
event/a0f0b11e,event/228daf5c,FOLLOWS
event/228daf5c,event/ee483a9b,FOLLOWS
event/ee483a9b,event/0c47f579,FOLLOWS
event/0c47f579,event/2d8cc35a,FOLLOWS
event/2d8cc35a,event/77e3718d,FOLLOWS
event/77e3718d,event/d997ece5,FOLLOWS
event/d997ece5,event/0c2abb5d,FOLLOWS
event/0c2abb5d,event/44ec80e5,FOLLOWS
event/44ec80e5,event/b70ea36d,FOLLOWS
event/b70ea36d,event/fe8c61c2,FOLLOWS
event/fe8c61c2,event/ce009d81,FOLLOWS
event/ce009d81,event/04c2d385,FOLLOWS
event/04c2d385,event/b40a199f,FOLLOWS
event/b40a199f,event/e06f7606,FOLLOWS
event/e06f7606,event/afadce06,FOLLOWS
event/afadce06,event/488095ea,FOLLOWS
event/488095ea,event/e6fb488e,FOLLOWS
event/e6fb488e,event/2b7abd3e,FOLLOWS
event/2b7abd3e,event/0b6736f7,FOLLOWS
event/0b6736f7,event/0649a2c3,FOLLOWS
event/0649a2c3,event/550e0d9a,FOLLOWS
event/550e0d9a,event/5a23c5d6,FOLLOWS
event/5a23c5d6,event/d0b3d0bc,FOLLOWS
event/d0b3d0bc,event/53c4c31e,FOLLOWS
event/53c4c31e,event/4d8fa7a9,FOLLOWS
event/4d8fa7a9,event/72f15bf4,FOLLOWS
event/72f15bf4,event/95f88088,FOLLOWS
event/95f88088,event/40d14de1,FOLLOWS
event/40d14de1,event/8056214a,FOLLOWS
event/8056214a,event/2dc4eb45,FOLLOWS
event/2dc4eb45,event/4e2b0af5,FOLLOWS
event/4e2b0af5,event/a7220112,FOLLOWS
event/a7220112,event/89e020d5,FOLLOWS
event/89e020d5,event/aa669e92,FOLLOWS
event/aa669e92,event/ec173271,FOLLOWS
event/ec173271,event/5d553e7d,FOLLOWS
event/5d553e7d,event/b5d2dd9f,FOLLOWS
event/b5d2dd9f,event/bdb40db5,FOLLOWS
event/bdb40db5,event/5fd0449d,FOLLOWS
event/5fd0449d,event/e9790265,FOLLOWS
event/e9790265,event/a47e19f1,FOLLOWS
event/a47e19f1,event/85d7855c,FOLLOWS
event/85d7855c,event/1bede24a,FOLLOWS
event/1bede24a,event/2ee7f941,FOLLOWS
event/2ee7f941,event/d9eeddd3,FOLLOWS
event/d9eeddd3,event/88722ab4,FOLLOWS
event/88722ab4,event/1e7b7fff,FOLLOWS
event/1e7b7fff,event/b49ca6a3,FOLLOWS
event/b49ca6a3,event/ce9d2299,FOLLOWS
event/ce9d2299,event/2064e970,FOLLOWS
event/2064e970,event/471cba0d,FOLLOWS
event/471cba0d,event/521a3221,FOLLOWS
event/521a3221,event/3d2b15e7,FOLLOWS
event/3d2b15e7,event/92643efb,FOLLOWS
event/92643efb,event/2dd0da0e,FOLLOWS
event/2dd0da0e,event/0441ef01,FOLLOWS
event/0441ef01,event/984fa51e,FOLLOWS
event/984fa51e,event/33846e94,FOLLOWS
event/33846e94,event/8292701c,FOLLOWS
event/8292701c,event/6d1aa22e,FOLLOWS
event/6d1aa22e,event/279cb940,FOLLOWS
event/279cb940,event/ec67b979,FOLLOWS
event/ec67b979,event/7db73ef1,FOLLOWS
event/7db73ef1,event/f9ab8f58,FOLLOWS
event/f9ab8f58,event/acc75437,FOLLOWS
event/acc75437,event/f9e3d25e,FOLLOWS
event/f9e3d25e,event/b2a3296d,FOLLOWS
event/b2a3296d,event/45579680,FOLLOWS
event/45579680,event/00f4c64c,FOLLOWS
event/00f4c64c,event/92384f0e,FOLLOWS
event/92384f0e,event/bdd6fd2b,FOLLOWS
event/bdd6fd2b,event/9710f606,FOLLOWS
event/9710f606,event/37977345,FOLLOWS
event/37977345,event/3f325624,FOLLOWS
event/3f325624,event/90527ae7,FOLLOWS
event/90527ae7,event/3914c057,FOLLOWS
event/3914c057,event/96795492,FOLLOWS
event/96795492,event/d65d3fc6,FOLLOWS
event/d65d3fc6,event/c2da4fef,FOLLOWS
event/c2da4fef,event/3a4320a4,FOLLOWS
event/3a4320a4,event/f73bb4d4,FOLLOWS
event/f73bb4d4,event/3556b038,FOLLOWS
event/3556b038,event/0bcc9a50,FOLLOWS
event/0bcc9a50,event/8e7ebe64,FOLLOWS
event/8e7ebe64,event/3c7bb2da,FOLLOWS
event/3c7bb2da,event/23ba49f2,FOLLOWS
event/23ba49f2,event/aa34e34b,FOLLOWS
event/aa34e34b,event/ec401a4d,FOLLOWS
event/ec401a4d,event/5b5f1831,FOLLOWS
event/5b5f1831,event/2ba72db8,FOLLOWS
event/2ba72db8,event/ffc517f8,FOLLOWS
event/ffc517f8,event/2e0baabb,FOLLOWS
event/2e0baabb,event/21d7a7dc,FOLLOWS
event/21d7a7dc,event/37400f96,FOLLOWS
event/37400f96,event/bc22f9cb,FOLLOWS
event/bc22f9cb,event/e7cfe658,FOLLOWS
event/e7cfe658,event/5898a23e,FOLLOWS
event/5898a23e,event/5f68c3d5,FOLLOWS
event/5f68c3d5,event/a69640c8,FOLLOWS
event/a69640c8,event/fde6adc0,FOLLOWS
event/fde6adc0,event/b7cf665d,FOLLOWS
event/b7cf665d,event/233b377e,FOLLOWS
event/233b377e,event/82296117,FOLLOWS
event/82296117,event/3f28ce9f,FOLLOWS
event/3f28ce9f,event/c9a0d280,FOLLOWS
event/c9a0d280,event/4461653e,FOLLOWS
event/4461653e,event/ae748e30,FOLLOWS
event/ae748e30,event/7e54b79f,FOLLOWS
event/7e54b79f,event/5359b123,FOLLOWS
event/5359b123,event/eed4f649,FOLLOWS
event/eed4f649,event/818bac87,FOLLOWS
event/818bac87,event/594d616b,FOLLOWS
event/594d616b,event/49513e9a,FOLLOWS
event/49513e9a,event/679e0030,FOLLOWS
event/679e0030,event/6983c710,FOLLOWS
event/6983c710,event/8178920e,FOLLOWS
event/8178920e,event/91ffe84a,FOLLOWS
event/91ffe84a,event/ec0522a4,FOLLOWS
event/ec0522a4,event/c4aace7c,FOLLOWS
event/c4aace7c,event/86ee419b,FOLLOWS
event/86ee419b,event/da8cee27,FOLLOWS
event/da8cee27,event/96f9ad63,FOLLOWS
event/96f9ad63,event/775df990,FOLLOWS
event/775df990,event/ec19cd15,FOLLOWS
event/ec19cd15,event/0f12550c,FOLLOWS
event/0f12550c,event/80e4ea27,FOLLOWS
event/80e4ea27,event/92b0a3f7,FOLLOWS
event/92b0a3f7,event/f57521df,FOLLOWS
event/f57521df,event/ad8a12bd,FOLLOWS
event/ad8a12bd,event/2bf9897d,FOLLOWS
event/2bf9897d,event/e7608262,FOLLOWS
event/e7608262,event/ec654152,FOLLOWS
event/ec654152,event/68302d52,FOLLOWS
event/68302d52,event/4ce1740d,FOLLOWS
event/4ce1740d,event/34915f4a,FOLLOWS
event/34915f4a,event/cef8c78e,FOLLOWS
event/cef8c78e,event/10b79d45,FOLLOWS
event/10b79d45,event/2892e65e,FOLLOWS
event/2892e65e,event/2675fffa,FOLLOWS
event/2675fffa,event/9a4c4202,FOLLOWS
event/9a4c4202,event/6b58ed18,FOLLOWS
event/6b58ed18,event/211c0395,FOLLOWS
event/211c0395,event/5e107500,FOLLOWS
event/5e107500,event/53a47465,FOLLOWS
