:START_ID,:END_ID,:TYPE,specificity
place_marsh_country/9b92b1f8,event/fe8c61c2,HOSTS,0.8
place_churchyard/ae49a27b,event/04c2d385,HOSTS,0.8
place_marshes/08beab39,event/e06f7606,HOSTS,0.8
place_marshes/feffd2d3,event/afadce06,HOSTS,0.5
place_marshes/af56c2c1,event/488095ea,HOSTS,0.5
place_marshes/e83fbd62,event/e6fb488e,HOSTS,0.5
place_church_porch/8b9e2a70,event/0b6736f7,HOSTS,0.8
place_church_porch/364c26e0,event/0649a2c3,HOSTS,0.8
place_church_porch/65cfa3e9,event/550e0d9a,HOSTS,0.8
place_church_porch/a51b2251,event/5a23c5d6,HOSTS,0.8
place_church_porch/900059a6,event/d0b3d0bc,HOSTS,0.5
place_church_porch/f4d461bb,event/53c4c31e,HOSTS,0.5
place_church_porch/46d52822,event/4d8fa7a9,HOSTS,0.5
place_church_porch/e2d1d080,event/72f15bf4,HOSTS,0.5
place_church_porch/08419058,event/95f88088,HOSTS,0.5
place_church_porch/c35a62fa,event/40d14de1,HOSTS,0.5
place_church_porch/798b2377,event/8056214a,HOSTS,0.5
place_church_porch/9e11486e,event/2dc4eb45,HOSTS,0.5
place_church_porch/8ad69cf2,event/4e2b0af5,HOSTS,0.5
place_church_porch/4c3d86e5,event/a7220112,HOSTS,0.5
place_church_porch/653ddf8c,event/89e020d5,HOSTS,0.5
place_church_porch/3f9764a3,event/aa669e92,HOSTS,0.5
place_in-shore_among_the_alder-trees_and_pollards/7061c686,event/5d553e7d,HOSTS,0.8
place_in-shore_among_the_alder-trees_and_pollards/e5f70f3f,event/b5d2dd9f,HOSTS,0.5
place_in-shore_among_the_alder-trees_and_pollards/a300e640,event/bdb40db5,HOSTS,0.5
place_in-shore_among_the_alder-trees_and_pollards/888f2218,event/5fd0449d,HOSTS,0.5
place_church/154f6600,event/a47e19f1,HOSTS,0.8
place_church/b046f40f,event/aa34e34b,HOSTS,0.8
place_church/4f69bbd6,event/ec401a4d,HOSTS,0.8
place_church/8f417f0a,event/5b5f1831,HOSTS,0.8
place_high_tombstone/3c7c4acb,event/1bede24a,HOSTS,0.8
place_high_tombstone/1bba6238,event/2ee7f941,HOSTS,0.5
place_high_tombstone/e7ad1094,event/d9eeddd3,HOSTS,0.5
place_high_tombstone/e851b9b2,event/88722ab4,HOSTS,0.5
place_high_tombstone/0b6dd767,event/1e7b7fff,HOSTS,0.5
place_high_tombstone/21a09c21,event/b49ca6a3,HOSTS,0.5
place_high_tombstone/b50ab06c,event/ce9d2299,HOSTS,0.5
