:START_ID,:END_ID,:TYPE,weight
why_recognition_of_landscape/e741025b,event/e06f7606,MOTIVATES,1.0
why_recognition_of_landscape/2405519c,event/afadce06,MOTIVATES,1.0
why_surprise/bb06bbb1,event/33846e94,MOTIVATES,1.0
why_intimidation/e12d36a5,event/550e0d9a,MOTIVATES,1.0
why_intimidation/dacfd6bb,event/a7220112,MOTIVATES,1.0
why_intimidation/e55ae32a,event/b5d2dd9f,MOTIVATES,1.0
why_intimidation/26c7a2fc,event/d9eeddd3,MOTIVATES,1.0
why_intimidation/5bb09b1d,event/ce9d2299,MOTIVATES,1.0
why_intimidation/7ec07ecb,event/ec67b979,MOTIVATES,1.0
why_intimidation/7ed7a559,event/45579680,MOTIVATES,1.0
why_intimidation/a64645e6,event/92384f0e,MOTIVATES,1.0
why_intimidation/efa63bd3,event/bdd6fd2b,MOTIVATES,1.0
why_intimidation/9e77e2e1,event/37977345,MOTIVATES,1.0
why_intimidation/fc1f1cfa,event/5b5f1831,MOTIVATES,1.0
why_intimidation/7294cc0f,event/2e0baabb,MOTIVATES,1.0
why_intimidation/a705ef35,event/21d7a7dc,MOTIVATES,1.0
why_intimidation/da0c73ac,event/37400f96,MOTIVATES,1.0
why_intimidation/3ca93020,event/eed4f649,MOTIVATES,1.0
why_fear/efbb0131,event/5a23c5d6,MOTIVATES,1.0
why_fear/c24a08b0,event/72f15bf4,MOTIVATES,1.0
why_fear/e18b4d0f,event/1bede24a,MOTIVATES,1.0
why_fear/dc9e5005,event/0441ef01,MOTIVATES,1.0
why_fear/bc4d9b94,event/9710f606,MOTIVATES,1.0
why_fear/76b89c53,event/f73bb4d4,MOTIVATES,1.0
why_fear/3b8d31c8,event/0bcc9a50,MOTIVATES,1.0
why_fear/275ccf27,event/ffc517f8,MOTIVATES,1.0
why_fear/82689a45,event/e7cfe658,MOTIVATES,1.0
why_fear/6d7f9699,event/5898a23e,MOTIVATES,1.0
why_fear/c7c467f3,event/fde6adc0,MOTIVATES,1.0
why_fear/7738a27b,event/6983c710,MOTIVATES,1.0
why_contextual_description/7dc14ab5,event/53c4c31e,MOTIVATES,1.0
why_contextual_description/02a267af,event/4d8fa7a9,MOTIVATES,1.0
why_coercion/469bf444,event/3914c057,MOTIVATES,1.0
why_coercion/8c8b096b,event/96795492,MOTIVATES,1.0
why_coercion/5cdde11e,event/d65d3fc6,MOTIVATES,1.0
why_coercion/687b0b4e,event/c2da4fef,MOTIVATES,1.0
why_coercion/9f820bb2,event/3a4320a4,MOTIVATES,1.0
why_narrative_progression/2db7e2c2,event/f9ab8f58,MOTIVATES,1.0
why_narrative_progression/7c651111,event/bc22f9cb,MOTIVATES,1.0
why_narrative_progression/24c5d5e2,event/e7608262,MOTIVATES,1.0
why_narrative_progression/e47147a7,event/ec654152,MOTIVATES,1.0
why_narrative_progression/2b0b3a44,event/68302d52,MOTIVATES,1.0
why_narrative_progression/e6671003,event/4ce1740d,MOTIVATES,1.0
why_narrative_progression/e2591869,event/34915f4a,MOTIVATES,1.0
why_narrative_progression/ead07aa6,event/cef8c78e,MOTIVATES,1.0
why_narrative_progression/5fa6be55,event/10b79d45,MOTIVATES,1.0
why_curiosity/ff42a13e,event/b2a3296d,MOTIVATES,1.0
why_curiosity/06d67b25,event/86ee419b,MOTIVATES,1.0
why_curiosity/e97bebd1,event/ec19cd15,MOTIVATES,1.0
why_curiosity/2895abe3,event/92b0a3f7,MOTIVATES,1.0
why_curiosity/ca0277ba,event/9a4c4202,MOTIVATES,1.0
why_disorientation/f05bb986,event/3556b038,MOTIVATES,1.0
why_survival_instinct/f824e2d1,event/2ba72db8,MOTIVATES,1.0
why_control/222e2d50,event/ec401a4d,MOTIVATES,1.0
why_comfort/da92b8b1,event/a69640c8,MOTIVATES,1.0
why_commitment_to_help/ad3a90e0,event/7e54b79f,MOTIVATES,1.0
why_commitment_to_help/6371b3fb,event/5359b123,MOTIVATES,1.0
why_observation/4155ddb5,event/ad8a12bd,MOTIVATES,1.0
why_observation/d8f1743c,event/2bf9897d,MOTIVATES,1.0
why_fear_of_the_young_man/31bc3abc,event/6b58ed18,MOTIVATES,1.0
why_fear_of_the_young_man/a694496a,event/5e107500,MOTIVATES,1.0
why_fear_of_the_young_man/92923078,event/53a47465,MOTIVATES,1.0
