:START_ID,:END_ID,:TYPE,strength
event/98d9e352,agent_pip/f32f5d38,PRODUCES_ACTOR,1.0
event/3ffe7c37,agent_pip/453ff1a6,PRODUCES_ACTOR,1.0
event/02e0e791,agent_pip/519fcb1f,PRODUCES_ACTOR,1.0
event/0b2db358,agent_pip/2978649d,PRODUCES_ACTOR,1.0
event/63369023,agent_pip/7feae5bf,PRODUCES_ACTOR,1.0
event/6fa5d9b9,agent_pip/cdd6e81b,PRODUCES_ACTOR,1.0
event/a0f0b11e,agent_pip/16290f07,PRODUCES_ACTOR,1.0
event/228daf5c,agent_pip/d29afb1d,PRODUCES_ACTOR,1.0
event/ee483a9b,agent_pip/b8e11a2a,PRODUCES_ACTOR,1.0
event/0c47f579,agent_pip/296a91cf,PRODUCES_ACTOR,1.0
event/2d8cc35a,agent_pip/1ec421a8,PRODUCES_ACTOR,0.8
event/77e3718d,agent_pip/f8136651,PRODUCES_ACTOR,0.8
event/d997ece5,agent_pip/8d9bd59e,PRODUCES_ACTOR,0.8
event/0c2abb5d,agent_pip/fa56d310,PRODUCES_ACTOR,0.8
event/44ec80e5,agent_pip/8e9b1d60,PRODUCES_ACTOR,0.8
event/b70ea36d,agent_pip/d76166f3,PRODUCES_ACTOR,0.8
event/fe8c61c2,agent_pip/f2ccc161,PRODUCES_ACTOR,0.8
event/ce009d81,agent_pip/87b4b2a0,PRODUCES_ACTOR,0.8
event/04c2d385,agent_pip/c13f936a,PRODUCES_ACTOR,0.8
event/b40a199f,agent_pip/584101d7,PRODUCES_ACTOR,0.8
event/e06f7606,agent_pip/3402c77a,PRODUCES_ACTOR,0.8
event/afadce06,agent_pip/6203712a,PRODUCES_ACTOR,0.8
event/488095ea,agent_pip/2d9673ee,PRODUCES_ACTOR,0.8
event/e6fb488e,agent_pip/3a737fb0,PRODUCES_ACTOR,0.8
event/2b7abd3e,agent_unknown_man/88e2343e,PRODUCES_ACTOR,0.5
event/0b6736f7,agent_unknown_man/c79b7435,PRODUCES_ACTOR,0.5
event/0649a2c3,agent_unknown_man/9a35cba4,PRODUCES_ACTOR,0.5
event/550e0d9a,agent_unknown_man/73d2b9b3,PRODUCES_ACTOR,0.5
event/72f15bf4,agent_magwitch/0e9b3079,PRODUCES_ACTOR,0.7
event/95f88088,agent_pip/9738c8aa,PRODUCES_ACTOR,0.8
event/40d14de1,agent_pip/888077c6,PRODUCES_ACTOR,0.8
event/8056214a,agent_pip/72462796,PRODUCES_ACTOR,0.8
event/2dc4eb45,agent_man/ccf924b4,PRODUCES_ACTOR,0.5
event/2dc4eb45,agent_pip/5471050e,PRODUCES_ACTOR,0.5
event/4e2b0af5,agent_man/9aa0fa00,PRODUCES_ACTOR,0.5
event/a7220112,agent_man/d85d5b8f,PRODUCES_ACTOR,0.5
event/89e020d5,agent_man/e24ce787,PRODUCES_ACTOR,0.8
event/aa669e92,agent_man/c2369922,PRODUCES_ACTOR,0.8
event/ec173271,agent_pip/d86b810b,PRODUCES_ACTOR,1.0
event/5d553e7d,agent_man/01f27d6e,PRODUCES_ACTOR,0.8
event/b5d2dd9f,agent_man/c441708a,PRODUCES_ACTOR,0.8
event/bdb40db5,agent_man/41d2d0ed,PRODUCES_ACTOR,0.8
event/5fd0449d,agent_pip/90f11657,PRODUCES_ACTOR,0.5
event/a47e19f1,agent_pip/8189760b,PRODUCES_ACTOR,0.5
event/85d7855c,agent_pip/ca655228,PRODUCES_ACTOR,0.5
event/1bede24a,agent_pip/4b502e71,PRODUCES_ACTOR,0.5
event/2ee7f941,agent_man/d93a32ee,PRODUCES_ACTOR,0.8
event/d9eeddd3,agent_man/8f1b5a10,PRODUCES_ACTOR,0.8
event/88722ab4,agent_pip/c278902c,PRODUCES_ACTOR,0.5
event/1e7b7fff,agent_pip/ab7698be,PRODUCES_ACTOR,0.5
event/b49ca6a3,agent_man/d715e1ce,PRODUCES_ACTOR,0.8
event/ce9d2299,agent_man/873d9797,PRODUCES_ACTOR,0.8
event/2064e970,agent_pip/5f9c036e,PRODUCES_ACTOR,0.8
event/471cba0d,agent_pip/62bd9830,PRODUCES_ACTOR,0.8
event/521a3221,agent_pip/ecd909d4,PRODUCES_ACTOR,0.8
event/3d2b15e7,agent_man/4f607228,PRODUCES_ACTOR,0.5
event/92643efb,agent_pip/758bd891,PRODUCES_ACTOR,1.0
event/2dd0da0e,agent_pip/b0671798,PRODUCES_ACTOR,1.0
event/0441ef01,agent_pip/8ee550bb,PRODUCES_ACTOR,1.0
event/984fa51e,agent_pip/f4589662,PRODUCES_ACTOR,0.8
event/33846e94,agent_pip/3437b984,PRODUCES_ACTOR,0.8
event/8292701c,agent_pip/32af295d,PRODUCES_ACTOR,0.8
event/6d1aa22e,agent_pip/c3f9981f,PRODUCES_ACTOR,0.8
event/279cb940,agent_pip/8842efc8,PRODUCES_ACTOR,0.8
event/ec67b979,agent_magwitch/480d5e00,PRODUCES_ACTOR,0.8
event/7db73ef1,agent_magwitch/7c3b73aa,PRODUCES_ACTOR,0.8
event/f9ab8f58,agent_pip/8f97f853,PRODUCES_ACTOR,0.8
event/acc75437,agent_magwitch/6b67201e,PRODUCES_ACTOR,0.8
event/f9e3d25e,agent_magwitch/0bbbca33,PRODUCES_ACTOR,0.8
event/b2a3296d,agent_magwitch/9ab4cab6,PRODUCES_ACTOR,0.8
event/45579680,agent_magwitch/46ba69b7,PRODUCES_ACTOR,0.8
event/00f4c64c,agent_magwitch/342939d7,PRODUCES_ACTOR,0.8
event/92384f0e,agent_magwitch/edf59e7a,PRODUCES_ACTOR,0.8
event/bdd6fd2b,agent_magwitch/718aa0d4,PRODUCES_ACTOR,0.8
event/9710f606,agent_pip/a940b7be,PRODUCES_ACTOR,0.5
event/37977345,agent_magwitch/452d63e4,PRODUCES_ACTOR,0.8
event/3f325624,agent_pip/aac4945e,PRODUCES_ACTOR,0.8
event/3914c057,agent_magwitch/a7abef22,PRODUCES_ACTOR,0.8
event/96795492,agent_magwitch/82402fe1,PRODUCES_ACTOR,0.8
event/d65d3fc6,agent_magwitch/1e574a63,PRODUCES_ACTOR,0.8
event/c2da4fef,agent_magwitch/a1db2a98,PRODUCES_ACTOR,0.8
event/3a4320a4,agent_magwitch/483a8345,PRODUCES_ACTOR,0.8
event/f73bb4d4,agent_pip/7fed2c1c,PRODUCES_ACTOR,1.0
event/3556b038,agent_pip/1bb5661b,PRODUCES_ACTOR,1.0
event/0bcc9a50,agent_pip/9a93fe55,PRODUCES_ACTOR,1.0
event/8e7ebe64,agent_pip/255628af,PRODUCES_ACTOR,1.0
event/3c7bb2da,agent_pip/22f5f341,PRODUCES_ACTOR,1.0
