:START_ID,:END_ID,:TYPE,specificity
event/b70ea36d,place_marsh_country/9b92b1f8,PRODUCES_LOCATION,0.8
event/ce009d81,place_churchyard/ae49a27b,PRODUCES_LOCATION,0.8
event/04c2d385,place_churchyard/db3a4c6d,PRODUCES_LOCATION,0.8
event/b40a199f,place_marshes/08beab39,PRODUCES_LOCATION,0.8
event/2b7abd3e,place_church_porch/8b9e2a70,PRODUCES_LOCATION,0.8
event/0b6736f7,place_church_porch/364c26e0,PRODUCES_LOCATION,0.8
event/0649a2c3,place_church_porch/65cfa3e9,PRODUCES_LOCATION,0.8
event/550e0d9a,place_church_porch/a51b2251,PRODUCES_LOCATION,0.8
event/ec173271,place_in-shore_among_the_alder-trees_and_pollards/7061c686,PRODUCES_LOCATION,0.8
event/e9790265,place_church/154f6600,PRODUCES_LOCATION,0.8
event/a47e19f1,place_church/b046f40f,PRODUCES_LOCATION,0.8
event/85d7855c,place_high_tombstone/3c7c4acb,PRODUCES_LOCATION,0.8
event/45579680,place_tombstone/bbdd1522,PRODUCES_LOCATION,0.8
event/aa34e34b,place_church/4f69bbd6,PRODUCES_LOCATION,0.8
event/ec401a4d,place_church/8f417f0a,PRODUCES_LOCATION,0.8
event/5b5f1831,place_church/17cf8bce,PRODUCES_LOCATION,0.8
event/2ba72db8,place_old_battery/f234c9d2,PRODUCES_LOCATION,0.8
event/ae748e30,place_the_battery/3f9f74e8,PRODUCES_LOCATION,0.8
event/7e54b79f,place_the_battery/7b96f078,PRODUCES_LOCATION,0.8
event/5359b123,place_the_battery/6f038072,PRODUCES_LOCATION,0.8
event/679e0030,place_cold_wet_flat/2c067e61,PRODUCES_LOCATION,0.8
event/6983c710,place_low_church_wall/dc7a3771,PRODUCES_LOCATION,0.8
event/ec0522a4,place_low_church_wall/519a1fb4,PRODUCES_LOCATION,0.8
event/ec19cd15,place_the_river/80cd6114,PRODUCES_LOCATION,0.8
event/80e4ea27,place_the_marshes/73028ed5,PRODUCES_LOCATION,0.8
event/f57521df,place_the_marshes/46383d50,PRODUCES_LOCATION,0.8
event/ad8a12bd,place_the_river/9457cd60,PRODUCES_LOCATION,0.8
event/2bf9897d,place_the_sky/5806aa35,PRODUCES_LOCATION,0.8
event/e7608262,place_river/367b48dc,PRODUCES_LOCATION,0.8
event/ec654152,place_river/ea62495c,PRODUCES_LOCATION,0.8
event/68302d52,place_river/b7e610ad,PRODUCES_LOCATION,0.8
event/4ce1740d,place_river/521efc6e,PRODUCES_LOCATION,0.8
event/34915f4a,place_river/b4d09f43,PRODUCES_LOCATION,0.8
