:START_ID,:END_ID,:TYPE,strength
event/550e0d9a,agent_pip/c45e9e79,PRODUCES_PATIENT,0.5
event/72f15bf4,agent_pip/7150f70c,PRODUCES_PATIENT,0.5
event/95f88088,agent_magwitch/52dfb2d2,PRODUCES_PATIENT,0.9
event/8056214a,agent_magwitch/dadb91e4,PRODUCES_PATIENT,0.9
event/4e2b0af5,agent_pip/7f5ada6b,PRODUCES_PATIENT,0.5
event/a7220112,agent_pip/69fe5fbb,PRODUCES_PATIENT,0.5
event/89e020d5,agent_pip/5f1af066,PRODUCES_PATIENT,0.5
event/aa669e92,agent_pip/b5e0e19d,PRODUCES_PATIENT,0.5
event/5d553e7d,agent_pip/131f7386,PRODUCES_PATIENT,0.5
event/b5d2dd9f,agent_pip/f43e0c8c,PRODUCES_PATIENT,0.5
event/bdb40db5,agent_pip/857b7f88,PRODUCES_PATIENT,0.5
event/d9eeddd3,agent_pip/dad04ed8,PRODUCES_PATIENT,0.5
event/471cba0d,agent_tombstone/4428c934,PRODUCES_PATIENT,0.0
event/521a3221,agent_tombstone/2666ee57,PRODUCES_PATIENT,0.0
event/3d2b15e7,agent_pip/e1a97830,PRODUCES_PATIENT,0.5
event/ec67b979,agent_pip/b8b8c85c,PRODUCES_PATIENT,0.5
event/acc75437,agent_pip/759a4a8f,PRODUCES_PATIENT,0.5
event/b2a3296d,agent_pip/32378b80,PRODUCES_PATIENT,0.5
event/00f4c64c,agent_pip/1e24acfe,PRODUCES_PATIENT,0.5
event/92384f0e,agent_pip/e808ae0b,PRODUCES_PATIENT,0.5
event/bdd6fd2b,agent_pip/b545d314,PRODUCES_PATIENT,0.5
event/9710f606,agent_magwitch/47cf83a1,PRODUCES_PATIENT,0.8
event/37977345,agent_pip/b649c4a2,PRODUCES_PATIENT,0.5
event/90527ae7,agent_pip/65168db0,PRODUCES_PATIENT,0.5
event/3914c057,agent_pip/f9277323,PRODUCES_PATIENT,0.5
event/96795492,agent_pip/d20c919e,PRODUCES_PATIENT,0.5
event/d65d3fc6,agent_pip/f4de7627,PRODUCES_PATIENT,0.5
event/c2da4fef,agent_pip/794545f4,PRODUCES_PATIENT,0.5
event/3a4320a4,agent_pip/ca0e8983,PRODUCES_PATIENT,0.5
event/0bcc9a50,agent_magwitch/7a1c97ef,PRODUCES_PATIENT,0.5
event/8e7ebe64,agent_magwitch/240019e8,PRODUCES_PATIENT,0.5
event/ec401a4d,agent_pip/a36afd86,PRODUCES_PATIENT,0.8
event/5b5f1831,agent_pip/21be8024,PRODUCES_PATIENT,0.8
event/2ba72db8,agent_pip/3b82febc,PRODUCES_PATIENT,0.5
event/ffc517f8,agent_pip/4d34a06b,PRODUCES_PATIENT,0.5
event/233b377e,agent_boy/ff64a98f,PRODUCES_PATIENT,0.5
event/82296117,agent_boy/f53376f8,PRODUCES_PATIENT,0.5
event/3f28ce9f,agent_young_man/0fb02413,PRODUCES_PATIENT,0.8
event/3f28ce9f,agent_boy/75e3c4a5,PRODUCES_PATIENT,0.5
event/4461653e,agent_boy/b5356196,PRODUCES_PATIENT,0.5
event/ae748e30,agent_magwitch/b5c2278e,PRODUCES_PATIENT,0.5
event/7e54b79f,agent_magwitch/f234c2e2,PRODUCES_PATIENT,0.5
event/6983c710,agent_the_man/b43e103e,PRODUCES_PATIENT,0.0
event/5a23c5d6,agent_pip/6f60a3e6,PRODUCES_PATIENT,0.5
event/d0b3d0bc,agent_pip/6482829c,PRODUCES_PATIENT,0.5
event/53c4c31e,agent_pip/0477c8e5,PRODUCES_PATIENT,0.5
event/4d8fa7a9,agent_pip/ae1bf771,PRODUCES_PATIENT,0.5
