:ID,name
agent_pip/db4d148c,Pip
agent_pip/6a220487,Pip
agent_mrs._joe_gargery/b063169e,Mrs. Joe Gargery
agent_pip/f5da6337,Pip
agent_pip/fc379b1b,Pip
agent_pip/658fe82b,Pip
agent_pip/f3bbc1b7,Pip
agent_convict/b006facb,Convict
agent_pip/c72bbdb8,Pip
agent_pip/7b48d103,Pip
agent_convict/f755d61b,Convict
agent_man/convict/868f0131,Man/Convict
agent_pip/a3b3953f,Pip
agent_man/convict/0a573180,Man/Convict
agent_pip/4105dcb5,Pip
agent_pip/25df732b,Pip
agent_man/convict/8688468b,Man/Convict
agent_pip/f8c424fb,Pip
agent_the_man/f4c25726,The man
agent_pip/0147a42e,Pip
agent_the_man/7a3d9eb1,The man
agent_pip/7cf178a2,Pip
agent_pip/20325709,Pip
agent_unknown_man/ba19ba99,Unknown man
agent_pip/396f652e,Pip
agent_unknown_man/19ea4789,Unknown man
agent_convict/ffab5951,Convict
agent_pip/45d31390,Pip
agent_pip/738de164,Pip
agent_convict/97356eb6,Convict
agent_convict/5c6b0ff9,Convict
agent_pip/5262372f,Pip
agent_pip/1028bbb8,Pip
agent_convict/9d055905,Convict
agent_convict/stranger/471e75a0,Convict/stranger
agent_pip/9850ead3,Pip
agent_convict/stranger/bedf21b9,Convict/stranger
agent_pip/5bad4b53,Pip
agent_pip/ebb8fba5,Pip
agent_pip/eb2a677a,Pip
agent_limping_man/a250ae9e,Limping man
agent_pip/016bb4a7,Pip
agent_pip/e613d656,Pip
agent_pip's_name/fca7784f,Pip's name
agent_pip's_parents/5877ef94,Pip's parents
agent_tombstones/b1ae181d,Tombstones
agent_pip's_father/a3906ed5,Pip's father
agent_pip's_mother/88cfaacc,Pip's mother
agent_tombstone_inscriptions_and_letter_shapes/2a264868,Tombstone inscriptions and letter shapes
agent_five_little_brothers/427e9026,Five little brothers
agent_stone_lozenges_(gravestones)/b35338cc,Stone lozenges (gravestones)
agent_marsh_country_setting/55270bfb,Marsh country setting
agent_a_memorable_raw_afternoon/cdfc9cd2,A memorable raw afternoon
agent_churchyard_and_surrounding_marsh_landscape/04d29dac,churchyard and surrounding marsh landscape
agent_pip/a9caf5d7,Pip
agent_pip's_dead_family_members/2a0aa803,Pip's dead family members
agent_pip/e38df5a0,Pip
agent_pip/814d0fb3,Pip
agent_pip's_village/home/c1b90815,Pip's village/home
agent_piece_of_bread/627f569c,Piece of bread
agent_pip/0636eef2,Pip
agent_man/convict/08c76adc,Man/Convict
agent_pip's_cheeks/physique/940d28d6,Pip's cheeks/physique
agent_pip/73873895,Pip
agent_pip/9e339420,Pip
agent_tombstone/0492f080,Tombstone
agent_pip’s_mother/3376021f,Pip’s mother
agent_pip’s_mother’s_grave/5746ca30,Pip’s mother’s grave
agent_the_man/242dad56,The man
agent_pip's_family_situation/98e640cb,Pip's family situation
agent_information_that_joe_gargery_is_a_blacksmith/a5dd0262,Information that Joe Gargery is a blacksmith
agent_man's_injured_or_shackled_leg/a1e59f98,Man's injured or shackled leg
agent_pip/3dca3c19,Pip
agent_file/e960c638,File
agent_food_(wittles)/04348c38,Food (wittles)
agent_pip/cb7fd3e1,Pip
agent_pip/679a5b70,Pip
agent_file/7c1d54e4,File
agent_food/ab2c9633,Food
agent_imagined_young_man/30e5a99e,Imagined young man
agent_file/2598072c,File
agent_food/d31c048b,Food
agent_promise/oath/717368d0,Promise/oath
agent_pip's_promised_assistance/129fac5d,Pip's promised assistance
agent_graveyard_and_marshes/10dde809,Graveyard and marshes
agent_convict/stranger/6b0b5a92,Convict/stranger
agent_graves_/_dead_people_(imagined)/5e001e4d,Graves / dead people (imagined)
agent_marshes/5d4df646,Marshes
agent_river/3bcf1c17,River
agent_sky/a28e7b87,Sky
agent_gibbet/8839b687,Gibbet
agent_beacon/ee690f4a,Beacon
agent_river_marshes/038c90d8,River marshes
agent_limping_man/a7b5158d,Limping man
agent_pirate_on_the_gibbet/2a6d24a4,Pirate on the gibbet
agent_cattle/2878406c,Cattle
agent_‘horrible_young_man’_(imagined_accomplice)/d90bcf6e,‘Horrible young man’ (imagined accomplice)
agent_home/2ee936b3,Home
