:START_ID,:END_ID,:TYPE
event/5e124441,event/c52f52a1,FOLLOWS
event/c52f52a1,event/afc7168a,FOLLOWS
event/afc7168a,event/84ac3fcf,FOLLOWS
event/84ac3fcf,event/ae92cd87,FOLLOWS
event/ae92cd87,event/5da2fdf6,FOLLOWS
event/5da2fdf6,event/02cd66d5,FOLLOWS
event/02cd66d5,event/c48b60b0,FOLLOWS
event/c48b60b0,event/ce1695be,FOLLOWS
event/ce1695be,event/9a531af4,FOLLOWS
event/9a531af4,event/51a46dd8,FOLLOWS
event/51a46dd8,event/8895c14a,FOLLOWS
event/8895c14a,event/61448973,FOLLOWS
event/61448973,event/416115f2,FOLLOWS
event/416115f2,event/9c805999,FOLLOWS
event/9c805999,event/37186823,FOLLOWS
event/37186823,event/3b209be6,FOLLOWS
event/3b209be6,event/fb71004a,FOLLOWS
event/fb71004a,event/d5bbca8e,FOLLOWS
event/d5bbca8e,event/640af074,FOLLOWS
event/640af074,event/a3e60315,FOLLOWS
event/a3e60315,event/dde423b3,FOLLOWS
event/dde423b3,event/0ad53450,FOLLOWS
event/0ad53450,event/f1027078,FOLLOWS
event/f1027078,event/1a87a5a8,FOLLOWS
event/1a87a5a8,event/d611eb16,FOLLOWS
event/d611eb16,event/1c7540b2,FOLLOWS
event/1c7540b2,event/db77d322,FOLLOWS
event/db77d322,event/6bcf2cfa,FOLLOWS
