:START_ID,:END_ID,:TYPE,specificity
event/c52f52a1,place_churchyard/fff2a162,PRODUCES_LOCATION,0.8
event/afc7168a,place_churchyard/d33d17b4,PRODUCES_LOCATION,0.8
event/84ac3fcf,place_beside_his_parents’_grave/bef9c1c7,PRODUCES_LOCATION,0.8
event/ae92cd87,"place_marsh_country_by_the_river,_near_the_sea/94769b37",PRODUCES_LOCATION,0.8
event/5da2fdf6,place_churchyard_and_adjacent_marshes_by_the_river_and_sea/8b915d92,PRODUCES_LOCATION,0.8
event/02cd66d5,place_churchyard_near_the_church_porch/fd11406f,PRODUCES_LOCATION,0.8
event/c48b60b0,place_churchyard/b93c291c,PRODUCES_LOCATION,0.8
event/ce1695be,place_graveyard_overlooking_village/48b03b34,PRODUCES_LOCATION,0.8
event/9a531af4,place_graveyard_(on_a_high_tombstone)/c1fde63b,PRODUCES_LOCATION,0.8
event/51a46dd8,place_on_a_high_tombstone_in_the_churchyard/84e3abbf,PRODUCES_LOCATION,0.8
event/8895c14a,place_graveyard/6db558cd,PRODUCES_LOCATION,0.8
event/61448973,place_churchyard_(by_the_tombstones)/18f432ff,PRODUCES_LOCATION,0.8
event/416115f2,place_churchyard_(on_a_tombstone)/c924224f,PRODUCES_LOCATION,0.8
event/9c805999,place_churchyard/aa423332,PRODUCES_LOCATION,0.8
event/37186823,place_by_his_mother’s_tombstone/51c4288c,PRODUCES_LOCATION,0.8
event/3b209be6,place_graveyard_(implicit_from_context_of_parents'_graves)/263a7224,PRODUCES_LOCATION,0.8
event/fb71004a,place_graveyard_(same_setting)/08796d94,PRODUCES_LOCATION,0.8
event/d5bbca8e,place_churchyard_by_pip's_family_tombstone/46c07f46,PRODUCES_LOCATION,0.8
event/640af074,place_churchyard_by_pip's_family_tombstone/4657c772,PRODUCES_LOCATION,0.8
event/a3e60315,place_graveyard_near_the_old_battery/e65ae8a3,PRODUCES_LOCATION,0.8
event/dde423b3,place_graveyard_near_the_old_battery/77f0a11d,PRODUCES_LOCATION,0.8
event/0ad53450,place_churchyard_on_the_marshes/030c8414,PRODUCES_LOCATION,0.8
event/f1027078,place_from_the_churchyard_towards_the_river_across_the_marshes/491df38f,PRODUCES_LOCATION,0.8
event/1a87a5a8,place_churchyard_and_view_over_the_marshes/e9d0c42c,PRODUCES_LOCATION,0.8
event/d611eb16,place_marshes_and_river_horizon/2d9d639f,PRODUCES_LOCATION,0.8
event/1c7540b2,place_edge_of_the_river_near_the_beacon_and_gibbet/bbfd1a9b,PRODUCES_LOCATION,0.8
event/db77d322,place_marshes_near_the_river/942d5ded,PRODUCES_LOCATION,0.8
event/6bcf2cfa,place_from_the_marshes_to_home/8f9681c7,PRODUCES_LOCATION,0.8
