:START_ID,:END_ID,:TYPE,strength
event/5e124441,agent_pip's_name/fca7784f,PRODUCES_PATIENT,1.0
event/c52f52a1,agent_pip's_parents/5877ef94,PRODUCES_PATIENT,1.0
event/c52f52a1,agent_tombstones/b1ae181d,PRODUCES_PATIENT,0.6
event/afc7168a,agent_pip's_father/a3906ed5,PRODUCES_PATIENT,0.8
event/afc7168a,agent_pip's_mother/88cfaacc,PRODUCES_PATIENT,0.8
event/afc7168a,agent_tombstone_inscriptions_and_letter_shapes/2a264868,PRODUCES_PATIENT,0.6
event/84ac3fcf,agent_five_little_brothers/427e9026,PRODUCES_PATIENT,1.0
event/84ac3fcf,agent_stone_lozenges_(gravestones)/b35338cc,PRODUCES_PATIENT,0.7
event/ae92cd87,agent_marsh_country_setting/55270bfb,PRODUCES_PATIENT,0.9
event/ae92cd87,agent_a_memorable_raw_afternoon/cdfc9cd2,PRODUCES_PATIENT,0.8
event/5da2fdf6,agent_churchyard_and_surrounding_marsh_landscape/04d29dac,PRODUCES_PATIENT,0.7
event/5da2fdf6,agent_pip/a9caf5d7,PRODUCES_PATIENT,0.6
event/5da2fdf6,agent_pip's_dead_family_members/2a0aa803,PRODUCES_PATIENT,0.5
event/02cd66d5,agent_pip/e38df5a0,PRODUCES_PATIENT,1.0
event/c48b60b0,agent_pip/814d0fb3,PRODUCES_PATIENT,0.9
event/ce1695be,agent_pip's_village/home/c1b90815,PRODUCES_PATIENT,0.4
event/9a531af4,agent_piece_of_bread/627f569c,PRODUCES_PATIENT,0.9
event/9a531af4,agent_pip/0636eef2,PRODUCES_PATIENT,0.7
event/51a46dd8,agent_man/convict/08c76adc,PRODUCES_PATIENT,0.6
event/8895c14a,agent_pip's_cheeks/physique/940d28d6,PRODUCES_PATIENT,0.6
event/61448973,agent_pip/73873895,PRODUCES_PATIENT,1.0
event/416115f2,agent_pip/9e339420,PRODUCES_PATIENT,1.0
event/416115f2,agent_tombstone/0492f080,PRODUCES_PATIENT,0.3
event/9c805999,agent_pip’s_mother/3376021f,PRODUCES_PATIENT,0.8
event/37186823,agent_pip’s_mother’s_grave/5746ca30,PRODUCES_PATIENT,1.0
event/37186823,agent_the_man/242dad56,PRODUCES_PATIENT,0.7
event/3b209be6,agent_pip's_family_situation/98e640cb,PRODUCES_PATIENT,1.0
event/fb71004a,agent_information_that_joe_gargery_is_a_blacksmith/a5dd0262,PRODUCES_PATIENT,0.8
event/fb71004a,agent_man's_injured_or_shackled_leg/a1e59f98,PRODUCES_PATIENT,0.7
event/d5bbca8e,agent_pip/3dca3c19,PRODUCES_PATIENT,1.0
event/d5bbca8e,agent_file/e960c638,PRODUCES_PATIENT,0.4
event/d5bbca8e,agent_food_(wittles)/04348c38,PRODUCES_PATIENT,0.4
event/640af074,agent_pip/cb7fd3e1,PRODUCES_PATIENT,0.9
event/a3e60315,agent_pip/679a5b70,PRODUCES_PATIENT,1.0
event/a3e60315,agent_file/7c1d54e4,PRODUCES_PATIENT,0.6
event/a3e60315,agent_food/ab2c9633,PRODUCES_PATIENT,0.6
event/a3e60315,agent_imagined_young_man/30e5a99e,PRODUCES_PATIENT,0.4
event/dde423b3,agent_file/2598072c,PRODUCES_PATIENT,0.6
event/dde423b3,agent_food/d31c048b,PRODUCES_PATIENT,0.6
event/dde423b3,agent_promise/oath/717368d0,PRODUCES_PATIENT,0.7
event/0ad53450,agent_pip's_promised_assistance/129fac5d,PRODUCES_PATIENT,0.7
event/f1027078,agent_graveyard_and_marshes/10dde809,PRODUCES_PATIENT,0.3
event/1a87a5a8,agent_convict/stranger/6b0b5a92,PRODUCES_PATIENT,0.6
event/1a87a5a8,agent_graves_/_dead_people_(imagined)/5e001e4d,PRODUCES_PATIENT,0.5
event/d611eb16,agent_marshes/5d4df646,PRODUCES_PATIENT,0.9
event/d611eb16,agent_river/3bcf1c17,PRODUCES_PATIENT,0.7
event/d611eb16,agent_sky/a28e7b87,PRODUCES_PATIENT,0.7
event/1c7540b2,agent_gibbet/8839b687,PRODUCES_PATIENT,0.6
event/1c7540b2,agent_beacon/ee690f4a,PRODUCES_PATIENT,0.4
event/1c7540b2,agent_river_marshes/038c90d8,PRODUCES_PATIENT,0.3
event/db77d322,agent_limping_man/a7b5158d,PRODUCES_PATIENT,0.7
event/db77d322,agent_pirate_on_the_gibbet/2a6d24a4,PRODUCES_PATIENT,0.5
event/db77d322,agent_cattle/2878406c,PRODUCES_PATIENT,0.3
event/6bcf2cfa,agent_‘horrible_young_man’_(imagined_accomplice)/d90bcf6e,PRODUCES_PATIENT,0.6
event/6bcf2cfa,agent_home/2ee936b3,PRODUCES_PATIENT,0.4
