:START_ID,:END_ID,:TYPE,strength
agent_philip_pirrip/3e1d0dc5,event/9f8ddc2a,ACTS_IN,1.0
agent_philip_pirrip/6481320f,event/86c11f9a,ACTS_IN,1.0
agent_philip_pirrip/00aa4b95,event/b4b405d2,ACTS_IN,1.0
agent_philip_pirrip/23c31ccd,event/d216f955,ACTS_IN,1.0
agent_philip_pirrip/13af353e,event/46f1e07c,ACTS_IN,1.0
agent_philip_pirrip/854a4828,event/aa39b6e8,ACTS_IN,1.0
agent_philip_pirrip/95c1467d,event/1c1eb444,ACTS_IN,1.0
agent_philip_pirrip/48a6fd0a,event/3b82785c,ACTS_IN,1.0
agent_philip_pirrip/db877e6b,event/0690c0bb,ACTS_IN,1.0
agent_philip_pirrip/d6360a8a,event/e30331fb,ACTS_IN,1.0
agent_philip_pirrip/f294b2e6,event/68c1242a,ACTS_IN,1.0
agent_philip_pirrip/93471b89,event/5ee56164,ACTS_IN,1.0
agent_philip_pirrip/1d695feb,event/96b4b311,ACTS_IN,1.0
agent_philip_pirrip/f089d883,event/28f8e8b5,ACTS_IN,1.0
agent_philip_pirrip/f20275d7,event/8f56e35c,ACTS_IN,1.0
agent_philip_pirrip/d6cecbce,event/c3695a25,ACTS_IN,1.0
agent_philip_pirrip/3be599c1,event/80d9815d,ACTS_IN,1.0
agent_philip_pirrip/ec42f679,event/d22bfe36,ACTS_IN,1.0
agent_philip_pirrip/f94462fa,event/71a0e894,ACTS_IN,1.0
agent_philip_pirrip/2a037f23,event/dbb7feb8,ACTS_IN,1.0
agent_philip_pirrip/c3c3fc1a,event/95c8b023,ACTS_IN,1.0
agent_philip_pirrip/2037efe8,event/932e3405,ACTS_IN,1.0
agent_philip_pirrip/2267f72c,event/198a770a,ACTS_IN,1.0
agent_philip_pirrip/a3539b42,event/dd382b9e,ACTS_IN,1.0
agent_philip_pirrip/1fc8d642,event/06fd1a82,ACTS_IN,1.0
agent_philip_pirrip/b5233a57,event/e6bdb737,ACTS_IN,1.0
agent_mrs._joe_gargery/f7455c41,event/2fef2e83,ACTS_IN,0.8
agent_pip/479f2c26,event/c94e9895,ACTS_IN,1.0
agent_pip/eb9f0d53,event/c5726ac2,ACTS_IN,1.0
agent_pip/b9e037d3,event/5d6c7529,ACTS_IN,1.0
agent_pip/35fcf2e2,event/4c6b4f53,ACTS_IN,1.0
agent_pip/333fa5db,event/b4b7d7bc,ACTS_IN,1.0
agent_pip/62195ab0,event/63d7d42f,ACTS_IN,1.0
agent_pip/95cbf988,event/80747884,ACTS_IN,1.0
agent_pip/58341f5e,event/35261591,ACTS_IN,1.0
agent_pip/54234f94,event/5aa2d2c2,ACTS_IN,1.0
agent_pip/47fc6989,event/444ddda0,ACTS_IN,1.0
agent_pip/6853f16f,event/c2cd321c,ACTS_IN,1.0
agent_pip/0cd47195,event/33300d9f,ACTS_IN,1.0
