:ID,name
agent_philip_pirrip/3e1d0dc5,Philip Pirrip
agent_philip_pirrip/6481320f,Philip Pirrip
agent_community_around_philip_pirrip/50eea67d,Community around Philip Pirrip
agent_philip_pirrip/00aa4b95,Philip Pirrip
agent_philip_pirrip/23c31ccd,Philip Pirrip
agent_philip_pirrip/13af353e,Philip Pirrip
agent_mrs._joe_gargery/f7455c41,Mrs. Joe Gargery
agent_mrs._joe_gargery/7ac4c2a3,Mrs. Joe Gargery
agent_joe_gargery/256dda4d,Joe Gargery
agent_philip_pirrip/854a4828,Philip Pirrip
agent_philip_pirrip/95c1467d,Philip Pirrip
agent_philip_pirrip/48a6fd0a,Philip Pirrip
agent_philip_pirrip/db877e6b,Philip Pirrip
agent_philip_pirrip/d6360a8a,Philip Pirrip
agent_philip_pirrip/f294b2e6,Philip Pirrip
agent_philip_pirrip/93471b89,Philip Pirrip
agent_philip_pirrip/1d695feb,Philip Pirrip
agent_philip_pirrip/f089d883,Philip Pirrip
agent_philip_pirrip/f20275d7,Philip Pirrip
agent_unknown_graveyard_arrangers/79a401ee,Unknown graveyard arrangers
agent_unknown_commemorators/dc585079,Unknown commemorators
agent_five_little_brothers_of_philip_pirrip/4e58f715,Five little brothers of Philip Pirrip
agent_philip_pirrip/d6cecbce,Philip Pirrip
agent_philip_pirrip/3be599c1,Philip Pirrip
agent_philip_pirrip/ec42f679,Philip Pirrip
agent_philip_pirrip/f94462fa,Philip Pirrip
agent_philip_pirrip/2a037f23,Philip Pirrip
agent_philip_pirrip/c3c3fc1a,Philip Pirrip
agent_philip_pirrip/2037efe8,Philip Pirrip
agent_pip/479f2c26,Pip
agent_pip/eb9f0d53,Pip
agent_pip/b9e037d3,Pip
agent_pip/35fcf2e2,Pip
agent_pip/333fa5db,Pip
agent_pip/62195ab0,Pip
agent_pip/95cbf988,Pip
agent_pip/58341f5e,Pip
agent_pip/54234f94,Pip
agent_pip/47fc6989,Pip
agent_convict/d31ca20a,Convict
agent_convict/0794e90d,Convict
agent_convict/9c711e72,Convict
agent_pip/6853f16f,Pip
agent_pip/0cd47195,Pip
agent_pip/ee7f6d51,Pip
agent_convict/b049d59b,Convict
agent_convict/72b8772d,Convict
agent_pip/64b79689,Pip
agent_pip/17485133,Pip
agent_convict/5e92d6be,Convict
agent_convict/fc8fb37a,Convict
agent_the_man/4d9f35bb,The man
agent_narrator/4961e174,Narrator
agent_narrator/14573a0d,Narrator
agent_the_man/723e06aa,The man
agent_the_man/48da9959,The man
agent_the_man/08ffa0b8,The man
agent_narrator/d789d4c7,Narrator
agent_narrator/3a761193,Narrator
agent_narrator/2a8d6117,Narrator
agent_narrator/b9c5c69b,Narrator
agent_the_man/6219ee16,The man
agent_the_man/4098146d,The man
agent_the_man/c555c697,The man
agent_narrator/f01d0ea3,Narrator
agent_narrator/97794ad0,Narrator
agent_narrator/56ca3dfa,Narrator
agent_unknown_man/5d852e51,Unknown man
agent_unknown_man/250e8da0,Unknown man
agent_unknown_man/f7f20d72,Unknown man
agent_first-person_narrator/e86a21cc,First-person narrator
agent_first-person_narrator/a593bbc4,First-person narrator
agent_first-person_narrator/a4862029,First-person narrator
agent_first-person_narrator/94bdc9b1,First-person narrator
agent_unknown_man/6f268055,Unknown man
agent_unknown_man/07e03149,Unknown man
agent_unknown_man/4786279e,Unknown man
agent_unknown_man/fc5f9b16,Unknown man
agent_unknown_man/b791db28,Unknown man
agent_unknown_man/2620ca51,Unknown man
agent_first-person_narrator/fd1bf13a,First-person narrator
agent_first-person_narrator/f60695ff,First-person narrator
agent_first-person_narrator/2443d47e,First-person narrator
agent_unknown_man/0eb10abb,Unknown man
agent_unknown_man/6e466b02,Unknown man
agent_unknown_man/242dbf5a,Unknown man
agent_philip_pirrip/2267f72c,Philip Pirrip
agent_philip_pirrip/a3539b42,Philip Pirrip
agent_unknown_man/13673561,Unknown man
agent_unknown_man/d4af7d02,Unknown man
agent_unknown_man/70e2e8b5,Unknown man
agent_unknown_man/48272caf,Unknown man
agent_philip_pirrip/1fc8d642,Philip Pirrip
agent_philip_pirrip/b5233a57,Philip Pirrip
agent_philip_pirrip/e31a23c7,Philip Pirrip
agent_unknown_man/70d322b4,Unknown man
agent_unknown_man/db492906,Unknown man
agent_unknown_man/f9ebde99,Unknown man
agent_unknown_man/6d694c29,Unknown man
agent_unknown_man/15925d86,Unknown man
agent_unknown_man/d7718a70,Unknown man
agent_unknown_man/99b8a4bc,Unknown man
agent_narrator/d9f89092,Narrator
agent_unknown_man/68092084,Unknown man
agent_unknown_man/87cd0ed2,Unknown man
agent_unknown_man/2ec738f3,Unknown man
agent_narrator/f2452140,Narrator
agent_unknown_man/82ca7644,Unknown man
agent_unknown_man/63a39f82,Unknown man
agent_unknown_man/2a4d52bd,Unknown man
agent_unknown_man/3b4e4011,Unknown man
agent_unknown_man/a7670408,Unknown man
agent_unknown_man/dc413b4f,Unknown man
agent_unknown_man/48f1124e,Unknown man
agent_unknown_man/ca28ea32,Unknown man
agent_narrator/74819996,Narrator
agent_narrator/e8f06b65,Narrator
agent_narrator/2d291f5a,Narrator
agent_narrator/dea837ed,Narrator
agent_narrator/a7d8d628,Narrator
agent_narrator/d264f2e7,Narrator
agent_unknown_man/d2c32772,Unknown man
agent_narrator/8ed616c9,Narrator
agent_unknown_man/5c0476d3,Unknown man
agent_unknown_man/f60ea97d,Unknown man
agent_unknown_man/4c4aa3fe,Unknown man
agent_unknown_man/88d5a693,Unknown man
agent_unknown_man/61545963,Unknown man
agent_unknown_man/19ea7e53,Unknown man
agent_unknown_man/0852e942,Unknown man
agent_unknown_man/1c3fd972,Unknown man
agent_unknown_man/35617209,Unknown man
agent_unknown_man/4990f447,Unknown man
agent_supposed_young_man_accomplice/f3c4beaa,Supposed young man accomplice
agent_unknown_man/736d97ea,Unknown man
agent_supposed_young_man_accomplice/7f444136,Supposed young man accomplice
agent_unknown_man/a73a169d,Unknown man
agent_supposed_young_man_accomplice/b415637b,Supposed young man accomplice
agent_unknown_man/8cd44da6,Unknown man
agent_unknown_man/6f40fa96,Unknown man
agent_supposed_young_man_accomplice/f2c8b0c8,Supposed young man accomplice
agent_unknown_man/6cd1db50,Unknown man
agent_supposed_young_man_accomplice/20111cbc,Supposed young man accomplice
agent_unknown_man/a1a86a58,Unknown man
agent_supposed_young_man_accomplice/318d1784,Supposed young man accomplice
agent_unknown_man/9263eac3,Unknown man
agent_narrator/81f9d233,Narrator
agent_narrator/884b2829,Narrator
agent_narrator/c58ac7c8,Narrator
agent_unknown_man/b0def6c8,Unknown man
agent_unnamed_man/924a00cf,Unnamed man
agent_unnamed_man/57da3982,Unnamed man
agent_unnamed_man/877be348,Unnamed man
agent_unnamed_man/bfa074bc,Unnamed man
agent_unnamed_man/e439da02,Unnamed man
agent_unnamed_man/50cb6cbd,Unnamed man
agent_unnamed_man/188025b3,Unnamed man
agent_unnamed_man/494416de,Unnamed man
agent_narrator_(i)/a1e030d2,Narrator (I)
agent_unnamed_man/f1cc5cd8,Unnamed man
agent_unnamed_man/0bbd1981,Unnamed man
agent_unnamed_man/64e2afac,Unnamed man
agent_narrator_(i)/e7d869a7,Narrator (I)
