:START_ID,:END_ID,:TYPE
event/ff53969a,event/9f8ddc2a,FOLLOWS
event/9f8ddc2a,event/f03e3517,FOLLOWS
event/f03e3517,event/86c11f9a,FOLLOWS
event/86c11f9a,event/b4b405d2,FOLLOWS
event/b4b405d2,event/d216f955,FOLLOWS
event/d216f955,event/2fef2e83,FOLLOWS
event/2fef2e83,event/46f1e07c,FOLLOWS
event/46f1e07c,event/aa39b6e8,FOLLOWS
event/aa39b6e8,event/1c1eb444,FOLLOWS
event/1c1eb444,event/3b82785c,FOLLOWS
event/3b82785c,event/0690c0bb,FOLLOWS
event/0690c0bb,event/e30331fb,FOLLOWS
event/e30331fb,event/68c1242a,FOLLOWS
event/68c1242a,event/5ee56164,FOLLOWS
event/5ee56164,event/96b4b311,FOLLOWS
event/96b4b311,event/28f8e8b5,FOLLOWS
event/28f8e8b5,event/65951c40,FOLLOWS
event/65951c40,event/f996f4a5,FOLLOWS
event/f996f4a5,event/fd6e30e4,FOLLOWS
event/fd6e30e4,event/8f56e35c,FOLLOWS
event/8f56e35c,event/c3695a25,FOLLOWS
event/c3695a25,event/80d9815d,FOLLOWS
event/80d9815d,event/d22bfe36,FOLLOWS
event/d22bfe36,event/71a0e894,FOLLOWS
event/71a0e894,event/dbb7feb8,FOLLOWS
event/dbb7feb8,event/95c8b023,FOLLOWS
event/95c8b023,event/d9c41ae0,FOLLOWS
event/d9c41ae0,event/c94e9895,FOLLOWS
event/c94e9895,event/c5726ac2,FOLLOWS
event/c5726ac2,event/5d6c7529,FOLLOWS
event/5d6c7529,event/4c6b4f53,FOLLOWS
event/4c6b4f53,event/b4b7d7bc,FOLLOWS
event/b4b7d7bc,event/63d7d42f,FOLLOWS
event/63d7d42f,event/80747884,FOLLOWS
event/80747884,event/35261591,FOLLOWS
event/35261591,event/5aa2d2c2,FOLLOWS
event/5aa2d2c2,event/fb5d8b17,FOLLOWS
event/fb5d8b17,event/afd9ead4,FOLLOWS
event/afd9ead4,event/90f82186,FOLLOWS
event/90f82186,event/444ddda0,FOLLOWS
event/444ddda0,event/c2cd321c,FOLLOWS
event/c2cd321c,event/33300d9f,FOLLOWS
event/33300d9f,event/1fbc8df7,FOLLOWS
event/1fbc8df7,event/683d217a,FOLLOWS
event/683d217a,event/74e4ec3b,FOLLOWS
event/74e4ec3b,event/563c1f45,FOLLOWS
event/563c1f45,event/d4b3ba3d,FOLLOWS
event/d4b3ba3d,event/e795d099,FOLLOWS
event/e795d099,event/d7f09b8b,FOLLOWS
event/d7f09b8b,event/262fb8de,FOLLOWS
event/262fb8de,event/edf23f7b,FOLLOWS
event/edf23f7b,event/f41528d9,FOLLOWS
event/f41528d9,event/ddf98077,FOLLOWS
event/ddf98077,event/9102df6e,FOLLOWS
event/9102df6e,event/df5a27b6,FOLLOWS
event/df5a27b6,event/6985cfc3,FOLLOWS
event/6985cfc3,event/e9d42c78,FOLLOWS
event/e9d42c78,event/129d572c,FOLLOWS
event/129d572c,event/9e14d91a,FOLLOWS
event/9e14d91a,event/3e5b1c03,FOLLOWS
event/3e5b1c03,event/92593720,FOLLOWS
event/92593720,event/388d9c2b,FOLLOWS
event/388d9c2b,event/03a16122,FOLLOWS
event/03a16122,event/30e7b4c2,FOLLOWS
event/30e7b4c2,event/5b47294a,FOLLOWS
event/5b47294a,event/84387e42,FOLLOWS
