:START_ID,:END_ID,:TYPE,specificity
place_unspecified_early_childhood_setting/5f84282d,event/9f8ddc2a,HOSTS,0.8
place_narrative_present_(unspecified_location)/505511b2,event/3b82785c,HOSTS,0.8
place_narrative_present_(unspecified_location)/90dbec32,event/d22bfe36,HOSTS,0.8
place_graveyard/24b5ea0a,event/e30331fb,HOSTS,0.8
place_graveyard/705a8fe0,event/5ee56164,HOSTS,0.8
place_graveyard/6a1070ed,event/28f8e8b5,HOSTS,0.8
place_graveyard/60648a15,event/f996f4a5,HOSTS,0.8
place_throughout_philip’s_life_up_to_narration_point/34b12c58,event/aa39b6e8,HOSTS,0.8
place_throughout_philip’s_life_up_to_narration_point/9411044b,event/1c1eb444,HOSTS,0.8
"place_graveyard_(implied),_or_in_philip’s_imagination/c255dd18",event/80d9815d,HOSTS,0.8
place_marsh_country_down_by_the_river/9aaaf031,event/95c8b023,HOSTS,0.8
place_churchyard/a4512b97,event/c5726ac2,HOSTS,0.8
place_churchyard/62819067,event/5d6c7529,HOSTS,0.8
place_churchyard/c345789d,event/35261591,HOSTS,0.8
place_churchyard/e11b10d5,event/5aa2d2c2,HOSTS,0.8
place_churchyard/9743f555,event/444ddda0,HOSTS,0.8
place_churchyard/7c7ac2bf,event/c2cd321c,HOSTS,0.8
place_churchyard/b33ae384,event/1fbc8df7,HOSTS,0.8
place_churchyard/a46b9399,event/683d217a,HOSTS,0.8
place_churchyard/78fea1fe,event/74e4ec3b,HOSTS,0.8
place_churchyard/8fbae6b2,event/563c1f45,HOSTS,0.8
place_churchyard/53b72d0d,event/d4b3ba3d,HOSTS,0.8
place_churchyard/3c1cf743,event/e795d099,HOSTS,0.8
place_marshes/ad2d0f71,event/5992a9b4,HOSTS,0.8
place_marshes/7883f622,event/7457e8c0,HOSTS,0.8
place_churchyard_near_church_porch/400f23d2,event/90f82186,HOSTS,0.8
place_near_the_churchyard_and_tombstones/fe942bae,event/ddf98077,HOSTS,0.8
place_near_the_churchyard_and_tombstones/d31524ad,event/9102df6e,HOSTS,0.8
place_near_the_churchyard_and_tombstones/336778b3,event/df5a27b6,HOSTS,0.8
place_on_a_high_tombstone_in_the_churchyard/2e2abd38,event/129d572c,HOSTS,0.8
place_near_the_high_tombstone_in_the_churchyard/fd168fd0,event/3e5b1c03,HOSTS,0.8
place_near_the_high_tombstone_in_the_churchyard/62f6ee04,event/92593720,HOSTS,0.8
place_narrative_reflection/9f1633f9,event/30e7b4c2,HOSTS,0.8
place_near_the_tombstone/51764216,event/84387e42,HOSTS,0.8
place_near_the_tombstone/730f1421,event/82bd848c,HOSTS,0.8
place_near_the_tombstone/f54fc753,event/914df750,HOSTS,0.8
place_near_the_tombstone/86dbf4f8,event/ee808686,HOSTS,0.8
place_near_the_tombstone/a4c4c06e,event/302d0834,HOSTS,0.8
place_near_the_tombstone/17fb85ef,event/279aad17,HOSTS,0.8
place_near_the_tombstone/04ce09b0,event/cdd12b92,HOSTS,0.8
place_near_the_tombstone/c697ff53,event/35a54733,HOSTS,0.8
place_on_the_tombstone/6ba24413,event/13c084be,HOSTS,0.8
place_on_the_tombstone/0fcb372f,event/ab66d876,HOSTS,0.8
place_on_the_tombstone/1a495061,event/d02011f6,HOSTS,0.8
place_beside_the_tombstone/4a71e0ef,event/4d859591,HOSTS,0.8
place_near_the_churchyard_(unspecified_immediate_area)/1641b09b,event/21fd5641,HOSTS,0.8
place_near_the_churchyard_(unspecified_immediate_area)/6cbc59ec,event/cb11de79,HOSTS,0.8
place_near_the_churchyard_(unspecified_immediate_area)/e7588e4e,event/932e3405,HOSTS,0.8
place_near_the_churchyard_(unspecified_immediate_area)/f49d4e23,event/198a770a,HOSTS,0.8
place_near_the_churchyard_(unspecified_immediate_area)/63b1a40f,event/bf49e657,HOSTS,0.8
place_near_the_churchyard_(unspecified_immediate_area)/4e7824d6,event/eb8e1bf4,HOSTS,0.8
place_near_the_churchyard_(unspecified_immediate_area)/89d70da3,event/943d6f9d,HOSTS,0.8
place_near_the_churchyard_(unspecified_immediate_area)/ddd47863,event/b77dbe50,HOSTS,0.8
place_near_the_churchyard_(unspecified_immediate_area)/3039b76c,event/dd382b9e,HOSTS,0.8
place_near_the_churchyard_(unspecified_immediate_area)/0f0ad417,event/06fd1a82,HOSTS,0.8
place_near_the_churchyard_(unspecified_immediate_area)/b3f9fb1a,event/e6bdb737,HOSTS,0.8
