:START_ID,:END_ID,:TYPE,strength
event/ff53969a,agent_philip_pirrip/3e1d0dc5,PRODUCES_ACTOR,1.0
event/9f8ddc2a,agent_philip_pirrip/6481320f,PRODUCES_ACTOR,1.0
event/f03e3517,agent_community_around_philip_pirrip/50eea67d,PRODUCES_ACTOR,0.8
event/86c11f9a,agent_philip_pirrip/00aa4b95,PRODUCES_ACTOR,1.0
event/b4b405d2,agent_philip_pirrip/23c31ccd,PRODUCES_ACTOR,1.0
event/d216f955,agent_philip_pirrip/13af353e,PRODUCES_ACTOR,1.0
event/d216f955,agent_mrs._joe_gargery/f7455c41,PRODUCES_ACTOR,0.8
event/2fef2e83,agent_mrs._joe_gargery/7ac4c2a3,PRODUCES_ACTOR,1.0
event/2fef2e83,agent_joe_gargery/256dda4d,PRODUCES_ACTOR,1.0
event/46f1e07c,agent_philip_pirrip/854a4828,PRODUCES_ACTOR,1.0
event/aa39b6e8,agent_philip_pirrip/95c1467d,PRODUCES_ACTOR,1.0
event/1c1eb444,agent_philip_pirrip/48a6fd0a,PRODUCES_ACTOR,1.0
event/3b82785c,agent_philip_pirrip/db877e6b,PRODUCES_ACTOR,1.0
event/0690c0bb,agent_philip_pirrip/d6360a8a,PRODUCES_ACTOR,1.0
event/e30331fb,agent_philip_pirrip/f294b2e6,PRODUCES_ACTOR,1.0
event/68c1242a,agent_philip_pirrip/93471b89,PRODUCES_ACTOR,1.0
event/5ee56164,agent_philip_pirrip/1d695feb,PRODUCES_ACTOR,1.0
event/96b4b311,agent_philip_pirrip/f089d883,PRODUCES_ACTOR,1.0
event/28f8e8b5,agent_philip_pirrip/f20275d7,PRODUCES_ACTOR,1.0
event/65951c40,agent_unknown_graveyard_arrangers/79a401ee,PRODUCES_ACTOR,0.8
event/f996f4a5,agent_unknown_commemorators/dc585079,PRODUCES_ACTOR,0.8
event/fd6e30e4,agent_five_little_brothers_of_philip_pirrip/4e58f715,PRODUCES_ACTOR,1.0
event/8f56e35c,agent_philip_pirrip/d6cecbce,PRODUCES_ACTOR,1.0
event/c3695a25,agent_philip_pirrip/3be599c1,PRODUCES_ACTOR,1.0
event/80d9815d,agent_philip_pirrip/ec42f679,PRODUCES_ACTOR,1.0
event/d22bfe36,agent_philip_pirrip/f94462fa,PRODUCES_ACTOR,1.0
event/71a0e894,agent_philip_pirrip/2a037f23,PRODUCES_ACTOR,1.0
event/dbb7feb8,agent_philip_pirrip/c3c3fc1a,PRODUCES_ACTOR,1.0
event/95c8b023,agent_philip_pirrip/2037efe8,PRODUCES_ACTOR,1.0
event/d9c41ae0,agent_pip/479f2c26,PRODUCES_ACTOR,1.0
event/c94e9895,agent_pip/eb9f0d53,PRODUCES_ACTOR,1.0
event/c5726ac2,agent_pip/b9e037d3,PRODUCES_ACTOR,1.0
event/5d6c7529,agent_pip/35fcf2e2,PRODUCES_ACTOR,1.0
event/4c6b4f53,agent_pip/333fa5db,PRODUCES_ACTOR,1.0
event/b4b7d7bc,agent_pip/62195ab0,PRODUCES_ACTOR,1.0
event/63d7d42f,agent_pip/95cbf988,PRODUCES_ACTOR,1.0
event/80747884,agent_pip/58341f5e,PRODUCES_ACTOR,1.0
event/35261591,agent_pip/54234f94,PRODUCES_ACTOR,1.0
event/5aa2d2c2,agent_pip/47fc6989,PRODUCES_ACTOR,1.0
event/fb5d8b17,agent_convict/d31ca20a,PRODUCES_ACTOR,1.0
event/afd9ead4,agent_convict/0794e90d,PRODUCES_ACTOR,1.0
event/90f82186,agent_convict/9c711e72,PRODUCES_ACTOR,1.0
event/444ddda0,agent_pip/6853f16f,PRODUCES_ACTOR,1.0
event/c2cd321c,agent_pip/0cd47195,PRODUCES_ACTOR,1.0
event/33300d9f,agent_pip/ee7f6d51,PRODUCES_ACTOR,1.0
event/1fbc8df7,agent_convict/b049d59b,PRODUCES_ACTOR,1.0
event/683d217a,agent_convict/72b8772d,PRODUCES_ACTOR,1.0
event/74e4ec3b,agent_pip/64b79689,PRODUCES_ACTOR,1.0
event/563c1f45,agent_pip/17485133,PRODUCES_ACTOR,1.0
event/d4b3ba3d,agent_convict/5e92d6be,PRODUCES_ACTOR,1.0
event/e795d099,agent_convict/fc8fb37a,PRODUCES_ACTOR,1.0
event/d7f09b8b,agent_the_man/4d9f35bb,PRODUCES_ACTOR,1.0
event/262fb8de,agent_narrator/4961e174,PRODUCES_ACTOR,1.0
event/edf23f7b,agent_narrator/14573a0d,PRODUCES_ACTOR,1.0
event/f41528d9,agent_the_man/723e06aa,PRODUCES_ACTOR,1.0
event/ddf98077,agent_the_man/48da9959,PRODUCES_ACTOR,1.0
event/9102df6e,agent_the_man/08ffa0b8,PRODUCES_ACTOR,1.0
event/df5a27b6,agent_narrator/d789d4c7,PRODUCES_ACTOR,1.0
event/6985cfc3,agent_narrator/3a761193,PRODUCES_ACTOR,1.0
event/e9d42c78,agent_narrator/2a8d6117,PRODUCES_ACTOR,1.0
event/129d572c,agent_narrator/b9c5c69b,PRODUCES_ACTOR,1.0
event/9e14d91a,agent_the_man/6219ee16,PRODUCES_ACTOR,1.0
event/3e5b1c03,agent_the_man/4098146d,PRODUCES_ACTOR,1.0
event/92593720,agent_the_man/c555c697,PRODUCES_ACTOR,1.0
event/388d9c2b,agent_narrator/f01d0ea3,PRODUCES_ACTOR,1.0
event/03a16122,agent_narrator/97794ad0,PRODUCES_ACTOR,1.0
event/30e7b4c2,agent_narrator/56ca3dfa,PRODUCES_ACTOR,1.0
event/5b47294a,agent_unknown_man/5d852e51,PRODUCES_ACTOR,1.0
event/84387e42,agent_unknown_man/250e8da0,PRODUCES_ACTOR,1.0
event/82bd848c,agent_unknown_man/f7f20d72,PRODUCES_ACTOR,1.0
event/9795a963,agent_first-person_narrator/e86a21cc,PRODUCES_ACTOR,1.0
event/13c084be,agent_first-person_narrator/a593bbc4,PRODUCES_ACTOR,1.0
event/ab66d876,agent_first-person_narrator/a4862029,PRODUCES_ACTOR,1.0
event/d02011f6,agent_first-person_narrator/94bdc9b1,PRODUCES_ACTOR,1.0
event/914df750,agent_unknown_man/6f268055,PRODUCES_ACTOR,1.0
event/ee808686,agent_unknown_man/07e03149,PRODUCES_ACTOR,1.0
event/302d0834,agent_unknown_man/4786279e,PRODUCES_ACTOR,1.0
event/279aad17,agent_unknown_man/fc5f9b16,PRODUCES_ACTOR,1.0
event/cdd12b92,agent_unknown_man/b791db28,PRODUCES_ACTOR,1.0
event/35a54733,agent_unknown_man/2620ca51,PRODUCES_ACTOR,1.0
event/28349599,agent_first-person_narrator/fd1bf13a,PRODUCES_ACTOR,1.0
event/d64d97ac,agent_first-person_narrator/f60695ff,PRODUCES_ACTOR,1.0
event/4d859591,agent_first-person_narrator/2443d47e,PRODUCES_ACTOR,1.0
event/d08d256e,agent_unknown_man/0eb10abb,PRODUCES_ACTOR,1.0
event/21fd5641,agent_unknown_man/6e466b02,PRODUCES_ACTOR,1.0
event/cb11de79,agent_unknown_man/242dbf5a,PRODUCES_ACTOR,1.0
event/932e3405,agent_philip_pirrip/2267f72c,PRODUCES_ACTOR,1.0
event/198a770a,agent_philip_pirrip/a3539b42,PRODUCES_ACTOR,1.0
event/bf49e657,agent_unknown_man/13673561,PRODUCES_ACTOR,1.0
event/eb8e1bf4,agent_unknown_man/d4af7d02,PRODUCES_ACTOR,1.0
event/943d6f9d,agent_unknown_man/70e2e8b5,PRODUCES_ACTOR,1.0
event/b77dbe50,agent_unknown_man/48272caf,PRODUCES_ACTOR,1.0
event/dd382b9e,agent_philip_pirrip/1fc8d642,PRODUCES_ACTOR,1.0
event/06fd1a82,agent_philip_pirrip/b5233a57,PRODUCES_ACTOR,1.0
event/e6bdb737,agent_philip_pirrip/e31a23c7,PRODUCES_ACTOR,1.0
event/3d2209f9,agent_unknown_man/70d322b4,PRODUCES_ACTOR,1.0
event/61a4b34d,agent_unknown_man/db492906,PRODUCES_ACTOR,1.0
event/e250f02e,agent_unknown_man/f9ebde99,PRODUCES_ACTOR,1.0
event/2119561a,agent_unknown_man/6d694c29,PRODUCES_ACTOR,1.0
