:START_ID,:END_ID,:TYPE,specificity
event/ff53969a,place_unspecified_early_childhood_setting/5f84282d,PRODUCES_LOCATION,0.8
event/9f8ddc2a,place_unspecified_early_childhood_setting/5ae5fdfa,PRODUCES_LOCATION,0.8
event/f03e3517,place_unspecified_community_setting/c36e48b9,PRODUCES_LOCATION,0.8
event/86c11f9a,place_narrative_present_(unspecified_location)/505511b2,PRODUCES_LOCATION,0.8
event/b4b405d2,place_graveyard/24b5ea0a,PRODUCES_LOCATION,0.8
event/d216f955,place_family_home_(implied)/c2faf88b,PRODUCES_LOCATION,0.8
event/2fef2e83,place_unspecified_village_location/933a3329,PRODUCES_LOCATION,0.8
event/46f1e07c,place_throughout_philip’s_life_up_to_narration_point/34b12c58,PRODUCES_LOCATION,0.8
event/aa39b6e8,place_throughout_philip’s_life_up_to_narration_point/9411044b,PRODUCES_LOCATION,0.8
event/1c1eb444,place_throughout_philip’s_life_up_to_narration_point/70b254f4,PRODUCES_LOCATION,0.8
event/3b82785c,place_narrative_present_(unspecified_location)/90dbec32,PRODUCES_LOCATION,0.8
event/0690c0bb,"place_graveyard_(implied,_by_the_tombstones)/474d0803",PRODUCES_LOCATION,0.8
event/e30331fb,place_graveyard/705a8fe0,PRODUCES_LOCATION,0.8
event/68c1242a,"place_graveyard,_at_father’s_tombstone/9c9201d0",PRODUCES_LOCATION,0.8
event/5ee56164,place_graveyard/6a1070ed,PRODUCES_LOCATION,0.8
event/96b4b311,"place_graveyard,_at_mother’s_portion_of_the_tombstone/444b37c2",PRODUCES_LOCATION,0.8
event/28f8e8b5,place_graveyard/60648a15,PRODUCES_LOCATION,0.8
event/65951c40,"place_beside_the_grave_of_philip’s_parents,_in_the_graveyard/1f4b718d",PRODUCES_LOCATION,0.8
event/f996f4a5,place_graveyard/715b6f5a,PRODUCES_LOCATION,0.8
event/fd6e30e4,place_unspecified_locations_before_burial/51ee9008,PRODUCES_LOCATION,0.8
event/8f56e35c,"place_graveyard_(implied),_remembered_in_narrative_present/bcc81701",PRODUCES_LOCATION,0.8
event/c3695a25,"place_graveyard_(implied),_or_in_philip’s_imagination/c255dd18",PRODUCES_LOCATION,0.8
event/80d9815d,"place_graveyard_(implied),_or_in_philip’s_imagination/0e9f3025",PRODUCES_LOCATION,0.8
event/d22bfe36,place_narrative_present_(unspecified_location)/4ed321ba,PRODUCES_LOCATION,0.8
event/71a0e894,place_marsh_country_by_the_river/12d68bd6,PRODUCES_LOCATION,0.8
event/dbb7feb8,place_marsh_country_down_by_the_river/9aaaf031,PRODUCES_LOCATION,0.8
event/95c8b023,place_marsh_country_down_by_the_river/a00bf0bc,PRODUCES_LOCATION,0.8
event/d9c41ae0,place_bleak_place_overgrown_with_nettles_/_churchyard/c2f81aa4,PRODUCES_LOCATION,0.8
event/c94e9895,place_churchyard/a4512b97,PRODUCES_LOCATION,0.8
event/c5726ac2,place_churchyard/62819067,PRODUCES_LOCATION,0.8
event/5d6c7529,place_churchyard/c345789d,PRODUCES_LOCATION,0.8
event/4c6b4f53,place_dark_flat_wilderness_beyond_the_churchyard/1f69c8e6,PRODUCES_LOCATION,0.8
event/b4b7d7bc,place_marshes/ad2d0f71,PRODUCES_LOCATION,0.8
event/63d7d42f,place_low_leaden_line_beyond_the_marshes/c5e5198e,PRODUCES_LOCATION,0.8
event/80747884,place_distant_savage_lair/9ade270f,PRODUCES_LOCATION,0.8
event/35261591,place_churchyard/e11b10d5,PRODUCES_LOCATION,0.8
event/5aa2d2c2,place_churchyard/9743f555,PRODUCES_LOCATION,0.8
event/fb5d8b17,place_among_the_graves_at_the_side_of_the_church_porch/db446c1c,PRODUCES_LOCATION,0.8
event/afd9ead4,place_churchyard_near_church_porch/400f23d2,PRODUCES_LOCATION,0.8
event/90f82186,place_churchyard_near_church_porch/6266b3a6,PRODUCES_LOCATION,0.8
event/444ddda0,place_churchyard/7c7ac2bf,PRODUCES_LOCATION,0.8
event/c2cd321c,place_churchyard/b33ae384,PRODUCES_LOCATION,0.8
event/33300d9f,place_marshes_and_surrounding_countryside_(implied)/31d934cb,PRODUCES_LOCATION,0.8
event/1fbc8df7,place_churchyard/a46b9399,PRODUCES_LOCATION,0.8
event/683d217a,place_churchyard/78fea1fe,PRODUCES_LOCATION,0.8
event/74e4ec3b,place_churchyard/8fbae6b2,PRODUCES_LOCATION,0.8
event/563c1f45,place_churchyard/53b72d0d,PRODUCES_LOCATION,0.8
event/d4b3ba3d,place_churchyard/3c1cf743,PRODUCES_LOCATION,0.8
event/e795d099,place_churchyard/923ec621,PRODUCES_LOCATION,0.8
event/d7f09b8b,place_unspecified_outdoor_area_near_village_and_church/1c02da5a,PRODUCES_LOCATION,0.8
event/262fb8de,place_flat_in-shore_among_the_alder-trees_and_pollards/db56506c,PRODUCES_LOCATION,0.8
event/edf23f7b,"place_flat_in-shore_among_the_alder-trees_and_pollards,_a_mile_or_more_from_the_church/fdf46148",PRODUCES_LOCATION,0.8
event/f41528d9,place_near_the_churchyard_and_tombstones/fe942bae,PRODUCES_LOCATION,0.8
event/ddf98077,place_near_the_churchyard_and_tombstones/d31524ad,PRODUCES_LOCATION,0.8
event/9102df6e,place_near_the_churchyard_and_tombstones/336778b3,PRODUCES_LOCATION,0.8
event/df5a27b6,place_near_the_churchyard_and_tombstones/1d0520ef,PRODUCES_LOCATION,0.8
event/6985cfc3,place_visual_field_of_the_narrator_near_the_churchyard/8df6405e,PRODUCES_LOCATION,0.8
event/e9d42c78,place_on_a_high_tombstone_in_the_churchyard/2e2abd38,PRODUCES_LOCATION,0.8
event/129d572c,place_on_a_high_tombstone_in_the_churchyard/66912a19,PRODUCES_LOCATION,0.8
event/9e14d91a,place_near_the_high_tombstone_in_the_churchyard/fd168fd0,PRODUCES_LOCATION,0.8
event/3e5b1c03,place_near_the_high_tombstone_in_the_churchyard/62f6ee04,PRODUCES_LOCATION,0.8
event/92593720,place_near_the_high_tombstone_in_the_churchyard/074f8227,PRODUCES_LOCATION,0.8
event/388d9c2b,place_narrative_reflection_(no_specific_physical_location_given)/67c742c7,PRODUCES_LOCATION,0.8
event/03a16122,place_narrative_reflection/9f1633f9,PRODUCES_LOCATION,0.8
event/30e7b4c2,place_narrative_reflection/da32bccd,PRODUCES_LOCATION,0.8
event/5b47294a,place_near_the_tombstone/51764216,PRODUCES_LOCATION,0.8
event/84387e42,place_near_the_tombstone/730f1421,PRODUCES_LOCATION,0.8
event/82bd848c,place_near_the_tombstone/f54fc753,PRODUCES_LOCATION,0.8
event/9795a963,place_on_the_tombstone/6ba24413,PRODUCES_LOCATION,0.8
event/13c084be,place_on_the_tombstone/0fcb372f,PRODUCES_LOCATION,0.8
event/ab66d876,place_on_the_tombstone/1a495061,PRODUCES_LOCATION,0.8
event/d02011f6,place_on_the_tombstone/5315b29f,PRODUCES_LOCATION,0.8
event/914df750,place_near_the_tombstone/86dbf4f8,PRODUCES_LOCATION,0.8
event/ee808686,place_near_the_tombstone/a4c4c06e,PRODUCES_LOCATION,0.8
event/302d0834,place_near_the_tombstone/17fb85ef,PRODUCES_LOCATION,0.8
event/279aad17,place_near_the_tombstone/04ce09b0,PRODUCES_LOCATION,0.8
event/cdd12b92,place_near_the_tombstone/c697ff53,PRODUCES_LOCATION,0.8
event/35a54733,place_near_the_tombstone/c2d567d7,PRODUCES_LOCATION,0.8
event/28349599,place_beside_the_tombstone/4a71e0ef,PRODUCES_LOCATION,0.8
event/d64d97ac,place_beside_the_tombstone_(direction_indicated_as_'there')/e4c3a45e,PRODUCES_LOCATION,0.8
event/4d859591,place_beside_the_tombstone/536050a4,PRODUCES_LOCATION,0.8
event/d08d256e,place_near_the_churchyard_(unspecified_immediate_area)/1641b09b,PRODUCES_LOCATION,0.8
event/21fd5641,place_near_the_churchyard_(unspecified_immediate_area)/6cbc59ec,PRODUCES_LOCATION,0.8
event/cb11de79,place_near_the_churchyard_(unspecified_immediate_area)/e7588e4e,PRODUCES_LOCATION,0.8
event/932e3405,place_near_the_churchyard_(unspecified_immediate_area)/f49d4e23,PRODUCES_LOCATION,0.8
event/198a770a,place_near_the_churchyard_(unspecified_immediate_area)/63b1a40f,PRODUCES_LOCATION,0.8
event/bf49e657,place_near_the_churchyard_(unspecified_immediate_area)/4e7824d6,PRODUCES_LOCATION,0.8
event/eb8e1bf4,place_near_the_churchyard_(unspecified_immediate_area)/89d70da3,PRODUCES_LOCATION,0.8
event/943d6f9d,place_near_the_churchyard_(unspecified_immediate_area)/ddd47863,PRODUCES_LOCATION,0.8
event/b77dbe50,place_near_the_churchyard_(unspecified_immediate_area)/3039b76c,PRODUCES_LOCATION,0.8
event/dd382b9e,place_near_the_churchyard_(unspecified_immediate_area)/0f0ad417,PRODUCES_LOCATION,0.8
event/06fd1a82,place_near_the_churchyard_(unspecified_immediate_area)/b3f9fb1a,PRODUCES_LOCATION,0.8
event/e6bdb737,place_near_the_churchyard_(unspecified_immediate_area)/d082d600,PRODUCES_LOCATION,0.8
event/3d2209f9,place_near_the_churchyard_(unspecified_immediate_area)/5f1641dc,PRODUCES_LOCATION,0.8
event/61a4b34d,place_near_the_churchyard_(unspecified_immediate_area)/71e335e0,PRODUCES_LOCATION,0.8
event/e250f02e,place_near_the_narrator's_tombstone/c00d4fb7,PRODUCES_LOCATION,0.8
event/2119561a,place_at_the_narrator's_tombstone/df0904ac,PRODUCES_LOCATION,0.8
event/568f5a05,place_at_the_narrator's_tombstone/9d3eb471,PRODUCES_LOCATION,0.8
event/01b3f289,place_at_the_narrator's_tombstone/0c534985,PRODUCES_LOCATION,0.8
event/924bad1e,place_at_the_narrator's_tombstone/0a8871dd,PRODUCES_LOCATION,0.8
event/b51d09a9,place_at_the_narrator's_tombstone/b1cb5702,PRODUCES_LOCATION,0.8
event/01205b39,place_at_the_narrator's_tombstone/9a3bf212,PRODUCES_LOCATION,0.8
event/bc842ab2,place_at_the_narrator's_tombstone/b56d1a2d,PRODUCES_LOCATION,0.8
event/1596267d,place_at_the_narrator's_tombstone/0eaaa0d4,PRODUCES_LOCATION,0.8
event/04beb116,place_at_the_narrator's_tombstone/6461c92d,PRODUCES_LOCATION,0.8
event/e76ab6c2,place_at_the_narrator's_tombstone/07b96699,PRODUCES_LOCATION,0.8
event/9b2f811b,place_at_the_narrator's_tombstone/5586c9af,PRODUCES_LOCATION,0.8
event/10e4fcca,place_at_the_narrator's_tombstone/5c9046ab,PRODUCES_LOCATION,0.8
event/e46fa1ab,place_at_the_narrator's_tombstone/35ee2111,PRODUCES_LOCATION,0.8
event/cc3c5b2c,place_at_the_narrator's_tombstone/773f3502,PRODUCES_LOCATION,0.8
event/b7880c6e,place_at_the_narrator's_tombstone/8403ffff,PRODUCES_LOCATION,0.8
event/d721ba2e,place_at_the_narrator's_tombstone/9c30b111,PRODUCES_LOCATION,0.8
event/3b5d10c4,place_at_the_narrator's_tombstone/b1d61008,PRODUCES_LOCATION,0.8
event/d21030e4,place_at_the_narrator's_tombstone/022304df,PRODUCES_LOCATION,0.8
event/04dfa728,place_at_the_narrator's_tombstone/ba84e9b2,PRODUCES_LOCATION,0.8
event/32bd6a82,place_at_the_narrator's_tombstone/e6f63b9a,PRODUCES_LOCATION,0.8
event/fc97900b,place_at_the_narrator's_tombstone/0b70d9dd,PRODUCES_LOCATION,0.8
event/3813cb18,place_at_the_narrator's_tombstone/f9bce74e,PRODUCES_LOCATION,0.8
event/638e6668,place_at_the_narrator's_tombstone/de39e4a0,PRODUCES_LOCATION,0.8
event/94b40161,"place_near_the_church,_on_top_of_the_stone/2f766c4f",PRODUCES_LOCATION,0.8
event/8080975d,"place_near_the_church,_on_top_of_the_stone/9963620b",PRODUCES_LOCATION,0.8
event/bd898780,place_on_the_top_of_the_stone/389d897f,PRODUCES_LOCATION,0.8
event/094860c9,place_on_the_top_of_the_stone/fa6ee946,PRODUCES_LOCATION,0.8
event/78bb8d18,place_on_the_top_of_the_stone/d1ec8238,PRODUCES_LOCATION,0.8
event/13df1f4a,"place_near_the_church,_on_the_top_of_the_stone_(speaking_about_old_battery)/a43716f2",PRODUCES_LOCATION,0.8
event/9c9a24d0,place_on_the_top_of_the_stone/c0b7d6c0,PRODUCES_LOCATION,0.8
event/13ae11ec,place_on_the_top_of_the_stone/5acb6301,PRODUCES_LOCATION,0.8
event/3d8b7b26,place_on_the_top_of_the_stone/a1ad8b2c,PRODUCES_LOCATION,0.8
event/3b89f491,place_on_the_top_of_the_stone/6b223de3,PRODUCES_LOCATION,0.8
event/057be3e2,place_on_the_top_of_the_stone_(young_man_said_to_be_hidden_nearby)/e4780111,PRODUCES_LOCATION,0.8
event/2e74e82a,place_on_the_top_of_the_stone/15840f3a,PRODUCES_LOCATION,0.8
event/bb0ab1a9,place_on_the_top_of_the_stone/598fa54c,PRODUCES_LOCATION,0.8
event/29ec39d5,place_on_the_top_of_the_stone/86959dbb,PRODUCES_LOCATION,0.8
event/dbd279e1,place_on_the_top_of_the_stone_(describing_indoor_scenes_hypothetically)/1dd412cd,PRODUCES_LOCATION,0.8
event/13e437c2,place_boy’s_bed_(hypothetical)/399862b5,PRODUCES_LOCATION,0.8
event/9d4826eb,place_on_the_top_of_the_stone/e00391f5,PRODUCES_LOCATION,0.8
event/e4b37495,place_on_the_top_of_the_stone/b988956e,PRODUCES_LOCATION,0.8
event/c0338f19,place_on_the_top_of_the_stone/c71711cc,PRODUCES_LOCATION,0.8
event/a810a518,place_on_the_top_of_the_stone/f3b9fe24,PRODUCES_LOCATION,0.8
event/5ba94de8,place_on_the_top_of_the_stone/3d175202,PRODUCES_LOCATION,0.8
event/d7ce68d3,place_on_the_top_of_the_stone/21c0d2db,PRODUCES_LOCATION,0.8
event/088dd70e,place_on_the_top_of_the_stone/e45aa404,PRODUCES_LOCATION,0.8
event/22f30416,place_unspecified_outdoor_location_near_the_marshes/7b63dc25,PRODUCES_LOCATION,0.8
event/8d0c313b,place_cold_wet_flat/4f4c8420,PRODUCES_LOCATION,0.8
event/ad5b6c6b,place_cold_wet_flat/48f8cf4e,PRODUCES_LOCATION,0.8
event/b7ae7e88,place_cold_wet_flat/725bb0fd,PRODUCES_LOCATION,0.8
event/a8270e8c,place_cold_wet_flat/6082525f,PRODUCES_LOCATION,0.8
event/d8cf9c97,place_near_the_low_church_wall/10c33499,PRODUCES_LOCATION,0.8
event/4097d9c3,place_near_the_low_church_wall/1d453121,PRODUCES_LOCATION,0.8
event/b6af4129,place_towards_the_low_church_wall_across_the_marshy_ground/ecac10a8,PRODUCES_LOCATION,0.8
event/2b256bcd,place_near_the_churchyard_/_marsh_edge/138b6ec3,PRODUCES_LOCATION,0.8
event/1a42e10d,place_ground_near_low_church_wall_with_nettles/2aeacd5c,PRODUCES_LOCATION,0.8
event/2af64edc,place_among_brambles_that_bound_the_green_mounds_in_the_churchyard/fad8d503,PRODUCES_LOCATION,0.8
event/02fe6274,place_churchyard_among_graves/c12b30c8,PRODUCES_LOCATION,0.8
event/b8b9a5de,place_graves_/_churchyard/6468e9de,PRODUCES_LOCATION,0.8
event/4213b5a1,place_graves_/_churchyard/b9dfa0b8,PRODUCES_LOCATION,0.8
event/ae8be187,place_low_church_wall/a966244c,PRODUCES_LOCATION,0.8
event/053465f5,place_low_church_wall/3f45dfb2,PRODUCES_LOCATION,0.8
event/1018d19f,place_just_beyond_the_low_church_wall/6993a78b,PRODUCES_LOCATION,0.8
event/09c38e9b,place_near_the_churchyard/caf8a7a2,PRODUCES_LOCATION,0.8
event/f8dfca42,place_near_the_churchyard/356cd0bd,PRODUCES_LOCATION,0.8
event/85bca813,place_path_towards_home_from_the_churchyard/efb7af0d,PRODUCES_LOCATION,0.8
event/05df8b00,place_on_the_way_home/0ef9ba5b,PRODUCES_LOCATION,0.8
event/e8d7548a,place_marshes_leading_towards_the_river/cc3f9c22,PRODUCES_LOCATION,0.8
event/bc1cddc1,place_marsh_path_towards_the_river/f10a3e54,PRODUCES_LOCATION,0.8
event/771ccb33,place_marshes_with_great_stones_for_stepping-places/f6a03ad5,PRODUCES_LOCATION,0.8
event/5992a9b4,place_marshes/7883f622,PRODUCES_LOCATION,0.8
event/58a1550c,place_edge_of_marshes_with_view_of_river_and_sky/63eab48e,PRODUCES_LOCATION,0.8
event/7457e8c0,place_marshes/94f6f112,PRODUCES_LOCATION,0.8
event/113627e2,place_river_beyond_the_marshes/3356bfec,PRODUCES_LOCATION,0.8
event/e4f6d61e,place_sky_above_marshes_and_river/059238a8,PRODUCES_LOCATION,0.8
event/c44b846d,place_edge_of_the_river/b4db69b4,PRODUCES_LOCATION,0.8
event/27a8f32e,place_edge_of_the_river/a0c7b79f,PRODUCES_LOCATION,0.8
event/fac558c4,place_edge_of_the_river/5baf34ec,PRODUCES_LOCATION,0.8
event/8839c168,place_near_the_beacon_by_the_river/371c4cec,PRODUCES_LOCATION,0.8
event/44060875,place_edge_of_the_river/8d856882,PRODUCES_LOCATION,0.8
event/6fb5cdfb,place_at_the_gibbet_by_the_river/11374e10,PRODUCES_LOCATION,0.8
event/12ea4f34,place_at_the_gibbet_by_the_river/dc4d43fa,PRODUCES_LOCATION,0.8
event/b9be3e25,place_towards_the_gibbet_by_the_river/a3dc772a,PRODUCES_LOCATION,0.8
event/a05d1173,"place_edge_of_the_river,_observing_the_gibbet/d34faab3",PRODUCES_LOCATION,0.8
event/fe35090c,"place_edge_of_the_river,_looking_at_gibbet/2e58b893",PRODUCES_LOCATION,0.8
event/dff3750c,place_edge_of_the_river/8e632b3e,PRODUCES_LOCATION,0.8
event/3502a40c,place_fields_near_the_river/2b0bdfcc,PRODUCES_LOCATION,0.8
event/3537150d,place_fields_near_the_river/b203ffc4,PRODUCES_LOCATION,0.8
event/f2699605,"place_fields/river_edge,_observing_cattle/6811d5e6",PRODUCES_LOCATION,0.8
event/8d93d9a6,place_edge_of_the_river_/_surrounding_area/08219d0a,PRODUCES_LOCATION,0.8
event/f34f15d2,place_edge_of_the_river_/_surrounding_prospect/a44673a1,PRODUCES_LOCATION,0.8
event/a4ef5b2f,place_edge_of_the_river_/_marshes/63c597bf,PRODUCES_LOCATION,0.8
event/358b19a5,place_from_edge_of_the_river_/_marshes_to_home/c4225afc,PRODUCES_LOCATION,0.8
