:START_ID,:END_ID,:TYPE,strength
event/ff53969a,agent_name_'pirrip'/7d8f4bdc,PRODUCES_PATIENT,0.5
event/ff53969a,agent_name_'philip'/529a035d,PRODUCES_PATIENT,0.5
event/9f8ddc2a,agent_name_'pip'/5c1ac5b2,PRODUCES_PATIENT,1.0
event/f03e3517,agent_philip_pirrip/c9965e8d,PRODUCES_PATIENT,1.0
event/f03e3517,agent_name_'pip'/6194c81b,PRODUCES_PATIENT,0.8
event/86c11f9a,agent_family_name_'pirrip'/90e37f5b,PRODUCES_PATIENT,1.0
event/b4b405d2,agent_father’s_tombstone/3faf1e2a,PRODUCES_PATIENT,1.0
event/d216f955,agent_claim_about_family_name_'pirrip'/68e21d35,PRODUCES_PATIENT,1.0
event/46f1e07c,agent_philip’s_father/41fbf8e9,PRODUCES_PATIENT,1.0
event/aa39b6e8,agent_philip’s_mother/e01bbf76,PRODUCES_PATIENT,1.0
event/1c1eb444,agent_likeness_of_philip’s_father/e5b38c07,PRODUCES_PATIENT,0.5
event/1c1eb444,agent_likeness_of_philip’s_mother/8a3da3db,PRODUCES_PATIENT,0.5
event/3b82785c,agent_temporal_distance_from_'days_of_photographs'/8e4af319,PRODUCES_PATIENT,1.0
event/0690c0bb,agent_imagined_appearance_of_parents/73ecca30,PRODUCES_PATIENT,1.0
event/e30331fb,agent_parents’_tombstones/e3ad86a3,PRODUCES_PATIENT,1.0
event/68c1242a,agent_letters_on_father’s_tombstone/61674f35,PRODUCES_PATIENT,1.0
event/5ee56164,agent_imagined_figure_of_father/25385638,PRODUCES_PATIENT,1.0
event/96b4b311,agent_inscription_'also_georgiana_wife_of_the_above'/d0df2f41,PRODUCES_PATIENT,1.0
event/28f8e8b5,agent_imagined_appearance_of_mother/7a1eb763,PRODUCES_PATIENT,1.0
event/65951c40,agent_five_little_stone_lozenges/2292bea7,PRODUCES_PATIENT,1.0
event/f996f4a5,agent_five_little_stone_lozenges/a56f255d,PRODUCES_PATIENT,1.0
event/f996f4a5,agent_five_little_brothers_of_philip_pirrip/68c93136,PRODUCES_PATIENT,1.0
event/8f56e35c,agent_five_little_stone_lozenges/b25c6921,PRODUCES_PATIENT,1.0
event/c3695a25,agent_imagined_posture_of_brothers_at_birth/2d2ad4a3,PRODUCES_PATIENT,1.0
event/80d9815d,agent_imagined_perpetual_pocketed_hands_of_brothers/7e470916,PRODUCES_PATIENT,1.0
event/d22bfe36,agent_ours_(philip’s_household/region)/7160d946,PRODUCES_PATIENT,1.0
event/d22bfe36,agent_marsh_country/2b8edab5,PRODUCES_PATIENT,0.8
event/71a0e894,agent_river’s_distance_from_the_sea/3d049b9f,PRODUCES_PATIENT,1.0
event/dbb7feb8,agent_identity_of_things_(world_around_him)/85fa31bc,PRODUCES_PATIENT,1.0
event/95c8b023,agent_particular_afternoon/81344a9e,PRODUCES_PATIENT,1.0
event/d9c41ae0,agent_churchyard/6b4d94bd,PRODUCES_PATIENT,1.0
event/c94e9895,agent_philip_pirrip/e46e9689,PRODUCES_PATIENT,1.0
event/c5726ac2,agent_georgiana/3daac740,PRODUCES_PATIENT,1.0
event/5d6c7529,agent_alexander/881784df,PRODUCES_PATIENT,0.2
event/5d6c7529,agent_bartholomew/59810aa1,PRODUCES_PATIENT,0.2
event/5d6c7529,agent_abraham/7367fd33,PRODUCES_PATIENT,0.2
event/5d6c7529,agent_tobias/86d83116,PRODUCES_PATIENT,0.2
event/5d6c7529,agent_roger/b2497ae4,PRODUCES_PATIENT,0.2
event/4c6b4f53,agent_marshes/5c614efa,PRODUCES_PATIENT,1.0
event/b4b7d7bc,agent_cattle/aed9cb54,PRODUCES_PATIENT,1.0
event/63d7d42f,agent_river/a0c2f65c,PRODUCES_PATIENT,1.0
event/80747884,agent_sea/2e856d13,PRODUCES_PATIENT,1.0
event/5aa2d2c2,agent_pip/4c8bcd28,PRODUCES_PATIENT,1.0
event/afd9ead4,agent_pip/96000794,PRODUCES_PATIENT,1.0
event/90f82186,agent_pip/87033c0a,PRODUCES_PATIENT,1.0
event/444ddda0,agent_convict/cc8d3d9c,PRODUCES_PATIENT,1.0
event/c2cd321c,agent_convict/859e18fc,PRODUCES_PATIENT,1.0
event/33300d9f,agent_convict/0b3cd615,PRODUCES_PATIENT,1.0
event/683d217a,agent_pip/1a8563bd,PRODUCES_PATIENT,1.0
event/74e4ec3b,agent_convict/79e40668,PRODUCES_PATIENT,1.0
event/563c1f45,agent_convict/13386f47,PRODUCES_PATIENT,0.7
event/d4b3ba3d,agent_pip/31788102,PRODUCES_PATIENT,1.0
event/e795d099,agent_pip/d827d34f,PRODUCES_PATIENT,1.0
event/d7f09b8b,agent_narrator/c0424788,PRODUCES_PATIENT,1.0
event/d7f09b8b,agent_narrator's_home/f6012cc2,PRODUCES_PATIENT,0.4
event/262fb8de,agent_narrator's_village/4e9c1bb0,PRODUCES_PATIENT,0.9
event/edf23f7b,agent_narrator's_village/982507df,PRODUCES_PATIENT,0.8
event/edf23f7b,agent_the_church/827cb287,PRODUCES_PATIENT,0.5
event/f41528d9,agent_narrator/3ace2e8e,PRODUCES_PATIENT,1.0
event/ddf98077,agent_narrator/d2ff6407,PRODUCES_PATIENT,1.0
event/9102df6e,agent_narrator's_pockets/640c45dc,PRODUCES_PATIENT,1.0
event/df5a27b6,agent_piece_of_bread/03c73db1,PRODUCES_PATIENT,1.0
event/df5a27b6,agent_narrator's_pockets/9d71f887,PRODUCES_PATIENT,0.5
event/6985cfc3,agent_the_church/7362fdae,PRODUCES_PATIENT,1.0
event/e9d42c78,agent_high_tombstone/1cc51f3c,PRODUCES_PATIENT,1.0
event/9e14d91a,agent_piece_of_bread/a3af86f5,PRODUCES_PATIENT,1.0
event/3e5b1c03,agent_narrator/10d98eac,PRODUCES_PATIENT,1.0
event/3e5b1c03,agent_narrator's_cheeks/1e4658d1,PRODUCES_PATIENT,0.7
event/92593720,agent_the_man's_lips/ae4579e0,PRODUCES_PATIENT,1.0
event/388d9c2b,agent_narrator's_cheeks/2b978414,PRODUCES_PATIENT,1.0
event/03a16122,agent_narrator's_body_size/ff3185f1,PRODUCES_PATIENT,1.0
event/30e7b4c2,agent_narrator's_physical_strength/50a51b71,PRODUCES_PATIENT,1.0
event/5b47294a,agent_unspecified_people_or_things_('em)/6e659df6,PRODUCES_PATIENT,0.8
event/82bd848c,agent_unspecified_people_or_things_('em)/40e0baa2,PRODUCES_PATIENT,0.8
event/9795a963,agent_unknown_man/9923085e,PRODUCES_PATIENT,0.9
event/13c084be,agent_tombstone/80da6123,PRODUCES_PATIENT,1.0
event/ab66d876,agent_first-person_narrator/368333ac,PRODUCES_PATIENT,0.9
event/ab66d876,agent_tombstone/0efd2daf,PRODUCES_PATIENT,0.7
event/d02011f6,agent_first-person_narrator/d9d5f51a,PRODUCES_PATIENT,0.9
event/914df750,agent_first-person_narrator/226858b7,PRODUCES_PATIENT,1.0
event/ee808686,agent_first-person_narrator/153920b9,PRODUCES_PATIENT,1.0
event/ee808686,agent_narrator's_mother/08f85b32,PRODUCES_PATIENT,0.8
event/28349599,agent_unknown_man/473acddc,PRODUCES_PATIENT,0.9
event/28349599,agent_narrator's_mother/4430a6b8,PRODUCES_PATIENT,0.9
event/d64d97ac,agent_unknown_man/5037996e,PRODUCES_PATIENT,0.9
event/d64d97ac,agent_narrator's_mother/6f5e73af,PRODUCES_PATIENT,0.9
event/4d859591,agent_narrator's_mother/98aa9018,PRODUCES_PATIENT,1.0
event/d08d256e,agent_philip_pirrip/a561a8b9,PRODUCES_PATIENT,0.7
