:START_ID,:END_ID,:TYPE,strength
agent_pip/43f7f25b,event/441cbba4,ACTS_IN,1.0
agent_pip/f8293ac6,event/744f4608,ACTS_IN,1.0
agent_pip/6b653c10,event/bc439683,ACTS_IN,0.3
agent_pip/489385f1,event/3f44d653,ACTS_IN,1.0
agent_pip/e9576bc3,event/38ac4381,ACTS_IN,1.0
agent_pip/ec8e567e,event/ecc70151,ACTS_IN,1.0
agent_pip/1dd04464,event/b74d1681,ACTS_IN,1.0
agent_pip/09c2956b,event/c5d3429e,ACTS_IN,1.0
agent_pip/05942f6a,event/a0de06a5,ACTS_IN,1.0
agent_pip/3d0ed527,event/f54afb3c,ACTS_IN,1.0
agent_pip/5d15af6f,event/416b8459,ACTS_IN,1.0
agent_pip/1444ca3e,event/f0234d7e,ACTS_IN,1.0
agent_pip/b8a8880d,event/25d55cad,ACTS_IN,1.0
agent_pip/177f39ad,event/4e67e895,ACTS_IN,1.0
agent_pip/7c9ae61e,event/5de36473,ACTS_IN,1.0
agent_pip/3b19671b,event/67fd5090,ACTS_IN,1.0
agent_pip/25e2bbf5,event/974e3c4f,ACTS_IN,1.0
agent_pip/340cc85e,event/19d29bda,ACTS_IN,1.0
agent_pip/5b55f3a9,event/239125ad,ACTS_IN,1.0
agent_pip/b18c0fcd,event/c1ebd2c3,ACTS_IN,1.0
agent_pip/1df1a8af,event/51106281,ACTS_IN,1.0
agent_pip/55fa71c0,event/7c13cc53,ACTS_IN,1.0
agent_pip/9de9b06f,event/154b7a70,ACTS_IN,1.0
agent_pip/9fc20e03,event/e33f6a39,ACTS_IN,1.0
agent_pip/0e0842a1,event/26fc2daa,ACTS_IN,1.0
agent_pip/0fbf5675,event/375aed40,ACTS_IN,1.0
agent_pip/70d8326a,event/e3349793,ACTS_IN,1.0
agent_pip/fbf3411a,event/930ec32e,ACTS_IN,1.0
agent_pip/56663134,event/cff8fc57,ACTS_IN,1.0
agent_pip/82ab5d51,event/b0e89038,ACTS_IN,1.0
agent_pip/df74eebf,event/62398135,ACTS_IN,1.0
agent_pip/3cddfffb,event/701c9bde,ACTS_IN,1.0
agent_pip/70a9b00e,event/e6dfc058,ACTS_IN,1.0
agent_pip/125beae1,event/45c0cdf3,ACTS_IN,1.0
agent_pip/638a047f,event/fd5be405,ACTS_IN,1.0
agent_pip/42d97142,event/ea1ddf0f,ACTS_IN,1.0
agent_pip/a30a9c20,event/e8f87fdf,ACTS_IN,1.0
agent_convict/4aff5b1f,event/9ff33eb4,ACTS_IN,1.0
agent_convict/e7218f22,event/47a8e791,ACTS_IN,1.0
agent_convict/a375c775,event/5f8c72bd,ACTS_IN,1.0
agent_convict/b3474f6f,event/b1311c95,ACTS_IN,1.0
agent_convict/54ca8dd6,event/34c6f586,ACTS_IN,1.0
agent_convict/362eec05,event/a5b22377,ACTS_IN,1.0
agent_the_man/3b3c17c1,event/00fde77e,ACTS_IN,1.0
agent_the_man/907430a6,event/94c4575d,ACTS_IN,1.0
agent_the_man/f2212772,event/eb6fb3ed,ACTS_IN,1.0
agent_the_man/2cfea2d5,event/fd463b40,ACTS_IN,1.0
agent_the_man/e3c0d46e,event/f74c27a2,ACTS_IN,1.0
agent_the_man/ebf8891b,event/94126a3b,ACTS_IN,1.0
agent_the_man/7c0d73c0,event/60665bbf,ACTS_IN,1.0
agent_the_man/18723696,event/84259fed,ACTS_IN,1.0
agent_the_man/4082c240,event/0bd0bc44,ACTS_IN,1.0
agent_the_man/3c48c5c4,event/febe0b5b,ACTS_IN,1.0
agent_the_man/82a0bcf2,event/24222105,ACTS_IN,1.0
agent_the_man/972192ae,event/9c9dc902,ACTS_IN,1.0
agent_the_man/0dbc8f6a,event/fcb79fdd,ACTS_IN,1.0
agent_the_man/e5206384,event/1a149e64,ACTS_IN,1.0
agent_i/04da73c7,event/75e808f0,ACTS_IN,1.0
agent_i/bdeafaca,event/27ffcc24,ACTS_IN,1.0
agent_i/82086ce2,event/d5f58d93,ACTS_IN,1.0
agent_i/5fcf9e45,event/21efe6c6,ACTS_IN,1.0
agent_i/c72dbb5d,event/ffab9d2e,ACTS_IN,1.0
agent_i/5266211a,event/f67004bc,ACTS_IN,1.0
agent_i/c52fca58,event/6924529c,ACTS_IN,1.0
agent_i/12436195,event/503be001,ACTS_IN,1.0
agent_i/b39f27f6,event/ddbcab73,ACTS_IN,1.0
agent_i/08a15b9d,event/88c17de4,ACTS_IN,1.0
agent_i/a6aa1997,event/fb8c8118,ACTS_IN,1.0
agent_i/b5614095,event/b2239ddb,ACTS_IN,1.0
agent_i/e0e0ab68,event/129dcc78,ACTS_IN,1.0
agent_i/8913f5e9,event/654be1ad,ACTS_IN,1.0
agent_i/66b614a1,event/be2f62c9,ACTS_IN,1.0
