:START_ID,:END_ID,:TYPE
event/d060ebf3,event/441cbba4,FOLLOWS
event/441cbba4,event/744f4608,FOLLOWS
event/744f4608,event/bc439683,FOLLOWS
event/bc439683,event/26432d99,FOLLOWS
event/26432d99,event/3f44d653,FOLLOWS
event/3f44d653,event/38ac4381,FOLLOWS
event/38ac4381,event/ecc70151,FOLLOWS
event/ecc70151,event/b74d1681,FOLLOWS
event/b74d1681,event/c5d3429e,FOLLOWS
event/c5d3429e,event/a0de06a5,FOLLOWS
event/a0de06a5,event/f54afb3c,FOLLOWS
event/f54afb3c,event/7cb78de4,FOLLOWS
event/7cb78de4,event/1f4eff21,FOLLOWS
event/1f4eff21,event/416b8459,FOLLOWS
event/416b8459,event/f0234d7e,FOLLOWS
event/f0234d7e,event/25d55cad,FOLLOWS
event/25d55cad,event/4e67e895,FOLLOWS
event/4e67e895,event/5de36473,FOLLOWS
event/5de36473,event/67fd5090,FOLLOWS
event/67fd5090,event/974e3c4f,FOLLOWS
event/974e3c4f,event/19d29bda,FOLLOWS
event/19d29bda,event/239125ad,FOLLOWS
event/239125ad,event/c1ebd2c3,FOLLOWS
event/c1ebd2c3,event/51106281,FOLLOWS
event/51106281,event/7c13cc53,FOLLOWS
event/7c13cc53,event/154b7a70,FOLLOWS
event/154b7a70,event/e33f6a39,FOLLOWS
event/e33f6a39,event/26fc2daa,FOLLOWS
event/26fc2daa,event/375aed40,FOLLOWS
event/375aed40,event/e3349793,FOLLOWS
event/e3349793,event/3530ff6d,FOLLOWS
event/3530ff6d,event/9ff33eb4,FOLLOWS
event/9ff33eb4,event/47a8e791,FOLLOWS
event/47a8e791,event/930ec32e,FOLLOWS
event/930ec32e,event/cff8fc57,FOLLOWS
event/cff8fc57,event/b0e89038,FOLLOWS
event/b0e89038,event/62398135,FOLLOWS
event/62398135,event/701c9bde,FOLLOWS
event/701c9bde,event/e6dfc058,FOLLOWS
event/e6dfc058,event/45c0cdf3,FOLLOWS
event/45c0cdf3,event/fd5be405,FOLLOWS
event/fd5be405,event/5f8c72bd,FOLLOWS
event/5f8c72bd,event/ea1ddf0f,FOLLOWS
event/ea1ddf0f,event/e8f87fdf,FOLLOWS
event/e8f87fdf,event/b1311c95,FOLLOWS
event/b1311c95,event/34c6f586,FOLLOWS
event/34c6f586,event/a5b22377,FOLLOWS
event/a5b22377,event/24db9f8c,FOLLOWS
event/24db9f8c,event/d466fd41,FOLLOWS
event/d466fd41,event/00fde77e,FOLLOWS
event/00fde77e,event/94c4575d,FOLLOWS
event/94c4575d,event/eb6fb3ed,FOLLOWS
event/eb6fb3ed,event/75e808f0,FOLLOWS
event/75e808f0,event/27ffcc24,FOLLOWS
event/27ffcc24,event/d5f58d93,FOLLOWS
event/d5f58d93,event/21efe6c6,FOLLOWS
event/21efe6c6,event/ffab9d2e,FOLLOWS
event/ffab9d2e,event/fd463b40,FOLLOWS
event/fd463b40,event/f74c27a2,FOLLOWS
event/f74c27a2,event/94126a3b,FOLLOWS
event/94126a3b,event/60665bbf,FOLLOWS
event/60665bbf,event/f67004bc,FOLLOWS
event/f67004bc,event/6924529c,FOLLOWS
event/6924529c,event/503be001,FOLLOWS
event/503be001,event/84259fed,FOLLOWS
event/84259fed,event/ddbcab73,FOLLOWS
event/ddbcab73,event/88c17de4,FOLLOWS
event/88c17de4,event/fb8c8118,FOLLOWS
event/fb8c8118,event/b2239ddb,FOLLOWS
event/b2239ddb,event/129dcc78,FOLLOWS
event/129dcc78,event/0bd0bc44,FOLLOWS
event/0bd0bc44,event/febe0b5b,FOLLOWS
event/febe0b5b,event/24222105,FOLLOWS
event/24222105,event/9c9dc902,FOLLOWS
event/9c9dc902,event/fcb79fdd,FOLLOWS
event/fcb79fdd,event/654be1ad,FOLLOWS
event/654be1ad,event/be2f62c9,FOLLOWS
event/be2f62c9,event/7a9a0fdc,FOLLOWS
event/7a9a0fdc,event/3bbb618f,FOLLOWS
event/3bbb618f,event/423ab7b1,FOLLOWS
event/423ab7b1,event/20c8a7ab,FOLLOWS
event/20c8a7ab,event/cd699429,FOLLOWS
event/cd699429,event/8fb62fe7,FOLLOWS
event/8fb62fe7,event/e5493b52,FOLLOWS
event/e5493b52,event/0ee2f071,FOLLOWS
event/0ee2f071,event/f2599412,FOLLOWS
event/f2599412,event/89a395ba,FOLLOWS
event/89a395ba,event/e7852593,FOLLOWS
event/e7852593,event/32e89fb9,FOLLOWS
event/32e89fb9,event/d934d40f,FOLLOWS
event/d934d40f,event/da8fb73d,FOLLOWS
event/da8fb73d,event/23db875d,FOLLOWS
event/23db875d,event/0fa10d6a,FOLLOWS
event/0fa10d6a,event/03c63d58,FOLLOWS
