:START_ID,:END_ID,:TYPE,specificity
place_graveyard_near_the_stone_lozenges/130069de,event/f0234d7e,HOSTS,0.8
place_churchyard/06a839ee,event/19d29bda,HOSTS,0.8
place_churchyard/d4c68042,event/239125ad,HOSTS,0.8
place_churchyard/d0555600,event/26fc2daa,HOSTS,0.8
place_churchyard/124f8271,event/e3349793,HOSTS,0.8
place_churchyard/c44576a0,event/701c9bde,HOSTS,0.8
place_churchyard/75331b6b,event/e6dfc058,HOSTS,0.8
place_churchyard/2385aa4d,event/45c0cdf3,HOSTS,0.8
place_churchyard/e1ee8623,event/fd5be405,HOSTS,0.8
place_churchyard/9d88b9a9,event/5f8c72bd,HOSTS,0.8
place_churchyard/15082702,event/ea1ddf0f,HOSTS,0.8
place_churchyard/895902d4,event/e8f87fdf,HOSTS,0.8
place_churchyard/4a348d05,event/b1311c95,HOSTS,0.8
place_churchyard/2168cef7,event/34c6f586,HOSTS,0.8
place_churchyard/4040e7ad,event/a5b22377,HOSTS,0.8
place_churchyard/200a7284,event/24db9f8c,HOSTS,0.8
place_marshes/76c4ef92,event/7c13cc53,HOSTS,0.8
place_marshes/76754224,event/69f9b5e7,HOSTS,0.8
place_among_the_graves_at_the_side_of_the_church_porch/72b48048,event/9ff33eb4,HOSTS,0.8
place_churchyard_near_church_porch/4b66b83d,event/cff8fc57,HOSTS,0.8
place_churchyard_near_church_porch/3656d73a,event/62398135,HOSTS,0.8
"place_where_our_village_lay,_on_the_flat_in-shore_among_the_alder-trees_and_pollards,_a_mile_or_more_from_the_church/a83c2ea2",event/00fde77e,HOSTS,0.8
"place_where_our_village_lay,_on_the_flat_in-shore_among_the_alder-trees_and_pollards,_a_mile_or_more_from_the_church/8d832686",event/94c4575d,HOSTS,0.5
"place_where_our_village_lay,_on_the_flat_in-shore_among_the_alder-trees_and_pollards,_a_mile_or_more_from_the_church/b1a3cdec",event/eb6fb3ed,HOSTS,0.5
"place_where_our_village_lay,_on_the_flat_in-shore_among_the_alder-trees_and_pollards,_a_mile_or_more_from_the_church/856292e1",event/75e808f0,HOSTS,0.5
place_near_the_church/95be05d3,event/d5f58d93,HOSTS,0.8
place_on_a_high_tombstone/458e6034,event/ffab9d2e,HOSTS,0.8
place_near_the_tombstone/fc763f06,event/f74c27a2,HOSTS,0.8
place_near_the_tombstone/602a361c,event/94126a3b,HOSTS,0.5
place_near_the_tombstone/362042be,event/60665bbf,HOSTS,0.5
place_near_the_tombstone/6c2ff241,event/f67004bc,HOSTS,0.5
place_near_the_tombstone/7510396f,event/6924529c,HOSTS,0.5
place_near_the_tombstone/e23f5059,event/503be001,HOSTS,0.5
place_near_the_tombstone/279a7fd8,event/84259fed,HOSTS,0.5
place_on_the_tombstone/929a44db,event/88c17de4,HOSTS,0.8
place_on_the_tombstone/6305a3ba,event/fb8c8118,HOSTS,0.8
place_on_the_tombstone/c0543b11,event/b2239ddb,HOSTS,0.8
place_on_the_tombstone/e765b0f1,event/129dcc78,HOSTS,0.8
place_on_the_tombstone/0d254b1b,event/0bd0bc44,HOSTS,0.8
place_on_the_tombstone/73215bbe,event/febe0b5b,HOSTS,0.5
place_on_the_tombstone/9f4d3d77,event/24222105,HOSTS,0.5
place_on_the_tombstone/09c890dc,event/9c9dc902,HOSTS,0.5
place_on_the_tombstone/c0f90e20,event/fcb79fdd,HOSTS,0.5
place_near_the_tombstones/89a14e78,event/be2f62c9,HOSTS,0.8
place_near_the_tombstones/9499b603,event/7a9a0fdc,HOSTS,0.8
place_same_site_near_the_graves/43af8bd1,event/e5493b52,HOSTS,0.8
place_same_site_near_the_graves/ef3d9b7a,event/0ee2f071,HOSTS,0.8
place_same_site_near_the_graves/39c71d1e,event/f2599412,HOSTS,0.8
place_same_site_near_the_graves/33c9fc5e,event/89a395ba,HOSTS,0.8
place_same_site_near_the_graves/1db89a66,event/e7852593,HOSTS,0.8
place_same_site_near_the_graves/304a56a2,event/32e89fb9,HOSTS,0.8
place_by_the_tombstone/8e728aaf,event/03c63d58,HOSTS,0.8
place_by_the_tombstone/87acf1b0,event/9ad7c6d4,HOSTS,0.8
place_by_the_tombstone/525e85e8,event/40e8f917,HOSTS,0.8
place_by_the_tombstone/70cd8fde,event/4b697889,HOSTS,0.8
place_by_the_tombstone/f832be8e,event/790d8e57,HOSTS,0.8
place_by_the_tombstone/835c7a74,event/456a94fa,HOSTS,0.8
place_by_the_tombstone/8d7b0ddb,event/96efa59b,HOSTS,0.8
place_by_the_tombstone/c0a3f7eb,event/1fc209e2,HOSTS,0.8
place_by_the_tombstone/73b059ad,event/832f148d,HOSTS,0.8
place_by_the_tombstone/30698a46,event/5a0b6e57,HOSTS,0.8
place_by_the_tombstone/1b58749d,event/9031a84c,HOSTS,0.8
place_by_the_tombstone/acb0cdcd,event/7f95ad8e,HOSTS,0.8
place_by_the_tombstone/9571be7f,event/3811de1a,HOSTS,0.8
place_by_the_tombstone/6391971c,event/a6f1b76e,HOSTS,0.8
place_by_the_tombstone/4251cac8,event/89cba537,HOSTS,0.8
place_by_the_tombstone/a7f38c66,event/c250f076,HOSTS,0.8
place_by_the_tombstone/d9236265,event/841cf743,HOSTS,0.8
place_by_the_tombstone/86d4df6d,event/2b289f3a,HOSTS,0.8
place_my_tombstone/5d820f5d,event/23db875d,HOSTS,0.8
place_my_tombstone/33cfc184,event/0fa10d6a,HOSTS,0.8
place_on_the_top_of_the_stone/eb184cdd,event/3962a937,HOSTS,0.8
place_on_the_top_of_the_stone/16aad351,event/a9a5b845,HOSTS,0.8
place_on_the_top_of_the_stone/dbed3d8d,event/1e7f50df,HOSTS,0.8
place_on_the_top_of_the_stone/f078a53a,event/ac84ccaa,HOSTS,0.8
place_on_the_top_of_the_stone/8e0ba9dc,event/c4e03f53,HOSTS,0.8
place_on_the_top_of_the_stone/68b730e3,event/02de31bf,HOSTS,0.8
place_on_the_top_of_the_stone/055caea2,event/b3e1d293,HOSTS,0.8
place_on_the_top_of_the_stone/d55648e3,event/fe76218e,HOSTS,0.8
place_on_the_top_of_the_stone/fd6f191f,event/4181e532,HOSTS,0.8
place_on_the_top_of_the_stone/90b70600,event/9c9c7dae,HOSTS,0.8
place_on_the_top_of_the_stone/4338cceb,event/a22d867e,HOSTS,0.8
place_on_the_top_of_the_stone/6925c44f,event/f6a5fef2,HOSTS,0.8
place_on_the_top_of_the_stone/cd204bf4,event/a3ab2b4c,HOSTS,0.5
place_on_the_top_of_the_stone/671f8e9c,event/1d5ad8eb,HOSTS,0.5
place_cold_wet_flat/ca791f9d,event/631abc41,HOSTS,0.8
place_cold_wet_flat/fb10b244,event/5a7dec76,HOSTS,0.8
place_cold_wet_flat/91183424,event/82f58a9b,HOSTS,0.8
place_near_the_low_church_wall/6b682c23,event/4bca56d7,HOSTS,0.8
place_near_the_low_church_wall/7328aa53,event/5e660441,HOSTS,0.8
place_low_church_wall/fce80707,event/6bcbdcf9,HOSTS,0.8
place_towards_home/dd7e9c4c,event/ccb1bddb,HOSTS,0.8
place_towards_the_river_across_the_marshes/82d46eac,event/c59df86f,HOSTS,0.8
place_on_the_edge_of_the_river/25c919fa,event/60378d84,HOSTS,0.8
place_on_the_edge_of_the_river/a3c1c483,event/227937ad,HOSTS,0.8
place_on_the_edge_of_the_river/098888e4,event/f94af1ef,HOSTS,0.8
place_on_the_edge_of_the_river/d569781a,event/0b37a956,HOSTS,0.8
