:START_ID,:END_ID,:TYPE,weight
why_narrative_progression/3853bb3c,event/8e89ffd2,MOTIVATES,1.0
why_narrative_progression/c737dceb,event/e7b8310e,MOTIVATES,1.0
why_narrative_progression/c72235f7,event/ee2ab1c2,MOTIVATES,1.0
why_narrative_progression/ea96a673,event/de59c287,MOTIVATES,1.0
why_narrative_progression/a9644956,event/1506fca0,MOTIVATES,1.0
why_narrative_progression/8b4d79ce,event/32f3486c,MOTIVATES,1.0
why_narrative_progression/5e127957,event/f40f620b,MOTIVATES,1.0
why_narrative_progression/cb5df453,event/b9e341ca,MOTIVATES,1.0
why_narrative_progression/5611356e,event/4baac7b8,MOTIVATES,1.0
why_narrative_progression/1c2dd41d,event/eacab95e,MOTIVATES,1.0
why_narrative_progression/f958b5bc,event/23153d02,MOTIVATES,1.0
why_narrative_progression/bd4f5e2d,event/779a57b7,MOTIVATES,1.0
why_narrative_progression/f0b6826b,event/5a9407af,MOTIVATES,1.0
why_narrative_progression/3df937ea,event/2f281f50,MOTIVATES,1.0
why_narrative_progression/97260310,event/ccc0bdae,MOTIVATES,1.0
why_narrative_progression/a49f57e4,event/6b1365fd,MOTIVATES,1.0
why_narrative_progression/84b1cad8,event/11acc421,MOTIVATES,1.0
why_narrative_progression/8f576796,event/1ba7af76,MOTIVATES,1.0
why_narrative_progression/03c0f014,event/1107b4fc,MOTIVATES,1.0
why_narrative_progression/71319f61,event/7d089f83,MOTIVATES,1.0
why_narrative_progression/0798e4f9,event/69a4d27c,MOTIVATES,1.0
why_narrative_progression/efaafe5d,event/345a9515,MOTIVATES,1.0
why_narrative_progression/e51817da,event/a2f58031,MOTIVATES,1.0
why_narrative_progression/67a05af8,event/4876a46c,MOTIVATES,1.0
why_narrative_progression/79ac047c,event/ce798fe7,MOTIVATES,1.0
why_narrative_progression/b37fce8b,event/29d31bf8,MOTIVATES,1.0
why_narrative_progression/c40d6052,event/9f84fd1c,MOTIVATES,1.0
why_narrative_progression/80766072,event/1f8defc0,MOTIVATES,1.0
why_narrative_progression/1f865ddd,event/31c4e437,MOTIVATES,1.0
why_narrative_progression/78be309b,event/63c81048,MOTIVATES,1.0
why_narrative_progression/6fde98ba,event/d5e58a78,MOTIVATES,1.0
why_narrative_progression/ef1b4f9a,event/701ad840,MOTIVATES,1.0
why_narrative_progression/d22a7f12,event/fa9319f8,MOTIVATES,1.0
