:ID,name
place_churchyard_with_tombstones/65d8df80,churchyard with tombstones
place_churchyard_at_father’s_tombstone/8a6b6744,churchyard at father’s tombstone
place_mother’s_tombstone/eef5029a,mother’s tombstone
place_churchyard_at_mother’s_tombstone/3b091406,churchyard at mother’s tombstone
place_marsh_country_graveyard/acd9776b,marsh country graveyard
place_beside_their_grave/55b0ddef,beside their grave
place_graveyard_near_the_stone_lozenges/130069de,graveyard near the stone lozenges
"place_the_marsh_country,_down_by_the_river/a775a951","the marsh country, down by the river"
place_marsh_country_along_the_river/0690ea59,marsh country along the river
place_marsh_country_(implied_outdoors)/bb614a80,marsh country (implied outdoors)
place_bleak_place_overgrown_with_nettles_/_churchyard/06df94c4,bleak place overgrown with nettles / churchyard
place_churchyard/06a839ee,churchyard
place_churchyard/d4c68042,churchyard
place_churchyard/d0555600,churchyard
place_dark_flat_wilderness_beyond_the_churchyard/6675b435,dark flat wilderness beyond the churchyard
place_marshes/76c4ef92,marshes
place_marshes/76754224,marshes
place_low_leaden_line_beyond_the_marshes/fc7ab65b,low leaden line beyond the marshes
place_distant_savage_lair/dea8d995,distant savage lair
place_churchyard/124f8271,churchyard
place_churchyard_and_surrounding_marshes/c897a292,churchyard and surrounding marshes
place_churchyard/c44576a0,churchyard
place_among_the_graves_at_the_side_of_the_church_porch/72b48048,among the graves at the side of the church porch
place_among_the_graves_at_the_side_of_the_church_porch/36e66c5f,among the graves at the side of the church porch
place_side_of_the_church_porch/255dd3fd,side of the church porch
place_churchyard_near_church_porch/4b66b83d,churchyard near church porch
place_churchyard_near_church_porch/3656d73a,churchyard near church porch
place_marsh_country_/_churchyard/3bb95b60,marsh country / churchyard
place_churchyard_near_church_porch/fa6f09b1,churchyard near church porch
place_churchyard/75331b6b,churchyard
place_churchyard/2385aa4d,churchyard
place_churchyard/e1ee8623,churchyard
place_churchyard/9d88b9a9,churchyard
place_churchyard/15082702,churchyard
place_churchyard/895902d4,churchyard
place_churchyard/4a348d05,churchyard
place_churchyard/2168cef7,churchyard
place_churchyard/4040e7ad,churchyard
place_churchyard/200a7284,churchyard
"place_where_our_village_lay,_on_the_flat_in-shore_among_the_alder-trees_and_pollards,_a_mile_or_more_from_the_church/a83c2ea2","where our village lay, on the flat in-shore among the alder-trees and pollards, a mile or more from the church"
place_near_the_church/95be05d3,near the church
place_near_the_church/8c80784e,near the church
place_on_a_high_tombstone/458e6034,on a high tombstone
place_on_a_high_tombstone/ef22c429,on a high tombstone
place_near_the_tombstone/fc763f06,near the tombstone
