:START_ID,:END_ID,:TYPE,strength
event/d060ebf3,agent_pip/43f7f25b,PRODUCES_ACTOR,1.0
event/441cbba4,agent_pip/f8293ac6,PRODUCES_ACTOR,1.0
event/744f4608,agent_unspecified_others/c56f3591,PRODUCES_ACTOR,0.7
event/744f4608,agent_pip/6b653c10,PRODUCES_ACTOR,0.3
event/bc439683,agent_pip/489385f1,PRODUCES_ACTOR,1.0
event/26432d99,agent_mrs._joe_gargery/05f7039d,PRODUCES_ACTOR,1.0
event/26432d99,agent_joe_gargery/81fd0adc,PRODUCES_ACTOR,0.9
event/3f44d653,agent_pip/e9576bc3,PRODUCES_ACTOR,1.0
event/38ac4381,agent_pip/ec8e567e,PRODUCES_ACTOR,1.0
event/ecc70151,agent_pip/1dd04464,PRODUCES_ACTOR,1.0
event/b74d1681,agent_pip/09c2956b,PRODUCES_ACTOR,1.0
event/c5d3429e,agent_pip/05942f6a,PRODUCES_ACTOR,1.0
event/a0de06a5,agent_pip/3d0ed527,PRODUCES_ACTOR,1.0
event/f54afb3c,agent_pip/5d15af6f,PRODUCES_ACTOR,1.0
event/7cb78de4,agent_pip’s_five_little_brothers/66ed7b43,PRODUCES_ACTOR,1.0
event/416b8459,agent_pip/1444ca3e,PRODUCES_ACTOR,1.0
event/f0234d7e,agent_pip/b8a8880d,PRODUCES_ACTOR,1.0
event/25d55cad,agent_pip/177f39ad,PRODUCES_ACTOR,1.0
event/4e67e895,agent_pip/7c9ae61e,PRODUCES_ACTOR,1.0
event/5de36473,agent_pip/3b19671b,PRODUCES_ACTOR,1.0
event/67fd5090,agent_pip/25e2bbf5,PRODUCES_ACTOR,1.0
event/974e3c4f,agent_pip/340cc85e,PRODUCES_ACTOR,1.0
event/19d29bda,agent_pip/5b55f3a9,PRODUCES_ACTOR,1.0
event/239125ad,agent_pip/b18c0fcd,PRODUCES_ACTOR,1.0
event/c1ebd2c3,agent_pip/1df1a8af,PRODUCES_ACTOR,1.0
event/51106281,agent_pip/55fa71c0,PRODUCES_ACTOR,1.0
event/7c13cc53,agent_pip/9de9b06f,PRODUCES_ACTOR,1.0
event/154b7a70,agent_pip/9fc20e03,PRODUCES_ACTOR,1.0
event/e33f6a39,agent_pip/0e0842a1,PRODUCES_ACTOR,1.0
event/26fc2daa,agent_pip/0fbf5675,PRODUCES_ACTOR,1.0
event/375aed40,agent_pip/70d8326a,PRODUCES_ACTOR,1.0
event/e3349793,agent_pip/fbf3411a,PRODUCES_ACTOR,1.0
event/3530ff6d,agent_convict/4aff5b1f,PRODUCES_ACTOR,1.0
event/9ff33eb4,agent_convict/e7218f22,PRODUCES_ACTOR,1.0
event/47a8e791,agent_convict/a375c775,PRODUCES_ACTOR,1.0
event/930ec32e,agent_pip/56663134,PRODUCES_ACTOR,1.0
event/cff8fc57,agent_pip/82ab5d51,PRODUCES_ACTOR,1.0
event/b0e89038,agent_pip/df74eebf,PRODUCES_ACTOR,1.0
event/62398135,agent_pip/3cddfffb,PRODUCES_ACTOR,1.0
event/701c9bde,agent_pip/70a9b00e,PRODUCES_ACTOR,1.0
event/e6dfc058,agent_pip/125beae1,PRODUCES_ACTOR,1.0
event/45c0cdf3,agent_pip/638a047f,PRODUCES_ACTOR,1.0
event/fd5be405,agent_pip/42d97142,PRODUCES_ACTOR,1.0
event/5f8c72bd,agent_convict/b3474f6f,PRODUCES_ACTOR,1.0
event/ea1ddf0f,agent_pip/a30a9c20,PRODUCES_ACTOR,1.0
event/e8f87fdf,agent_pip/f9d31db9,PRODUCES_ACTOR,1.0
event/b1311c95,agent_convict/54ca8dd6,PRODUCES_ACTOR,1.0
