:START_ID,:END_ID,:TYPE,specificity
event/b74d1681,place_churchyard_with_tombstones/65d8df80,PRODUCES_LOCATION,0.8
event/c5d3429e,place_churchyard_at_father’s_tombstone/8a6b6744,PRODUCES_LOCATION,0.8
event/a0de06a5,place_mother’s_tombstone/eef5029a,PRODUCES_LOCATION,0.8
event/f54afb3c,place_churchyard_at_mother’s_tombstone/3b091406,PRODUCES_LOCATION,0.8
event/7cb78de4,place_marsh_country_graveyard/acd9776b,PRODUCES_LOCATION,0.8
event/1f4eff21,place_beside_their_grave/55b0ddef,PRODUCES_LOCATION,0.8
event/416b8459,place_graveyard_near_the_stone_lozenges/130069de,PRODUCES_LOCATION,0.8
event/25d55cad,"place_the_marsh_country,_down_by_the_river/a775a951",PRODUCES_LOCATION,0.8
event/4e67e895,place_marsh_country_along_the_river/0690ea59,PRODUCES_LOCATION,0.8
event/5de36473,place_marsh_country_(implied_outdoors)/bb614a80,PRODUCES_LOCATION,0.8
event/67fd5090,place_bleak_place_overgrown_with_nettles_/_churchyard/06df94c4,PRODUCES_LOCATION,0.8
event/974e3c4f,place_churchyard/06a839ee,PRODUCES_LOCATION,0.8
event/19d29bda,place_churchyard/d4c68042,PRODUCES_LOCATION,0.8
event/239125ad,place_churchyard/d0555600,PRODUCES_LOCATION,0.8
event/c1ebd2c3,place_dark_flat_wilderness_beyond_the_churchyard/6675b435,PRODUCES_LOCATION,0.8
event/51106281,place_marshes/76c4ef92,PRODUCES_LOCATION,0.8
event/7c13cc53,place_marshes/76754224,PRODUCES_LOCATION,0.8
event/154b7a70,place_low_leaden_line_beyond_the_marshes/fc7ab65b,PRODUCES_LOCATION,0.8
event/e33f6a39,place_distant_savage_lair/dea8d995,PRODUCES_LOCATION,0.8
event/26fc2daa,place_churchyard/124f8271,PRODUCES_LOCATION,0.8
event/375aed40,place_churchyard_and_surrounding_marshes/c897a292,PRODUCES_LOCATION,0.8
event/e3349793,place_churchyard/c44576a0,PRODUCES_LOCATION,0.8
event/3530ff6d,place_among_the_graves_at_the_side_of_the_church_porch/72b48048,PRODUCES_LOCATION,0.8
event/9ff33eb4,place_among_the_graves_at_the_side_of_the_church_porch/36e66c5f,PRODUCES_LOCATION,0.8
event/47a8e791,place_side_of_the_church_porch/255dd3fd,PRODUCES_LOCATION,0.8
event/930ec32e,place_churchyard_near_church_porch/4b66b83d,PRODUCES_LOCATION,0.8
event/cff8fc57,place_churchyard_near_church_porch/3656d73a,PRODUCES_LOCATION,0.8
