:START_ID,:END_ID,:TYPE,strength
event/441cbba4,agent_pip/c25de6a8,PRODUCES_PATIENT,1.0
event/744f4608,agent_pip/5f760ccc,PRODUCES_PATIENT,1.0
event/bc439683,agent_pip’s_father/6fc17e2f,PRODUCES_PATIENT,0.9
event/3f44d653,agent_pip’s_father/2d3544ef,PRODUCES_PATIENT,0.9
event/38ac4381,agent_pip’s_mother/241931f1,PRODUCES_PATIENT,0.9
event/ecc70151,agent_pip’s_father/76430663,PRODUCES_PATIENT,0.9
event/ecc70151,agent_pip’s_mother/dcf40746,PRODUCES_PATIENT,0.9
event/b74d1681,agent_pip’s_father/3c9dbf76,PRODUCES_PATIENT,0.7
event/b74d1681,agent_pip’s_mother/5feca9b9,PRODUCES_PATIENT,0.7
event/c5d3429e,agent_pip’s_father/48ae6061,PRODUCES_PATIENT,1.0
event/a0de06a5,agent_pip’s_mother/2c24975d,PRODUCES_PATIENT,0.9
event/f54afb3c,agent_pip’s_mother/32ad05a4,PRODUCES_PATIENT,1.0
event/1f4eff21,agent_pip’s_five_little_brothers/7203c599,PRODUCES_PATIENT,1.0
event/416b8459,agent_pip’s_five_little_brothers/7f7f7ef0,PRODUCES_PATIENT,1.0
event/f0234d7e,agent_pip’s_belief_about_his_brothers/736200b8,PRODUCES_PATIENT,0.9
event/974e3c4f,agent_philip_pirrip/08f66481,PRODUCES_PATIENT,0.9
event/19d29bda,agent_georgiana/b153247e,PRODUCES_PATIENT,0.9
event/239125ad,agent_alexander/9a65513e,PRODUCES_PATIENT,0.2
event/239125ad,agent_bartholomew/8ba44c4f,PRODUCES_PATIENT,0.2
event/239125ad,agent_abraham/ca656a7c,PRODUCES_PATIENT,0.2
event/239125ad,agent_tobias/e28fa8a0,PRODUCES_PATIENT,0.2
event/239125ad,agent_roger/5786d819,PRODUCES_PATIENT,0.2
event/7c13cc53,agent_cattle/9698ae1c,PRODUCES_PATIENT,0.9
event/26fc2daa,agent_pip/4fd05300,PRODUCES_PATIENT,1.0
event/3530ff6d,agent_pip/db4a2969,PRODUCES_PATIENT,1.0
event/47a8e791,agent_pip/d0ca8d20,PRODUCES_PATIENT,1.0
event/930ec32e,agent_convict/1e83de23,PRODUCES_PATIENT,1.0
event/cff8fc57,agent_convict/4bb0c094,PRODUCES_PATIENT,1.0
event/b0e89038,agent_convict/546dccde,PRODUCES_PATIENT,1.0
event/62398135,agent_convict/fa1f1137,PRODUCES_PATIENT,1.0
event/701c9bde,agent_convict/403306ce,PRODUCES_PATIENT,1.0
event/e6dfc058,agent_convict/85831e1b,PRODUCES_PATIENT,1.0
event/45c0cdf3,agent_convict/d00dd155,PRODUCES_PATIENT,1.0
event/fd5be405,agent_convict/d7b69983,PRODUCES_PATIENT,1.0
event/5f8c72bd,agent_pip/33e5836d,PRODUCES_PATIENT,1.0
event/ea1ddf0f,agent_convict/93f260de,PRODUCES_PATIENT,1.0
event/b1311c95,agent_pip/4177f971,PRODUCES_PATIENT,1.0
event/34c6f586,agent_pip/4d908fd7,PRODUCES_PATIENT,1.0
event/a5b22377,agent_pip/5e9b82e4,PRODUCES_PATIENT,1.0
event/24db9f8c,agent_i/256167ac,PRODUCES_PATIENT,1.0
event/00fde77e,agent_i/d97033ab,PRODUCES_PATIENT,1.0
event/94c4575d,agent_i/28968e7b,PRODUCES_PATIENT,1.0
event/eb6fb3ed,agent_i/4ad0056f,PRODUCES_PATIENT,1.0
event/f74c27a2,agent_i/7aa7ba1f,PRODUCES_PATIENT,1.0
event/60665bbf,agent_i/ac92104b,PRODUCES_PATIENT,1.0
event/84259fed,agent_i/ad8ebd4a,PRODUCES_PATIENT,1.0
event/ddbcab73,agent_the_man/0f0729e4,PRODUCES_PATIENT,0.6
event/88c17de4,agent_the_man/a5d06513,PRODUCES_PATIENT,0.8
event/129dcc78,agent_i/ccc45a35,PRODUCES_PATIENT,1.0
event/0bd0bc44,agent_i/b72c6089,PRODUCES_PATIENT,1.0
event/654be1ad,agent_the_man/5319dd6f,PRODUCES_PATIENT,0.8
event/be2f62c9,agent_georgiana/6d9e188a,PRODUCES_PATIENT,1.0
event/7a9a0fdc,agent_the_man/90553ba4,PRODUCES_PATIENT,0.6
event/3bbb618f,agent_i/fef86427,PRODUCES_PATIENT,0.4
event/423ab7b1,agent_i/16219023,PRODUCES_PATIENT,0.4
event/20c8a7ab,agent_i/e51be9a3,PRODUCES_PATIENT,0.6
event/cd699429,agent_he/689ffaad,PRODUCES_PATIENT,0.7
event/e5493b52,agent_i/996cd4c6,PRODUCES_PATIENT,0.8
event/0ee2f071,agent_i/187de7de,PRODUCES_PATIENT,0.9
event/f2599412,agent_he/34c02014,PRODUCES_PATIENT,0.7
event/f2599412,agent_mrs._joe_gargery/4fd01ed8,PRODUCES_PATIENT,0.3
event/89a395ba,agent_he/c02eccae,PRODUCES_PATIENT,0.7
event/89a395ba,agent_joe_gargery/bb2ea057,PRODUCES_PATIENT,0.5
event/e7852593,agent_i/a351af77,PRODUCES_PATIENT,0.5
event/e7852593,agent_joe_gargery/770b7c18,PRODUCES_PATIENT,0.3
event/32e89fb9,agent_he/f944cc42,PRODUCES_PATIENT,0.3
event/d934d40f,agent_man/459ba7ad,PRODUCES_PATIENT,0.5
event/d934d40f,agent_narrator/b5c17070,PRODUCES_PATIENT,0.5
event/da8fb73d,agent_narrator/443124f4,PRODUCES_PATIENT,0.7
event/23db875d,agent_narrator/5869a83f,PRODUCES_PATIENT,1.0
event/0fa10d6a,agent_narrator/ff15be75,PRODUCES_PATIENT,1.0
event/03c63d58,agent_narrator/6aea62b4,PRODUCES_PATIENT,1.0
event/9ad7c6d4,agent_man/61c352bc,PRODUCES_PATIENT,1.0
event/40e8f917,agent_narrator/4eb12b54,PRODUCES_PATIENT,1.0
event/4b697889,agent_narrator/d525e72a,PRODUCES_PATIENT,1.0
event/790d8e57,agent_narrator/e06c0e18,PRODUCES_PATIENT,1.0
event/456a94fa,agent_narrator/d16dd796,PRODUCES_PATIENT,1.0
event/96efa59b,agent_narrator/a428c06a,PRODUCES_PATIENT,1.0
event/1fc209e2,agent_narrator/ffbd31d2,PRODUCES_PATIENT,1.0
event/832f148d,agent_narrator/e1294307,PRODUCES_PATIENT,1.0
event/5a0b6e57,agent_narrator/e88a3117,PRODUCES_PATIENT,1.0
event/9031a84c,agent_narrator/b2acad9c,PRODUCES_PATIENT,1.0
event/7f95ad8e,agent_narrator/aa799799,PRODUCES_PATIENT,1.0
event/3811de1a,agent_narrator/3a74f0a2,PRODUCES_PATIENT,1.0
event/c250f076,agent_man/63aa33c5,PRODUCES_PATIENT,1.0
event/841cf743,agent_man/1550df0a,PRODUCES_PATIENT,1.0
event/2b289f3a,agent_man/effdc11e,PRODUCES_PATIENT,1.0
event/1adfc414,agent_narrator/1d66e115,PRODUCES_PATIENT,1.0
event/c8446ed4,agent_narrator/91c465fb,PRODUCES_PATIENT,1.0
event/3962a937,agent_narrator/4e6ca929,PRODUCES_PATIENT,0.9
event/a9a5b845,agent_narrator/98aa5dbd,PRODUCES_PATIENT,1.0
event/68197964,agent_narrator/fb4a1fd6,PRODUCES_PATIENT,1.0
event/1e7f50df,agent_narrator/826ca5ff,PRODUCES_PATIENT,1.0
event/ac84ccaa,agent_narrator/b4b36e03,PRODUCES_PATIENT,1.0
event/c4e03f53,agent_narrator/090b8d64,PRODUCES_PATIENT,0.8
event/5505fdd2,agent_narrator/cdd2df3b,PRODUCES_PATIENT,0.8
event/02de31bf,agent_narrator/3d107ad8,PRODUCES_PATIENT,0.6
event/67338777,agent_narrator/8c3d2db9,PRODUCES_PATIENT,0.7
event/b3e1d293,agent_narrator/3d4b57a7,PRODUCES_PATIENT,0.8
event/294b660c,agent_narrator/df875f77,PRODUCES_PATIENT,0.9
event/52c51ef1,agent_boy_(narrator)/87981cb3,PRODUCES_PATIENT,0.9
event/46f4f8cd,agent_narrator/5a6dc099,PRODUCES_PATIENT,0.9
event/b167a556,agent_narrator/281bda1a,PRODUCES_PATIENT,0.7
event/fe76218e,agent_narrator/ea2b094b,PRODUCES_PATIENT,1.0
event/4181e532,agent_man/7e093c62,PRODUCES_PATIENT,0.9
event/9c9c7dae,agent_man/53c38221,PRODUCES_PATIENT,0.9
