:START_ID,:END_ID,:TYPE,strength
agent_philip_pirrip/f81e2e4f,event/c6132117,ACTS_IN,1.0
agent_philip_pirrip/2050f319,event/67bfd5a2,ACTS_IN,1.0
agent_philip_pirrip/90333d31,event/b092dab2,ACTS_IN,1.0
agent_philip_pirrip/9ee72b14,event/a9e308a0,ACTS_IN,1.0
agent_philip_pirrip/b7a4fc73,event/1b72b802,ACTS_IN,1.0
agent_philip_pirrip/8fab6adf,event/e13f2e10,ACTS_IN,1.0
agent_philip_pirrip/e48b8e8d,event/5317ab88,ACTS_IN,1.0
agent_philip_pirrip/3353107b,event/ae7d6a61,ACTS_IN,1.0
agent_philip_pirrip/aa85df0c,event/595dadc8,ACTS_IN,1.0
agent_philip_pirrip/c66a2be5,event/e853838d,ACTS_IN,1.0
agent_philip_pirrip/021dd438,event/1724b172,ACTS_IN,1.0
agent_philip_pirrip/53d91159,event/e9ad5a77,ACTS_IN,1.0
agent_philip_pirrip/1b861adb,event/c0780b1e,ACTS_IN,1.0
agent_philip_pirrip/917c391c,event/514818e6,ACTS_IN,1.0
agent_philip_pirrip/a27370fd,event/64932905,ACTS_IN,1.0
agent_pip/e743bc6d,event/b7a5d269,ACTS_IN,1.0
agent_pip/a926bce2,event/fdf1bfba,ACTS_IN,1.0
agent_pip/33ba3f3c,event/c9b639c5,ACTS_IN,1.0
agent_pip/73b88477,event/01731a0e,ACTS_IN,1.0
agent_pip/fab32312,event/ae911bda,ACTS_IN,1.0
agent_pip/1696ab49,event/83158509,ACTS_IN,1.0
agent_pip/1f445adb,event/d89b58c1,ACTS_IN,1.0
agent_pip/f1f66bb5,event/726e2076,ACTS_IN,1.0
agent_pip/24e82027,event/767c177b,ACTS_IN,1.0
agent_pip/3771faa3,event/294e2044,ACTS_IN,1.0
agent_pip/f87e6e31,event/63603f73,ACTS_IN,1.0
agent_pip/49cb39e9,event/730dc0d9,ACTS_IN,1.0
agent_pip/192151c9,event/51b5f030,ACTS_IN,1.0
agent_pip/6c193ca4,event/1bbd2ae2,ACTS_IN,1.0
agent_pip/12d52bd1,event/f87fdaca,ACTS_IN,1.0
agent_pip/eab35013,event/c519fa6b,ACTS_IN,1.0
agent_pip/3da2f935,event/8c73f61e,ACTS_IN,1.0
agent_pip/af0dbc6a,event/86e918f7,ACTS_IN,1.0
agent_pip/d206a67d,event/c7699eff,ACTS_IN,1.0
agent_pip/756d4904,event/3a504040,ACTS_IN,1.0
agent_pip/af953aea,event/a7344f50,ACTS_IN,1.0
agent_pip/f667e40d,event/fbe8a573,ACTS_IN,1.0
agent_pip/3d9e9081,event/c1b96da9,ACTS_IN,0.3
agent_pip/0ec56c53,event/c9e36e7d,ACTS_IN,1.0
agent_pip/6a002217,event/30115faa,ACTS_IN,1.0
agent_pip/6019e431,event/38b56deb,ACTS_IN,0.8
agent_pip/0d8a0d9e,event/8ee7e2eb,ACTS_IN,1.0
agent_pip/b1f71e45,event/b1387a79,ACTS_IN,1.0
agent_pip/c094c56c,event/1acbe782,ACTS_IN,1.0
agent_pip/12df1b36,event/0311e6d6,ACTS_IN,1.0
agent_pip/478a4543,event/6272095c,ACTS_IN,1.0
agent_pip/d10ceb3c,event/22c10457,ACTS_IN,1.0
agent_pip/ee8f3c6e,event/a3216188,ACTS_IN,1.0
agent_pip/e3fdc7db,event/9d7957fa,ACTS_IN,1.0
agent_pip/11d95f2a,event/9b9765db,ACTS_IN,1.0
agent_pip/a6b5f071,event/cf1b80fd,ACTS_IN,1.0
agent_pip/aef949b0,event/008852c4,ACTS_IN,1.0
agent_pip/dda399b7,event/a523f8ee,ACTS_IN,1.0
agent_pip/6b4c25a5,event/6523413c,ACTS_IN,1.0
agent_pip/24a7f96a,event/ad2aade9,ACTS_IN,1.0
agent_pip/9093194c,event/453b314b,ACTS_IN,1.0
agent_pip/b05fb04b,event/fd26d712,ACTS_IN,1.0
agent_pip/4c97c92b,event/d891be15,ACTS_IN,1.0
agent_pip/6ca66fe2,event/d47bb26d,ACTS_IN,1.0
agent_pip/277e1f19,event/63141bdd,ACTS_IN,1.0
agent_pip/1bc8389d,event/399db3c1,ACTS_IN,1.0
agent_pip/60f389ed,event/53eeff4c,ACTS_IN,1.0
agent_pip/d8ebe979,event/6606d37e,ACTS_IN,1.0
agent_pip/b4527f8b,event/372a1c59,ACTS_IN,1.0
agent_pip/fdb85e36,event/a30c6b5f,ACTS_IN,1.0
agent_pip/3d66a30c,event/b875c8ad,ACTS_IN,1.0
agent_pip/4291e096,event/4ae963ff,ACTS_IN,1.0
agent_pip/dd356c44,event/2ca0bcaf,ACTS_IN,1.0
agent_pip/ef178169,event/230330ad,ACTS_IN,1.0
agent_pip/52793855,event/27777f1d,ACTS_IN,1.0
agent_pip/c962db61,event/d814aa47,ACTS_IN,1.0
agent_pip/4c8c51c4,event/255b6dd1,ACTS_IN,1.0
agent_pip/24c999e2,event/0eb02382,ACTS_IN,1.0
agent_pip/c849b9fa,event/96d7094b,ACTS_IN,1.0
agent_pip/03959384,event/b47c920b,ACTS_IN,1.0
agent_pip/41612a60,event/36c8e895,ACTS_IN,1.0
agent_narrator/1be93a34,event/11814843,ACTS_IN,1.0
agent_narrator/2258c70c,event/81789a8d,ACTS_IN,1.0
agent_narrator/40417836,event/a90b1c74,ACTS_IN,1.0
agent_narrator/60956452,event/ec71585a,ACTS_IN,1.0
agent_narrator/b4bf5f51,event/2b986c40,ACTS_IN,1.0
agent_narrator/adb34ba8,event/6ca104b8,ACTS_IN,1.0
agent_narrator/841bb617,event/ddbeb2dc,ACTS_IN,1.0
agent_narrator/6d059631,event/5d0b2307,ACTS_IN,1.0
agent_narrator/f516a800,event/f6ae651f,ACTS_IN,1.0
agent_narrator/6a944483,event/cc4f048f,ACTS_IN,1.0
agent_narrator/165ad436,event/7c4425b7,ACTS_IN,1.0
agent_narrator/d097c701,event/9ad90b59,ACTS_IN,1.0
agent_narrator/f23335e8,event/6c65ea76,ACTS_IN,1.0
agent_narrator/3f37c77b,event/24bafd19,ACTS_IN,1.0
agent_narrator/ef52a4f1,event/96feff2f,ACTS_IN,1.0
agent_narrator/0cb0ee16,event/a6c40f9c,ACTS_IN,1.0
agent_narrator/715cb1f3,event/896e1544,ACTS_IN,1.0
agent_narrator/f6ee105f,event/521ed19d,ACTS_IN,1.0
agent_narrator/39d115a9,event/b7555a67,ACTS_IN,1.0
agent_narrator/0849b631,event/76c84292,ACTS_IN,1.0
agent_narrator/09c4b7d9,event/eb0c3532,ACTS_IN,1.0
agent_narrator/75588f32,event/b4cb2d71,ACTS_IN,1.0
agent_narrator/384c3212,event/9c5e2db1,ACTS_IN,1.0
agent_narrator/92c41751,event/a51f0f29,ACTS_IN,1.0
agent_narrator/6d8cd61b,event/d32d7f88,ACTS_IN,1.0
agent_narrator/d4b21f8d,event/60bae95e,ACTS_IN,1.0
agent_narrator/dc8b1110,event/79fb6853,ACTS_IN,1.0
agent_narrator/37449704,event/2cb7662a,ACTS_IN,1.0
agent_narrator/0cfc8c72,event/1ce99c7f,ACTS_IN,1.0
agent_narrator/66ecd0f2,event/821d1a85,ACTS_IN,1.0
agent_philip_pirrip's_five_little_brothers/7ec16ec4,event/7fa35558,ACTS_IN,1.0
agent_unknown_man/35fea8f0,event/43693943,ACTS_IN,1.0
agent_unknown_man/128f4451,event/706c097f,ACTS_IN,1.0
agent_unknown_man/e1a792e6,event/a9992339,ACTS_IN,1.0
agent_unknown_man/dae0eb3f,event/d7951680,ACTS_IN,1.0
agent_unknown_man/08bf6a93,event/17a713f4,ACTS_IN,1.0
agent_unknown_man/de11e75f,event/26cdaf54,ACTS_IN,1.0
agent_unknown_man/1d55ddc7,event/9723f584,ACTS_IN,1.0
agent_unknown_man/a9dade10,event/44f2277b,ACTS_IN,1.0
agent_unknown_man/a6a3327d,event/3bcd6c13,ACTS_IN,1.0
agent_unknown_man/540576f5,event/20315016,ACTS_IN,1.0
agent_fearful_man/ef3d3457,event/c3932c02,ACTS_IN,1.0
agent_fearful_man/5faf1abe,event/db9a0998,ACTS_IN,1.0
agent_fearful_man/1e30aa16,event/023c9b67,ACTS_IN,1.0
agent_fearful_man/e802b909,event/e6bb2642,ACTS_IN,1.0
agent_fearful_man/f9f45ee4,event/ca7a388b,ACTS_IN,1.0
agent_fearful_man/6b9cf802,event/53cc1d59,ACTS_IN,1.0
agent_fearful_man/222392d6,event/b4f8d757,ACTS_IN,1.0
agent_fearful_man/c40992d5,event/20b5fef3,ACTS_IN,1.0
agent_fearful_man/70c68f89,event/11976c1f,ACTS_IN,1.0
agent_fearful_man/dc41965d,event/720517ba,ACTS_IN,1.0
agent_fearful_man/51c15339,event/7a989934,ACTS_IN,1.0
agent_fearful_man/eea3f596,event/62862b69,ACTS_IN,1.0
agent_fearful_man/748cd6ca,event/a66f594a,ACTS_IN,1.0
agent_the_man/2323ec34,event/dec1710a,ACTS_IN,1.0
agent_the_man/3e22cdac,event/85a97a09,ACTS_IN,1.0
agent_the_man/71c5d095,event/084516f3,ACTS_IN,1.0
agent_the_man/4017dafd,event/f5d89757,ACTS_IN,1.0
agent_the_man/975f2a68,event/870c571b,ACTS_IN,1.0
agent_the_man/f0cc006a,event/1eb7cb4f,ACTS_IN,1.0
agent_the_man/5e5aa322,event/6a91b3a7,ACTS_IN,1.0
agent_the_man/2cb0a6b5,event/95a43143,ACTS_IN,1.0
agent_man/8bd058bd,event/ad9d9f83,ACTS_IN,1.0
agent_man/ba73f34b,event/fbe8a573,ACTS_IN,1.0
agent_man/80a6ada9,event/30115faa,ACTS_IN,0.7
agent_man/53f3af42,event/3918fbb7,ACTS_IN,0.5
agent_man/fbc3c74d,event/4e722a8d,ACTS_IN,1.0
agent_unidentified_man/0bf89f4b,event/0d64ea1c,ACTS_IN,1.0
agent_unidentified_man/c6261843,event/29c32345,ACTS_IN,1.0
agent_unidentified_man/802aadcb,event/a3d4bb77,ACTS_IN,1.0
agent_unidentified_man/b21872a2,event/47a76def,ACTS_IN,1.0
agent_unidentified_man/e8176119,event/dd107795,ACTS_IN,1.0
agent_unidentified_man/70a4108b,event/7b5c834b,ACTS_IN,1.0
agent_unidentified_man/36dfb278,event/1b882f23,ACTS_IN,1.0
agent_unidentified_man/853496c0,event/6d3f3d98,ACTS_IN,1.0
agent_unidentified_man/9d4e2706,event/3df4532d,ACTS_IN,1.0
agent_unidentified_man/7444a924,event/f441a389,ACTS_IN,1.0
agent_unidentified_man/32206af3,event/c3fe378d,ACTS_IN,1.0
agent_unidentified_man/21a6b4ca,event/2e38448f,ACTS_IN,1.0
agent_unidentified_man/186979c4,event/df212465,ACTS_IN,1.0
agent_unidentified_man/91f76f26,event/a2c9d6b0,ACTS_IN,1.0
agent_he/8a1efbb2,event/4cb3e9ab,ACTS_IN,1.0
agent_he/29130d51,event/48d05394,ACTS_IN,1.0
agent_he/4e4368be,event/5fe95cb7,ACTS_IN,1.0
agent_he/6d0927ef,event/ba8b47c9,ACTS_IN,1.0
agent_he/3f29007e,event/e75b28f5,ACTS_IN,1.0
agent_he/d7554b6d,event/c0b3806e,ACTS_IN,1.0
agent_the_stranger/dab44901,event/b1387a79,ACTS_IN,0.6
agent_unknown_narrator/b8130806,event/d3717949,ACTS_IN,1.0
agent_mysterious_man/d83ae831,event/3f0f9b37,ACTS_IN,1.0
agent_mysterious_man/bdd6f620,event/0f1024d3,ACTS_IN,1.0
agent_mysterious_man/97cc73b8,event/bcc27092,ACTS_IN,1.0
agent_mysterious_man/4edfcbd0,event/09decda8,ACTS_IN,1.0
agent_unnamed_man/171c5030,event/32871eaa,ACTS_IN,1.0
agent_unnamed_man/7ce8acfa,event/778f70a6,ACTS_IN,1.0
agent_unnamed_man/966ef22d,event/d50c7eca,ACTS_IN,1.0
agent_unnamed_man/a8284c63,event/b97b9705,ACTS_IN,1.0
agent_unnamed_man/2a44e6be,event/c8e436e5,ACTS_IN,1.0
agent_unnamed_man/1c055966,event/de4bc7aa,ACTS_IN,1.0
agent_unnamed_man/e385628b,event/c34319de,ACTS_IN,1.0
agent_unnamed_man/e1cff730,event/6d657910,ACTS_IN,1.0
agent_unnamed_man/8b68f5e5,event/76eabf46,ACTS_IN,1.0
agent_unnamed_man/bb2879ea,event/0d183420,ACTS_IN,1.0
agent_unnamed_man/d20f751a,event/49c15961,ACTS_IN,1.0
agent_unnamed_man/fcb3c852,event/36cef954,ACTS_IN,1.0
agent_unnamed_man/a03f59da,event/edb05980,ACTS_IN,1.0
agent_abel_magwitch/0594b5fd,event/fbcf24ae,ACTS_IN,1.0
agent_abel_magwitch/be47e7e8,event/f3027707,ACTS_IN,1.0
agent_abel_magwitch/2cf9f884,event/f347a4f6,ACTS_IN,1.0
agent_abel_magwitch/31eff3b2,event/752c41b7,ACTS_IN,1.0
agent_abel_magwitch/6c29fa4b,event/786606eb,ACTS_IN,1.0
agent_abel_magwitch/9f6ebcf8,event/c1646130,ACTS_IN,1.0
agent_abel_magwitch/2ee0eb04,event/facd026d,ACTS_IN,1.0
agent_abel_magwitch/13e88d15,event/aab7946a,ACTS_IN,1.0
agent_abel_magwitch/81375739,event/52204136,ACTS_IN,1.0
agent_abel_magwitch/9ce4973d,event/7ec7eac5,ACTS_IN,1.0
agent_abel_magwitch/c3183933,event/2a37fd23,ACTS_IN,1.0
agent_abel_magwitch/db138862,event/1d51f09d,ACTS_IN,1.0
agent_abel_magwitch/50f0eb66,event/24f7ffd8,ACTS_IN,1.0
agent_abel_magwitch/3bc87cea,event/ee2cad29,ACTS_IN,1.0
agent_abel_magwitch/367194fe,event/c2b35eeb,ACTS_IN,1.0
agent_abel_magwitch/bff15f72,event/77c8ccb0,ACTS_IN,1.0
agent_young_man/c9492a41,event/da031a4e,ACTS_IN,1.0
agent_young_man/f700f97f,event/438b3a3a,ACTS_IN,1.0
agent_boy/b95a7c4f,event/0dfd593f,ACTS_IN,1.0
agent_boy/e11339df,event/eb4d75a7,ACTS_IN,1.0
agent_boy/a7b45c68,event/53ce185b,ACTS_IN,1.0
agent_boy/a1b3f00a,event/8099b1d2,ACTS_IN,1.0
agent_unspecified_listener/7ce5549f,event/bb95cb0c,ACTS_IN,1.0
