:START_ID,:END_ID,:TYPE,strength
agent_philip_pirrip/ec056e9e,event/c6132117,AFFECTED_IN,0.4
agent_philip_pirrip/e2e36f02,event/5a0ea536,AFFECTED_IN,0.6
agent_philip_pirrip/544cdf5d,event/730dc0d9,AFFECTED_IN,1.0
agent_pip's_father/4da43797,event/b7a5d269,AFFECTED_IN,0.7
agent_pip's_father/0424ac7a,event/c9b639c5,AFFECTED_IN,0.5
agent_pip's_father/c92e862c,event/ae911bda,AFFECTED_IN,1.0
agent_pip's_father/9ecc932b,event/83158509,AFFECTED_IN,0.8
agent_pip's_father/a7116bea,event/d89b58c1,AFFECTED_IN,0.7
agent_pip's_father/988189c3,event/726e2076,AFFECTED_IN,0.9
agent_pip's_father/772740e8,event/767c177b,AFFECTED_IN,0.9
agent_pip's_father/7db87e5f,event/294e2044,AFFECTED_IN,0.6
agent_mrs._joe_gargery/15106d35,event/588aaf26,AFFECTED_IN,1.0
agent_joe_gargery/f4255cee,event/588aaf26,AFFECTED_IN,0.4
agent_pip's_mother/d79f9d4e,event/ae911bda,AFFECTED_IN,1.0
agent_pip's_mother/7ce3ecce,event/83158509,AFFECTED_IN,0.8
agent_pip's_mother/cb8374d3,event/d89b58c1,AFFECTED_IN,0.7
agent_pip's_mother/3469427c,event/726e2076,AFFECTED_IN,0.9
agent_georgiana/528a8260,event/a90b1c74,AFFECTED_IN,1.0
agent_georgiana/3a4659ab,event/51b5f030,AFFECTED_IN,1.0
agent_philip_pirrip's_five_little_brothers/571badea,event/2fc9d697,AFFECTED_IN,0.2
agent_philip_pirrip's_five_little_brothers/4932ccc0,event/67bfd5a2,AFFECTED_IN,1.0
agent_philip_pirrip's_five_little_brothers/ae00c8db,event/b092dab2,AFFECTED_IN,0.6
agent_philip_pirrip's_five_little_brothers/101a4da4,event/a9e308a0,AFFECTED_IN,0.4
agent_philip_pirrip's_five_little_brothers/5d2ca5d2,event/1b72b802,AFFECTED_IN,0.4
agent_philip_pirrip's_five_little_brothers/1ce99bf4,event/e13f2e10,AFFECTED_IN,1.0
agent_philip_pirrip's_five_little_brothers/eab308a8,event/5317ab88,AFFECTED_IN,1.0
agent_pip/72a37946,event/b60966ab,AFFECTED_IN,1.0
agent_pip/70191af9,event/ad9d9f83,AFFECTED_IN,1.0
agent_pip/ff326f54,event/fbe8a573,AFFECTED_IN,1.0
agent_pip/34aaede5,event/3918fbb7,AFFECTED_IN,0.5
agent_pip/e59f2fc6,event/b440fa91,AFFECTED_IN,0.4
agent_pip/03711321,event/3f0f9b37,AFFECTED_IN,0.7
agent_pip/e1dd9ca9,event/0f1024d3,AFFECTED_IN,0.7
agent_pip/22480121,event/bcc27092,AFFECTED_IN,1.0
agent_pip/7b009433,event/09decda8,AFFECTED_IN,1.0
agent_pip/f01fb12c,event/3df4532d,AFFECTED_IN,1.0
agent_pip/6c9d9c3e,event/f441a389,AFFECTED_IN,1.0
agent_pip/0dd917a8,event/8825d634,AFFECTED_IN,1.0
agent_pip/d654352b,event/fbcf24ae,AFFECTED_IN,1.0
agent_pip/991e9771,event/f3027707,AFFECTED_IN,1.0
agent_pip/b8bdef21,event/f347a4f6,AFFECTED_IN,1.0
agent_pip/d3c536af,event/752c41b7,AFFECTED_IN,1.0
agent_pip/944ad3e6,event/786606eb,AFFECTED_IN,1.0
agent_pip/36969881,event/c1646130,AFFECTED_IN,1.0
agent_pip/9e6d79a6,event/facd026d,AFFECTED_IN,1.0
agent_pip/679db740,event/778f70a6,AFFECTED_IN,1.0
agent_pip/14b8d6b4,event/d50c7eca,AFFECTED_IN,1.0
agent_pip/559201ac,event/b97b9705,AFFECTED_IN,1.0
agent_pip/ccbae903,event/aab7946a,AFFECTED_IN,1.0
agent_pip/f69feaba,event/52204136,AFFECTED_IN,1.0
agent_pip/3df44858,event/7ec7eac5,AFFECTED_IN,0.9
agent_pip/8b7e0e99,event/2a37fd23,AFFECTED_IN,1.0
agent_pip/44a30de7,event/1d51f09d,AFFECTED_IN,1.0
agent_pip/6cb0bc63,event/24f7ffd8,AFFECTED_IN,1.0
agent_pip/8c41abec,event/ee2cad29,AFFECTED_IN,1.0
agent_pip/d84a638f,event/c2b35eeb,AFFECTED_IN,0.9
agent_pip/d1752009,event/77c8ccb0,AFFECTED_IN,0.6
agent_unknown_child/506b3c6d,event/706c097f,AFFECTED_IN,1.0
agent_unknown_child/5581175e,event/a9992339,AFFECTED_IN,1.0
