:ID,name
agent_philip_pirrip/f81e2e4f,Philip Pirrip
agent_philip_pirrip/2050f319,Philip Pirrip
agent_unspecified_others/75f864bc,Unspecified others
agent_pip/e743bc6d,Pip
agent_pip/a926bce2,Pip
agent_pip/33ba3f3c,Pip
agent_mrs._joe_gargery/a2c2af8f,Mrs. Joe Gargery
agent_joe_gargery/5f5de4d1,Joe Gargery
agent_pip/73b88477,Pip
agent_pip/fab32312,Pip
agent_pip/1696ab49,Pip
agent_pip/1f445adb,Pip
agent_pip/f1f66bb5,Pip
agent_pip/24e82027,Pip
agent_pip/3771faa3,Pip
agent_pip/f87e6e31,Pip
agent_narrator/1be93a34,Narrator
agent_narrator/2258c70c,Narrator
agent_narrator/40417836,Narrator
agent_narrator/60956452,Narrator
agent_philip_pirrip's_five_little_brothers/7ec16ec4,Philip Pirrip's five little brothers
agent_philip_pirrip's_five_little_brothers/54f6f5b0,Philip Pirrip's five little brothers
agent_philip_pirrip/90333d31,Philip Pirrip
agent_philip_pirrip/9ee72b14,Philip Pirrip
agent_philip_pirrip/b7a4fc73,Philip Pirrip
agent_philip_pirrip/8fab6adf,Philip Pirrip
agent_philip_pirrip/e48b8e8d,Philip Pirrip
agent_philip_pirrip/3353107b,Philip Pirrip
agent_narrator/b4bf5f51,Narrator
agent_narrator/adb34ba8,Narrator
agent_pip/49cb39e9,Pip
agent_pip/192151c9,Pip
agent_pip/6c193ca4,Pip
agent_pip/12d52bd1,Pip
agent_pip/eab35013,Pip
agent_pip/3da2f935,Pip
agent_pip/af0dbc6a,Pip
agent_pip/d206a67d,Pip
agent_pip/756d4904,Pip
agent_pip/af953aea,Pip
agent_unknown_man/35fea8f0,Unknown man
agent_unknown_man/128f4451,Unknown man
agent_unknown_man/e1a792e6,Unknown man
agent_unknown_man/dae0eb3f,Unknown man
agent_unknown_child/588c130f,Unknown child
agent_fearful_man/ef3d3457,Fearful man
agent_fearful_man/5faf1abe,Fearful man
agent_fearful_man/1e30aa16,Fearful man
agent_fearful_man/e802b909,Fearful man
agent_fearful_man/f9f45ee4,Fearful man
agent_fearful_man/6b9cf802,Fearful man
agent_fearful_man/222392d6,Fearful man
agent_fearful_man/c40992d5,Fearful man
agent_fearful_man/70c68f89,Fearful man
agent_fearful_man/dc41965d,Fearful man
agent_fearful_man/51c15339,Fearful man
agent_fearful_man/eea3f596,Fearful man
agent_fearful_man/748cd6ca,Fearful man
agent_fearful_man/948f8d32,Fearful man
agent_narrator/841bb617,Narrator
agent_narrator/6d059631,Narrator
agent_narrator/f516a800,Narrator
agent_the_man/2323ec34,the man
agent_the_man/3e22cdac,the man
agent_the_man/71c5d095,the man
agent_the_man/4017dafd,the man
agent_the_man/975f2a68,the man
agent_pip/f667e40d,Pip
agent_man/8bd058bd,man
agent_man/ba73f34b,man
agent_man/80a6ada9,man
agent_pip/3d9e9081,Pip
agent_pip/0ec56c53,Pip
agent_pip/6a002217,Pip
agent_pip/6019e431,Pip
agent_man/53f3af42,man
agent_pip/0d8a0d9e,Pip
agent_man/fbc3c74d,man
agent_unknown_man/08bf6a93,Unknown man
agent_unknown_man/de11e75f,Unknown man
agent_unknown_man/1d55ddc7,Unknown man
agent_narrator/6a944483,Narrator
agent_narrator/165ad436,Narrator
agent_narrator/d097c701,Narrator
agent_unidentified_man/0bf89f4b,Unidentified man
agent_unidentified_man/c6261843,Unidentified man
agent_unidentified_man/802aadcb,Unidentified man
agent_narrator/f23335e8,Narrator
agent_narrator/3f37c77b,Narrator
agent_unspecified_man/95bdf30d,Unspecified man
agent_narrator/ef52a4f1,Narrator
agent_narrator/0cb0ee16,Narrator
agent_the_man/f0cc006a,the man
agent_the_man/5e5aa322,the man
agent_he/8a1efbb2,He
agent_he/29130d51,He
agent_he/4e4368be,He
agent_he/6d0927ef,He
agent_narrator/715cb1f3,Narrator
agent_unspecified_man_addressed_as_sir/f0d87ba1,Unspecified man addressed as sir
agent_narrator/f6ee105f,Narrator
agent_he/3f29007e,He
agent_he/d7554b6d,He
agent_he/efe0f43b,He
agent_pip/b1f71e45,Pip
agent_the_stranger/dab44901,The stranger
agent_pip/c094c56c,Pip
agent_the_stranger/824cd8f4,The stranger
agent_unidentified_man/b21872a2,Unidentified man
agent_unidentified_man/e8176119,Unidentified man
agent_unidentified_man/70a4108b,Unidentified man
agent_unidentified_man/36dfb278,Unidentified man
agent_unknown_narrator/b8130806,Unknown narrator
agent_unspecified_male_addressee/f8eccd3f,Unspecified male addressee
agent_unknown_narrator/598e6583,Unknown narrator
agent_unidentified_man/853496c0,Unidentified man
agent_unidentified_man/9d4e2706,Unidentified man
agent_mysterious_man/d83ae831,Mysterious man
agent_mysterious_man/bdd6f620,Mysterious man
agent_mysterious_man/97cc73b8,Mysterious man
agent_mysterious_man/4edfcbd0,Mysterious man
agent_mysterious_man/757fe09a,Mysterious man
agent_pip/12df1b36,Pip
agent_pip/478a4543,Pip
agent_unidentified_man/7444a924,Unidentified man
agent_unidentified_man/32206af3,Unidentified man
agent_pip/d10ceb3c,Pip
agent_unnamed_man/171c5030,Unnamed man
agent_unnamed_man/7ce8acfa,Unnamed man
agent_narrator/39d115a9,Narrator
agent_narrator/0849b631,Narrator
agent_abel_magwitch/0594b5fd,Abel Magwitch
agent_abel_magwitch/be47e7e8,Abel Magwitch
agent_abel_magwitch/2cf9f884,Abel Magwitch
agent_abel_magwitch/31eff3b2,Abel Magwitch
agent_abel_magwitch/6c29fa4b,Abel Magwitch
agent_abel_magwitch/9f6ebcf8,Abel Magwitch
agent_abel_magwitch/2ee0eb04,Abel Magwitch
agent_abel_magwitch/13e88d15,Abel Magwitch
agent_pip/ee8f3c6e,Pip
agent_pip/e3fdc7db,Pip
agent_pip/11d95f2a,Pip
agent_pip/a6b5f071,Pip
agent_pip/aef949b0,Pip
