:START_ID,:END_ID,:TYPE
event/1e53f288,event/c6132117,FOLLOWS
event/c6132117,event/5a0ea536,FOLLOWS
event/5a0ea536,event/11ae2e86,FOLLOWS
event/11ae2e86,event/b7a5d269,FOLLOWS
event/b7a5d269,event/fdf1bfba,FOLLOWS
event/fdf1bfba,event/4dc2d56e,FOLLOWS
event/4dc2d56e,event/c9b639c5,FOLLOWS
event/c9b639c5,event/01731a0e,FOLLOWS
event/01731a0e,event/ae911bda,FOLLOWS
event/ae911bda,event/83158509,FOLLOWS
event/83158509,event/d89b58c1,FOLLOWS
event/d89b58c1,event/726e2076,FOLLOWS
event/726e2076,event/767c177b,FOLLOWS
event/767c177b,event/294e2044,FOLLOWS
event/294e2044,event/f8a5fd33,FOLLOWS
event/f8a5fd33,event/11814843,FOLLOWS
event/11814843,event/81789a8d,FOLLOWS
event/81789a8d,event/a90b1c74,FOLLOWS
event/a90b1c74,event/ea14b977,FOLLOWS
event/ea14b977,event/7fa35558,FOLLOWS
event/7fa35558,event/7134b103,FOLLOWS
event/7134b103,event/2fc9d697,FOLLOWS
event/2fc9d697,event/67bfd5a2,FOLLOWS
event/67bfd5a2,event/b092dab2,FOLLOWS
event/b092dab2,event/a9e308a0,FOLLOWS
event/a9e308a0,event/1b72b802,FOLLOWS
event/1b72b802,event/e13f2e10,FOLLOWS
event/e13f2e10,event/5317ab88,FOLLOWS
event/5317ab88,event/ec71585a,FOLLOWS
event/ec71585a,event/2b986c40,FOLLOWS
event/2b986c40,event/63603f73,FOLLOWS
event/63603f73,event/730dc0d9,FOLLOWS
event/730dc0d9,event/51b5f030,FOLLOWS
event/51b5f030,event/1bbd2ae2,FOLLOWS
event/1bbd2ae2,event/f87fdaca,FOLLOWS
event/f87fdaca,event/c519fa6b,FOLLOWS
event/c519fa6b,event/8c73f61e,FOLLOWS
event/8c73f61e,event/86e918f7,FOLLOWS
event/86e918f7,event/c7699eff,FOLLOWS
event/c7699eff,event/3a504040,FOLLOWS
event/3a504040,event/8990700b,FOLLOWS
event/8990700b,event/43693943,FOLLOWS
event/43693943,event/706c097f,FOLLOWS
event/706c097f,event/a9992339,FOLLOWS
event/a9992339,event/fe78c9eb,FOLLOWS
event/fe78c9eb,event/f8e05f87,FOLLOWS
event/f8e05f87,event/c3932c02,FOLLOWS
event/c3932c02,event/db9a0998,FOLLOWS
event/db9a0998,event/023c9b67,FOLLOWS
event/023c9b67,event/e6bb2642,FOLLOWS
event/e6bb2642,event/ca7a388b,FOLLOWS
event/ca7a388b,event/53cc1d59,FOLLOWS
event/53cc1d59,event/b4f8d757,FOLLOWS
event/b4f8d757,event/20b5fef3,FOLLOWS
event/20b5fef3,event/11976c1f,FOLLOWS
event/11976c1f,event/720517ba,FOLLOWS
event/720517ba,event/7a989934,FOLLOWS
event/7a989934,event/62862b69,FOLLOWS
event/62862b69,event/a66f594a,FOLLOWS
event/a66f594a,event/6ca104b8,FOLLOWS
event/6ca104b8,event/ddbeb2dc,FOLLOWS
event/ddbeb2dc,event/5d0b2307,FOLLOWS
event/5d0b2307,event/797dd73b,FOLLOWS
event/797dd73b,event/dec1710a,FOLLOWS
event/dec1710a,event/85a97a09,FOLLOWS
event/85a97a09,event/084516f3,FOLLOWS
event/084516f3,event/f5d89757,FOLLOWS
event/f5d89757,event/a7344f50,FOLLOWS
event/a7344f50,event/589d6cf7,FOLLOWS
event/589d6cf7,event/b60966ab,FOLLOWS
event/b60966ab,event/ad9d9f83,FOLLOWS
event/ad9d9f83,event/fbe8a573,FOLLOWS
event/fbe8a573,event/c1b96da9,FOLLOWS
event/c1b96da9,event/c9e36e7d,FOLLOWS
event/c9e36e7d,event/30115faa,FOLLOWS
event/30115faa,event/38b56deb,FOLLOWS
event/38b56deb,event/3918fbb7,FOLLOWS
event/3918fbb7,event/d7951680,FOLLOWS
event/d7951680,event/17a713f4,FOLLOWS
event/17a713f4,event/26cdaf54,FOLLOWS
event/26cdaf54,event/f6ae651f,FOLLOWS
event/f6ae651f,event/cc4f048f,FOLLOWS
event/cc4f048f,event/7c4425b7,FOLLOWS
event/7c4425b7,event/26e4bf50,FOLLOWS
event/26e4bf50,event/0d64ea1c,FOLLOWS
event/0d64ea1c,event/29c32345,FOLLOWS
event/29c32345,event/9ad90b59,FOLLOWS
event/9ad90b59,event/6c65ea76,FOLLOWS
event/6c65ea76,event/e675d3a4,FOLLOWS
event/e675d3a4,event/24bafd19,FOLLOWS
event/24bafd19,event/96feff2f,FOLLOWS
event/96feff2f,event/870c571b,FOLLOWS
event/870c571b,event/1eb7cb4f,FOLLOWS
event/1eb7cb4f,event/34922613,FOLLOWS
event/34922613,event/4cb3e9ab,FOLLOWS
event/4cb3e9ab,event/48d05394,FOLLOWS
event/48d05394,event/5fe95cb7,FOLLOWS
event/5fe95cb7,event/a6c40f9c,FOLLOWS
event/a6c40f9c,event/896e1544,FOLLOWS
event/896e1544,event/ba8b47c9,FOLLOWS
event/ba8b47c9,event/e75b28f5,FOLLOWS
event/e75b28f5,event/c0b3806e,FOLLOWS
event/c0b3806e,event/8ee7e2eb,FOLLOWS
event/8ee7e2eb,event/b1387a79,FOLLOWS
event/b1387a79,event/a3d4bb77,FOLLOWS
event/a3d4bb77,event/47a76def,FOLLOWS
event/47a76def,event/dd107795,FOLLOWS
event/dd107795,event/7b5c834b,FOLLOWS
event/7b5c834b,event/588aaf26,FOLLOWS
event/588aaf26,event/d3717949,FOLLOWS
event/d3717949,event/1b882f23,FOLLOWS
event/1b882f23,event/6d3f3d98,FOLLOWS
event/6d3f3d98,event/b440fa91,FOLLOWS
event/b440fa91,event/3f0f9b37,FOLLOWS
event/3f0f9b37,event/0f1024d3,FOLLOWS
event/0f1024d3,event/bcc27092,FOLLOWS
event/bcc27092,event/09decda8,FOLLOWS
event/09decda8,event/1acbe782,FOLLOWS
event/1acbe782,event/0311e6d6,FOLLOWS
event/0311e6d6,event/3df4532d,FOLLOWS
event/3df4532d,event/f441a389,FOLLOWS
event/f441a389,event/6272095c,FOLLOWS
event/6272095c,event/107fe649,FOLLOWS
event/107fe649,event/32871eaa,FOLLOWS
event/32871eaa,event/521ed19d,FOLLOWS
event/521ed19d,event/b7555a67,FOLLOWS
event/b7555a67,event/8825d634,FOLLOWS
event/8825d634,event/fbcf24ae,FOLLOWS
event/fbcf24ae,event/f3027707,FOLLOWS
event/f3027707,event/f347a4f6,FOLLOWS
event/f347a4f6,event/752c41b7,FOLLOWS
event/752c41b7,event/786606eb,FOLLOWS
event/786606eb,event/c1646130,FOLLOWS
event/c1646130,event/facd026d,FOLLOWS
event/facd026d,event/22c10457,FOLLOWS
event/22c10457,event/a3216188,FOLLOWS
event/a3216188,event/9d7957fa,FOLLOWS
event/9d7957fa,event/9b9765db,FOLLOWS
event/9b9765db,event/cf1b80fd,FOLLOWS
event/cf1b80fd,event/008852c4,FOLLOWS
event/008852c4,event/a523f8ee,FOLLOWS
event/a523f8ee,event/778f70a6,FOLLOWS
event/778f70a6,event/6523413c,FOLLOWS
event/6523413c,event/ad2aade9,FOLLOWS
event/ad2aade9,event/d50c7eca,FOLLOWS
event/d50c7eca,event/b97b9705,FOLLOWS
event/b97b9705,event/453b314b,FOLLOWS
event/453b314b,event/aab7946a,FOLLOWS
event/aab7946a,event/52204136,FOLLOWS
event/52204136,event/7ec7eac5,FOLLOWS
event/7ec7eac5,event/2a37fd23,FOLLOWS
event/2a37fd23,event/1d51f09d,FOLLOWS
event/1d51f09d,event/24f7ffd8,FOLLOWS
event/24f7ffd8,event/ee2cad29,FOLLOWS
event/ee2cad29,event/c2b35eeb,FOLLOWS
event/c2b35eeb,event/77c8ccb0,FOLLOWS
event/77c8ccb0,event/fd26d712,FOLLOWS
event/fd26d712,event/a91c9df4,FOLLOWS
event/a91c9df4,event/8df4c44b,FOLLOWS
event/8df4c44b,event/4954843b,FOLLOWS
event/4954843b,event/0dfd593f,FOLLOWS
event/0dfd593f,event/eb4d75a7,FOLLOWS
event/eb4d75a7,event/53ce185b,FOLLOWS
event/53ce185b,event/8099b1d2,FOLLOWS
event/8099b1d2,event/da031a4e,FOLLOWS
event/da031a4e,event/438b3a3a,FOLLOWS
event/438b3a3a,event/76c84292,FOLLOWS
event/76c84292,event/eb0c3532,FOLLOWS
event/eb0c3532,event/b4cb2d71,FOLLOWS
event/b4cb2d71,event/9c5e2db1,FOLLOWS
event/9c5e2db1,event/d891be15,FOLLOWS
event/d891be15,event/d47bb26d,FOLLOWS
event/d47bb26d,event/63141bdd,FOLLOWS
event/63141bdd,event/6a91b3a7,FOLLOWS
event/6a91b3a7,event/95a43143,FOLLOWS
event/95a43143,event/c8e436e5,FOLLOWS
event/c8e436e5,event/de4bc7aa,FOLLOWS
event/de4bc7aa,event/743d4fbc,FOLLOWS
event/743d4fbc,event/c34319de,FOLLOWS
event/c34319de,event/bb95cb0c,FOLLOWS
event/bb95cb0c,event/6d657910,FOLLOWS
event/6d657910,event/c3fe378d,FOLLOWS
event/c3fe378d,event/2e38448f,FOLLOWS
event/2e38448f,event/df212465,FOLLOWS
event/df212465,event/a2c9d6b0,FOLLOWS
event/a2c9d6b0,event/9723f584,FOLLOWS
event/9723f584,event/44f2277b,FOLLOWS
event/44f2277b,event/3bcd6c13,FOLLOWS
