:START_ID,:END_ID,:TYPE,specificity
place_unspecified/a1db9779,event/fdf1bfba,HOSTS,0.8
place_unspecified/502ee3a9,event/4dc2d56e,HOSTS,0.8
place_unspecified/718279d2,event/ae911bda,HOSTS,0.8
place_unspecified/86acac70,event/83158509,HOSTS,0.8
place_unspecified/9ebe5729,event/d891be15,HOSTS,0.8
place_unspecified/4e00abf6,event/d47bb26d,HOSTS,0.8
place_various_early-life_settings_(implied)/a66f9647,event/01731a0e,HOSTS,0.8
place_churchyard_at_his_father's_tombstone_(implied)/edb3cea7,event/294e2044,HOSTS,0.8
place_at_the_inscription_mentioning_'also_georgiana_wife_of_the_above'/19db2618,event/81789a8d,HOSTS,0.8
place_beside_their_grave/3ad339ba,event/2fc9d697,HOSTS,0.8
place_at_the_graveyard_(implied)/fd6458fc,event/b092dab2,HOSTS,0.8
place_unspecified_(mental_scene)/907137a0,event/e13f2e10,HOSTS,0.8
place_churchyard/0d230520,event/51b5f030,HOSTS,0.8
place_churchyard/9a5392e9,event/1bbd2ae2,HOSTS,0.8
place_churchyard/c7f5c170,event/c7699eff,HOSTS,0.8
place_churchyard/15a8435e,event/3a504040,HOSTS,0.8
place_among_the_graves_at_the_side_of_the_church_porch/827361d8,event/43693943,HOSTS,0.8
place_among_the_graves_at_the_side_of_the_church_porch/e1726e7f,event/706c097f,HOSTS,0.8
place_among_the_graves_at_the_side_of_the_church_porch/04f0e606,event/a9992339,HOSTS,0.8
place_among_the_graves_at_the_side_of_the_church_porch/97305fd5,event/fe78c9eb,HOSTS,0.8
place_among_the_graves_at_the_side_of_the_church_porch/af04511b,event/f8e05f87,HOSTS,0.8
place_among_the_graves_at_the_side_of_the_church_porch/9660a5fa,event/c3932c02,HOSTS,0.5
place_among_the_graves_at_the_side_of_the_church_porch/54d87422,event/db9a0998,HOSTS,0.5
place_among_the_graves_at_the_side_of_the_church_porch/d9e98b09,event/023c9b67,HOSTS,0.5
place_among_the_graves_at_the_side_of_the_church_porch/e726b944,event/e6bb2642,HOSTS,0.5
place_among_the_graves_at_the_side_of_the_church_porch/0e81c67e,event/ca7a388b,HOSTS,0.5
place_among_the_graves_at_the_side_of_the_church_porch/d9fe377b,event/53cc1d59,HOSTS,0.5
place_among_the_graves_at_the_side_of_the_church_porch/496fb852,event/b4f8d757,HOSTS,0.5
place_among_the_graves_at_the_side_of_the_church_porch/2ac8dedf,event/20b5fef3,HOSTS,0.5
place_among_the_graves_at_the_side_of_the_church_porch/68fdd769,event/11976c1f,HOSTS,0.5
place_among_the_graves_at_the_side_of_the_church_porch/cf0bd7ad,event/720517ba,HOSTS,0.5
place_among_the_graves_at_the_side_of_the_church_porch/cc489348,event/7a989934,HOSTS,0.5
place_among_the_graves_at_the_side_of_the_church_porch/0ac3ee56,event/62862b69,HOSTS,0.5
place_among_the_graves_at_the_side_of_the_church_porch/1caaaa9f,event/a66f594a,HOSTS,0.5
place_among_the_graves_at_the_side_of_the_church_porch/8619703f,event/6ca104b8,HOSTS,0.5
place_among_the_graves_at_the_side_of_the_church_porch/26009211,event/ddbeb2dc,HOSTS,0.5
place_among_the_graves_at_the_side_of_the_church_porch/49c4f9a9,event/5d0b2307,HOSTS,0.5
place_among_the_graves_at_the_side_of_the_church_porch/acd74d1d,event/797dd73b,HOSTS,0.5
place_among_the_graves_at_the_side_of_the_church_porch/1d5fd186,event/dec1710a,HOSTS,0.5
place_among_the_graves_at_the_side_of_the_church_porch/ff94b03c,event/85a97a09,HOSTS,0.5
place_unspecified_outdoor_location/c0c73f91,event/f5d89757,HOSTS,0.8
place_unspecified_outdoor_location/f41d8c69,event/ae7d6a61,HOSTS,0.8
place_unspecified_outdoor_location/3d2ad278,event/595dadc8,HOSTS,0.8
place_unspecified_outdoor_location/ce1b2ca1,event/e9ad5a77,HOSTS,0.8
place_unspecified_outdoor_location/adf372cf,event/c0780b1e,HOSTS,0.8
place_unspecified_outdoor_location/bdb83ce4,event/514818e6,HOSTS,0.8
place_churchyard_(implied)/29733e65,event/ad9d9f83,HOSTS,0.8
place_churchyard_(implied)/f7a454d1,event/fbe8a573,HOSTS,0.8
place_churchyard_near_church_and_tombstones/49db3993,event/c9e36e7d,HOSTS,0.8
place_on_a_high_tombstone/c6cf1c3c,event/38b56deb,HOSTS,0.8
place_churchyard_near_tombstone/54804cd6,event/d7951680,HOSTS,0.8
place_churchyard_near_tombstone/3ba66abe,event/17a713f4,HOSTS,0.5
