:ID,name
place_unspecified/a1db9779,unspecified
"place_churchyard_(implied,_site_of_tombstone)/9d645de1","churchyard (implied, site of tombstone)"
place_unspecified/502ee3a9,unspecified
place_unspecified/718279d2,unspecified
place_various_early-life_settings_(implied)/a66f9647,various early-life settings (implied)
place_various_early-life_settings_(implied)/37709f24,various early-life settings (implied)
place_unspecified/86acac70,unspecified
place_unspecified/9ebe5729,unspecified
place_churchyard_by_the_tombstones_(implied)/ed14b744,churchyard by the tombstones (implied)
place_churchyard_at_the_tombstones_(implied)/b2085d3f,churchyard at the tombstones (implied)
place_churchyard_at_his_father's_tombstone_(implied)/edb3cea7,churchyard at his father's tombstone (implied)
place_churchyard_at_his_father's_tombstone_(implied)/8498ab59,churchyard at his father's tombstone (implied)
place_at_the_inscription_mentioning_'also_georgiana_wife_of_the_above'/19db2618,at the inscription mentioning 'Also Georgiana Wife of the Above'
place_at_the_inscription/3d1d201a,at the inscription
place_at_the_inscription_mentioning_'also_georgiana_wife_of_the_above'/95455b72,at the inscription mentioning 'Also Georgiana Wife of the Above'
place_at_the_inscription_/_in_narrator's_mind/6836a872,at the inscription / in narrator's mind
place_their_grave/809bc1b4,their grave
"place_their_grave_(implied,_posthumous_reference)/c74e39da","their grave (implied, posthumous reference)"
place_beside_their_grave/3ad339ba,beside their grave
place_beside_their_grave/2ee37f6f,beside their grave
place_at_the_graveyard_(implied)/fd6458fc,at the graveyard (implied)
place_at_the_graveyard_(implied)/e88846c2,at the graveyard (implied)
place_unspecified_(state_of_mind)/665f2ef0,unspecified (state of mind)
place_unspecified_(mental_scene)/907137a0,unspecified (mental scene)
place_unspecified_(mental_scene)/be9550e1,unspecified (mental scene)
place_unspecified_(mental_state)/48dd295c,unspecified (mental state)
"place_the_marsh_country,_down_by_the_river,_within_twenty_miles_of_the_sea/a9587c8e","the marsh country, down by the river, within twenty miles of the sea"
place_unspecified_(implied_marsh_country)/15d7b570,unspecified (implied marsh country)
place_bleak_place_overgrown_with_nettles_/_churchyard/cd56e572,bleak place overgrown with nettles / churchyard
place_churchyard/0d230520,churchyard
place_churchyard/9a5392e9,churchyard
place_churchyard/c7f5c170,churchyard
place_dark_flat_wilderness_beyond_the_churchyard_/_marshes/ba01fb4f,dark flat wilderness beyond the churchyard / marshes
place_low_leaden_line_beyond_the_marshes_/_river/21294ba1,low leaden line beyond the marshes / river
place_distant_savage_lair_from_which_the_wind_was_rushing_/_sea/cdcaede8,distant savage lair from which the wind was rushing / sea
"place_churchyard_and_surrounding_marshes,_river,_and_sea/353c7fb8","churchyard and surrounding marshes, river, and sea"
place_churchyard/15a8435e,churchyard
place_churchyard/54e0ad72,churchyard
place_among_the_graves_at_the_side_of_the_church_porch/827361d8,among the graves at the side of the church porch
place_among_the_graves_at_the_side_of_the_church_porch/e1726e7f,among the graves at the side of the church porch
place_among_the_graves_at_the_side_of_the_church_porch/04f0e606,among the graves at the side of the church porch
place_among_the_graves_at_the_side_of_the_church_porch/97305fd5,among the graves at the side of the church porch
place_among_the_graves_at_the_side_of_the_church_porch/af04511b,among the graves at the side of the church porch
place_unspecified_outdoor_location/c0c73f91,unspecified outdoor location
place_unspecified_outdoor_location/f41d8c69,unspecified outdoor location
"place_near_the_church,_overlooking_the_flat_in-shore_among_the_alder-trees_and_pollards/c248356f","near the church, overlooking the flat in-shore among the alder-trees and pollards"
"place_on_the_flat_in-shore_among_the_alder-trees_and_pollards,_a_mile_or_more_from_the_church/a0b7c092","on the flat in-shore among the alder-trees and pollards, a mile or more from the church"
place_churchyard_(implied)/29733e65,churchyard (implied)
place_churchyard_(implied)/f7a454d1,churchyard (implied)
place_churchyard_(implied)/80e5e7d8,churchyard (implied)
place_churchyard_near_church_and_tombstones/49db3993,churchyard near church and tombstones
