:START_ID,:END_ID,:TYPE,strength
event/1e53f288,agent_philip_pirrip/f81e2e4f,PRODUCES_ACTOR,1.0
event/c6132117,agent_philip_pirrip/2050f319,PRODUCES_ACTOR,1.0
event/5a0ea536,agent_unspecified_others/75f864bc,PRODUCES_ACTOR,0.9
event/11ae2e86,agent_pip/e743bc6d,PRODUCES_ACTOR,1.0
event/b7a5d269,agent_pip/a926bce2,PRODUCES_ACTOR,1.0
event/fdf1bfba,agent_pip/33ba3f3c,PRODUCES_ACTOR,1.0
event/4dc2d56e,agent_mrs._joe_gargery/a2c2af8f,PRODUCES_ACTOR,1.0
event/4dc2d56e,agent_joe_gargery/5f5de4d1,PRODUCES_ACTOR,1.0
event/c9b639c5,agent_pip/73b88477,PRODUCES_ACTOR,1.0
event/01731a0e,agent_pip/fab32312,PRODUCES_ACTOR,1.0
event/ae911bda,agent_pip/1696ab49,PRODUCES_ACTOR,1.0
event/83158509,agent_pip/1f445adb,PRODUCES_ACTOR,1.0
event/d89b58c1,agent_pip/f1f66bb5,PRODUCES_ACTOR,1.0
event/726e2076,agent_pip/24e82027,PRODUCES_ACTOR,1.0
event/767c177b,agent_pip/3771faa3,PRODUCES_ACTOR,1.0
event/294e2044,agent_pip/f87e6e31,PRODUCES_ACTOR,1.0
event/f8a5fd33,agent_narrator/1be93a34,PRODUCES_ACTOR,1.0
event/11814843,agent_narrator/2258c70c,PRODUCES_ACTOR,1.0
event/81789a8d,agent_narrator/40417836,PRODUCES_ACTOR,1.0
event/a90b1c74,agent_narrator/60956452,PRODUCES_ACTOR,1.0
event/ea14b977,agent_philip_pirrip's_five_little_brothers/7ec16ec4,PRODUCES_ACTOR,1.0
event/7fa35558,agent_philip_pirrip's_five_little_brothers/54f6f5b0,PRODUCES_ACTOR,1.0
event/67bfd5a2,agent_philip_pirrip/90333d31,PRODUCES_ACTOR,1.0
event/b092dab2,agent_philip_pirrip/9ee72b14,PRODUCES_ACTOR,1.0
event/a9e308a0,agent_philip_pirrip/b7a4fc73,PRODUCES_ACTOR,1.0
event/1b72b802,agent_philip_pirrip/8fab6adf,PRODUCES_ACTOR,1.0
event/e13f2e10,agent_philip_pirrip/e48b8e8d,PRODUCES_ACTOR,1.0
event/5317ab88,agent_philip_pirrip/3353107b,PRODUCES_ACTOR,1.0
event/ec71585a,agent_narrator/b4bf5f51,PRODUCES_ACTOR,1.0
event/2b986c40,agent_narrator/adb34ba8,PRODUCES_ACTOR,1.0
event/63603f73,agent_pip/49cb39e9,PRODUCES_ACTOR,1.0
event/730dc0d9,agent_pip/192151c9,PRODUCES_ACTOR,1.0
event/51b5f030,agent_pip/6c193ca4,PRODUCES_ACTOR,1.0
event/1bbd2ae2,agent_pip/12d52bd1,PRODUCES_ACTOR,1.0
event/f87fdaca,agent_pip/eab35013,PRODUCES_ACTOR,1.0
event/c519fa6b,agent_pip/3da2f935,PRODUCES_ACTOR,1.0
event/8c73f61e,agent_pip/af0dbc6a,PRODUCES_ACTOR,1.0
event/86e918f7,agent_pip/d206a67d,PRODUCES_ACTOR,1.0
event/c7699eff,agent_pip/756d4904,PRODUCES_ACTOR,1.0
event/3a504040,agent_pip/af953aea,PRODUCES_ACTOR,1.0
event/8990700b,agent_unknown_man/35fea8f0,PRODUCES_ACTOR,1.0
event/43693943,agent_unknown_man/128f4451,PRODUCES_ACTOR,1.0
event/706c097f,agent_unknown_man/e1a792e6,PRODUCES_ACTOR,1.0
event/a9992339,agent_unknown_man/dae0eb3f,PRODUCES_ACTOR,1.0
event/fe78c9eb,agent_unknown_child/588c130f,PRODUCES_ACTOR,1.0
event/f8e05f87,agent_fearful_man/ef3d3457,PRODUCES_ACTOR,1.0
event/c3932c02,agent_fearful_man/5faf1abe,PRODUCES_ACTOR,1.0
event/db9a0998,agent_fearful_man/1e30aa16,PRODUCES_ACTOR,1.0
event/023c9b67,agent_fearful_man/e802b909,PRODUCES_ACTOR,1.0
event/e6bb2642,agent_fearful_man/f9f45ee4,PRODUCES_ACTOR,1.0
event/ca7a388b,agent_fearful_man/6b9cf802,PRODUCES_ACTOR,1.0
event/53cc1d59,agent_fearful_man/222392d6,PRODUCES_ACTOR,1.0
event/b4f8d757,agent_fearful_man/c40992d5,PRODUCES_ACTOR,1.0
event/20b5fef3,agent_fearful_man/70c68f89,PRODUCES_ACTOR,1.0
event/11976c1f,agent_fearful_man/dc41965d,PRODUCES_ACTOR,1.0
event/720517ba,agent_fearful_man/51c15339,PRODUCES_ACTOR,1.0
event/7a989934,agent_fearful_man/eea3f596,PRODUCES_ACTOR,1.0
event/62862b69,agent_fearful_man/748cd6ca,PRODUCES_ACTOR,1.0
event/a66f594a,agent_fearful_man/948f8d32,PRODUCES_ACTOR,1.0
event/6ca104b8,agent_narrator/841bb617,PRODUCES_ACTOR,1.0
event/ddbeb2dc,agent_narrator/6d059631,PRODUCES_ACTOR,1.0
event/5d0b2307,agent_narrator/f516a800,PRODUCES_ACTOR,1.0
event/797dd73b,agent_the_man/2323ec34,PRODUCES_ACTOR,1.0
event/dec1710a,agent_the_man/3e22cdac,PRODUCES_ACTOR,1.0
event/85a97a09,agent_the_man/71c5d095,PRODUCES_ACTOR,1.0
event/084516f3,agent_the_man/4017dafd,PRODUCES_ACTOR,1.0
event/f5d89757,agent_the_man/975f2a68,PRODUCES_ACTOR,1.0
event/a7344f50,agent_pip/f667e40d,PRODUCES_ACTOR,1.0
event/b60966ab,agent_man/8bd058bd,PRODUCES_ACTOR,1.0
event/ad9d9f83,agent_man/ba73f34b,PRODUCES_ACTOR,1.0
event/fbe8a573,agent_man/80a6ada9,PRODUCES_ACTOR,0.7
event/fbe8a573,agent_pip/3d9e9081,PRODUCES_ACTOR,0.3
event/c1b96da9,agent_pip/0ec56c53,PRODUCES_ACTOR,1.0
event/c9e36e7d,agent_pip/6a002217,PRODUCES_ACTOR,1.0
event/30115faa,agent_pip/6019e431,PRODUCES_ACTOR,0.8
event/30115faa,agent_man/53f3af42,PRODUCES_ACTOR,0.5
event/38b56deb,agent_pip/0d8a0d9e,PRODUCES_ACTOR,1.0
event/3918fbb7,agent_man/fbc3c74d,PRODUCES_ACTOR,1.0
event/d7951680,agent_unknown_man/08bf6a93,PRODUCES_ACTOR,1.0
event/17a713f4,agent_unknown_man/de11e75f,PRODUCES_ACTOR,1.0
event/26cdaf54,agent_unknown_man/1d55ddc7,PRODUCES_ACTOR,1.0
event/f6ae651f,agent_narrator/6a944483,PRODUCES_ACTOR,1.0
event/cc4f048f,agent_narrator/165ad436,PRODUCES_ACTOR,1.0
event/7c4425b7,agent_narrator/d097c701,PRODUCES_ACTOR,1.0
event/26e4bf50,agent_unidentified_man/0bf89f4b,PRODUCES_ACTOR,1.0
event/0d64ea1c,agent_unidentified_man/c6261843,PRODUCES_ACTOR,1.0
event/29c32345,agent_unidentified_man/802aadcb,PRODUCES_ACTOR,1.0
event/9ad90b59,agent_narrator/f23335e8,PRODUCES_ACTOR,1.0
event/6c65ea76,agent_narrator/3f37c77b,PRODUCES_ACTOR,1.0
event/e675d3a4,agent_unspecified_man/95bdf30d,PRODUCES_ACTOR,1.0
event/24bafd19,agent_narrator/ef52a4f1,PRODUCES_ACTOR,1.0
event/96feff2f,agent_narrator/0cb0ee16,PRODUCES_ACTOR,1.0
event/870c571b,agent_the_man/f0cc006a,PRODUCES_ACTOR,1.0
event/1eb7cb4f,agent_the_man/5e5aa322,PRODUCES_ACTOR,1.0
event/34922613,agent_he/8a1efbb2,PRODUCES_ACTOR,1.0
event/4cb3e9ab,agent_he/29130d51,PRODUCES_ACTOR,1.0
event/48d05394,agent_he/4e4368be,PRODUCES_ACTOR,1.0
event/5fe95cb7,agent_he/6d0927ef,PRODUCES_ACTOR,1.0
event/a6c40f9c,agent_narrator/715cb1f3,PRODUCES_ACTOR,1.0
event/a6c40f9c,agent_unspecified_man_addressed_as_sir/f0d87ba1,PRODUCES_ACTOR,0.6
event/896e1544,agent_narrator/f6ee105f,PRODUCES_ACTOR,1.0
event/ba8b47c9,agent_he/3f29007e,PRODUCES_ACTOR,1.0
event/e75b28f5,agent_he/d7554b6d,PRODUCES_ACTOR,1.0
event/c0b3806e,agent_he/efe0f43b,PRODUCES_ACTOR,1.0
event/8ee7e2eb,agent_pip/b1f71e45,PRODUCES_ACTOR,1.0
event/8ee7e2eb,agent_the_stranger/dab44901,PRODUCES_ACTOR,0.6
event/b1387a79,agent_pip/c094c56c,PRODUCES_ACTOR,1.0
event/b1387a79,agent_the_stranger/824cd8f4,PRODUCES_ACTOR,0.6
event/a3d4bb77,agent_unidentified_man/b21872a2,PRODUCES_ACTOR,1.0
event/47a76def,agent_unidentified_man/e8176119,PRODUCES_ACTOR,1.0
event/dd107795,agent_unidentified_man/70a4108b,PRODUCES_ACTOR,1.0
event/7b5c834b,agent_unidentified_man/36dfb278,PRODUCES_ACTOR,1.0
event/588aaf26,agent_unknown_narrator/b8130806,PRODUCES_ACTOR,1.0
event/588aaf26,agent_unspecified_male_addressee/f8eccd3f,PRODUCES_ACTOR,0.6
event/d3717949,agent_unknown_narrator/598e6583,PRODUCES_ACTOR,1.0
event/1b882f23,agent_unidentified_man/853496c0,PRODUCES_ACTOR,1.0
event/6d3f3d98,agent_unidentified_man/9d4e2706,PRODUCES_ACTOR,1.0
event/b440fa91,agent_mysterious_man/d83ae831,PRODUCES_ACTOR,1.0
event/3f0f9b37,agent_mysterious_man/bdd6f620,PRODUCES_ACTOR,1.0
event/0f1024d3,agent_mysterious_man/97cc73b8,PRODUCES_ACTOR,1.0
event/bcc27092,agent_mysterious_man/4edfcbd0,PRODUCES_ACTOR,1.0
event/09decda8,agent_mysterious_man/757fe09a,PRODUCES_ACTOR,1.0
event/1acbe782,agent_pip/12df1b36,PRODUCES_ACTOR,1.0
event/0311e6d6,agent_pip/478a4543,PRODUCES_ACTOR,1.0
event/3df4532d,agent_unidentified_man/7444a924,PRODUCES_ACTOR,1.0
event/f441a389,agent_unidentified_man/32206af3,PRODUCES_ACTOR,1.0
event/6272095c,agent_pip/d10ceb3c,PRODUCES_ACTOR,1.0
event/107fe649,agent_unnamed_man/171c5030,PRODUCES_ACTOR,1.0
event/32871eaa,agent_unnamed_man/7ce8acfa,PRODUCES_ACTOR,1.0
event/521ed19d,agent_narrator/39d115a9,PRODUCES_ACTOR,1.0
event/b7555a67,agent_narrator/0849b631,PRODUCES_ACTOR,1.0
event/8825d634,agent_abel_magwitch/0594b5fd,PRODUCES_ACTOR,1.0
event/fbcf24ae,agent_abel_magwitch/be47e7e8,PRODUCES_ACTOR,1.0
event/f3027707,agent_abel_magwitch/2cf9f884,PRODUCES_ACTOR,1.0
event/f347a4f6,agent_abel_magwitch/31eff3b2,PRODUCES_ACTOR,1.0
event/752c41b7,agent_abel_magwitch/6c29fa4b,PRODUCES_ACTOR,1.0
event/786606eb,agent_abel_magwitch/9f6ebcf8,PRODUCES_ACTOR,1.0
event/c1646130,agent_abel_magwitch/2ee0eb04,PRODUCES_ACTOR,1.0
event/facd026d,agent_abel_magwitch/13e88d15,PRODUCES_ACTOR,1.0
event/22c10457,agent_pip/ee8f3c6e,PRODUCES_ACTOR,1.0
event/a3216188,agent_pip/e3fdc7db,PRODUCES_ACTOR,1.0
event/9d7957fa,agent_pip/11d95f2a,PRODUCES_ACTOR,1.0
event/9b9765db,agent_pip/a6b5f071,PRODUCES_ACTOR,1.0
event/cf1b80fd,agent_pip/aef949b0,PRODUCES_ACTOR,1.0
event/008852c4,agent_pip/dda399b7,PRODUCES_ACTOR,1.0
event/a523f8ee,agent_pip/6b4c25a5,PRODUCES_ACTOR,1.0
event/778f70a6,agent_unnamed_man/966ef22d,PRODUCES_ACTOR,1.0
event/6523413c,agent_pip/24a7f96a,PRODUCES_ACTOR,1.0
event/ad2aade9,agent_pip/9093194c,PRODUCES_ACTOR,1.0
event/d50c7eca,agent_unnamed_man/a8284c63,PRODUCES_ACTOR,1.0
event/b97b9705,agent_unnamed_man/2a44e6be,PRODUCES_ACTOR,1.0
event/453b314b,agent_pip/b05fb04b,PRODUCES_ACTOR,1.0
event/aab7946a,agent_abel_magwitch/81375739,PRODUCES_ACTOR,1.0
event/52204136,agent_abel_magwitch/9ce4973d,PRODUCES_ACTOR,1.0
event/7ec7eac5,agent_abel_magwitch/c3183933,PRODUCES_ACTOR,1.0
event/2a37fd23,agent_abel_magwitch/db138862,PRODUCES_ACTOR,1.0
