:START_ID,:END_ID,:TYPE,specificity
event/11ae2e86,place_unspecified/a1db9779,PRODUCES_LOCATION,0.8
event/b7a5d269,"place_churchyard_(implied,_site_of_tombstone)/9d645de1",PRODUCES_LOCATION,0.8
event/fdf1bfba,place_unspecified/502ee3a9,PRODUCES_LOCATION,0.8
event/4dc2d56e,place_unspecified/718279d2,PRODUCES_LOCATION,0.8
event/c9b639c5,place_various_early-life_settings_(implied)/a66f9647,PRODUCES_LOCATION,0.8
event/01731a0e,place_various_early-life_settings_(implied)/37709f24,PRODUCES_LOCATION,0.8
event/ae911bda,place_unspecified/86acac70,PRODUCES_LOCATION,0.8
event/83158509,place_unspecified/9ebe5729,PRODUCES_LOCATION,0.8
event/d89b58c1,place_churchyard_by_the_tombstones_(implied)/ed14b744,PRODUCES_LOCATION,0.8
event/726e2076,place_churchyard_at_the_tombstones_(implied)/b2085d3f,PRODUCES_LOCATION,0.8
event/767c177b,place_churchyard_at_his_father's_tombstone_(implied)/edb3cea7,PRODUCES_LOCATION,0.8
event/294e2044,place_churchyard_at_his_father's_tombstone_(implied)/8498ab59,PRODUCES_LOCATION,0.8
event/f8a5fd33,place_at_the_inscription_mentioning_'also_georgiana_wife_of_the_above'/19db2618,PRODUCES_LOCATION,0.8
event/11814843,place_at_the_inscription/3d1d201a,PRODUCES_LOCATION,0.8
event/81789a8d,place_at_the_inscription_mentioning_'also_georgiana_wife_of_the_above'/95455b72,PRODUCES_LOCATION,0.8
event/a90b1c74,place_at_the_inscription_/_in_narrator's_mind/6836a872,PRODUCES_LOCATION,0.8
event/ea14b977,place_their_grave/809bc1b4,PRODUCES_LOCATION,0.8
event/7fa35558,"place_their_grave_(implied,_posthumous_reference)/c74e39da",PRODUCES_LOCATION,0.8
event/7134b103,place_beside_their_grave/3ad339ba,PRODUCES_LOCATION,0.8
event/2fc9d697,place_beside_their_grave/2ee37f6f,PRODUCES_LOCATION,0.8
event/67bfd5a2,place_at_the_graveyard_(implied)/fd6458fc,PRODUCES_LOCATION,0.8
event/b092dab2,place_at_the_graveyard_(implied)/e88846c2,PRODUCES_LOCATION,0.8
event/a9e308a0,place_unspecified_(state_of_mind)/665f2ef0,PRODUCES_LOCATION,0.8
event/1b72b802,place_unspecified_(mental_scene)/907137a0,PRODUCES_LOCATION,0.8
event/e13f2e10,place_unspecified_(mental_scene)/be9550e1,PRODUCES_LOCATION,0.8
event/5317ab88,place_unspecified_(mental_state)/48dd295c,PRODUCES_LOCATION,0.8
event/ec71585a,"place_the_marsh_country,_down_by_the_river,_within_twenty_miles_of_the_sea/a9587c8e",PRODUCES_LOCATION,0.8
event/2b986c40,place_unspecified_(implied_marsh_country)/15d7b570,PRODUCES_LOCATION,0.8
event/63603f73,place_bleak_place_overgrown_with_nettles_/_churchyard/cd56e572,PRODUCES_LOCATION,0.8
event/730dc0d9,place_churchyard/0d230520,PRODUCES_LOCATION,0.8
event/51b5f030,place_churchyard/9a5392e9,PRODUCES_LOCATION,0.8
event/1bbd2ae2,place_churchyard/c7f5c170,PRODUCES_LOCATION,0.8
event/f87fdaca,place_dark_flat_wilderness_beyond_the_churchyard_/_marshes/ba01fb4f,PRODUCES_LOCATION,0.8
event/c519fa6b,place_low_leaden_line_beyond_the_marshes_/_river/21294ba1,PRODUCES_LOCATION,0.8
event/8c73f61e,place_distant_savage_lair_from_which_the_wind_was_rushing_/_sea/cdcaede8,PRODUCES_LOCATION,0.8
event/86e918f7,"place_churchyard_and_surrounding_marshes,_river,_and_sea/353c7fb8",PRODUCES_LOCATION,0.8
event/c7699eff,place_churchyard/15a8435e,PRODUCES_LOCATION,0.8
event/3a504040,place_churchyard/54e0ad72,PRODUCES_LOCATION,0.8
event/8990700b,place_among_the_graves_at_the_side_of_the_church_porch/827361d8,PRODUCES_LOCATION,0.8
event/43693943,place_among_the_graves_at_the_side_of_the_church_porch/e1726e7f,PRODUCES_LOCATION,0.8
event/706c097f,place_among_the_graves_at_the_side_of_the_church_porch/04f0e606,PRODUCES_LOCATION,0.8
event/a9992339,place_among_the_graves_at_the_side_of_the_church_porch/97305fd5,PRODUCES_LOCATION,0.8
event/fe78c9eb,place_among_the_graves_at_the_side_of_the_church_porch/af04511b,PRODUCES_LOCATION,0.8
event/084516f3,place_unspecified_outdoor_location/c0c73f91,PRODUCES_LOCATION,0.8
event/f5d89757,place_unspecified_outdoor_location/f41d8c69,PRODUCES_LOCATION,0.8
