:START_ID,:END_ID,:TYPE,weight
event/1e53f288,why_philip_pirrip_is_an_infant_wit/62ad7d76,PRODUCES_MOTIVATION,0.556
event/1e53f288,why_the_family_name_is_pirrip_and_/51f3e443,PRODUCES_MOTIVATION,0.444
event/c6132117,why_philip_pirrip_can_only_pronoun/a4f1328b,PRODUCES_MOTIVATION,1.0
event/5a0ea536,why_philip_pirrip_calls_himself_pi/ab58fc36,PRODUCES_MOTIVATION,0.588
event/5a0ea536,why_social_tendency_to_adopt_a_per/f2234615,PRODUCES_MOTIVATION,0.412
event/11ae2e86,why_pip_is_narrating_his_origins_a/2d4066b1,PRODUCES_MOTIVATION,0.562
event/11ae2e86,why_pip_knows_his_father's_surname/7927cef0,PRODUCES_MOTIVATION,0.437
event/b7a5d269,why_lack_of_living_parents_forces_/b04d3e96,PRODUCES_MOTIVATION,0.5
event/b7a5d269,why_the_tombstone_visibly_displays/de4ec5d5,PRODUCES_MOTIVATION,0.5
event/fdf1bfba,why_pip_is_clarifying_his_family_r/e0c9ae5d,PRODUCES_MOTIVATION,1.0
event/4dc2d56e,why_social_custom_and_personal_cho/a320268e,PRODUCES_MOTIVATION,1.0
event/c9b639c5,why_pip's_father_died_before_pip_c/44998989,PRODUCES_MOTIVATION,1.0
event/01731a0e,why_pip's_mother_died_before_pip_c/a28e3134,PRODUCES_MOTIVATION,1.0
event/ae911bda,why_photography_did_not_exist_in_h/55e20382,PRODUCES_MOTIVATION,0.5
event/ae911bda,why_no_portraits_or_images_of_his_/2b5b7aeb,PRODUCES_MOTIVATION,0.5
event/83158509,why_historical_context:_photograph/e0e1d20b,PRODUCES_MOTIVATION,1.0
event/d89b58c1,why_absence_of_real_images_or_memo/d586189c,PRODUCES_MOTIVATION,0.526
event/d89b58c1,why_presence_of_the_tombstones_as_/73ba0a96,PRODUCES_MOTIVATION,0.474
event/726e2076,why_childlike_reasoning_based_on_l/8962d3cf,PRODUCES_MOTIVATION,0.526
event/726e2076,why_visual_details_on_the_tombston/fef10de0,PRODUCES_MOTIVATION,0.474
event/767c177b,why_pip_spends_time_looking_at_his/af3ff217,PRODUCES_MOTIVATION,0.529
event/767c177b,why_the_lettering_is_visually_dist/c6ca436d,PRODUCES_MOTIVATION,0.471
event/294e2044,why_childlike_tendency_to_anthropo/75c31d35,PRODUCES_MOTIVATION,0.526
event/294e2044,"why_the_square,_stout_look_of_the_/08bc0c28",PRODUCES_MOTIVATION,0.474
event/f8a5fd33,why_presence_of_an_inscription_inc/19fda506,PRODUCES_MOTIVATION,0.6
event/f8a5fd33,why_narrator's_habit_or_opportunit/e5d0a4ab,PRODUCES_MOTIVATION,0.4
event/11814843,why_narrator_observes_the_style_('/c03eab5a,PRODUCES_MOTIVATION,0.529
event/11814843,why_narrator's_developing_but_imma/a949a6ba,PRODUCES_MOTIVATION,0.471
event/81789a8d,why_narrator’s_interpretation_of_t/1989fb0e,PRODUCES_MOTIVATION,0.526
event/81789a8d,why_narrator’s_limited_childhood_u/048fbc2a,PRODUCES_MOTIVATION,0.474
event/a90b1c74,why_narrator’s_childish_conclusion/764f6aae,PRODUCES_MOTIVATION,0.541
event/a90b1c74,why_narrator’s_lack_of_direct_memo/908565fc,PRODUCES_MOTIVATION,0.459
event/ea14b977,why_human_mortality_and_hardship_i/fed622e2,PRODUCES_MOTIVATION,0.583
event/ea14b977,why_inability_or_failure_to_'get_a/dea9f043,PRODUCES_MOTIVATION,0.417
event/7fa35558,why_harshness_of_the_'universal_st/826e6ad2,PRODUCES_MOTIVATION,0.538
event/7fa35558,"why_their_death,_metaphorically_fr/9db9b045",PRODUCES_MOTIVATION,0.462
event/7134b103,why_commemorate_the_deaths_of_the_/c77e30bc,PRODUCES_MOTIVATION,0.6
event/7134b103,why_custom_of_marking_graves_with_/51c24402,PRODUCES_MOTIVATION,0.4
event/2fc9d697,why_desire_to_honor_and_remember_t/d5c7c07a,PRODUCES_MOTIVATION,1.0
event/67bfd5a2,why_philip_pirrip_observes_the_fiv/5ffc35d4,PRODUCES_MOTIVATION,0.529
event/67bfd5a2,why_philip_pirrip’s_childish_imagi/54021764,PRODUCES_MOTIVATION,0.471
event/b092dab2,why_presence_and_appearance_of_the/999874fb,PRODUCES_MOTIVATION,1.0
event/a9e308a0,why_intensity_and_seriousness_of_c/8061e80e,PRODUCES_MOTIVATION,0.538
event/a9e308a0,why_lack_of_contrary_information_a/eb5e72e7,PRODUCES_MOTIVATION,0.462
event/1b72b802,why_visual_inference_from_the_shap/2a18c04c,PRODUCES_MOTIVATION,0.467
event/1b72b802,why_childish_tendency_to_literaliz/6f4296df,PRODUCES_MOTIVATION,0.533
event/e13f2e10,why_further_elaboration_of_the_sam/30bdde89,PRODUCES_MOTIVATION,0.615
event/e13f2e10,"why_anthropomorphic,_humorous_proj/c74ed430",PRODUCES_MOTIVATION,0.385
event/5317ab88,why_extension_of_the_initial_fanci/c8f42821,PRODUCES_MOTIVATION,0.533
event/5317ab88,why_childlike_tendency_to_create_c/ea09d057,PRODUCES_MOTIVATION,0.467
event/ec71585a,why_narrator_is_describing_early_l/6e705e8c,PRODUCES_MOTIVATION,1.0
event/2b986c40,why_narrator_is_reflecting_on_earl/e907e31e,PRODUCES_MOTIVATION,0.588
event/2b986c40,why_the_raw_afternoon_towards_even/d59bf225,PRODUCES_MOTIVATION,0.412
event/63603f73,why_pip_visually_observes_the_blea/fdc99f72,PRODUCES_MOTIVATION,0.615
event/63603f73,why_pip’s_prior_but_uncertain_know/1c447359,PRODUCES_MOTIVATION,0.385
event/730dc0d9,why_pip_reads_or_recalls_the_infor/32d573ca,PRODUCES_MOTIVATION,0.533
event/730dc0d9,why_pip’s_awareness_that_people_na/29b0ef07,PRODUCES_MOTIVATION,0.467
event/51b5f030,why_pip_reads_or_recalls_that_geor/defc8cba,PRODUCES_MOTIVATION,0.586
event/51b5f030,why_georgiana_is_listed_alongside_/6eb0bc1e,PRODUCES_MOTIVATION,0.414
event/1bbd2ae2,"why_pip_observes_that_alexander,_b/486ea30a",PRODUCES_MOTIVATION,0.548
event/1bbd2ae2,why_knowledge_that_inscriptions_in/85ea2529,PRODUCES_MOTIVATION,0.452
event/f87fdaca,why_pip_sees_the_dark_flat_wildern/f250bd3a,PRODUCES_MOTIVATION,0.533
event/f87fdaca,why_pip’s_background_knowledge_tha/bf69379c,PRODUCES_MOTIVATION,0.467
event/c519fa6b,why_pip_visually_perceives_a_low_l/8b2beaec,PRODUCES_MOTIVATION,0.571
event/c519fa6b,why_pip’s_prior_geographical_knowl/56f7adb6,PRODUCES_MOTIVATION,0.429
event/8c73f61e,why_pip_perceives_the_wind_rushing/7b884002,PRODUCES_MOTIVATION,0.533
event/8c73f61e,why_pip’s_understanding_that_the_l/fc94924c,PRODUCES_MOTIVATION,0.467
event/86e918f7,why_pip’s_perceptions_of_the_bleak/ba17eabb,PRODUCES_MOTIVATION,0.562
event/86e918f7,why_pip’s_youth_and_vulnerability_/4ef46ebd,PRODUCES_MOTIVATION,0.437
event/c7699eff,why_pip’s_growing_fear_of_the_blea/65f17427,PRODUCES_MOTIVATION,0.562
event/c7699eff,why_pip’s_emotional_sensitivity_as/8a0153f9,PRODUCES_MOTIVATION,0.437
event/3a504040,why_narrative_identification_that_/6f7b4453,PRODUCES_MOTIVATION,0.562
event/3a504040,why_pip’s_self-awareness_of_his_ph/58a2290b,PRODUCES_MOTIVATION,0.437
event/8990700b,why_unknown_man_wants_the_child_to/b3ddcd5b,PRODUCES_MOTIVATION,0.571
event/8990700b,why_unknown_man_is_hiding_or_actin/c235a990,PRODUCES_MOTIVATION,0.429
event/43693943,why_unknown_man_reacts_to_the_pres/efd4b6bc,PRODUCES_MOTIVATION,0.533
event/43693943,why_unknown_man_was_previously_con/2c373691,PRODUCES_MOTIVATION,0.467
event/706c097f,why_unknown_man_wants_to_intimidat/7761918c,PRODUCES_MOTIVATION,0.576
event/706c097f,why_unknown_man_is_aggressive_or_d/4c8d17f7,PRODUCES_MOTIVATION,0.424
event/a9992339,why_unknown_man_expresses_hostilit/7a93b1d3,PRODUCES_MOTIVATION,0.529
event/a9992339,why_insult_reinforces_the_threat_a/8afcecc6,PRODUCES_MOTIVATION,0.471
event/fe78c9eb,why_sudden_emergence_of_a_man_from/16220f55,PRODUCES_MOTIVATION,0.444
event/fe78c9eb,why_man’s_violent_threat_to_cut_th/b7ef5d02,PRODUCES_MOTIVATION,0.556
event/f8e05f87,why_previous_harsh_physical_ordeal/f263d176,PRODUCES_MOTIVATION,1.0
event/c3932c02,why_fearful_man_is_described_with_/3d4018d0,PRODUCES_MOTIVATION,1.0
event/db9a0998,why_exposure_to_water_in_preceding/ace43349,PRODUCES_MOTIVATION,1.0
event/023c9b67,why_movement_through_muddy_ground_/409aa15d,PRODUCES_MOTIVATION,1.0
event/e6bb2642,why_walking_or_falling_on_sharp_st/71e26a10,PRODUCES_MOTIVATION,1.0
event/ca7a388b,why_contact_with_sharp_flints_whil/dedf4a3e,PRODUCES_MOTIVATION,1.0
event/53cc1d59,why_passing_through_nettle_plants/aa1dcb68,PRODUCES_MOTIVATION,1.0
event/b4f8d757,why_struggling_through_briar_bushe/1ceb262f,PRODUCES_MOTIVATION,1.0
event/20b5fef3,"why_injuries_from_stones,_flints,_/54fa878d",PRODUCES_MOTIVATION,1.0
event/11976c1f,"why_cold,_wet_clothing_and_physica/4b992f9b",PRODUCES_MOTIVATION,1.0
event/720517ba,"why_hostile,_desperate_state_and_c/a9225d1b",PRODUCES_MOTIVATION,1.0
event/7a989934,"why_aggression,_fear,_and_desperat/b5064c17",PRODUCES_MOTIVATION,1.0
event/62862b69,why_cold_and_intense_fear_or_physi/b6b04deb,PRODUCES_MOTIVATION,1.0
event/a66f594a,why_fearful_man’s_desperation_and_/03b58398,PRODUCES_MOTIVATION,0.528
event/a66f594a,"why_fearful_man’s_general_rough,_d/e227854f",PRODUCES_MOTIVATION,0.472
event/6ca104b8,why_narrator_believes_the_unknown_/fda09dc2,PRODUCES_MOTIVATION,0.5
event/6ca104b8,why_narrator_feels_intense_fear_an/a443400a,PRODUCES_MOTIVATION,0.5
event/ddbeb2dc,why_unknown_man_is_perceived_as_a_/47ed6577,PRODUCES_MOTIVATION,0.5
event/ddbeb2dc,why_possibility_of_having_throat_c/bcaf7f12,PRODUCES_MOTIVATION,0.5
event/5d0b2307,why_narrator_wants_to_reinforce_th/cb620cd7,PRODUCES_MOTIVATION,0.526
event/5d0b2307,why_narrator_remains_in_a_continui/d9522647,PRODUCES_MOTIVATION,0.474
event/797dd73b,why_the_man_wants_the_narrator_to_/007d962e,PRODUCES_MOTIVATION,0.6
event/797dd73b,why_power_imbalance_or_intimidatio/d13d8850,PRODUCES_MOTIVATION,0.4
event/dec1710a,why_the_man_is_focusing_his_attent/490cd1a3,PRODUCES_MOTIVATION,0.562
event/dec1710a,why_the_man_may_be_assessing_the_n/00e9ae8e,PRODUCES_MOTIVATION,0.437
event/85a97a09,why_the_man_wants_the_narrator_to_/4ba052f2,PRODUCES_MOTIVATION,0.562
event/85a97a09,why_the_man_is_asserting_control_o/86749230,PRODUCES_MOTIVATION,0.437
event/084516f3,why_the_man_wants_to_know_where_th/c70f1217,PRODUCES_MOTIVATION,0.571
event/084516f3,why_power_imbalance_or_coercive_si/9abcb844,PRODUCES_MOTIVATION,0.429
event/f5d89757,why_the_man_insists_on_precise_ind/81be5dc7,PRODUCES_MOTIVATION,0.515
event/f5d89757,why_reinforcement_of_earlier_deman/0612b364,PRODUCES_MOTIVATION,0.485
event/a7344f50,why_pip_wants_to_indicate_where_th/eb4b3397,PRODUCES_MOTIVATION,0.529
event/a7344f50,why_pip_is_describing_the_setting_/a21b431b,PRODUCES_MOTIVATION,0.471
event/589d6cf7,why_geographical_setting_of_pip's_/470d2bbb,PRODUCES_MOTIVATION,1.0
event/b60966ab,why_man_assessing_pip_and_situatio/4f940ddf,PRODUCES_MOTIVATION,0.6
event/b60966ab,why_man’s_prior_need_or_purpose_in/6e0e4934,PRODUCES_MOTIVATION,0.4
event/ad9d9f83,why_man_wants_to_find_food_or_valu/05c91b7f,PRODUCES_MOTIVATION,0.556
event/ad9d9f83,why_man’s_desperation_or_need_(e.g/497c74b5,PRODUCES_MOTIVATION,0.444
event/fbe8a573,why_emptied_pockets_reveal_their_c/6c81f939,PRODUCES_MOTIVATION,1.0
event/c1b96da9,why_man’s_sudden_and_strong_moveme/29e446f4,PRODUCES_MOTIVATION,1.0
event/c9e36e7d,why_pip’s_senses_reorient_after_be/dbeffd9f,PRODUCES_MOTIVATION,1.0
event/30115faa,why_man’s_earlier_physical_control/c0e504b8,PRODUCES_MOTIVATION,0.538
event/30115faa,why_need_to_keep_pip_in_place_whil/8612f3b8,PRODUCES_MOTIVATION,0.462
event/38b56deb,why_pip’s_fear_of_the_man’s_violen/ea00ded1,PRODUCES_MOTIVATION,0.588
event/38b56deb,why_pip’s_general_vulnerability_as/4cd08acd,PRODUCES_MOTIVATION,0.412
event/3918fbb7,why_man’s_intense_hunger/8c808cae,PRODUCES_MOTIVATION,0.588
event/3918fbb7,why_lack_of_other_available_food/1d420b5f,PRODUCES_MOTIVATION,0.412
