:START_ID,:END_ID,:TYPE,strength
event/1e53f288,agent_philip_pirrip/ec056e9e,PRODUCES_PATIENT,0.4
event/c6132117,agent_philip_pirrip/e2e36f02,PRODUCES_PATIENT,0.6
event/5a0ea536,agent_philip_pirrip/544cdf5d,PRODUCES_PATIENT,1.0
event/11ae2e86,agent_pip's_father/4da43797,PRODUCES_PATIENT,0.7
event/b7a5d269,agent_pip's_father/0424ac7a,PRODUCES_PATIENT,0.5
event/fdf1bfba,agent_mrs._joe_gargery/15106d35,PRODUCES_PATIENT,1.0
event/fdf1bfba,agent_joe_gargery/f4255cee,PRODUCES_PATIENT,0.4
event/c9b639c5,agent_pip's_father/c92e862c,PRODUCES_PATIENT,1.0
event/01731a0e,agent_pip's_mother/d79f9d4e,PRODUCES_PATIENT,1.0
event/ae911bda,agent_pip's_father/9ecc932b,PRODUCES_PATIENT,0.8
event/ae911bda,agent_pip's_mother/7ce3ecce,PRODUCES_PATIENT,0.8
event/83158509,agent_pip's_father/a7116bea,PRODUCES_PATIENT,0.7
event/83158509,agent_pip's_mother/cb8374d3,PRODUCES_PATIENT,0.7
event/d89b58c1,agent_pip's_father/988189c3,PRODUCES_PATIENT,0.9
event/d89b58c1,agent_pip's_mother/3469427c,PRODUCES_PATIENT,0.9
event/726e2076,agent_pip's_father/772740e8,PRODUCES_PATIENT,0.9
event/726e2076,agent_pip's_mother/9d99f0b6,PRODUCES_PATIENT,0.9
event/767c177b,agent_pip's_father/7db87e5f,PRODUCES_PATIENT,0.6
event/294e2044,agent_pip's_father/84e50c5c,PRODUCES_PATIENT,1.0
event/81789a8d,agent_georgiana/528a8260,PRODUCES_PATIENT,1.0
event/a90b1c74,agent_georgiana/3a4659ab,PRODUCES_PATIENT,1.0
event/7134b103,agent_philip_pirrip's_five_little_brothers/571badea,PRODUCES_PATIENT,0.2
event/2fc9d697,agent_philip_pirrip's_five_little_brothers/4932ccc0,PRODUCES_PATIENT,1.0
event/67bfd5a2,agent_philip_pirrip's_five_little_brothers/ae00c8db,PRODUCES_PATIENT,0.6
event/b092dab2,agent_philip_pirrip's_five_little_brothers/101a4da4,PRODUCES_PATIENT,0.4
event/a9e308a0,agent_philip_pirrip's_five_little_brothers/5d2ca5d2,PRODUCES_PATIENT,0.4
event/1b72b802,agent_philip_pirrip's_five_little_brothers/1ce99bf4,PRODUCES_PATIENT,1.0
