:START_ID,:END_ID,:TYPE,cue,confidence
event/c1646130,event/facd026d,EXPLANATION,,0.72
event/6523413c,event/d50c7eca,ELABORATION,,0.83
event/76c84292,event/eb0c3532,PARALLELISM,,0.95
event/a3d4bb77,event/dd107795,ELABORATION,,0.83
event/a90b1c74,event/7fa35558,CONTRAST,,0.58
event/d891be15,event/6a91b3a7,EXPLANATION,"said, if you don’t",0.82
event/3a504040,event/706c097f,EXPLANATION,,0.93
event/95a43143,event/c34319de,ELABORATION,,0.61
event/83158509,event/d89b58c1,EXPLANATION,,0.78
event/084516f3,event/f5d89757,ELABORATION,,0.92
event/1b72b802,event/e13f2e10,ELABORATION,,0.9
event/9ad90b59,event/e675d3a4,EXPLANATION,,0.74
event/8ee7e2eb,event/a3d4bb77,ELABORATION,,0.63
event/4e722a8d,event/ae7d6a61,EXPLANATION,,0.69
event/8990700b,event/706c097f,ELABORATION,,0.93
event/49c15961,event/79fb6853,PARALLELISM,"then, presently",0.76
event/c3932c02,event/023c9b67,ELABORATION,,0.82
event/d50c7eca,event/453b314b,ELABORATION,,0.71
event/9c5e2db1,event/6a91b3a7,ELABORATION,,0.86
event/3f0f9b37,event/bcc27092,ELABORATION,,0.81
event/d47bb26d,event/63141bdd,ELABORATION,,0.81
event/dd107795,event/1b882f23,ELABORATION,,0.76
event/c9e36e7d,event/3918fbb7,PARALLELISM,,0.6
event/81789a8d,event/ea14b977,CONTRAST,,0.58
event/79fb6853,event/36cef954,ELABORATION,,0.76
event/521ed19d,event/b7555a67,ELABORATION,and,0.9
event/df212465,event/44f2277b,ELABORATION,,0.7
event/3df4532d,event/6272095c,ELABORATION,,0.91
event/a6c40f9c,event/896e1544,ELABORATION,,0.86
event/26cdaf54,event/f6ae651f,ELABORATION,,0.88
event/0d64ea1c,event/6c65ea76,ELABORATION,and,0.93
event/53cc1d59,event/720517ba,EXPLANATION,,0.62
event/96feff2f,event/4cb3e9ab,EXPLANATION,,0.79
event/3f0f9b37,event/09decda8,ELABORATION,,0.87
event/bb95cb0c,event/c3fe378d,ELABORATION,,0.63
event/706c097f,event/c3932c02,ELABORATION,,0.78
event/43693943,event/706c097f,EXPLANATION,,0.82
event/6ca104b8,event/ddbeb2dc,ELABORATION,,0.93
event/0dfd593f,event/da031a4e,EXPLANATION,,0.65
event/c34319de,event/c3fe378d,ELABORATION,,0.56
event/294e2044,event/f8a5fd33,ELABORATION,,0.64
event/fbe8a573,event/c9e36e7d,CONTRAST,,0.55
event/f5d89757,event/a7344f50,ELABORATION,,0.96
event/76c84292,event/d891be15,EXPLANATION,,0.68
event/0eb02382,event/96d7094b,ELABORATION,,0.96
event/60bae95e,event/1ce99c7f,PARALLELISM,,0.71
event/aab7946a,event/2a37fd23,EXPLANATION,"fail, or, and",0.92
event/fbcf24ae,event/f347a4f6,PARALLELISM,,0.86
event/8c73f61e,event/3a504040,PARALLELISM,,0.86
event/62862b69,event/5d0b2307,EXPLANATION,,0.76
event/255b6dd1,event/b47c920b,PARALLELISM,,0.78
event/2cb7662a,event/821d1a85,ELABORATION,,0.9
event/896e1544,event/ba8b47c9,ELABORATION,,0.63
event/c9b639c5,event/ae911bda,PARALLELISM,and,0.9
event/6a91b3a7,event/de4bc7aa,ELABORATION,,0.76
event/b1387a79,event/dd107795,ELABORATION,,0.75
event/81789a8d,event/a90b1c74,PARALLELISM,,1.0
event/53eeff4c,event/372a1c59,ELABORATION,,0.8
event/ea14b977,event/2fc9d697,ELABORATION,,0.95
event/fe78c9eb,event/023c9b67,ELABORATION,,0.74
event/1e53f288,event/5a0ea536,EXPLANATION,"and, came to be",0.9
event/a30c6b5f,event/230330ad,ELABORATION,,0.64
event/09decda8,event/1acbe782,PARALLELISM,and,0.97
event/cf1b80fd,event/778f70a6,CONTRAST,,0.76
