id,name
agent_narrator/9c063324,Narrator
agent_narrator/0f71cb35,Narrator
agent_narrator/d28627ef,Narrator
agent_narrator/3a300b77,Narrator
agent_narrator/01887973,Narrator
agent_narrator/2a85c7da,Narrator
agent_narrator/dde87637,Narrator
agent_narrator/1f8bb312,Narrator
agent_mrs._joe_gargery/196154f5,Mrs. Joe Gargery
agent_narrator/ca2da4f4,Narrator
agent_narrator/3c08bc9c,Narrator
agent_narrator/82efb4e3,Narrator
agent_narrator/eb380821,Narrator
agent_narrator/39c54dcb,Narrator
agent_narrator/abc850be,Narrator
agent_narrator/be332bc1,Narrator
agent_narrator/e3c02fb9,Narrator
agent_narrator/70ef85ec,Narrator
agent_mother/3fdd87c5,Mother
agent_narrator/02cb09a6,Narrator
agent_narrator/cf569afc,Narrator
agent_narrator/57e3ed8b,Narrator
agent_narrator/60f50935,Narrator
agent_narrator/f4738b87,Narrator
agent_narrator/4cc6e22d,Narrator
agent_river/14656acd,River
agent_narrator/d5a66bbb,Narrator
agent_narrator/14f44c38,Narrator
agent_narrator/314c6ded,Narrator
agent_philip_pirrip/3ca96a1e,Philip Pirrip
agent_georgiana/32a655b2,Georgiana
agent_alexander/ae24a144,Alexander
agent_bartholomew/d08104d6,Bartholomew
agent_abraham/be1d15aa,Abraham
agent_tobias/3d8578c4,Tobias
agent_roger/b2a7f4c3,Roger
agent_narrator/553da28b,Narrator
agent_narrator/b7017738,Narrator
agent_narrator/2c4ee0de,Narrator
agent_narrator/6b7e3aec,Narrator
agent_narrator/0ad6b692,Narrator
agent_pip/d658dd6b,Pip
agent_man/86791626,man
agent_man/4144924b,man
agent_man/b43dc863,man
agent_little_devil/796e7a7a,little devil
agent_man/162f6d60,man
agent_little_devil/10a86a0d,little devil
agent_man/ed91437b,man
agent_man/c00396c5,man
agent_man/2f006c5c,man
agent_man/1b2b2859,man
agent_man/5e2de6ad,man
agent_man/9bfb16b2,man
agent_man/78d40dcd,man
agent_man/8ce04dc7,man
agent_man/2dcff423,man
agent_man/eab7a5de,man
agent_man/3385eec9,man
agent_man/4e9eacf3,man
agent_man/a1ac7cfb,man
agent_man/32ee01cc,man
agent_man/ec496bbe,man
agent_man/14c5cdfa,man
agent_me/5a40d534,me
agent_speaker/c1d66fdb,Speaker
agent_speaker/c41ac97c,Speaker
agent_the_man/18272451,The man
agent_narrator/057aeb63,Narrator
agent_the_man/df70635e,The man
agent_the_man/df73b6d5,The man
agent_the_man/dc662fcb,The man
agent_i/f2919245,I
agent_our_village/e79d9f7b,our village
agent_the_village/9cf5cb0a,the village
agent_the_man/5e976a7c,The man
agent_me/0585d3fd,Me
agent_the_man/1fde500a,The man
agent_me/e15cd0c7,Me
agent_the_man/287f45e7,The man
agent_me/731381d0,Me
agent_my_pockets/4c597f06,My pockets
agent_the_church/ebf02cd8,The church
agent_the_man/382589fc,The man
agent_the_church/0f21f36d,The church
agent_i/bf6eb5a1,I
agent_the_steeple/ab094725,The steeple
agent_i/89d78fc4,I
agent_i/8bf93e29,I
agent_he/3afffb20,He
agent_the_man/0339ea9b,The man
agent_pip/651b1a39,Pip
agent_the_man/57d0bb9c,The man
agent_the_man/94b3d471,The man
agent_pip/2b9bd06e,Pip
agent_narrator/f1c117a7,narrator
agent_narrator/8b0edd85,narrator
agent_the_man/aab16e3b,the man
agent_the_man/7d23ce17,the man
agent_the_man/c0f02b68,the man
agent_i/7a7088be,I
agent_i/c1843d63,I
agent_tombstone/cfb33a35,tombstone
agent_i/f894f19e,I
agent_i/595a3bb8,I
agent_i/5599528f,I
agent_the_man/4bc53fa7,The man
agent_pip/8d7c5996,Pip
agent_he/063b1888,He
agent_he/edf32f74,He
agent_he/67e9681d,He
agent_he/37a3ab99,He
agent_speaker/63846ed3,Speaker
agent_speaker/6a3c382d,Speaker
agent_georgiana/75cc711c,Georgiana
agent_he/03c68e4f,He
agent_he/5a27383d,He
agent_he/c1361ccb,He
agent_i/a08bfc58,I
agent_him/fec0967b,him
agent_i/05eb8ce0,I
agent_him/9bd978dd,him
agent_he/0a6ff60f,He
agent_he/3fc231ff,He
agent_he/5a658230,He
agent_he/3ad95472,He
agent_he/511af41b,He
agent_narrator/d4848c0a,Narrator
