:START_ID,:END_ID,:TYPE,strength
agent_pip/935986de,event/71357888,ACTS_IN,1.0
agent_pip/e0f61a15,event/6fd2d3d3,ACTS_IN,1.0
agent_pip/92a73ffa,event/d355313e,ACTS_IN,0.8
agent_pip/4347675d,event/dd9c26e0,ACTS_IN,0.8
agent_pip/5f6a96ba,event/0f128c73,ACTS_IN,0.8
agent_pip/5631debe,event/58c4082b,ACTS_IN,0.8
agent_pip/3a083ce1,event/88d8e171,ACTS_IN,0.8
agent_pip/a5774cd9,event/d5e64246,ACTS_IN,0.8
agent_pip/875ff6c8,event/ca319493,ACTS_IN,0.8
agent_pip/7cf9ff67,event/2844ae9f,ACTS_IN,0.8
agent_pip/85216615,event/cd3412bf,ACTS_IN,0.8
agent_pip/39049f22,event/2a25e045,ACTS_IN,0.8
agent_pip/4763471f,event/f90effe7,ACTS_IN,1.0
agent_pip/d38f66d0,event/bcf5b04e,ACTS_IN,1.0
agent_pip/752626d4,event/400969cb,ACTS_IN,0.8
agent_pip/dd8a187b,event/09fbf03d,ACTS_IN,0.8
agent_pip/0b377a26,event/b843dd0d,ACTS_IN,0.8
agent_pip/22f091d7,event/450382e4,ACTS_IN,0.8
agent_pip/2e027b16,event/b1a5d609,ACTS_IN,0.8
agent_pip/a9763f90,event/7d910fc4,ACTS_IN,0.8
agent_pip/5a1df939,event/47c9eb8f,ACTS_IN,0.8
agent_pip/ccfb0e62,event/a074f3e7,ACTS_IN,0.8
agent_pip/a79c389e,event/b7572215,ACTS_IN,0.5
agent_pip/f8dc46a9,event/42c5872b,ACTS_IN,0.8
agent_pip/75dd82af,event/ebf60c1f,ACTS_IN,0.8
agent_pip/34d5d902,event/2e49dd2b,ACTS_IN,0.8
agent_pip/aa7fe36e,event/b5a9d2cf,ACTS_IN,0.5
agent_pip/2d8703a9,event/384ab265,ACTS_IN,1.0
agent_pip/ab2779c9,event/acdf1572,ACTS_IN,1.0
agent_pip/49b4304f,event/d28e2f57,ACTS_IN,1.0
agent_pip/b00c620b,event/0a920a1e,ACTS_IN,0.5
agent_pip/ce41d5e2,event/b749d876,ACTS_IN,0.5
agent_pip/44d0aaa8,event/be94e2ee,ACTS_IN,0.5
agent_pip/8403be69,event/800cd1e9,ACTS_IN,0.5
agent_pip/d7a02459,event/e26baea0,ACTS_IN,0.5
agent_pip/27b23aa3,event/7430971b,ACTS_IN,0.8
agent_pip/fa13aa1f,event/7329b643,ACTS_IN,0.8
agent_pip/eb6d0f04,event/c1eecfe7,ACTS_IN,0.8
agent_pip/e85687bb,event/3c804823,ACTS_IN,0.8
agent_pip/de99c377,event/80560a58,ACTS_IN,0.8
agent_pip/137cc807,event/b4bd55d6,ACTS_IN,0.8
agent_pip/f797dd7c,event/f28648f6,ACTS_IN,0.8
agent_pip/5703a003,event/3d73baf6,ACTS_IN,0.8
agent_pip/acd1a8c9,event/2b454d74,ACTS_IN,0.8
agent_pip/61be2c1b,event/7f17058d,ACTS_IN,0.8
agent_pip/725dc0d0,event/f7e949bf,ACTS_IN,0.8
agent_pip/d029dae8,event/4bfd496f,ACTS_IN,0.8
agent_pip/700f4025,event/8e34252a,ACTS_IN,0.8
agent_pip/98ebf0ae,event/f3dc4a74,ACTS_IN,0.8
agent_pip/c78b162b,event/7e800e01,ACTS_IN,0.8
agent_pip/5fa2df20,event/14e68cdd,ACTS_IN,0.5
agent_pip/e616a157,event/b8d32c99,ACTS_IN,0.8
agent_pip/cbafae18,event/ffdb8b07,ACTS_IN,0.8
agent_pip/cfd97715,event/56c464c0,ACTS_IN,1.0
agent_pip/4ca13714,event/03993360,ACTS_IN,1.0
agent_pip/4317351c,event/a44ba170,ACTS_IN,1.0
agent_pip/ceb3c9e8,event/ff6c9b7d,ACTS_IN,1.0
agent_pip/9d417aa2,event/bf1c45e7,ACTS_IN,1.0
agent_pip/30446b7c,event/ca78f10d,ACTS_IN,1.0
agent_pip/eb880d74,event/c8ae6c23,ACTS_IN,0.8
agent_pip/1a5f65bd,event/1dfccc4e,ACTS_IN,0.5
agent_pip/3f06cfba,event/b9fe52b2,ACTS_IN,0.8
agent_pip/45699311,event/dae714a2,ACTS_IN,0.8
agent_pip/b3f889c0,event/b291bca5,ACTS_IN,0.8
agent_pip/26a63898,event/f6300930,ACTS_IN,0.8
agent_pip/107895f2,event/e315774a,ACTS_IN,0.8
agent_pip/3ec6f510,event/92bd8d2f,ACTS_IN,0.8
agent_pip/cdce48c1,event/1c7b5f71,ACTS_IN,0.8
agent_pip/cced1d13,event/315c8c62,ACTS_IN,1.0
agent_pip/00ca3932,event/f9273399,ACTS_IN,1.0
agent_pip/440be412,event/0568dc94,ACTS_IN,1.0
agent_pip/907dcabd,event/8b80a34d,ACTS_IN,1.0
agent_pip/d1860919,event/3e20d908,ACTS_IN,1.0
agent_pip/931b46c4,event/e584b274,ACTS_IN,1.0
agent_pip/2d14e25c,event/a7ece1ff,ACTS_IN,1.0
agent_pip/c37e39c6,event/bfd206ef,ACTS_IN,0.8
agent_pip/cfe4b76a,event/8cc974c6,ACTS_IN,0.8
agent_pip/78712141,event/b6a0e94f,ACTS_IN,0.8
agent_pip/8c6ca729,event/5f12fee2,ACTS_IN,0.8
agent_pip/d1dada80,event/ebf9eac3,ACTS_IN,0.8
agent_pip/4528fb62,event/868c6b7c,ACTS_IN,1.0
agent_pip/10864a7c,event/d533f501,ACTS_IN,1.0
agent_pip/0581e709,event/d3af896c,ACTS_IN,1.0
agent_pip/53f6e273,event/d0077e45,ACTS_IN,1.0
agent_pip/a5324c8a,event/4744321f,ACTS_IN,1.0
agent_pip/735454ff,event/39ed8065,ACTS_IN,1.0
agent_pip/af793629,event/c0e471b5,ACTS_IN,1.0
agent_pip/826efbf4,event/a5638b9d,ACTS_IN,1.0
agent_pip/59fd899f,event/8d02e71c,ACTS_IN,1.0
agent_pip/8307a88b,event/19dcf0b9,ACTS_IN,1.0
agent_pip/a5c8a26d,event/635a3378,ACTS_IN,1.0
agent_pip/526e68c1,event/6e24dea5,ACTS_IN,1.0
agent_pip/a4ad9702,event/cab104f0,ACTS_IN,1.0
agent_man/317316ab,event/7404b1ce,ACTS_IN,0.8
agent_man/31c86dd9,event/fce79bbc,ACTS_IN,0.8
agent_man/1d3475cd,event/ce3203ba,ACTS_IN,0.8
agent_man/9ca0bb65,event/02470252,ACTS_IN,0.5
agent_man/0a363142,event/d36d72ee,ACTS_IN,0.5
agent_man/a96d14c4,event/24ae454d,ACTS_IN,0.5
agent_man/b268c091,event/bb8f6c41,ACTS_IN,0.5
agent_man/eca57bd5,event/ccf0a206,ACTS_IN,0.8
agent_man/c7d91e19,event/ed063162,ACTS_IN,0.7
agent_man/1d75a7ed,event/04521611,ACTS_IN,0.5
agent_man/80f5f335,event/dc39c907,ACTS_IN,0.5
agent_man/67d23454,event/f6f7de8a,ACTS_IN,0.8
agent_man/9cd71b5b,event/494f12cd,ACTS_IN,0.9
agent_man/87b79084,event/3d91cdba,ACTS_IN,0.9
agent_man/9093bad9,event/fd9b8d4f,ACTS_IN,0.9
agent_man/8c1803b6,event/22033131,ACTS_IN,0.8
agent_man/2c8dabd5,event/ccddc861,ACTS_IN,0.8
agent_man/c91f1267,event/6dde1a71,ACTS_IN,0.8
agent_man/f6e502d2,event/f315960c,ACTS_IN,0.8
agent_man/1835de6b,event/b934ca9e,ACTS_IN,0.5
agent_magwitch/678aaabe,event/cb0a2ae1,ACTS_IN,0.8
agent_magwitch/d047784b,event/fdd1fca7,ACTS_IN,0.8
agent_magwitch/15cbebed,event/b03a14e6,ACTS_IN,0.8
agent_magwitch/4ff0e076,event/7ba0e780,ACTS_IN,0.8
agent_magwitch/fd2743e3,event/177fddeb,ACTS_IN,0.8
agent_magwitch/c2eaaa78,event/b0003108,ACTS_IN,0.8
agent_magwitch/685d4a1d,event/5ef63070,ACTS_IN,0.8
agent_magwitch/b4225c05,event/dff08ed3,ACTS_IN,0.8
agent_magwitch/1767e074,event/22c61701,ACTS_IN,0.8
agent_magwitch/546f2a22,event/6a3eebb0,ACTS_IN,0.8
agent_magwitch/a2a79380,event/c5cce3bf,ACTS_IN,0.8
agent_magwitch/5d67a226,event/0f56388d,ACTS_IN,0.9
agent_magwitch/30f3bf8f,event/baf3c3ea,ACTS_IN,1.0
agent_magwitch/2d11d62f,event/67f6f073,ACTS_IN,1.0
agent_magwitch/adb16ad7,event/6ffa6909,ACTS_IN,1.0
agent_magwitch/29bf5207,event/2dfebcc5,ACTS_IN,1.0
agent_magwitch/ace57266,event/73298ec4,ACTS_IN,0.9
agent_magwitch/3dd0c91b,event/595975b5,ACTS_IN,0.9
agent_magwitch/3b54ba36,event/fd23e7ef,ACTS_IN,0.8
agent_magwitch/0b6475f6,event/3f262f97,ACTS_IN,0.8
agent_magwitch/65fe3c1f,event/0659489e,ACTS_IN,0.8
agent_magwitch/01599579,event/1a0941d9,ACTS_IN,0.8
agent_magwitch/ff825db7,event/cb7d4760,ACTS_IN,0.8
agent_magwitch/3dcd6fe1,event/70d06578,ACTS_IN,0.5
