:START_ID,:END_ID,:TYPE,strength
agent_father/96d48da9,event/66c1e494,AFFECTED_IN,1.0
agent_philip_pirrip/feac6a64,event/df2e5b1b,AFFECTED_IN,1.0
agent_philip_pirrip/219f9558,event/0cda9890,AFFECTED_IN,1.0
agent_philip_pirrip/a0afd098,event/18a59c8e,AFFECTED_IN,1.0
agent_philip_pirrip/95efd9a3,event/17f42de1,AFFECTED_IN,1.0
agent_philip_pirrip/96e1c0c1,event/216c6f22,AFFECTED_IN,1.0
agent_philip_pirrip/46d10270,event/118e4d85,AFFECTED_IN,1.0
agent_philip_pirrip/2b4d0d03,event/c53990a7,AFFECTED_IN,1.0
agent_philip_pirrip/3fa9c733,event/50018bce,AFFECTED_IN,1.0
agent_philip_pirrip/3330b805,event/a8452911,AFFECTED_IN,1.0
agent_philip_pirrip/6e880fb5,event/5209be2e,AFFECTED_IN,0.5
agent_philip_pirrip/715a0b52,event/089c8fea,AFFECTED_IN,0.5
agent_philip_pirrip/655e5f64,event/c9aaf735,AFFECTED_IN,0.5
agent_philip_pirrip/20fed69f,event/85f186c8,AFFECTED_IN,0.5
agent_philip_pirrip/beae96c2,event/58efa0e2,AFFECTED_IN,1.0
agent_philip_pirrip/820bea2c,event/042951e5,AFFECTED_IN,1.0
agent_philip_pirrip/379ba89d,event/60266535,AFFECTED_IN,1.0
agent_philip_pirrip/424708db,event/3fce1e48,AFFECTED_IN,1.0
agent_philip_pirrip/2565ff22,event/5dcd8eb0,AFFECTED_IN,1.0
agent_philip_pirrip/973b3dce,event/788e9af7,AFFECTED_IN,1.0
agent_philip_pirrip/be2f6301,event/e70c5870,AFFECTED_IN,1.0
agent_philip_pirrip/fab508ad,event/fe6c6d3d,AFFECTED_IN,1.0
agent_philip_pirrip/3e29b2ef,event/2737c6a7,AFFECTED_IN,1.0
agent_philip_pirrip/be1a07be,event/7533a3ab,AFFECTED_IN,1.0
agent_philip_pirrip/cfbe1475,event/3f9b04c7,AFFECTED_IN,1.0
agent_philip_pirrip/d9d0b966,event/fd0dc162,AFFECTED_IN,1.0
agent_philip_pirrip/22c3aacf,event/666f0d3e,AFFECTED_IN,1.0
agent_philip_pirrip/c036e8df,event/3675a222,AFFECTED_IN,1.0
agent_philip_pirrip/edc3ba3d,event/58ed203f,AFFECTED_IN,1.0
agent_mrs._joe_gargery/dda36124,event/c5c3b1ce,AFFECTED_IN,1.0
agent_abel_magwitch/99db5306,event/faab2d4c,AFFECTED_IN,1.0
agent_abel_magwitch/49995c90,event/13d15815,AFFECTED_IN,1.0
agent_abel_magwitch/9641e01a,event/731438db,AFFECTED_IN,1.0
agent_abel_magwitch/619ad5f3,event/fa613bc2,AFFECTED_IN,1.0
agent_abel_magwitch/205bd4e5,event/5e4ffab8,AFFECTED_IN,1.0
agent_abel_magwitch/807b76ea,event/ecc6ac02,AFFECTED_IN,1.0
agent_abel_magwitch/d56b0098,event/ce64310d,AFFECTED_IN,1.0
agent_abel_magwitch/6dde8031,event/188b58cb,AFFECTED_IN,1.0
agent_abel_magwitch/7e980a74,event/8abe8936,AFFECTED_IN,1.0
agent_abel_magwitch/6dc7a45c,event/30a13607,AFFECTED_IN,1.0
agent_the_church/3514cb83,event/6bcbee0c,AFFECTED_IN,1.0
agent_unknown_boy/72ddfc7d,event/2895b0d9,AFFECTED_IN,1.0
agent_unknown_boy/16e6070e,event/8a46dfd2,AFFECTED_IN,1.0
agent_unknown_boy/e6a71c77,event/5ab8b656,AFFECTED_IN,1.0
agent_unknown_boy/fded41ee,event/dd3c18c1,AFFECTED_IN,1.0
agent_unknown_boy/d1d43957,event/3cd49454,AFFECTED_IN,1.0
agent_unknown_boy/8633558e,event/35541825,AFFECTED_IN,1.0
agent_cattle/74b1e734,event/69dd78ca,AFFECTED_IN,1.0
agent_cattle/779747bd,event/e805c584,AFFECTED_IN,1.0
