:START_ID,:END_ID,:TYPE
event/17aeab10,place/grave,AT
event/53c313d6,place/grave,AT
event/ba5b93a5,place/by_the_river,AT
event/d666e4d2,place/not_specified,AT
event/0db92bbc,place/churchyard,AT
event/53b69a34,place/churchyard,AT
event/b48bd86f,place/churchyard,AT
event/b0bf7bae,place/churchyard,AT
event/b7944487,place/beyond_the_churchyard,AT
event/0cae5151,place/beyond_the_marshes,AT
event/3a532cb1,place/distant_savage_lair,AT
event/656b7b8e,place/graves_at_the_side_of_the_church_porch,AT
event/39383d63,place/village,AT
event/dc1c4db7,place/flat_in-shore_among_the_alder-trees_and_pollards,AT
event/bfc4996a,place/village,AT
event/6069af80,place/high_tombstone,AT
event/fd21e680,place/tombstone,AT
event/a9316665,place/top_of_the_stone,AT
event/45d93c41,place/old_battery,AT
event/708a6c3a,place/the_battery,AT
event/769b15b3,place/cold_wet_flat,AT
event/8501f748,place/cold_wet_flat,AT
event/74ab8089,place/cold_wet_flat,AT
event/d5ccf5d2,place/low_church_wall,AT
event/c3fbefdb,place/among_the_nettles,AT
event/556cc8e5,place/among_the_brambles,AT
event/d7448808,place/low_church_wall,AT
event/a40d446a,place/low_church_wall,AT
event/f6d8aaae,place/home,AT
event/e779a860,place/river,AT
event/3ebf3f2a,place/marshes,AT
event/a1455922,place/marshes,AT
event/729f70c4,place/marshes,AT
event/1d65a2f1,place/edge_of_the_river,AT
event/1d1ae5ce,place/edge_of_the_river,AT
event/4cdbeff8,place/edge_of_the_river,AT
event/29051fe7,place/edge_of_the_river,AT
event/2d922087,place/edge_of_the_river,AT
event/1407723d,place/edge_of_the_river,AT
event/bef2006c,place/home,AT
event/c8380cde,place/with_herself_and_the_neighbours,AT
event/824ec500,place/house,AT
event/f13d617d,place/house,AT
event/a2b9d41f,place/country,AT
event/349c5b57,place/churchyard,AT
event/57798dba,place/forge,AT
event/f446356c,place/kitchen,AT
event/5b16b5ce,place/door,AT
event/2468f86d,place/door,AT
event/04ff926f,place/chimney_corner,AT
event/58a1c521,place/chimney,AT
event/65147d87,place/chimney,AT
event/1942c852,place/churchyard,AT
event/2a655d8f,place/marshes,AT
event/cada4fe9,place/sheltering_premises,AT
event/6f193ab3,place/threshold,AT
event/cccea1cb,place/the_wall_behind_him,AT
event/b934499e,place/the_corner,AT
event/7a1e1cce,place/in_those_days,AT
event/0518056f,place/the_cupboard,AT
event/250caca4,place/before_the_fire,AT
event/d0973e55,place/before_the_fire,AT
event/b7694ff0,place/before_the_fire,AT
event/59e8bd8e,place/leg_of_his_trousers,AT
event/dd336c4e,place/kitchen,AT
event/8ec2d7eb,place/kitchen,AT
event/b6bd1c19,place/unknown,AT
event/6e671178,place/outside,AT
event/a0a198ee,place/outside,AT
event/004e86ec,place/unknown,AT
event/1539703b,place/unknown,AT
event/85a7b9be,place/unknown,AT
event/dc788837,place/unknown,AT
event/da1a30c4,place/unknown,AT
event/cbae09b0,place/kitchen,AT
event/eb29e668,place/kitchen,AT
event/6b072e4e,place/kitchen,AT
event/fb722d9e,place/kitchen,AT
event/5d5a171e,place/kitchen,AT
event/c0f3f460,place/kitchen,AT
event/0a753fe7,place/garret_bedroom,AT
event/7f2a707e,place/chimney_corner,AT
event/2833a834,place/upstairs,AT
event/107a0546,place/hulks,AT
event/154e1750,place/river,AT
event/826a5aac,place/river,AT
event/7b9bd4f2,place/gibbet-station,AT
event/e7feb8b2,place/river,AT
event/6e493f22,place/pantry,AT
event/6eadceb6,place/pantry,AT
event/efaec9af,place/little_window,AT
event/97f696f0,place/downstairs,AT
event/f835fefe,place/the_way,AT
event/fa296cbe,place/the_way,AT
event/dd855ce8,place/the_way,AT
event/a1f1b8b0,place/pantry,AT
event/bf6a7efb,place/pantry,AT
event/694842a6,place/up_in_my_room,AT
event/472b855f,place/kitchen_cupboard,AT
event/fbd33cee,place/corner,AT
event/92d0b8c5,place/covered_earthenware_dish,AT
event/1b596ad4,place/kitchen,AT
event/40aa2c5a,place/kitchen,AT
event/a66616d1,place/kitchen,AT
event/79208de2,place/among_joe’s_tools,AT
event/083c7460,place/kitchen,AT
event/50b5f6f9,place/kitchen,AT
event/c92c7801,place/kitchen,AT
event/e8861bd3,place/misty_marshes,AT
event/890e45a9,place/window,AT
event/bc2ad238,place/window,AT
event/9b15664f,place/hedges_and_grass,AT
event/409adfa0,place/twigs_and_blades,AT
event/8bc4cac6,place/rails_and_gates,AT
event/a46a0312,place/post,AT
event/fbee67b5,place/post,AT
event/9c2410c7,place/wooden_finger,AT
event/d3077e77,place/marshes,AT
event/c26791d8,place/marshes,AT
event/971904ce,place/marshes,AT
event/21a73d93,place/marshes,AT
event/884b0d33,place/river,AT
event/e2e99df8,place/battery,AT
event/50498a60,place/battery,AT
event/13c96e4f,place/old_gun,AT
event/bc88308a,place/battery,AT
event/17defe17,place/river-side,AT
event/34de9581,place/bank_of_loose_stones,AT
event/3b9d83ed,place/near_the_battery,AT
event/e3fde20e,place/mound_beyond_the_ditch,AT
event/f640376e,place/mist,AT
event/911ec718,place/the_battery,AT
event/c703489c,place/the_grass,AT
event/f16d8887,place/here,AT
event/138c6f03,place/river,AT
event/8222727f,place/marsh,AT
event/aa23d1c1,place/unspecified,AT
event/ed510b04,place/unspecified,AT
event/1aece523,place/unspecified,AT
event/01f7cbbf,place/unspecified,AT
event/dd4e40fe,place/unspecified,AT
event/cded5c1e,place/unspecified,AT
event/c30f9de6,place/unspecified,AT
event/c80f0bf5,place/unspecified,AT
event/a75a76a9,place/unspecified,AT
event/d8942d04,place/unspecified,AT
event/5be0eb5e,place/home,AT
event/b10e15ea,place/flats,AT
event/e58affc9,place/breast_of_his_grey_jacket,AT
