:START_ID,:END_ID,:TYPE
causal/ab3ae712,event/2e5a08e5,CAUSE
causal/8fa6e56b,event/2e5a08e5,CAUSE
causal/f20f25dd,event/b9d389c0,CAUSE
causal/30a27fca,event/2e5a08e5,CAUSE
causal/574bea47,event/b9d389c0,CAUSE
causal/aff2533d,event/a8b41fb4,CAUSE
causal/b7a208c8,event/b9d389c0,CAUSE
causal/0b27de88,event/a8b41fb4,CAUSE
causal/4893311a,event/64383109,CAUSE
causal/f1dab4ef,event/b9d389c0,CAUSE
causal/fff0b04d,event/64383109,CAUSE
causal/fb2d7cca,event/64383109,CAUSE
causal/9bb6f1ec,event/11f543fc,CAUSE
causal/c1a2a127,event/84017580,CAUSE
causal/25d58f68,event/11f543fc,CAUSE
causal/fc471b52,event/fd01c0f5,CAUSE
causal/d6e44756,event/11f543fc,CAUSE
causal/41c57aa0,event/fd01c0f5,CAUSE
causal/e9d73e81,event/7d2a6bab,CAUSE
causal/962c2ec6,event/3edd9f18,CAUSE
causal/594c0e73,event/fd01c0f5,CAUSE
causal/e913bbf6,event/3edd9f18,CAUSE
causal/aa5bab0d,event/61acce51,CAUSE
causal/6f18e359,event/3edd9f18,CAUSE
causal/e8f94517,event/61acce51,CAUSE
causal/f05b6413,event/61acce51,CAUSE
causal/e56a071f,event/04642ad1,CAUSE
causal/0ee9c01c,event/04642ad1,CAUSE
causal/84dd6e5e,event/04642ad1,CAUSE
causal/b347ceca,event/17aeab10,CAUSE
causal/075dd158,event/53c313d6,CAUSE
causal/dcd1987a,event/53c313d6,CAUSE
causal/6eb670ae,event/82e198b2,CAUSE
causal/b4f76672,event/ba5b93a5,CAUSE
causal/e940fafd,event/0db92bbc,CAUSE
causal/cd0f9f74,event/53b69a34,CAUSE
causal/df4fdf9d,event/b48bd86f,CAUSE
causal/b6259ed4,event/0db92bbc,CAUSE
causal/0a31ba95,event/b7944487,CAUSE
causal/ebdd7f47,event/3a532cb1,CAUSE
causal/ba72f5d3,event/9aff9f5b,CAUSE
causal/15affab3,event/69d6dd7a,CAUSE
causal/428a4846,event/69d6dd7a,CAUSE
causal/beb60c31,event/69d6dd7a,CAUSE
causal/9c7f7ff1,event/656b7b8e,CAUSE
causal/3ab7e5bf,event/0a25a77f,CAUSE
causal/d3057da4,event/841f4b92,CAUSE
causal/6b5e95e3,event/0a25a77f,CAUSE
causal/18995dd8,event/841f4b92,CAUSE
causal/454bdfba,event/f5a84fb4,CAUSE
causal/c8eda700,event/6b6f0979,CAUSE
causal/1b6eaa8a,event/f5a84fb4,CAUSE
causal/dd40446c,event/6b6f0979,CAUSE
causal/ec9b82cc,event/7ccbc9f3,CAUSE
causal/113b36dd,event/f5a84fb4,CAUSE
causal/60ed9052,event/6b6f0979,CAUSE
causal/ee3a3059,event/7ccbc9f3,CAUSE
causal/3af78957,event/09e8801a,CAUSE
causal/94238ebf,event/7ccbc9f3,CAUSE
causal/f2a4ff6b,event/09e8801a,CAUSE
causal/20d21552,event/5fff48b1,CAUSE
causal/30b17459,event/ea8d71eb,CAUSE
causal/b8eef7a1,event/d639b38c,CAUSE
causal/7e474bdd,event/29b98e15,CAUSE
causal/9799fff8,event/29b98e15,CAUSE
causal/ec5d0d5f,event/ef260e7f,CAUSE
causal/087bac0c,event/ef260e7f,CAUSE
causal/9c8a1e22,event/39383d63,CAUSE
causal/68710eb7,event/39383d63,CAUSE
causal/2b37fb9d,event/ef260e7f,CAUSE
causal/8d72e15e,event/39383d63,CAUSE
causal/95ddfcd2,event/3234b359,CAUSE
causal/f0005457,event/3234b359,CAUSE
causal/9728b822,event/0955ebe9,CAUSE
causal/43f5068b,event/b29154ce,CAUSE
causal/a901c389,event/3234b359,CAUSE
causal/5d0727bf,event/0955ebe9,CAUSE
causal/4110fccf,event/b29154ce,CAUSE
causal/9062c829,event/0e132653,CAUSE
causal/21278ff0,event/0e132653,CAUSE
causal/16653336,event/1dbf1319,CAUSE
causal/d3d2341f,event/1dbf1319,CAUSE
causal/ef545eca,event/eb6538f2,CAUSE
causal/d2b323e0,event/644dcda9,CAUSE
causal/9d7f0407,event/644dcda9,CAUSE
causal/5bfda7eb,event/644dcda9,CAUSE
causal/fb870b35,event/644dcda9,CAUSE
causal/c604db88,event/10486b5f,CAUSE
causal/21ad1cd9,event/b2549a1a,CAUSE
causal/3453f5af,event/6c374691,CAUSE
causal/05d80c54,event/0a46728b,CAUSE
causal/c50247ed,event/88cda2a4,CAUSE
causal/f075e238,event/3d8fb3c8,CAUSE
causal/95d7369a,event/88cda2a4,CAUSE
causal/98fd97f8,event/3d8fb3c8,CAUSE
causal/6ee098cc,event/b8fab9df,CAUSE
causal/cb41ff59,event/3d8fb3c8,CAUSE
causal/bac5c48e,event/b8fab9df,CAUSE
causal/53efdd66,event/1f25b915,CAUSE
causal/8d3913a0,event/1f25b915,CAUSE
causal/f02b77b2,event/5c54482e,CAUSE
causal/ef5aea67,event/d83edcc9,CAUSE
causal/365021ab,event/b2396505,CAUSE
causal/9701f254,event/5c54482e,CAUSE
causal/a370150e,event/b41c8c82,CAUSE
causal/0e45adbe,event/21f317dd,CAUSE
causal/4248136b,event/b41c8c82,CAUSE
causal/1791ef78,event/21f317dd,CAUSE
causal/646857e0,event/026590ab,CAUSE
causal/34aab3ed,event/2272f9cb,CAUSE
causal/03980995,event/026590ab,CAUSE
causal/6e196043,event/2272f9cb,CAUSE
causal/9b49a81e,event/fd21e680,CAUSE
causal/0e12946d,event/026590ab,CAUSE
causal/35efcc42,event/2272f9cb,CAUSE
causal/31fc853d,event/fd21e680,CAUSE
causal/87cd06a7,event/e94199a5,CAUSE
causal/17a56ebe,event/2272f9cb,CAUSE
causal/039d8925,event/fd21e680,CAUSE
causal/5097d54c,event/e94199a5,CAUSE
causal/a505572e,event/f1847d74,CAUSE
causal/f9017d74,event/fd21e680,CAUSE
causal/98407bc8,event/e94199a5,CAUSE
causal/ca3f147e,event/f1847d74,CAUSE
causal/62f2e197,event/b6fa0850,CAUSE
causal/9611c682,event/b6fa0850,CAUSE
causal/07c61323,event/bd0345f2,CAUSE
causal/66577f16,event/b1245261,CAUSE
causal/4c9ae7e8,event/bd0345f2,CAUSE
causal/2a1f923c,event/1043e9b9,CAUSE
causal/1bdd68ad,event/1043e9b9,CAUSE
causal/9bb1615c,event/6ab660b4,CAUSE
causal/8eb80744,event/6ab660b4,CAUSE
causal/ec311ec8,event/35e43d82,CAUSE
causal/935ad637,event/9c646337,CAUSE
causal/5ec07a14,event/a5e049ec,CAUSE
causal/9e0cc7fa,event/9c646337,CAUSE
causal/b44aee2a,event/a5e049ec,CAUSE
causal/469b4343,event/98b31acb,CAUSE
causal/f71232b5,event/9c646337,CAUSE
causal/ad73c524,event/a5e049ec,CAUSE
causal/ab7e07af,event/25b7f29c,CAUSE
causal/71b9311f,event/f8c37c13,CAUSE
causal/be45bba8,event/fa60c043,CAUSE
causal/e4f8a801,event/78b029ef,CAUSE
causal/968b609b,event/fa60c043,CAUSE
causal/3d5218d9,event/ab2f9af3,CAUSE
causal/6e0e4cb4,event/78b029ef,CAUSE
causal/5e714a27,event/ab2f9af3,CAUSE
