id,label,type,group,scene_name,size
agent_philip_pirrip/b69e87b8,Philip Pirrip,Agent,Agent,N/A,15
agent_philip_pirrip/0ad3eebf,Philip Pirrip,Agent,Agent,N/A,15
agent_philip_pirrip/44035364,Philip Pirrip,Agent,Agent,N/A,15
agent_philip_pirrip/789c875e,Philip Pirrip,Agent,Agent,N/A,15
agent_philip_pirrip/2e8dc467,Philip Pirrip,Agent,Agent,N/A,15
agent_philip_pirrip/981574b0,Philip Pirrip,Agent,Agent,N/A,15
agent_philip_pirrip/74ffb4e5,Philip Pirrip,Agent,Agent,N/A,15
agent_philip_pirrip/fa45acf6,Philip Pirrip,Agent,Agent,N/A,15
agent_philip_pirrip/74e2c5ee,Philip Pirrip,Agent,Agent,N/A,15
agent_philip_pirrip/4fae6651,Philip Pirrip,Agent,Agent,N/A,15
agent_philip_pirrip/bef6ce10,Philip Pirrip,Agent,Agent,N/A,15
agent_philip_pirrip/2cabde55,Philip Pirrip,Agent,Agent,N/A,15
agent_philip_pirrip/76fdf1a0,Philip Pirrip,Agent,Agent,N/A,15
agent_philip_pirrip/62a660d2,Philip Pirrip,Agent,Agent,N/A,15
agent_unnamed_man/1cc0ef3e,Unnamed Man,Agent,Agent,N/A,15
agent_philip_pirrip/877a35fb,Philip Pirrip,Agent,Agent,N/A,15
agent_unnamed_man/bef2c19f,Unnamed Man,Agent,Agent,N/A,15
agent_unnamed_man/14efa691,Unnamed Man,Agent,Agent,N/A,15
agent_philip_pirrip/71a8c191,Philip Pirrip,Agent,Agent,N/A,15
agent_unnamed_man/5cc12f1f,Unnamed Man,Agent,Agent,N/A,15
agent_philip_pirrip/f81abf18,Philip Pirrip,Agent,Agent,N/A,15
agent_philip_pirrip/e45a01f2,Philip Pirrip,Agent,Agent,N/A,15
agent_unnamed_man/e71797c1,Unnamed Man,Agent,Agent,N/A,15
agent_philip_pirrip/d647caf6,Philip Pirrip,Agent,Agent,N/A,15
agent_philip_pirrip/b2fcb01f,Philip Pirrip,Agent,Agent,N/A,15
agent_unnamed_man/e52d1339,Unnamed Man,Agent,Agent,N/A,15
agent_unnamed_man/01583fec,Unnamed Man,Agent,Agent,N/A,15
agent_philip_pirrip/b4b95ddf,Philip Pirrip,Agent,Agent,N/A,15
agent_philip_pirrip/bb0ef661,Philip Pirrip,Agent,Agent,N/A,15
agent_unnamed_man/a0d09a12,Unnamed Man,Agent,Agent,N/A,15
agent_philip_pirrip/1baff85d,Philip Pirrip,Agent,Agent,N/A,15
agent_philip_pirrip/d529f7ba,Philip Pirrip,Agent,Agent,N/A,15
agent_philip_pirrip/69faf88d,Philip Pirrip,Agent,Agent,N/A,15
agent_philip_pirrip/d386c767,Philip Pirrip,Agent,Agent,N/A,15
agent_philip_pirrip/207a2a7f,Philip Pirrip,Agent,Agent,N/A,15
agent_philip_pirrip/5c875405,Philip Pirrip,Agent,Agent,N/A,15
agent_philip_pirrip/e3210d41,Philip Pirrip,Agent,Agent,N/A,15
agent_philip_pirrip/1ee707ee,Philip Pirrip,Agent,Agent,N/A,15
agent_unnamed_convict/53bcf5c1,Unnamed Convict,Agent,Agent,N/A,15
agent_unnamed_convict/1faefead,Unnamed Convict,Agent,Agent,N/A,15
agent_philip_pirrip/1fa493e5,Philip Pirrip,Agent,Agent,N/A,15
agent_unnamed_convict/39da27fd,Unnamed Convict,Agent,Agent,N/A,15
agent_unnamed_convict/6dda5e2b,Unnamed Convict,Agent,Agent,N/A,15
agent_unnamed_convict/a7111b45,Unnamed Convict,Agent,Agent,N/A,15
agent_unnamed_convict/3c05d47b,Unnamed Convict,Agent,Agent,N/A,15
agent_philip_pirrip/986683fe,Philip Pirrip,Agent,Agent,N/A,15
agent_unnamed_convict/afef3ff0,Unnamed Convict,Agent,Agent,N/A,15
