entity_id,entity_name,entity_type,next_event_id,relationship,strength
agent_narrator/8d1db410,narrator,actor,event/b6e13af5,ACTS_IN,1.0
agent_narrator/e32b10df,narrator,actor,event/a30c2ae3,ACTS_IN,1.0
agent_narrator/0fc3f14d,narrator,actor,event/19c3edca,ACTS_IN,1.0
agent_narrator/510d1751,narrator,actor,event/f2db07f4,ACTS_IN,1.0
agent_narrator/75fff028,narrator,actor,event/2e370741,ACTS_IN,1.0
agent_narrator/4c1504be,narrator,actor,event/f1ecc375,ACTS_IN,1.0
agent_narrator/83816385,narrator,actor,event/706ee7d5,ACTS_IN,1.0
agent_narrator/bf293031,narrator,actor,event/683a7db5,ACTS_IN,1.0
agent_narrator/7ee44b99,narrator,actor,event/7d00b883,ACTS_IN,1.0
agent_narrator/09b3d992,narrator,actor,event/ba2d2bc7,ACTS_IN,1.0
agent_narrator/bd570241,narrator,actor,event/cc1ecdaa,ACTS_IN,1.0
agent_narrator/9d6dc45d,narrator,actor,event/844c4c05,ACTS_IN,1.0
agent_narrator/6beb7fcb,narrator,actor,event/533b3d85,ACTS_IN,1.0
agent_narrator/82a2ff99,narrator,actor,event/deba44a3,ACTS_IN,1.0
agent_narrator/caf64a31,narrator,actor,event/0998afba,ACTS_IN,1.0
agent_narrator/eec2d727,narrator,actor,event/7bb40f93,ACTS_IN,1.0
agent_narrator/10a8035d,narrator,actor,event/5e4bf369,ACTS_IN,0.5
agent_narrator/8a0003d8,narrator,actor,event/8b6672da,ACTS_IN,0.5
agent_narrator/67a863a6,narrator,actor,event/cc0e2955,ACTS_IN,1.0
agent_narrator/7b9220d5,narrator,actor,event/f956c945,ACTS_IN,1.0
agent_narrator/f76cc39f,narrator,actor,event/16d60431,ACTS_IN,1.0
agent_narrator/e10deef8,narrator,actor,event/a1c7ae4d,ACTS_IN,1.0
agent_narrator/6dde2fa0,narrator,actor,event/04bb5315,ACTS_IN,0.5
agent_narrator/8dcfc2fc,narrator,actor,event/c6ddcb71,ACTS_IN,1.0
agent_narrator/567b2f6e,narrator,actor,event/74f55621,ACTS_IN,1.0
agent_narrator/f37f1f12,narrator,actor,event/06d629a1,ACTS_IN,1.0
agent_narrator/e6bcd4b4,narrator,actor,event/8d5335ea,ACTS_IN,1.0
agent_narrator/1d4cc5f8,narrator,actor,event/2c956235,ACTS_IN,1.0
agent_narrator/48b40460,narrator,actor,event/3ef5290c,ACTS_IN,1.0
agent_narrator/42fc344c,narrator,actor,event/4956c11f,ACTS_IN,1.0
agent_narrator/969edc7f,narrator,actor,event/ceda416c,ACTS_IN,1.0
agent_narrator/c7a9bf08,narrator,actor,event/fd007c2b,ACTS_IN,1.0
agent_narrator/6b70b457,narrator,actor,event/9299fc83,ACTS_IN,1.0
agent_narrator/5d8abb26,narrator,actor,event/42342879,ACTS_IN,1.0
agent_narrator/18a01fb7,narrator,actor,event/5285b9e4,ACTS_IN,1.0
agent_narrator/23e2e7a8,narrator,actor,event/a9e8faf7,ACTS_IN,1.0
agent_narrator/36e03bb9,narrator,actor,event/dc6c5a1b,ACTS_IN,1.0
agent_narrator/8aecc1cb,narrator,actor,event/5a7f4b87,ACTS_IN,1.0
agent_narrator/f69335dc,narrator,actor,event/ca2ea8ec,ACTS_IN,1.0
agent_narrator/b5c8aa6f,narrator,actor,event/dc95e2f2,ACTS_IN,1.0
agent_narrator/5eb8bf74,narrator,actor,event/a4cfb48f,ACTS_IN,1.0
agent_narrator/3c1c0e56,narrator,actor,event/60cc5a98,ACTS_IN,1.0
agent_narrator/258eaec3,narrator,actor,event/4de9bdb2,ACTS_IN,1.0
agent_narrator/d28a1764,narrator,actor,event/1c623b6c,ACTS_IN,1.0
agent_narrator/fb0d0cb8,narrator,actor,event/155b64bb,ACTS_IN,1.0
agent_narrator/c5765419,narrator,actor,event/62d7f0ba,ACTS_IN,1.0
agent_narrator/7f80712f,narrator,actor,event/f7a4ef4d,ACTS_IN,1.0
agent_narrator/93578cc7,narrator,actor,event/419f4c2a,ACTS_IN,1.0
agent_narrator/ca44011a,narrator,actor,event/85d15747,ACTS_IN,1.0
agent_narrator/219cb074,narrator,actor,event/858c71e9,ACTS_IN,1.0
agent_narrator/508fed77,narrator,actor,event/d02a526a,ACTS_IN,1.0
agent_narrator/081cdcac,narrator,actor,event/38dd26b9,ACTS_IN,1.0
agent_narrator/2a28dc41,narrator,actor,event/9d9febca,ACTS_IN,1.0
agent_narrator/0d98167e,narrator,actor,event/c74c15b1,ACTS_IN,1.0
agent_narrator/34e9b669,narrator,actor,event/617da30e,ACTS_IN,1.0
agent_narrator/24b58d88,narrator,actor,event/416415ea,ACTS_IN,1.0
agent_narrator/ae3ec4dc,narrator,actor,event/bacdc8f6,ACTS_IN,1.0
agent_narrator/f41b5048,narrator,actor,event/b823e3f3,ACTS_IN,1.0
agent_narrator/f6b58ac6,narrator,actor,event/cee70e30,ACTS_IN,1.0
agent_narrator/24ec1944,narrator,actor,event/cc8c8481,ACTS_IN,1.0
agent_narrator/b83f3c65,narrator,actor,event/d6926d43,ACTS_IN,1.0
agent_narrator/75b82b20,narrator,actor,event/26420f36,ACTS_IN,1.0
agent_narrator/4c6d56c4,narrator,actor,event/bcfa95d7,ACTS_IN,1.0
agent_mrs._joe_gargery/4e23be62,mrs. joe gargery,actor,event/683a7db5,ACTS_IN,1.0
agent_mrs._joe_gargery/8a4f2d36,mrs. joe gargery,actor,event/5e62ee35,ACTS_IN,1.0
agent_blacksmith/43f4bb1b,blacksmith,actor,event/5e62ee35,ACTS_IN,1.0
why_longing_for_parental_connectio/2bb87dc5,longing for parental connection,whyfactor,event/7d00b883,MOTIVATES,1.0
why_curiosity_about_his_origins/fd51b833,curiosity about his origins,whyfactor,event/ba2d2bc7,MOTIVATES,1.0
why_lack_of_personal_knowledge_abo/c758f0a0,lack of personal knowledge about parents,whyfactor,event/cc1ecdaa,MOTIVATES,1.0
