:START_ID,:END_ID,:TYPE
event/63922cb3,event/4f9c7ad1,FOLLOWS
event/4f9c7ad1,event/e5fdf84b,FOLLOWS
event/e5fdf84b,event/fe79e59d,FOLLOWS
event/fe79e59d,event/1ec594b3,FOLLOWS
event/1ec594b3,event/fbf09d2f,FOLLOWS
event/fbf09d2f,event/65dc6d26,FOLLOWS
event/65dc6d26,event/4b48c598,FOLLOWS
event/4b48c598,event/c70703fd,FOLLOWS
event/c70703fd,event/75ff4db5,FOLLOWS
event/75ff4db5,event/cc954075,FOLLOWS
event/cc954075,event/8f6d9f60,FOLLOWS
event/8f6d9f60,event/2ff3fa0e,FOLLOWS
event/2ff3fa0e,event/9968a12a,FOLLOWS
event/9968a12a,event/d1a05c4c,FOLLOWS
event/d1a05c4c,event/13932c21,FOLLOWS
event/13932c21,event/fad63d27,FOLLOWS
event/fad63d27,event/c1c77aee,FOLLOWS
event/c1c77aee,event/93b12826,FOLLOWS
event/93b12826,event/16f74a7a,FOLLOWS
event/16f74a7a,event/12c5776d,FOLLOWS
event/12c5776d,event/20a75a2b,FOLLOWS
event/20a75a2b,event/5fb52743,FOLLOWS
event/5fb52743,event/f36d5398,FOLLOWS
event/f36d5398,event/97c2b8b7,FOLLOWS
event/97c2b8b7,event/387eb776,FOLLOWS
event/387eb776,event/cd39f1b3,FOLLOWS
event/cd39f1b3,event/5cb06026,FOLLOWS
event/5cb06026,event/7a60a821,FOLLOWS
event/7a60a821,event/9ea27bf2,FOLLOWS
event/9ea27bf2,event/35d258c4,FOLLOWS
event/35d258c4,event/9043a132,FOLLOWS
event/9043a132,event/9f1b1071,FOLLOWS
event/9f1b1071,event/8a8012e4,FOLLOWS
event/8a8012e4,event/0182b047,FOLLOWS
event/0182b047,event/583505cf,FOLLOWS
event/583505cf,event/03eec9c7,FOLLOWS
event/03eec9c7,event/ac41827b,FOLLOWS
event/ac41827b,event/ff5a94f9,FOLLOWS
event/ff5a94f9,event/d7d2f78e,FOLLOWS
event/d7d2f78e,event/3d858992,FOLLOWS
event/3d858992,event/fe0bd532,FOLLOWS
event/fe0bd532,event/4e5670ea,FOLLOWS
event/4e5670ea,event/76179b3b,FOLLOWS
event/76179b3b,event/e1d06373,FOLLOWS
event/e1d06373,event/64d73e0f,FOLLOWS
event/64d73e0f,event/0b558c23,FOLLOWS
event/0b558c23,event/ed798850,FOLLOWS
event/ed798850,event/a3482c67,FOLLOWS
event/a3482c67,event/669ca926,FOLLOWS
event/669ca926,event/9b273375,FOLLOWS
event/9b273375,event/ca509e3f,FOLLOWS
event/ca509e3f,event/f74991d5,FOLLOWS
event/f74991d5,event/11bf170c,FOLLOWS
event/11bf170c,event/b5f8b2cf,FOLLOWS
event/b5f8b2cf,event/bced0ad7,FOLLOWS
event/bced0ad7,event/e9b608ac,FOLLOWS
event/e9b608ac,event/56d4f5cf,FOLLOWS
event/56d4f5cf,event/f1409943,FOLLOWS
event/f1409943,event/0304a283,FOLLOWS
event/0304a283,event/558226a8,FOLLOWS
event/558226a8,event/cdb02b69,FOLLOWS
event/cdb02b69,event/f4c16364,FOLLOWS
event/f4c16364,event/61f2df93,FOLLOWS
event/61f2df93,event/c4204f87,FOLLOWS
event/c4204f87,event/fe683e95,FOLLOWS
event/fe683e95,event/57e998b1,FOLLOWS
event/57e998b1,event/d95be92d,FOLLOWS
event/d95be92d,event/214f629d,FOLLOWS
