:START_ID,:END_ID,:TYPE,specificity
place_marsh_country/95762367,event/f90effe7,HOSTS,0.8
place_churchyard/5a30dab0,event/400969cb,HOSTS,0.8
place_churchyard/75213aee,event/09fbf03d,HOSTS,0.8
place_marshes/bc1e57a8,event/450382e4,HOSTS,0.8
place_marshes/49945732,event/b1a5d609,HOSTS,0.5
place_marshes/131446aa,event/7d910fc4,HOSTS,0.5
place_marshes/ff102196,event/47c9eb8f,HOSTS,0.5
place_marshes/461bcf93,event/43e60f75,HOSTS,0.5
place_marshes/0d8a8921,event/ebf9eac3,HOSTS,0.8
place_church_porch/ba6ce8e8,event/ca08d766,HOSTS,0.8
place_church_porch/bcb16e7f,event/7404b1ce,HOSTS,0.8
place_church_porch/784d3276,event/fce79bbc,HOSTS,0.8
place_church_porch/ae330e58,event/ce3203ba,HOSTS,0.8
place_church_porch/c96e2b6e,event/02470252,HOSTS,0.5
place_church_porch/c65b384a,event/d36d72ee,HOSTS,0.5
place_church_porch/47cf72a5,event/24ae454d,HOSTS,0.5
place_church_porch/b1d98efc,event/bb8f6c41,HOSTS,0.5
place_church_porch/66a133c6,event/b7572215,HOSTS,0.5
place_church_porch/2b7b6cae,event/42c5872b,HOSTS,0.5
place_church_porch/aff1fd07,event/ebf60c1f,HOSTS,0.5
place_church_porch/c22f8baf,event/2e49dd2b,HOSTS,0.5
place_church_porch/47d84068,event/ccf0a206,HOSTS,0.5
place_church_porch/8187c60c,event/ed063162,HOSTS,0.5
place_church_porch/3aecb581,event/04521611,HOSTS,0.5
place_church_porch/99e27520,event/b5a9d2cf,HOSTS,0.5
place_the_flat_in-shore_among_the_alder-trees_and_pollards/edded523,event/acdf1572,HOSTS,0.8
place_the_flat_in-shore_among_the_alder-trees_and_pollards/cb892b98,event/dc39c907,HOSTS,0.5
place_the_flat_in-shore_among_the_alder-trees_and_pollards/ea175744,event/f6f7de8a,HOSTS,0.5
place_the_flat_in-shore_among_the_alder-trees_and_pollards/cda3cf76,event/494f12cd,HOSTS,0.5
place_the_flat_in-shore_among_the_alder-trees_and_pollards/49ae7350,event/d28e2f57,HOSTS,0.5
place_church/c31a8e57,event/b749d876,HOSTS,0.8
place_church/1c2625e2,event/ca78f10d,HOSTS,0.8
place_church/b16c6d1a,event/c8ae6c23,HOSTS,0.8
place_high_tombstone/09a04e19,event/800cd1e9,HOSTS,0.8
place_high_tombstone/81a4af0d,event/3d91cdba,HOSTS,0.5
place_high_tombstone/4409f145,event/fd9b8d4f,HOSTS,0.5
place_high_tombstone/fa409d5f,event/e26baea0,HOSTS,0.5
place_high_tombstone/3affb7b7,event/7430971b,HOSTS,0.5
place_high_tombstone/fbb679e7,event/22033131,HOSTS,0.5
place_high_tombstone/a0bfccd0,event/ccddc861,HOSTS,0.5
place_high_tombstone/749afe14,event/6dde1a71,HOSTS,0.5
place_high_tombstone/19899359,event/7329b643,HOSTS,0.5
place_high_tombstone/af08b2eb,event/c1eecfe7,HOSTS,0.5
place_high_tombstone/bffc7fcd,event/3c804823,HOSTS,0.5
place_high_tombstone/01b376e5,event/f315960c,HOSTS,0.5
place_high_tombstone/b4535083,event/80560a58,HOSTS,0.5
place_high_tombstone/199895e5,event/b4bd55d6,HOSTS,0.5
place_high_tombstone/312fa7c5,event/f28648f6,HOSTS,0.5
place_high_tombstone/e77b7aa2,event/3d73baf6,HOSTS,0.5
place_high_tombstone/90c08564,event/2b454d74,HOSTS,0.5
place_high_tombstone/ffc6b686,event/7f17058d,HOSTS,0.5
place_high_tombstone/16ad13c4,event/f7e949bf,HOSTS,0.5
place_high_tombstone/7154c62c,event/4bfd496f,HOSTS,0.5
place_high_tombstone/9ef9176a,event/8e34252a,HOSTS,0.5
place_high_tombstone/eb0cb8ce,event/5e1e74e8,HOSTS,0.5
place_high_tombstone/d0465f13,event/cb0a2ae1,HOSTS,0.5
place_high_tombstone/6ccd852b,event/f3dc4a74,HOSTS,0.5
place_high_tombstone/e78934a1,event/fdd1fca7,HOSTS,0.5
place_high_tombstone/4e805408,event/b03a14e6,HOSTS,0.5
place_high_tombstone/b2fa1f3c,event/7ba0e780,HOSTS,0.5
place_tombstone/e8b18361,event/b0003108,HOSTS,0.8
place_tombstone/58bee20d,event/5ef63070,HOSTS,0.5
place_tombstone/e1880efe,event/dff08ed3,HOSTS,0.5
place_tombstone/be00f3fb,event/7e800e01,HOSTS,0.5
place_tombstone/02af417e,event/22c61701,HOSTS,0.5
place_tombstone/d10c5c61,event/6a3eebb0,HOSTS,0.5
place_tombstone/3f127cbb,event/14e68cdd,HOSTS,0.5
place_tombstone/b9e338e7,event/b8d32c99,HOSTS,0.5
place_tombstone/8f7aaeef,event/c5cce3bf,HOSTS,0.5
place_tombstone/afa31cf0,event/0f56388d,HOSTS,0.5
place_tombstone/c0d5f616,event/baf3c3ea,HOSTS,0.5
place_tombstone/4f834db3,event/67f6f073,HOSTS,0.5
place_tombstone/a862a646,event/6ffa6909,HOSTS,0.5
place_tombstone/465768c4,event/ffdb8b07,HOSTS,0.5
place_tombstone/ea0a38cf,event/56c464c0,HOSTS,0.5
place_tombstone/dd4d5c53,event/03993360,HOSTS,0.5
place_tombstone/0fa4aa8b,event/a44ba170,HOSTS,0.5
place_tombstone/5625a6a9,event/ff6c9b7d,HOSTS,0.5
place_tombstone/5ea16bcd,event/bf1c45e7,HOSTS,0.5
place_null/657b7858,event/1dfccc4e,HOSTS,0.8
place_null/efcbdac7,event/73298ec4,HOSTS,0.8
place_the_old_battery/9980b47c,event/fd23e7ef,HOSTS,0.8
place_the_old_battery/f5005d74,event/3f262f97,HOSTS,0.8
place_the_old_battery/e9439164,event/0659489e,HOSTS,0.5
place_the_old_battery/f2ce7353,event/1a0941d9,HOSTS,0.5
place_the_old_battery/e62377b5,event/cb7d4760,HOSTS,0.5
place_the_old_battery/0c49d580,event/51d9c03e,HOSTS,0.5
place_the_old_battery/f8adba82,event/4a27d972,HOSTS,0.5
place_the_old_battery/56e72cf5,event/8003d854,HOSTS,0.5
place_the_old_battery/da7b6e71,event/0f3c95e7,HOSTS,0.5
place_the_old_battery/3f1f50d4,event/395ac3e5,HOSTS,0.5
place_the_old_battery/e3dda649,event/1bcb3259,HOSTS,0.5
place_the_old_battery/a60485a2,event/75089745,HOSTS,0.5
place_the_old_battery/050e9581,event/59347b38,HOSTS,0.5
place_the_old_battery/e94e32fa,event/14d5c2f2,HOSTS,0.5
place_the_old_battery/d3ed96da,event/620d84b3,HOSTS,0.5
place_the_old_battery/d12b50ff,event/533d6544,HOSTS,0.5
place_the_old_battery/cdc717a3,event/6b11a7f6,HOSTS,0.5
place_the_battery/9c2b52fe,event/dae714a2,HOSTS,0.8
place_the_battery/d1ce5749,event/b291bca5,HOSTS,0.8
place_the_battery/31ccb177,event/b934ca9e,HOSTS,0.8
place_the_battery/ba6c9e71,event/f6300930,HOSTS,0.5
place_the_battery/5f0ab43d,event/e315774a,HOSTS,0.5
place_the_battery/74d10c94,event/92bd8d2f,HOSTS,0.5
place_the_battery/51e1e077,event/1c7b5f71,HOSTS,0.5
place_cold_wet_flat/6dc85322,event/f9273399,HOSTS,0.8
place_low_church_wall/43c265a4,event/8b80a34d,HOSTS,0.8
place_low_church_wall/df747497,event/3e20d908,HOSTS,0.5
place_low_church_wall/451fc538,event/e584b274,HOSTS,0.5
place_low_church_wall/004940c7,event/a7ece1ff,HOSTS,0.5
place_low_church_wall/609b0986,event/bfd206ef,HOSTS,0.5
place_low_church_wall/fdd9dade,event/8cc974c6,HOSTS,0.5
place_low_church_wall/69ad6366,event/b6a0e94f,HOSTS,0.5
place_river/0ba50534,event/70d06578,HOSTS,0.8
place_river/785f7355,event/d0077e45,HOSTS,0.5
place_river/89022904,event/4744321f,HOSTS,0.8
place_river/98405e99,event/c9c5ab1f,HOSTS,0.8
place_river/d84f44a3,event/39ed8065,HOSTS,0.5
place_river/6f5aa751,event/c0e471b5,HOSTS,0.5
place_river/fb6fd070,event/a5638b9d,HOSTS,0.5
place_river/b8e6b745,event/8d02e71c,HOSTS,0.5
place_river/760402d8,event/19dcf0b9,HOSTS,0.5
place_river/9689034e,event/635a3378,HOSTS,0.5
place_river/01e2b2e9,event/6e24dea5,HOSTS,0.5
place_river/bc6783b3,event/cab104f0,HOSTS,0.5
