:START_ID,:END_ID,:TYPE,weight
event/2e5a08e5,why/contextual_action,MOTIVATED_BY,1.0
event/b9d389c0,why/contextual_action,MOTIVATED_BY,1.0
event/a8b41fb4,why/contextual_action,MOTIVATED_BY,1.0
event/64383109,why/contextual_action,MOTIVATED_BY,1.0
event/84017580,why/contextual_action,MOTIVATED_BY,1.0
event/4da41d0e,why/contextual_action,MOTIVATED_BY,1.0
event/11f543fc,why/contextual_action,MOTIVATED_BY,1.0
event/fd01c0f5,why/contextual_action,MOTIVATED_BY,1.0
event/7d2a6bab,why/contextual_action,MOTIVATED_BY,1.0
event/3edd9f18,why/contextual_action,MOTIVATED_BY,1.0
event/61acce51,why/contextual_action,MOTIVATED_BY,1.0
event/eb7e1b5b,why/contextual_action,MOTIVATED_BY,1.0
event/fa724393,why/contextual_action,MOTIVATED_BY,1.0
event/ffb59e70,why/contextual_action,MOTIVATED_BY,1.0
event/04642ad1,why/contextual_action,MOTIVATED_BY,1.0
event/17aeab10,why/contextual_action,MOTIVATED_BY,1.0
event/53c313d6,why/contextual_action,MOTIVATED_BY,1.0
event/82e198b2,why/contextual_action,MOTIVATED_BY,1.0
event/ff4fc2d8,why/contextual_action,MOTIVATED_BY,1.0
event/ba5b93a5,why/contextual_action,MOTIVATED_BY,1.0
event/d666e4d2,why/contextual_action,MOTIVATED_BY,1.0
event/0db92bbc,why/contextual_action,MOTIVATED_BY,1.0
event/53b69a34,why/contextual_action,MOTIVATED_BY,1.0
event/b48bd86f,why/contextual_action,MOTIVATED_BY,1.0
event/b0bf7bae,why/contextual_action,MOTIVATED_BY,1.0
event/b7944487,why/contextual_action,MOTIVATED_BY,1.0
event/0cae5151,why/contextual_action,MOTIVATED_BY,1.0
event/3a532cb1,why/contextual_action,MOTIVATED_BY,1.0
event/9aff9f5b,why/fear of the unknown,MOTIVATED_BY,1.0
event/69d6dd7a,why/fear of the unknown,MOTIVATED_BY,1.0
event/ea8d71eb,why/fear of being harmed,MOTIVATED_BY,1.0
event/dc71b24e,why/fear of being harmed,MOTIVATED_BY,1.0
event/1e626ceb,why/contextual_action,MOTIVATED_BY,1.0
event/4f1eb857,why/contextual_action,MOTIVATED_BY,1.0
event/d639b38c,why/immediate_command,MOTIVATED_BY,1.0
event/29b98e15,why/contextual_action,MOTIVATED_BY,1.0
event/ef260e7f,why/contextual_action,MOTIVATED_BY,1.0
event/39383d63,why/contextual_action,MOTIVATED_BY,1.0
event/dc1c4db7,why/contextual_action,MOTIVATED_BY,1.0
event/bfc4996a,why/contextual_action,MOTIVATED_BY,1.0
event/39995f8c,why/contextual_action,MOTIVATED_BY,1.0
event/b81ebe7d,why/contextual_action,MOTIVATED_BY,1.0
event/6c374691,why/contextual_action,MOTIVATED_BY,1.0
event/10486b5f,why/contextual_action,MOTIVATED_BY,1.0
event/b2549a1a,why/contextual_action,MOTIVATED_BY,1.0
event/6d387e29,why/contextual_action,MOTIVATED_BY,1.0
event/0a46728b,why/desire to intimidate,MOTIVATED_BY,1.0
event/88cda2a4,why/contextual_action,MOTIVATED_BY,1.0
event/3d8fb3c8,why/fear of loss,MOTIVATED_BY,0.5
event/3d8fb3c8,why/contextual_action,MOTIVATED_BY,0.5
