:ID,name
place_marsh_country/95762367,marsh country
place_churchyard/5a30dab0,churchyard
place_churchyard/75213aee,churchyard
place_churchyard/3433586a,churchyard
place_marshes/bc1e57a8,marshes
place_church_porch/ba6ce8e8,church porch
place_church_porch/bcb16e7f,church porch
place_church_porch/784d3276,church porch
place_church_porch/ae330e58,church porch
place_the_flat_in-shore_among_the_alder-trees_and_pollards/edded523,the flat in-shore among the alder-trees and pollards
place_church/c31a8e57,church
place_church/1c2625e2,church
place_high_tombstone/09a04e19,high tombstone
place_tombstone/e8b18361,tombstone
place_church/b16c6d1a,church
place_church/66a1218c,church
place_null/657b7858,null
place_null/efcbdac7,null
place_null/8a6e7c0b,null
place_the_old_battery/9980b47c,the old Battery
place_the_old_battery/f5005d74,the old Battery
place_the_battery/9c2b52fe,the Battery
place_the_battery/d1ce5749,the Battery
place_the_battery/31ccb177,the Battery
place_cold_wet_flat/6dc85322,cold wet flat
place_low_church_wall/43c265a4,low church wall
place_river/0ba50534,river
place_marshes/0d8a8921,marshes
place_the_marshes/5a13490c,the marshes
place_the_river/ca6e858a,the river
place_the_sky/b73762b5,the sky
place_river/89022904,river
place_river/98405e99,river
place_marsh_country/45f1fce3,marsh country
place_marshes/49945732,marshes
place_marshes/131446aa,marshes
place_marshes/ff102196,marshes
place_marshes/461bcf93,marshes
place_church_porch/c96e2b6e,church porch
place_church_porch/c65b384a,church porch
place_church_porch/47cf72a5,church porch
place_church_porch/b1d98efc,church porch
place_church_porch/66a133c6,church porch
place_church_porch/2b7b6cae,church porch
place_church_porch/aff1fd07,church porch
place_church_porch/c22f8baf,church porch
place_church_porch/47d84068,church porch
place_church_porch/8187c60c,church porch
place_church_porch/3aecb581,church porch
place_church_porch/99e27520,church porch
place_church_porch/aa150b1e,church porch
place_the_flat_in-shore_among_the_alder-trees_and_pollards/cb892b98,the flat in-shore among the alder-trees and pollards
place_the_flat_in-shore_among_the_alder-trees_and_pollards/ea175744,the flat in-shore among the alder-trees and pollards
place_the_flat_in-shore_among_the_alder-trees_and_pollards/cda3cf76,the flat in-shore among the alder-trees and pollards
place_the_flat_in-shore_among_the_alder-trees_and_pollards/49ae7350,the flat in-shore among the alder-trees and pollards
place_the_flat_in-shore_among_the_alder-trees_and_pollards/f84c863e,the flat in-shore among the alder-trees and pollards
place_high_tombstone/81a4af0d,high tombstone
place_high_tombstone/4409f145,high tombstone
place_high_tombstone/fa409d5f,high tombstone
place_high_tombstone/3affb7b7,high tombstone
place_high_tombstone/fbb679e7,high tombstone
place_high_tombstone/a0bfccd0,high tombstone
place_high_tombstone/749afe14,high tombstone
place_high_tombstone/19899359,high tombstone
place_high_tombstone/af08b2eb,high tombstone
place_high_tombstone/bffc7fcd,high tombstone
place_high_tombstone/01b376e5,high tombstone
place_high_tombstone/b4535083,high tombstone
place_high_tombstone/199895e5,high tombstone
place_high_tombstone/312fa7c5,high tombstone
place_high_tombstone/e77b7aa2,high tombstone
place_high_tombstone/90c08564,high tombstone
place_high_tombstone/ffc6b686,high tombstone
place_high_tombstone/16ad13c4,high tombstone
place_high_tombstone/7154c62c,high tombstone
place_high_tombstone/9ef9176a,high tombstone
place_high_tombstone/eb0cb8ce,high tombstone
place_high_tombstone/d0465f13,high tombstone
place_high_tombstone/6ccd852b,high tombstone
place_high_tombstone/e78934a1,high tombstone
place_high_tombstone/4e805408,high tombstone
place_high_tombstone/b2fa1f3c,high tombstone
place_high_tombstone/e09aa8ad,high tombstone
place_tombstone/58bee20d,tombstone
place_tombstone/e1880efe,tombstone
place_tombstone/be00f3fb,tombstone
place_tombstone/02af417e,tombstone
place_tombstone/d10c5c61,tombstone
place_tombstone/3f127cbb,tombstone
place_tombstone/b9e338e7,tombstone
place_tombstone/8f7aaeef,tombstone
place_tombstone/afa31cf0,tombstone
place_tombstone/c0d5f616,tombstone
place_tombstone/4f834db3,tombstone
place_tombstone/a862a646,tombstone
place_tombstone/465768c4,tombstone
place_tombstone/ea0a38cf,tombstone
place_tombstone/dd4d5c53,tombstone
place_tombstone/0fa4aa8b,tombstone
place_tombstone/5625a6a9,tombstone
place_tombstone/5ea16bcd,tombstone
place_tombstone/02b0750b,tombstone
place_the_old_battery/e9439164,the old Battery
place_the_old_battery/f2ce7353,the old Battery
place_the_old_battery/e62377b5,the old Battery
place_the_old_battery/0c49d580,the old Battery
place_the_old_battery/f8adba82,the old Battery
place_the_old_battery/56e72cf5,the old Battery
place_the_old_battery/da7b6e71,the old Battery
place_the_old_battery/3f1f50d4,the old Battery
place_the_old_battery/e3dda649,the old Battery
place_the_old_battery/a60485a2,the old Battery
place_the_old_battery/050e9581,the old Battery
place_the_old_battery/e94e32fa,the old Battery
