:START_ID,:END_ID,:TYPE,strength
event/23cd98ed,agent_pip/4a989e56,PRODUCES_ACTOR,1.0
event/b760a944,agent_pip/4ea3c06c,PRODUCES_ACTOR,1.0
event/6a7f14fe,agent_pip/cc0e1ee4,PRODUCES_ACTOR,1.0
event/3c85710d,agent_pip/26b15396,PRODUCES_ACTOR,0.8
event/f7cc372f,agent_pip/ea558bd4,PRODUCES_ACTOR,0.8
event/7c2d8479,agent_pip/5e50f1ea,PRODUCES_ACTOR,0.8
event/f3d7db57,agent_pip/ae84c48f,PRODUCES_ACTOR,0.8
event/168b2644,agent_pip/2ee771ba,PRODUCES_ACTOR,0.8
event/fb23f5b7,agent_pip/8e7fb2c5,PRODUCES_ACTOR,0.8
event/3b172c9c,agent_pip/4f80ed1a,PRODUCES_ACTOR,0.8
event/5c011a34,agent_pip/07b0ac56,PRODUCES_ACTOR,0.8
event/66b75bb0,agent_pip/b6c3aaeb,PRODUCES_ACTOR,0.8
event/3112b56c,agent_pip/96f7f4a4,PRODUCES_ACTOR,0.8
event/734dbf9d,agent_pip/2f33cf37,PRODUCES_ACTOR,1.0
event/7b887074,agent_pip/3d97e50f,PRODUCES_ACTOR,1.0
event/573e24b1,agent_pip/d14df0dc,PRODUCES_ACTOR,1.0
event/95f60f48,agent_pip/17893f11,PRODUCES_ACTOR,1.0
event/8ee9f7cd,agent_pip/8b07859b,PRODUCES_ACTOR,1.0
event/8e0b3073,agent_pip/7ebb59b3,PRODUCES_ACTOR,0.8
event/b33f8cfa,agent_pip/078e4c67,PRODUCES_ACTOR,0.8
event/76794ee2,agent_pip/e455eb8d,PRODUCES_ACTOR,0.8
event/39ee4883,agent_pip/768fae3d,PRODUCES_ACTOR,0.8
event/b9aa27a8,agent_pip/d82aa225,PRODUCES_ACTOR,0.8
event/309e2546,agent_pip/24307c4d,PRODUCES_ACTOR,0.8
event/d7ede6e2,agent_pip/ce22df75,PRODUCES_ACTOR,0.8
event/c52160ad,agent_pip/1f38ece1,PRODUCES_ACTOR,0.8
event/d91cb099,agent_man/56cbe457,PRODUCES_ACTOR,0.8
event/c9ca5f4a,agent_man/0c75f29d,PRODUCES_ACTOR,0.8
event/0849133b,agent_man/ccbac02b,PRODUCES_ACTOR,0.5
event/92134c5e,agent_man/8cf99e91,PRODUCES_ACTOR,0.5
event/07c6b73d,agent_man/23e678a8,PRODUCES_ACTOR,0.5
event/86cf3887,agent_man/763036b9,PRODUCES_ACTOR,0.5
event/59592dbc,agent_man/865dc367,PRODUCES_ACTOR,0.5
event/32c3a10c,agent_man/ac83f240,PRODUCES_ACTOR,0.5
event/3e296ebb,agent_pip/a3e8da5a,PRODUCES_ACTOR,0.8
event/c346a52c,agent_pip/1d21064f,PRODUCES_ACTOR,0.8
event/cdd72180,agent_pip/6dc122b7,PRODUCES_ACTOR,0.8
event/7a6e1750,agent_man/aeeaf4fd,PRODUCES_ACTOR,0.5
event/7a6e1750,agent_pip/18e9a0f2,PRODUCES_ACTOR,0.5
event/9363b59b,agent_man/1c467c45,PRODUCES_ACTOR,0.5
event/872967fb,agent_man/0731c752,PRODUCES_ACTOR,0.5
event/c46c1fca,agent_man/482fc364,PRODUCES_ACTOR,0.5
event/346a2904,agent_man/68c41c5a,PRODUCES_ACTOR,0.5
event/7ac741c0,agent_pip/6064657e,PRODUCES_ACTOR,1.0
